Date,Open,High,Low,Close,Volume
2018-04-02,24.11,24.11,21.71,22.06,58787
2018-05-02,21.78,22.24,16.84,18.93,391029
2018-06-01,18.86,24.22,16.04,17.64,669874
2018-07-02,17.71,26.38,16.35,20.29,1292521
2018-08-01,20.84,21.78,15.87,20.77,475101
2018-09-03,21.78,22.83,16.25,16.74,210294
2018-10-01,16.39,17.57,13.22,14.62,63728
2018-11-01,14.62,15.17,12.35,13.54,113520
2018-12-03,13.81,14.55,11.83,11.94,64163
2019-01-01,12.88,14.48,10.72,11.90,116813
2019-02-01,12.81,13.85,9.50,10.44,49056
2019-03-01,10.44,15.31,10.44,11.94,219832
2019-04-01,11.94,12.49,9.99,10.27,27072
2019-05-02,10.27,11.14,9.33,10.02,33919
2019-06-03,9.57,10.44,6.51,7.66,115150
2019-07-01,7.31,8.28,5.95,6.96,121061
2019-08-01,6.96,7.90,6.40,6.40,112199
2019-09-03,6.09,6.65,4.80,5.36,61268
2019-10-01,5.12,5.50,4.35,5.18,308771
2019-11-01,5.29,7.10,4.94,6.23,79585
2019-12-02,5.99,7.06,4.70,4.70,40983
2020-01-01,4.49,4.70,3.97,4.38,64170
2020-02-01,4.38,4.59,3.65,4.59,48349
2020-03-02,4.59,4.80,3.31,4.07,48732
2020-04-01,4.25,4.25,3.48,3.48,27017
2020-05-04,3.48,4.38,3.48,4.04,370635
2020-06-01,4.18,5.53,3.79,5.50,1122383
2020-07-01,5.53,7.38,5.05,5.71,436088
2020-08-03,5.71,5.71,4.35,4.45,26788
2020-09-01,4.45,4.45,3.20,3.48,80753
2020-10-01,3.62,6.26,3.62,4.31,163112
2020-11-02,4.52,4.59,4.04,4.21,92595
2020-12-01,4.21,7.52,4.04,7.03,390432
2021-01-01,7.38,8.46,6.30,6.47,200170
2021-02-01,6.26,7.17,5.01,5.78,177535
2021-03-01,5.78,9.12,5.78,6.05,157237
2021-04-01,6.30,6.65,5.15,6.47,181509
2021-05-03,6.72,7.38,5.71,6.72,241146
2021-06-01,6.92,8.53,6.05,8.49,1066535
2021-07-01,8.91,10.27,4.98,5.99,417661
2021-08-02,5.99,7.83,5.18,6.65,177255
2021-09-01,6.54,7.59,6.30,6.89,230873
2021-10-01,6.68,9.67,6.40,7.76,944081
2021-11-01,8.14,8.94,6.89,7.69,577153
2021-12-01,7.93,11.52,6.37,7.41,1071395
2022-01-03,7.76,11.38,7.13,7.86,797762
2022-02-01,7.48,8.32,5.25,6.02,130601
2022-03-02,5.92,10.33,5.92,7.90,377474
2022-04-01,8.28,10.96,7.52,8.49,753761
2022-05-02,8.07,8.46,6.54,6.96,191568
2022-06-01,6.68,11.24,5.39,10.16,2134231
2022-07-01,10.44,13.75,9.74,11.87,1405432
2022-08-01,12.46,12.46,9.40,12.11,1359294
2022-09-01,11.55,14.48,11.14,12.11,1748328
2022-10-03,12.70,13.92,9.92,13.19,1678067
2022-11-01,13.71,15.10,11.48,14.09,2094674
2022-12-01,14.79,22.37,14.13,17.33,5008543
2023-01-02,18.06,18.34,15.07,15.10,1892089
2023-02-01,14.72,16.25,13.92,14.72,1534908
2023-03-01,14.93,17.61,12.88,13.61,2152227
2023-04-03,13.99,20.11,13.61,17.29,2998589
2023-05-02,17.68,17.75,12.53,13.81,1257079
2023-06-01,14.23,16.98,12.21,12.28,1507938
2023-07-03,12.53,14.30,11.59,12.74,603386
2023-08-01,12.88,15.73,12.11,14.44,1193615
2023-09-01,14.82,24.60,13.95,16.67,8333909
2023-10-03,17.12,17.54,13.01,15.03,3683355
2023-11-01,15.76,16.53,13.85,14.41,793242
2023-12-01,14.41,16.60,13.99,15.28,1128776
2024-01-01,15.31,20.84,15.31,18.20,3055583
2024-02-01,18.25,20.10,17.05,17.05,1486134
2024-03-01,17.05,19.00,14.40,14.90,1047825
2024-04-01,15.55,22.35,15.10,20.50,2423254
2024-05-02,19.90,21.50,18.50,19.10,1542230
2024-06-03,20.00,20.00,17.55,18.12,847837
2024-07-01,18.88,19.23,16.51,17.53,970201
2024-08-01,17.90,21.90,16.21,19.38,2593878
2024-09-02,19.50,20.44,17.25,18.94,1089583
2024-10-01,19.50,24.99,17.11,20.20,6268380
2024-11-01,20.60,30.40,19.70,22.06,7726254
2024-12-02,21.21,22.91,18.71,19.01,631386
2025-01-01,19.80,21.40,16.35,18.08,517686
2025-02-01,18.54,18.95,13.07,15.90,462574
2025-03-03,15.90,17.89,11.00,11.04,1899663
2025-04-01,11.38,13.48,10.87,11.38,1034336
2025-05-02,11.38,12.49,10.16,11.16,1228709
2025-06-02,11.01,12.34,10.57,11.04,1002030
2025-07-01,11.27,11.50,10.11,10.82,1326222
2025-08-01,10.98,11.99,10.11,10.63,1653078
2025-09-01,10.63,12.20,9.56,10.47,1819475
2025-10-01,10.47,12.00,10.29,11.50,907546
2025-11-03,11.50,11.85,9.92,10.35,634130
2025-12-01,10.35,11.97,9.11,10.34,1328329
2026-01-01,10.03,10.50,9.00,9.25,1031912
2026-02-01,9.99,10.69,8.10,10.21,1934140
2026-03-02,9.35,10.24,7.55,8.23,2519352
2026-04-01,8.40,11.40,8.40,9.98,996053
2026-05-04,10.00,10.70,8.60,9.02,1202576
2026-06-01,9.02,9.79,8.50,9.19,666956
2026-07-01,9.25,10.48,8.36,10.01,567939
2026-08-03,9.99,10.99,9.30,10.30,668451
2026-09-01,10.48,11.70,9.76,11.14,492438
