Date,Open,High,Low,Close,Volume
2014-12-01,217.82,265.48,205.05,223.88,13041036
2015-01-01,224.00,232.40,196.00,224.30,1885652
2015-02-02,229.95,247.40,202.60,224.20,997166
2015-03-02,224.00,274.20,223.60,239.57,3774220
2015-04-01,240.00,282.45,218.50,229.55,2958030
2015-05-04,234.90,250.00,212.18,227.77,994624
2015-06-01,226.30,230.00,195.90,208.73,702072
2015-07-01,211.48,242.45,209.02,232.00,1431414
2015-08-03,229.30,265.45,195.62,210.95,1499558
2015-09-01,211.00,213.00,192.50,208.88,311634
2015-10-01,212.00,240.00,208.62,215.23,625000
2015-11-02,214.65,272.45,207.57,255.10,3979750
2015-12-01,255.10,260.00,225.00,240.15,1031686
2016-01-01,243.23,249.12,200.00,215.40,535518
2016-02-01,215.98,222.45,187.77,189.10,337888
2016-03-01,193.00,231.00,190.05,208.23,585966
2016-04-01,209.50,226.62,207.00,217.32,297400
2016-05-02,214.88,236.82,192.65,200.65,808204
2016-06-01,200.00,212.50,195.00,207.12,276590
2016-07-01,209.50,249.50,204.50,231.60,978596
2016-08-01,234.50,240.00,213.50,221.27,580498
2016-09-01,221.00,234.00,210.05,216.85,535392
2016-10-03,219.90,330.65,219.90,300.25,6213054
2016-11-01,302.20,310.00,250.00,275.15,1045320
2016-12-01,275.25,296.75,255.00,263.92,392486
2017-01-02,271.00,326.95,260.58,298.95,1648882
2017-02-01,298.50,322.50,281.00,287.23,640154
2017-03-01,287.50,298.00,265.05,295.45,696154
2017-04-03,295.50,366.50,295.50,349.98,1677088
2017-05-02,345.50,392.10,337.50,341.02,990394
2017-06-01,342.50,353.75,335.17,339.00,302814
2017-07-03,335.02,368.50,315.20,320.58,196578
2017-08-01,322.50,324.95,276.65,298.55,150146
2017-09-01,296.02,322.00,285.00,292.12,165048
2017-10-03,293.00,308.50,280.25,291.60,146534
2017-11-01,291.60,332.40,291.60,308.27,708526
2017-12-01,308.60,346.08,286.17,324.60,1209050
2018-01-01,324.05,340.50,294.73,298.55,680152
2018-02-01,297.50,313.50,276.50,286.50,198826
2018-03-01,283.52,292.00,261.85,270.35,200844
2018-04-02,274.25,325.50,270.85,281.40,422653
2018-05-02,280.75,296.95,268.15,272.65,160767
2018-06-01,272.65,282.00,232.55,272.00,136515
2018-07-02,270.15,292.00,267.55,272.35,482509
2018-08-01,273.80,360.00,240.00,309.90,4708721
2018-09-03,324.00,339.00,242.00,248.45,1150697
2018-10-01,259.00,293.00,238.75,254.50,530859
2018-11-01,262.30,269.80,243.10,253.95,475154
2018-12-03,252.20,304.70,236.20,289.60,2188658
2019-01-01,291.00,335.00,273.60,305.25,1360880
2019-02-01,306.00,317.80,275.35,294.10,302681
2019-03-01,297.60,358.00,292.80,309.25,1410816
2019-04-01,309.20,336.00,300.10,307.70,988412
2019-05-02,304.00,358.00,274.35,312.90,1775174
2019-06-03,315.00,355.00,288.25,300.50,812808
2019-07-01,300.15,311.85,280.15,283.85,254248
2019-08-01,284.00,318.00,275.20,301.10,379223
2019-09-03,300.90,381.00,292.55,360.90,1109767
2019-10-01,364.00,440.80,328.25,428.60,1024676
2019-11-01,432.90,522.90,419.00,446.40,1392959
2019-12-02,451.90,480.00,411.00,440.30,545367
2020-01-01,440.35,544.00,416.35,455.50,1223919
2020-02-01,450.55,555.00,401.55,461.95,1477363
2020-03-02,468.55,495.00,253.00,329.95,1721390
2020-04-01,333.00,440.50,301.00,390.65,1865398
2020-05-04,382.00,385.00,320.10,339.60,1146934
2020-06-01,342.00,404.00,340.00,361.00,8763991
2020-07-01,361.60,446.65,355.00,430.20,5481612
2020-08-03,434.75,525.00,420.60,448.15,5783224
2020-09-01,449.05,481.00,418.00,423.00,2742683
2020-10-01,424.90,436.00,400.25,418.60,951116
2020-11-02,420.70,518.70,409.50,504.70,3778299
2020-12-01,507.80,531.00,465.95,502.15,1865033
2021-01-01,503.80,589.00,483.00,493.95,3402716
2021-02-01,494.00,618.00,489.65,545.80,3333599
2021-03-01,548.55,589.00,439.40,567.65,2126576
2021-04-01,570.50,659.90,546.00,636.40,1779322
2021-05-03,646.85,804.90,616.20,708.90,2477960
2021-06-01,710.00,728.00,672.00,701.05,992677
2021-07-01,707.45,734.80,652.55,682.90,1006402
2021-08-02,685.00,746.90,656.25,716.80,1496150
2021-09-01,720.00,883.00,700.00,835.20,4145161
2021-10-01,835.00,985.00,819.95,912.20,3383716
2021-11-01,919.90,1024.55,840.55,889.15,1226360
2021-12-01,893.60,954.45,872.00,936.50,725349
2022-01-03,944.00,974.90,824.00,826.80,693576
2022-02-01,830.25,900.00,749.00,835.55,877826
2022-03-02,844.00,870.30,786.00,794.60,496356
2022-04-01,800.00,954.60,799.95,906.65,876804
2022-05-02,889.00,911.05,756.15,823.35,511278
2022-06-01,827.50,842.00,753.05,788.95,260869
2022-07-01,792.90,815.90,768.00,801.65,345612
2022-08-01,812.45,847.25,721.20,759.10,818417
2022-09-01,759.10,765.55,702.35,714.80,731520
2022-10-03,718.90,753.95,704.85,732.20,253125
2022-11-01,735.90,768.90,696.30,708.70,309642
2022-12-01,710.00,730.00,688.00,710.60,343447
2023-01-02,706.30,746.00,704.05,721.25,393588
2023-02-01,724.90,727.00,591.50,609.15,543295
2023-03-01,612.20,652.00,554.05,576.00,422163
2023-04-03,585.00,629.00,581.30,603.95,282406
2023-05-02,609.45,616.95,579.20,607.50,398620
2023-06-01,610.55,775.45,579.10,738.25,4202883
2023-07-03,737.15,738.00,644.20,657.90,1491638
2023-08-01,657.65,664.50,601.10,614.55,880479
2023-09-01,612.25,659.90,609.10,616.15,840717
2023-10-03,612.00,621.85,563.90,596.50,464592
2023-11-01,598.10,628.80,584.00,602.25,481095
2023-12-01,602.05,609.00,586.05,599.45,640352
2024-01-01,607.40,634.00,572.05,579.55,1237100
2024-02-01,576.50,702.00,570.00,639.35,2725164
2024-03-01,640.00,689.00,596.00,620.45,961715
2024-04-01,625.00,714.90,616.55,698.65,1169734
2024-05-02,701.95,804.00,686.85,691.50,2436209
2024-06-03,699.45,777.00,639.55,749.50,935488
2024-07-01,749.95,825.15,720.00,755.60,1121119
2024-08-01,746.35,862.60,707.35,818.90,2566016
2024-09-02,823.75,838.90,732.25,816.05,2374142
2024-10-01,809.00,816.00,712.35,759.90,535339
2024-11-01,759.90,775.50,662.00,737.95,635067
2024-12-02,731.00,768.00,695.05,722.65,395623
2025-01-01,722.65,842.90,637.60,666.35,772698
2025-02-01,666.35,693.90,575.55,577.75,335261
2025-03-03,579.00,674.70,559.95,652.10,536079
2025-04-01,661.10,734.00,544.10,694.30,759597
2025-05-02,696.60,735.60,666.25,712.00,458379
2025-06-02,707.70,751.00,681.85,719.80,441297
2025-07-01,715.20,754.00,653.00,660.20,535645
2025-08-01,670.00,739.90,651.10,692.20,369729
2025-09-01,691.30,790.95,691.30,713.60,564400
2025-10-01,712.00,760.15,693.55,724.10,398491
2025-11-03,720.60,744.00,679.00,680.95,206203
2025-12-01,680.20,705.45,627.60,668.55,356884
2026-01-01,668.55,676.50,575.00,583.75,241042
2026-02-01,583.75,657.95,563.50,596.75,222308
2026-03-02,580.00,590.75,486.00,493.65,573875
2026-04-01,501.00,588.00,489.25,571.20,497524
2026-05-04,570.00,598.00,530.30,558.65,733275
2026-06-01,566.95,577.45,531.00,547.95,757365
2026-07-01,546.10,567.40,503.60,515.00,1462142
2026-08-03,520.00,549.90,482.80,509.35,3570745
2026-09-01,513.00,516.00,476.50,493.80,613098
