Date,Open,High,Low,Close,Volume
2008-01-01,160.00,264.20,130.25,169.70,31644892
2008-02-01,174.90,191.00,149.00,176.25,1141230
2008-03-03,167.95,173.45,110.15,120.75,215243
2008-04-01,120.00,155.00,116.10,136.85,139257
2008-05-02,138.50,154.00,121.50,130.60,167412
2008-06-02,133.40,137.00,98.00,99.60,87898
2008-07-01,102.50,128.00,82.00,116.40,124036
2008-08-01,113.20,122.00,101.20,118.35,138211
2008-09-01,120.00,162.70,81.55,88.30,3582282
2008-10-01,92.50,92.50,34.30,38.60,255217
2008-11-03,42.30,54.20,34.20,45.05,220693
2008-12-01,42.55,47.20,34.55,37.75,540762
2009-01-01,37.00,42.00,25.20,29.35,429071
2009-02-02,31.80,34.75,25.20,29.25,102046
2009-03-02,28.30,30.00,24.15,27.90,107487
2009-04-01,29.70,44.45,25.00,35.05,348291
2009-05-04,36.50,60.90,33.60,53.25,1528509
2009-06-01,54.70,65.30,43.80,56.65,1506590
2009-07-01,57.00,58.85,38.30,52.00,852382
2009-08-03,51.00,81.15,42.50,72.95,2163430
2009-09-01,74.90,75.00,65.50,66.50,201984
2009-11-03,55.00,65.45,53.40,65.45,422719
2009-12-01,68.00,72.20,63.25,67.75,675479
2010-02-01,87.35,92.65,79.55,89.30,152516
2010-03-02,89.30,123.00,87.50,113.90,1259128
2010-04-01,118.80,143.95,113.60,118.65,1105656
2010-05-03,118.00,129.75,100.10,109.90,422103
2010-06-01,108.00,124.50,107.25,115.90,578217
2010-07-01,115.90,158.40,114.10,135.55,1777067
2010-08-02,137.00,187.50,129.20,156.10,2006948
2010-09-01,152.40,204.00,152.40,181.80,2010305
2010-10-01,188.00,192.90,159.00,159.80,471879
2010-11-01,157.00,170.00,120.00,143.30,433971
2010-12-01,148.00,159.45,112.00,139.25,618340
2011-01-03,138.00,138.50,101.60,112.60,209758
2011-02-01,117.95,119.00,96.75,110.60,215984
2011-03-01,111.00,133.90,107.20,122.15,737722
2011-04-01,126.70,135.90,117.60,121.10,206205
2011-05-02,124.60,125.00,100.50,112.80,103370
2011-06-01,110.10,118.75,98.50,104.75,164056
2011-07-01,106.95,121.40,101.10,108.95,558928
2011-08-01,108.00,116.40,75.60,86.40,544522
2011-09-02,86.00,113.70,81.05,93.10,1324524
2011-10-03,88.20,95.15,83.00,93.40,125446
2011-11-01,93.30,96.50,71.15,76.60,104682
2011-12-01,81.00,83.50,64.20,65.35,598795
2012-01-02,72.00,85.20,63.00,81.20,164852
2012-02-01,80.00,102.05,76.35,84.75,595243
2012-03-01,83.90,85.85,74.00,75.70,148278
2012-04-02,75.65,86.50,73.50,76.40,89905
2012-05-02,75.20,78.90,58.85,65.80,170358
2012-06-01,64.50,68.40,57.65,60.20,103986
2012-07-02,60.80,67.70,53.50,54.25,158588
2012-08-01,57.00,64.00,49.50,49.60,142521
2012-09-03,50.50,57.70,45.60,52.45,293765
2012-10-01,54.50,74.35,53.50,67.40,2296069
2012-11-01,66.85,72.45,60.45,62.10,455906
2012-12-03,62.35,72.80,62.30,64.50,404717
2013-01-01,65.00,68.40,53.10,53.10,252887
2013-02-01,54.75,56.50,41.30,43.25,165329
2013-03-01,42.70,46.55,36.90,45.10,126973
2013-04-01,47.85,56.00,43.00,44.45,182591
2013-05-02,48.40,48.40,39.70,41.50,102788
2013-06-03,41.15,41.85,33.70,35.00,93796
2013-07-01,35.20,45.90,33.10,40.00,207288
2013-08-01,40.10,44.50,35.15,38.55,193948
2013-09-02,38.05,41.40,35.80,36.60,131429
2013-10-01,36.40,42.00,35.00,36.40,201414
2013-11-01,37.50,47.00,34.55,41.70,867676
2013-12-02,42.00,51.35,39.05,51.35,723184
2014-01-01,53.15,62.50,47.00,48.00,2257106
2014-02-03,48.65,61.10,43.40,56.70,1743950
2014-03-03,57.90,63.45,53.50,57.25,985876
2014-04-01,58.00,73.50,55.80,60.35,1475401
2014-05-02,59.00,86.40,57.00,69.05,1557306
2014-06-02,71.55,87.80,62.20,82.80,2994858
2014-07-01,82.95,99.45,79.35,87.35,3334443
2014-08-01,87.35,99.50,73.80,88.90,1439738
2014-09-01,90.00,113.50,83.30,89.75,3156616
2014-10-01,89.00,94.15,83.30,93.55,347661
2014-11-03,94.65,124.60,86.75,120.05,6288250
2014-12-01,120.25,143.45,109.60,117.50,6722563
2015-01-01,117.05,164.65,112.10,155.90,7198726
2015-02-02,155.00,163.95,121.00,127.55,1849908
2015-03-02,125.05,134.90,96.30,105.40,1566148
2015-04-01,106.75,132.95,105.00,116.85,1608876
2015-05-04,117.45,118.90,103.10,106.15,627941
2015-06-01,105.15,127.70,90.00,111.70,2087649
2015-07-01,112.30,136.75,105.85,127.10,2796838
2015-08-03,126.90,132.55,87.00,96.55,1061921
2015-09-01,96.25,103.95,88.60,93.55,436331
2015-10-01,94.65,112.90,91.00,98.30,732820
2015-11-02,97.65,107.85,88.15,94.20,553579
2015-12-01,94.30,106.25,92.20,98.25,998348
2016-01-01,98.60,102.75,78.05,82.15,444912
2016-02-01,82.10,85.10,64.55,73.20,255766
2016-03-01,74.80,96.40,73.15,89.80,1133191
2016-04-01,89.00,119.75,88.05,113.15,2127203
2016-05-02,112.10,137.35,102.15,108.65,3007470
2016-06-01,109.00,127.35,105.55,122.80,1330978
2016-07-01,124.30,125.70,112.20,117.90,564040
2016-08-01,117.95,119.85,101.00,106.25,422781
2016-09-01,105.25,124.70,98.00,115.30,2304807
2016-10-03,116.00,148.45,115.95,135.35,3757099
2016-11-01,140.35,144.20,105.00,134.45,2627690
2016-12-01,133.30,177.65,128.45,159.80,7602346
2017-01-02,160.00,189.90,160.00,166.20,3357771
2017-02-01,166.00,195.95,155.30,158.25,2664290
2017-03-01,161.90,163.00,144.00,154.45,1509573
2017-04-03,155.85,168.90,148.55,164.15,1433964
2017-05-02,166.00,166.20,139.50,142.20,929526
2017-06-01,142.45,174.90,142.45,149.60,3310543
2017-07-03,150.05,159.50,143.65,148.15,1788195
2017-08-01,149.40,159.00,122.70,154.00,1236354
2017-09-01,154.85,173.70,143.60,148.80,1401689
2017-10-03,149.50,292.80,147.70,260.20,19865560
2017-11-01,260.80,267.60,215.10,235.75,2159488
2017-12-01,239.90,258.00,214.00,246.60,531288
2018-01-01,242.00,255.00,220.00,229.10,417847
2018-02-01,234.95,239.00,190.00,207.60,814404
2018-03-01,208.00,213.50,172.25,174.70,695183
2018-04-02,178.00,217.00,176.10,206.05,876328
2018-05-02,204.60,208.80,151.30,162.90,504101
2018-06-01,163.10,165.40,118.00,127.45,648771
2018-07-02,128.05,131.60,90.30,114.45,837718
2018-08-01,117.35,131.00,106.70,116.35,1888526
2018-09-03,117.00,122.10,91.00,95.15,744377
2018-10-01,96.05,107.30,85.55,96.55,543590
2018-11-01,97.90,120.00,94.10,97.25,962428
2018-12-03,99.20,108.00,88.00,101.00,626916
2019-01-01,100.70,111.80,88.05,92.15,1190136
2019-02-01,92.90,95.80,69.20,73.35,770195
2019-03-01,73.10,91.80,73.00,86.75,1551512
2019-04-01,87.35,92.70,76.35,77.15,714899
2019-05-02,76.00,80.80,67.55,75.55,822301
2019-06-03,76.00,76.70,57.05,61.75,428345
2019-07-01,61.40,67.50,43.60,45.35,523687
2019-08-01,47.90,65.15,41.60,51.40,678308
2019-09-03,50.70,77.35,49.20,63.15,1244255
2019-10-01,64.00,68.75,57.05,63.05,413684
2019-11-01,64.35,73.70,62.20,65.70,769064
2019-12-02,65.75,67.30,57.60,65.35,381135
2020-01-01,65.20,78.95,64.55,71.75,1093832
2020-02-01,71.65,73.70,53.05,54.95,558084
2020-03-02,56.50,59.90,34.00,40.00,662902
2020-04-01,39.95,64.30,38.00,58.05,1150243
2020-05-04,56.00,72.70,52.50,68.40,1163456
2020-06-01,69.40,79.00,63.00,66.55,1025252
2020-07-01,63.25,65.50,56.45,59.95,609556
2020-08-03,59.95,93.45,58.20,76.05,2218684
2020-09-01,76.05,84.80,72.25,77.15,630202
2020-10-01,78.60,85.60,76.00,78.50,771735
2020-11-02,78.05,91.40,76.00,86.20,1290247
2020-12-01,87.00,118.40,81.45,103.25,4955663
2021-01-01,103.00,110.00,88.40,95.65,1961181
2021-02-01,96.00,107.05,82.75,90.20,1624939
2021-03-01,90.00,101.90,75.65,76.85,1539197
2021-04-01,78.35,93.75,77.00,89.85,829934
2021-05-03,91.20,119.00,86.40,113.70,5500511
2021-06-01,114.50,156.00,111.15,133.00,14605180
2021-07-01,135.00,193.90,129.20,170.05,12290579
2021-08-02,171.50,183.40,130.45,154.35,2488433
2021-09-01,154.55,158.70,141.55,148.05,894586
2021-10-01,148.00,155.50,133.00,135.95,1088083
2021-11-01,138.80,165.00,130.05,131.35,1573056
2021-12-01,131.00,156.00,126.75,144.85,1041983
2022-01-03,145.90,177.20,139.35,153.25,3757153
2022-02-01,155.30,169.95,116.30,127.40,1333512
2022-03-02,126.50,156.00,121.35,136.40,1293988
2022-04-01,138.00,179.50,137.60,155.65,3559857
2022-05-02,154.90,155.85,118.80,129.00,952603
2022-06-01,130.45,134.00,106.10,120.00,586640
2022-07-01,118.10,129.90,113.30,122.65,465023
2022-08-01,124.90,147.95,123.40,138.00,849897
2022-09-01,138.00,153.30,129.50,132.40,972224
2022-10-03,132.00,141.25,127.35,130.40,376513
2022-11-01,132.95,143.85,126.65,138.15,550824
2022-12-01,139.40,242.70,136.55,206.45,21841840
2023-01-02,207.80,227.90,177.05,193.55,9550118
2023-02-01,193.70,196.95,152.55,158.00,3300839
2023-03-01,158.00,177.95,143.50,148.45,1627834
2023-04-03,149.20,185.45,148.90,176.45,2030729
2023-05-02,178.95,189.30,157.20,157.80,1478893
2023-06-01,158.00,173.90,157.50,165.20,1068231
2023-07-03,166.40,175.80,160.00,172.30,1141880
2023-08-01,174.25,198.40,162.00,185.90,2925298
2023-09-01,186.25,193.15,172.15,179.75,1965681
2023-10-03,180.00,193.65,158.05,174.45,2100621
2023-11-01,172.70,209.55,167.95,203.30,2764535
2023-12-01,203.00,218.00,186.70,204.55,2906435
2024-01-01,203.00,290.15,199.35,290.15,7373520
2024-02-01,313.80,318.00,242.50,297.90,6831652
2024-03-01,296.55,342.70,231.55,242.20,6587066
2024-04-01,244.00,297.95,243.30,274.15,1789779
2024-05-02,276.15,280.00,221.95,224.70,1449503
2024-06-03,230.95,286.36,192.10,259.76,3233681
2024-07-01,258.10,309.30,256.00,300.10,5421308
