Date,Open,High,Low,Close,Volume
2024-07-01,200.42,200.89,193.86,194.20,544762
2024-08-01,196.41,197.38,166.30,168.82,15286283
2024-09-02,169.82,183.41,157.75,174.72,16024452
2024-10-01,174.85,191.01,155.85,163.92,29514894
2024-11-01,165.40,166.30,132.65,148.77,14865032
2024-12-02,147.76,170.10,142.69,145.59,16534105
2025-01-01,144.17,153.57,112.13,129.93,19629534
2025-02-01,130.37,133.91,95.12,105.29,20554619
2025-03-03,105.29,119.36,98.65,107.63,18525544
2025-04-01,107.38,129.72,97.12,107.79,23880789
2025-05-02,111.94,152.70,102.76,140.58,65975045
2025-06-02,140.58,189.45,139.75,158.36,93846687
2025-07-01,159.79,166.14,126.25,127.44,30643794
2025-08-01,128.05,153.74,123.25,149.76,23009317
2025-09-01,152.00,196.50,149.71,174.35,109814540
2025-10-01,174.85,215.00,160.50,171.55,137942029
2025-11-03,171.99,172.50,148.00,155.54,21576647
2025-12-01,157.00,164.40,136.92,157.69,26754046
2026-01-01,153.80,169.40,122.63,155.42,38941391
2026-02-01,158.00,162.55,140.17,143.38,27723961
2026-03-02,135.20,149.85,117.05,126.56,45758701
2026-04-01,132.95,162.27,128.50,148.74,38693007
2026-05-04,150.90,188.30,144.16,177.38,67525207
2026-06-01,177.51,184.90,155.52,179.12,44045995
2026-07-01,180.10,197.77,158.10,161.89,77620874
2026-08-03,162.00,167.49,156.31,160.15,15944403
2026-09-01,161.30,165.70,138.80,147.23,11821178
