Date,Open,High,Low,Close,Volume
2006-01-02,129.50,129.50,107.10,111.00,68040
2006-02-01,114.99,114.99,85.20,99.90,530930
2006-03-01,91.05,100.10,83.17,89.35,603420
2006-04-03,95.00,95.00,61.53,80.00,528390
2006-05-02,80.00,82.90,57.68,65.29,772090
2006-06-01,65.01,69.80,49.00,57.97,1374200
2006-07-03,59.40,60.00,43.80,45.95,149270
2006-08-01,46.00,59.70,45.00,52.05,351090
2006-09-01,52.00,62.48,48.51,55.13,1282440
2006-10-03,57.50,62.00,54.70,60.38,347170
2006-11-01,59.70,59.70,47.00,55.45,360310
2006-12-01,57.00,66.55,49.00,54.15,2900310
2007-01-02,56.08,57.00,50.20,52.38,1332900
2007-02-01,52.50,57.30,48.56,50.05,1600410
2007-03-01,49.31,53.70,41.50,45.45,223120
2007-04-02,44.50,55.00,43.00,49.70,470440
2007-05-03,50.70,52.50,47.61,48.65,1152260
2007-06-01,49.00,60.98,49.00,60.98,3653150
2007-07-02,63.49,69.70,59.30,62.71,2568350
2007-08-01,60.30,63.00,52.10,58.00,817870
2007-09-03,59.00,65.00,55.22,58.58,291480
2007-10-01,58.60,61.00,54.50,60.02,1458180
2007-11-01,62.50,67.50,57.30,65.77,6387470
2007-12-03,65.50,74.90,59.52,74.40,328660
2008-01-01,71.86,89.98,59.40,79.50,1842940
2008-02-01,83.00,85.48,65.00,68.96,1036550
2008-03-03,68.00,68.00,50.55,54.15,1546600
2008-04-01,57.50,65.00,53.33,62.03,67830
2008-05-02,61.60,68.40,61.20,63.65,115610
2008-06-02,64.30,68.49,49.00,49.60,48930
2008-07-01,46.44,51.20,38.20,41.86,51520
2008-08-01,41.50,46.50,39.00,43.30,893790
2008-09-01,43.30,44.40,32.60,33.84,258960
2008-10-01,31.21,38.50,14.10,16.00,2364260
2008-11-03,17.85,21.00,13.00,13.85,93370
2008-12-01,13.60,19.50,12.90,17.59,52800
2009-01-01,17.10,19.80,14.51,15.10,66180
2009-02-02,14.60,17.48,13.20,13.70,38880
2009-03-02,14.00,15.00,12.00,13.59,5096310
2009-04-01,13.74,18.89,13.65,18.41,66250
2009-05-04,17.82,35.40,17.81,31.99,464870
2009-06-01,31.99,34.00,25.74,27.61,357580
2009-07-01,27.00,35.85,23.01,33.05,1632260
2009-08-03,32.04,35.00,26.01,32.51,489000
2009-09-01,32.11,40.60,30.40,37.98,2278410
2009-10-01,38.00,45.53,35.60,40.69,1715510
2009-11-03,39.40,43.21,36.31,40.78,1062590
2009-12-01,40.20,57.81,36.25,55.42,10520060
2010-01-04,55.75,58.38,49.80,52.03,5026040
2010-02-01,54.12,65.48,53.00,59.23,5849130
2010-03-02,58.51,68.90,58.50,63.92,1348740
2010-04-01,64.81,66.49,60.44,61.18,1763200
2010-05-03,61.00,62.60,51.50,53.69,2218170
2010-06-01,54.00,62.20,51.51,58.20,2286320
2010-07-01,57.73,67.95,56.00,66.90,2832380
2010-08-02,65.90,69.50,62.02,68.10,2350870
2010-09-01,67.60,77.40,66.55,69.95,4072930
2010-10-01,70.27,78.50,67.80,76.72,2134160
2010-11-01,78.50,80.55,71.00,76.17,1234760
2010-12-01,72.71,78.49,63.12,64.97,2941256
2011-01-03,65.25,67.97,54.50,60.73,2591780
2011-02-01,58.88,75.80,57.65,67.15,2280930
2011-03-01,69.47,78.50,61.08,66.68,770344
2011-04-01,66.50,80.47,64.12,72.65,1695494
2011-05-02,73.25,79.60,69.00,74.00,1434208
2011-06-01,74.97,83.00,68.50,78.28,1511228
2011-07-01,78.47,87.40,76.25,85.00,1143038
2011-08-01,86.50,95.00,73.00,85.28,1145848
2011-09-02,86.00,95.00,81.80,86.78,972502
2011-10-03,86.50,92.00,82.50,88.80,586620
2011-11-01,90.00,94.90,85.00,87.45,327476
2011-12-01,82.53,92.50,73.00,78.30,1693394
2012-01-02,79.12,96.50,77.53,94.53,752112
2012-02-01,96.00,130.55,93.12,119.60,1754408
2012-03-01,122.45,147.90,110.25,129.18,1040468
2012-04-02,129.00,150.95,126.05,146.98,1083250
2012-05-02,141.27,149.50,123.50,133.85,855702
2012-06-01,120.47,135.95,117.75,126.53,20949890
2012-07-02,125.00,153.75,125.00,147.90,4014626
2012-08-01,143.05,151.80,131.57,135.35,4917280
2012-09-03,137.50,146.95,133.02,141.98,1927664
2012-10-01,144.00,150.50,131.10,131.50,2000550
2012-11-01,131.77,142.50,120.55,127.10,4230214
2012-12-03,125.05,151.50,124.85,150.00,4434888
2013-01-01,152.10,158.93,137.00,140.02,3360990
2013-02-01,140.93,145.00,124.00,125.00,1747116
2013-03-01,124.07,141.00,123.97,136.50,1289836
2013-04-01,135.77,136.70,128.00,131.00,751980
2013-05-02,131.27,149.40,131.10,132.50,921682
2013-06-03,133.50,134.43,99.30,102.50,1075558
2013-07-01,104.47,121.00,100.05,105.00,1110364
2013-08-01,107.85,117.00,100.07,111.40,1289100
2013-09-02,111.00,127.50,109.38,119.50,843708
2013-10-01,120.97,147.02,116.05,137.88,4364074
2013-11-01,139.98,161.75,135.68,142.52,2749378
2013-12-02,144.98,173.88,138.55,170.50,2609716
2014-01-01,170.93,174.90,147.25,162.52,1776724
2014-02-03,163.50,208.43,161.35,196.12,3659860
2014-03-03,193.50,256.95,185.55,238.65,6796264
2014-04-01,240.00,268.45,238.55,263.05,4504736
2014-05-02,266.67,300.00,259.75,281.17,3690686
2014-06-02,280.00,387.10,280.00,377.15,3160810
2014-07-01,380.50,416.25,336.10,395.42,3440512
2014-08-01,392.00,400.02,333.35,362.88,4717768
2014-09-01,363.02,404.50,358.52,387.38,6431310
2014-10-01,387.38,399.00,357.50,385.05,3114908
2014-11-03,381.15,428.00,301.50,314.65,11075426
2014-12-01,315.15,325.65,267.77,306.48,4487594
2015-01-01,305.00,338.95,305.00,324.45,5103546
2015-02-02,324.95,360.00,298.10,299.70,2914578
2015-03-02,302.55,327.48,299.00,324.52,7903300
2015-04-01,324.50,396.38,316.60,388.02,5596766
2015-05-04,388.05,400.00,354.00,364.75,3495418
2015-06-01,367.25,370.00,345.00,356.60,2268844
2015-07-01,362.73,379.40,310.05,339.95,3713844
2015-08-03,342.33,358.50,310.50,320.90,3963632
2015-09-01,322.40,352.45,315.17,335.08,1077400
2015-10-01,337.75,339.00,309.70,326.38,1194204
2015-11-02,325.92,341.95,312.70,328.75,3140620
2015-12-01,323.00,332.45,312.50,323.77,807978
2016-01-01,324.45,332.42,298.00,304.27,1483654
2016-02-01,306.83,311.67,276.00,285.00,823000
2016-03-01,282.00,324.95,274.52,315.70,1801066
2016-04-01,315.98,339.80,305.30,332.95,434212
2016-05-02,333.00,354.55,321.60,333.08,870884
2016-06-01,337.50,344.10,325.00,331.58,836626
2016-07-01,333.62,371.98,329.25,364.60,2784224
2016-08-01,367.48,442.40,353.12,438.83,2828636
2016-09-01,430.50,517.25,405.50,506.95,5208352
2016-10-03,511.00,602.40,491.77,530.90,3458820
2016-11-01,538.98,545.00,406.00,496.38,2784534
2016-12-01,530.75,642.88,500.80,551.25,6576340
2017-01-02,554.98,612.50,532.50,560.90,4448258
2017-02-01,564.50,655.00,558.52,650.33,4139774
2017-03-01,656.00,739.85,627.52,693.08,5914902
2017-04-03,690.00,791.65,690.00,761.55,4277570
2017-05-02,764.95,802.98,712.50,736.58,4817898
2017-06-01,743.00,866.00,737.50,831.55,8286768
2017-07-03,826.00,871.50,790.33,812.85,5696600
2017-08-01,815.58,832.17,718.50,784.05,7343386
2017-09-01,791.50,882.35,790.00,852.88,7393448
2017-10-03,858.00,877.50,805.00,852.48,6703194
2017-11-01,856.62,1123.00,856.62,1073.07,15770956
2017-12-01,1081.20,1274.20,1035.00,1194.15,17034111
2018-01-01,1195.00,1238.30,1088.10,1141.85,7198042
2018-02-01,1142.00,1198.00,975.35,1086.70,8077920
2018-03-01,1081.10,1137.90,1002.55,1068.65,6918315
2018-04-02,1073.35,1352.20,1057.20,1275.20,12029637
2018-05-02,1281.45,1286.75,1040.00,1134.60,11174825
2018-06-01,1132.00,1152.80,1011.15,1041.50,7006486
2018-07-02,1050.10,1272.20,1047.20,1207.85,11657583
2018-08-01,1214.90,1453.55,1184.15,1360.10,19841266
2018-09-03,1355.00,1355.00,1000.00,1018.55,22727661
2018-10-01,1016.50,1114.90,946.35,1095.20,13727991
2018-11-01,1100.90,1189.65,922.70,960.40,24546250
2018-12-03,965.75,1010.95,854.00,923.90,17508264
2019-01-01,924.20,935.00,798.05,810.60,11248335
2019-02-01,813.90,905.00,744.00,885.70,17426668
2019-03-01,886.70,1024.00,886.20,995.50,12665534
2019-04-01,1000.00,1017.80,912.00,914.35,7060647
2019-05-02,912.95,923.55,758.00,778.55,16242899
2019-06-03,783.45,807.40,727.15,755.80,11278129
2019-07-01,758.70,784.75,691.45,702.35,13436107
2019-08-01,701.95,784.40,690.00,744.45,10703227
2019-09-03,741.00,818.80,682.00,776.25,9266073
2019-10-01,778.00,893.00,707.00,884.70,9689986
2019-11-01,881.00,941.95,812.00,926.25,15954490
2019-12-02,923.00,999.40,903.50,990.55,15760404
2020-01-01,991.85,1137.80,955.55,1069.85,14330744
2020-02-01,1069.85,1297.95,1033.25,1096.40,22930271
2020-03-02,1100.40,1155.65,679.00,791.65,20578477
2020-04-01,785.00,1006.90,738.50,934.80,15403777
2020-05-04,900.00,1110.05,868.30,1078.90,15079553
2020-06-01,1088.55,1293.00,1082.00,1261.10,17861931
2020-07-01,1262.00,1327.00,1230.00,1322.05,18634445
2020-08-03,1330.00,1415.00,1295.55,1321.90,14378371
2020-09-01,1325.90,1514.70,1237.50,1477.00,20258991
2020-10-01,1486.10,1500.00,1315.00,1347.55,16315110
2020-11-02,1345.00,1701.45,1306.30,1659.40,32722045
2020-12-01,1720.00,1720.00,1515.50,1646.30,18246937
2021-01-01,1646.00,1767.70,1580.00,1588.35,13831131
2021-02-01,1593.60,1875.00,1516.65,1558.00,28991817
2021-03-01,1556.00,1704.00,1530.05,1688.50,11473602
2021-04-01,1701.00,1807.40,1552.00,1769.95,8752691
2021-05-03,1751.00,2223.10,1742.20,2200.90,16635387
2021-06-01,2204.05,2322.95,2161.80,2239.20,7957520
2021-07-01,2256.00,2404.30,2242.00,2373.85,5942003
2021-08-02,2386.30,2559.20,2207.50,2294.90,10108261
2021-09-01,2298.80,2723.80,2250.00,2533.65,8843724
2021-10-01,2533.65,2639.95,2380.50,2460.10,7033778
2021-11-01,2469.80,2599.00,2086.05,2174.75,7128066
2021-12-01,2196.55,2330.50,2065.00,2323.40,6302169
2022-01-03,2325.00,2537.45,2222.05,2337.05,3897625
2022-02-01,2359.00,2426.90,1743.00,1822.55,6166682
2022-03-02,1785.00,2165.80,1690.55,2136.20,6601579
2022-04-01,2125.10,2231.85,2016.00,2144.20,5371973
2022-05-02,2135.00,2370.40,1880.50,2338.90,7477390
2022-06-01,2340.00,2375.00,2053.35,2149.15,5909054
2022-07-01,2125.00,2365.00,2109.50,2311.25,4878867
2022-08-01,2325.00,2450.00,1975.00,2046.05,10783405
2022-09-01,2044.00,2064.95,1825.00,1883.65,10754326
2022-10-03,1883.65,2003.80,1862.00,1962.75,4015905
2022-11-01,1967.00,2073.80,1796.30,2042.05,8616236
2022-12-01,2049.90,2182.50,2030.00,2131.25,6232843
2023-01-02,2137.30,2260.00,2100.05,2221.30,6524974
2023-02-01,2235.00,2350.00,1974.05,2014.35,7012319
2023-03-01,2020.00,2079.45,1908.90,1951.45,4418452
2023-04-03,1968.00,2132.00,1932.45,2084.25,3943168
2023-05-02,2093.00,2491.95,2067.15,2273.80,9886451
2023-06-01,2280.95,2525.00,2248.25,2370.40,5414122
2023-07-03,2379.95,2549.10,2276.00,2542.35,6553984
2023-08-01,2553.00,2570.00,2302.60,2323.15,4717870
2023-09-01,2336.00,2578.90,2323.20,2557.80,4765604
2023-10-03,2557.45,2640.00,2478.15,2553.80,5640333
2023-11-01,2567.20,2682.75,2462.00,2576.40,5772755
2023-12-01,2588.00,2678.00,2407.50,2568.55,5378682
2024-01-01,2572.00,2795.50,2424.00,2454.25,7220452
2024-02-01,2464.95,2494.00,2194.50,2228.95,6094522
2024-03-01,2241.85,2378.80,2193.80,2317.35,7803312
2024-04-01,2320.95,2478.00,2265.30,2429.90,6309362
2024-05-02,2439.95,3174.30,2402.00,3050.05,12073244
2024-06-03,3138.95,3363.95,2779.95,3229.00,6808571
2024-07-01,3239.90,3352.75,3046.05,3323.30,6866570
2024-08-01,3322.00,3375.00,2753.05,2829.75,6739134
2024-09-02,2834.85,3155.80,2834.85,3050.15,5144203
2024-10-01,3050.15,3105.45,2779.00,2837.45,4872554
2024-11-01,2861.55,2893.30,2644.35,2780.15,3726237
2024-12-02,2775.00,2916.95,2682.05,2910.10,4022725
2025-01-01,2919.75,2928.00,2545.65,2771.25,5714889
2025-02-01,2775.70,2839.95,2566.00,2615.65,2926485
2025-03-03,2628.00,2653.00,2474.85,2554.80,5829143
2025-04-01,2564.00,2690.00,2152.05,2675.10,6008683
2025-05-02,2673.00,2817.50,2383.00,2472.20,12164693
2025-06-02,2472.50,2555.70,2386.10,2445.30,6459692
2025-07-01,2445.30,2801.30,2436.00,2676.20,10642523
2025-08-01,2698.10,2698.10,2255.10,2289.40,4530094
2025-09-01,2302.90,2551.80,2267.00,2294.80,3924429
2025-10-01,2270.00,2373.00,2200.00,2279.80,2839238
2025-11-03,2259.90,2395.00,2175.20,2308.90,2870228
2025-12-01,2322.90,2466.00,2290.00,2319.70,4211360
2026-01-01,2315.10,2475.00,2289.90,2305.80,3054268
2026-02-01,2314.60,2775.00,2226.10,2383.90,6309309
2026-03-02,2299.90,2366.70,2015.40,2083.00,2792467
2026-04-01,2172.50,2365.00,2018.00,2160.80,3477821
2026-05-04,2182.50,2351.50,2063.70,2205.50,3250820
2026-06-01,2230.00,2287.00,1970.00,2180.40,4509214
2026-07-01,2180.90,2511.20,1982.10,2473.50,11046508
2026-08-03,2478.50,2558.00,2241.10,2279.20,14578735
2026-09-01,2300.90,2385.00,2100.10,2265.30,4513465
