Date,Open,High,Low,Close,Volume
2001-12-03,16.95,17.10,14.00,15.15,1180527
2002-01-01,15.85,17.30,14.15,17.10,3010099
2002-02-01,17.25,25.80,16.10,20.40,16668366
2002-03-01,19.75,25.70,19.50,25.00,4856020
2002-04-01,25.50,31.40,24.20,28.00,7776984
2002-05-01,28.90,29.00,26.05,27.80,4433097
2002-06-03,28.00,36.00,28.00,33.95,7939890
2002-07-01,34.10,35.75,25.70,27.25,4506509
2002-08-01,27.65,29.10,26.90,27.50,1505400
2002-09-02,27.60,27.90,25.10,25.60,1505850
2002-10-01,25.85,28.10,25.40,27.90,1435901
2002-11-01,28.00,32.00,27.65,30.75,2884152
2003-01-01,37.20,46.35,35.10,37.25,25961063
2003-02-03,37.50,39.80,34.15,35.75,17811266
2003-03-03,36.30,39.00,31.10,37.95,10426582
2003-04-01,37.60,44.45,37.60,42.30,19295464
2003-05-01,43.20,58.30,42.35,54.85,82006808
2003-06-02,51.00,54.00,45.40,52.10,49739907
2003-07-01,49.40,52.65,47.95,49.30,47431229
2003-08-01,49.65,55.60,45.00,53.75,42242075
2003-09-01,53.50,60.80,47.55,54.45,64351505
2003-10-01,54.80,69.90,53.30,62.10,85719148
2003-11-03,63.00,63.40,52.60,56.50,18381708
2003-12-01,57.00,67.00,56.25,66.00,30370485
2004-01-01,66.65,80.90,58.00,64.50,71795225
2004-02-03,65.00,69.25,55.75,61.55,37369380
2004-03-01,61.75,64.70,49.20,58.90,33842739
2004-04-01,58.20,83.70,58.20,70.95,56702959
2004-05-03,71.60,78.30,45.65,54.30,44910992
2004-06-01,54.55,60.85,46.10,46.75,47808706
2004-07-01,47.00,52.80,42.10,47.95,40957000
2004-08-02,48.90,50.35,42.60,45.70,21087476
2004-09-01,45.95,54.25,45.70,51.40,26150849
2004-10-01,51.65,60.00,50.35,50.90,23731492
2004-11-01,50.35,78.25,49.10,75.50,65278991
2004-12-01,76.00,103.00,72.55,94.30,78964561
2005-01-03,95.20,101.40,72.00,84.50,71774078
2005-02-01,85.20,89.90,81.50,88.85,35648169
2005-03-01,89.85,119.40,86.00,103.65,98590601
2005-04-01,105.85,107.45,80.35,81.90,23073810
2005-05-02,78.80,103.70,78.00,101.25,30782926
2005-06-01,103.00,111.90,91.15,103.50,28629143
2005-07-01,100.00,147.70,100.00,142.55,30013519
2005-08-01,142.00,147.80,111.25,118.85,35249575
2005-09-01,120.00,145.00,111.60,122.90,35025368
2005-10-03,128.90,134.00,97.35,107.00,34143829
2005-11-01,108.50,120.90,105.30,110.80,22088754
2005-12-01,111.00,134.80,108.50,126.90,42853931
2006-01-02,126.90,143.50,120.65,129.85,34415052
2006-02-01,130.05,142.40,116.50,134.25,34127715
2006-03-01,133.30,145.25,127.75,133.55,28067340
2006-04-03,134.35,139.75,115.00,121.40,19402199
2006-05-02,125.90,156.45,111.45,114.05,34893529
2006-06-01,117.25,119.00,93.05,102.25,19376768
2006-07-03,102.00,131.95,79.65,110.80,29100276
2006-08-01,110.70,147.40,106.10,142.75,40256921
2006-09-01,143.00,166.40,131.00,162.00,33716978
2006-10-03,162.00,175.60,145.10,173.60,36379953
2006-11-01,177.00,203.70,171.20,200.80,47354826
2006-12-01,202.00,212.40,158.50,207.40,42912391
2007-01-02,208.00,220.00,182.00,191.10,36271595
2007-02-01,192.00,225.00,151.25,163.75,30438389
2007-03-01,164.00,181.25,131.75,167.80,51912615
2007-04-02,150.20,205.60,145.00,192.40,57520688
2007-05-03,193.80,216.90,186.15,210.65,42140832
2007-06-01,212.00,236.00,182.00,231.70,32994262
2007-07-02,232.50,275.90,218.15,258.30,49280517
2007-08-01,250.00,259.70,205.55,242.60,38754837
2007-09-03,246.25,280.60,238.25,276.90,22277921
2007-10-01,282.00,388.20,242.00,357.25,51415220
2007-11-01,375.00,416.00,320.00,350.75,39482393
2007-12-03,355.00,381.50,337.00,365.70,16779133
2008-01-01,310.00,465.00,305.10,352.85,47432430
2008-02-01,363.40,386.95,327.00,359.15,26811319
2008-03-03,352.00,352.00,231.15,253.25,50295415
2008-04-01,259.90,351.50,253.10,342.30,36834736
2008-05-02,354.00,368.00,284.00,294.85,33012657
2008-06-02,295.70,307.00,206.15,217.10,59840588
2008-07-01,218.50,304.35,189.35,272.60,66468789
2008-08-01,269.00,323.80,248.00,267.60,54955450
2008-09-01,265.00,299.95,259.40,285.25,59101234
2008-10-01,287.75,312.80,195.00,240.80,65026220
2008-11-03,260.00,292.90,223.50,250.75,49602590
2008-12-01,245.15,310.50,228.10,287.05,43206688
2009-01-01,288.00,309.00,224.15,249.25,37849574
2009-02-02,248.00,258.90,206.65,225.55,25956543
2009-03-02,221.00,235.70,179.00,219.40,50678207
2009-04-01,221.00,278.95,214.00,235.10,38669687
2009-05-04,242.10,349.50,226.45,337.50,54898718
2009-06-01,340.00,366.40,305.00,352.65,38730974
2009-07-01,356.00,364.40,296.10,328.55,35327142
2009-08-03,330.00,342.00,301.30,338.40,25349562
2009-09-01,340.10,417.00,315.00,415.05,51853026
2009-10-01,416.00,474.00,331.00,333.45,32356709
2009-11-03,324.00,398.45,316.65,384.90,19844480
2009-12-01,386.00,402.80,352.00,384.85,12285085
2010-01-04,389.10,401.70,346.20,364.75,10688078
2010-02-01,364.85,368.65,315.00,333.35,12911332
2010-03-02,336.90,353.40,309.05,340.25,13784272
2010-04-01,341.80,400.00,341.25,380.80,13121633
2010-05-03,379.00,385.90,310.60,329.65,15492126
2010-06-01,330.15,353.90,320.50,349.50,11534735
2010-07-01,347.50,415.00,346.10,410.60,22585218
2010-08-02,417.70,476.40,415.80,442.35,24096699
