Date,Open,High,Low,Close,Volume
2003-11-03,92.80,103.48,79.20,85.44,43247602
2003-12-01,86.00,104.40,85.02,96.10,51367398
2004-01-01,97.28,100.80,67.52,74.66,18885620
2004-02-03,75.56,80.76,63.42,67.30,9062285
2004-03-01,68.00,81.32,63.30,68.44,16112932
2004-04-01,69.20,78.72,67.34,68.48,15145220
2004-05-03,67.60,70.80,38.60,48.44,11348578
2004-06-01,49.40,57.72,46.90,51.00,6551318
2004-07-01,51.20,70.10,47.20,68.46,19024658
2004-08-02,68.60,74.00,61.66,72.48,9661675
2004-09-01,72.52,98.76,72.00,93.32,35388878
2004-10-01,93.80,98.72,86.80,96.90,9997020
2004-11-01,96.80,118.32,94.64,112.36,14039538
2004-12-01,113.52,146.00,108.40,136.66,13448482
2005-01-03,138.76,138.76,116.00,130.64,4649062
2005-02-01,131.72,151.12,128.00,134.96,7246838
2005-03-01,139.76,146.78,116.00,143.78,4326405
2005-04-01,145.20,262.00,144.44,243.54,57259985
2005-05-02,242.00,288.00,232.40,267.56,34473092
2005-06-01,272.80,289.46,232.00,262.32,13530368
2005-07-01,264.40,273.96,246.80,262.48,6828595
2005-08-01,262.00,332.80,261.80,323.04,17053388
2005-09-01,320.00,400.00,306.44,371.90,10425532
2005-10-03,373.48,399.20,304.40,312.58,6159518
2005-11-01,314.00,373.20,314.00,358.50,4784212
2005-12-01,362.80,449.60,357.04,431.56,7803750
2006-01-02,443.96,551.20,432.00,528.44,6919245
2006-02-01,528.60,644.00,512.00,592.06,4054662
2006-03-01,570.00,715.20,570.00,593.58,6995718
2006-04-03,599.60,676.00,480.00,638.76,6706610
2006-05-02,680.00,680.00,416.00,470.76,3205435
2006-06-01,484.00,484.00,288.00,395.88,4163785
2006-07-03,400.00,432.00,316.02,368.54,3571708
2006-08-01,368.54,422.00,360.82,381.92,6079432
2006-09-01,380.00,394.64,347.20,374.54,6642775
2006-10-03,376.00,450.02,374.00,430.38,5875670
2006-11-01,426.00,468.00,374.80,411.76,5240685
2006-12-01,412.00,424.00,354.00,405.96,3386115
2007-01-02,414.00,489.92,410.40,436.66,6407108
2007-02-01,442.00,507.94,406.80,441.96,5536932
2007-03-01,444.40,452.40,342.34,433.08,2581750
2007-04-02,410.00,439.60,360.90,395.30,6488632
2007-05-03,399.98,429.68,378.12,417.58,4836452
2007-06-01,423.88,492.00,414.00,464.60,12142188
2007-07-02,461.60,529.20,443.24,499.70,14193682
2007-08-01,472.44,504.80,440.00,476.00,3838920
2007-09-03,488.00,526.00,464.40,515.96,4085062
2007-10-01,520.00,674.80,516.40,622.34,7847138
2007-11-01,652.00,739.90,584.00,672.04,2750815
2007-12-03,677.60,740.76,602.00,675.54,2399265
2008-01-01,675.60,734.00,440.00,506.48,2450730
2008-02-01,520.40,567.56,440.00,480.58,2702305
2008-03-03,481.00,495.88,366.00,396.40,1319778
2008-04-01,403.60,486.90,380.00,440.78,2379492
2008-05-02,450.00,483.60,410.22,430.84,1125558
2008-06-02,437.20,445.60,285.20,294.50,972515
2008-07-01,291.92,307.60,238.40,281.44,3429578
2008-08-01,273.20,342.40,250.22,296.88,1310318
2008-09-01,290.94,340.00,257.60,273.90,1114445
2008-10-01,278.00,281.96,150.80,169.20,1191690
2008-11-03,182.00,192.00,112.00,117.76,1850402
2008-12-01,118.00,148.18,112.00,134.66,3541880
2009-01-01,136.00,159.10,128.00,135.62,3307502
2009-02-02,137.00,176.80,133.62,144.56,7421090
2009-03-02,144.56,159.20,132.00,152.70,6551110
2009-04-01,154.36,216.80,153.20,206.76,7179922
2009-05-04,208.40,329.92,200.00,301.98,4274695
2009-06-01,305.40,461.20,294.80,427.86,13228178
2009-07-01,430.00,451.96,363.52,426.50,16015368
2009-08-03,426.00,473.76,405.54,444.54,3905372
2009-09-01,411.20,487.88,411.20,431.20,4985840
2009-10-01,426.04,449.40,364.80,375.80,3842510
2009-11-03,374.00,422.00,370.04,401.16,2656320
2009-12-01,402.00,456.80,393.74,450.34,4683215
2010-01-04,448.40,510.00,402.00,427.58,7233768
2010-02-01,425.60,476.00,400.40,405.42,5064662
2010-03-02,414.00,432.04,406.40,419.84,2650042
2010-04-01,421.40,466.00,406.80,419.22,3060028
2010-05-03,418.00,422.80,380.80,388.22,1624700
2010-06-01,384.80,418.80,382.80,400.24,1293825
2010-07-01,400.24,420.00,392.68,406.38,2205018
2010-08-02,406.80,420.00,392.20,403.60,3346210
2010-09-01,404.00,495.20,402.50,431.66,7426388
2010-10-01,438.40,488.80,430.40,449.46,2796048
2010-11-01,441.60,488.00,381.24,393.16,1747782
2010-12-01,399.20,419.20,388.80,412.90,1216058
2011-01-03,415.98,421.04,342.82,348.04,1497890
2011-02-01,342.40,351.50,228.00,248.18,18160118
2011-03-01,251.60,283.76,248.00,272.78,4674645
2011-04-01,276.78,308.02,273.22,277.94,2499002
2011-05-02,274.40,280.00,241.06,261.24,1884745
2011-06-01,260.46,262.80,211.60,232.08,4650408
2011-07-01,230.40,247.60,212.40,219.72,4173620
2011-08-01,223.60,226.16,164.68,185.36,5835900
2011-09-02,185.64,198.00,174.80,183.12,4699328
2011-10-03,208.76,218.00,178.00,211.60,4010892
2011-11-01,207.84,222.60,174.48,201.78,3798592
2011-12-01,205.60,211.08,177.64,182.06,3234032
2012-01-02,182.80,218.20,181.40,212.12,4238172
2012-02-01,207.20,271.18,201.06,266.24,6663002
2012-03-01,260.40,281.96,238.00,261.46,6602152
2012-04-02,263.92,263.92,207.56,213.44,4552865
2012-05-02,213.20,216.80,164.92,172.16,7242548
2012-06-01,169.18,169.20,146.20,150.94,11982880
2012-07-02,151.22,165.64,122.24,127.40,11698055
2012-08-01,127.42,131.56,108.00,110.34,10616655
2012-09-03,111.60,129.10,108.40,123.32,12535368
2012-10-01,124.00,135.36,114.64,115.70,6186320
2012-11-01,117.00,120.00,108.02,113.48,2691305
2012-12-03,113.76,133.08,110.00,111.72,14150175
2013-01-01,112.78,116.44,104.92,106.18,5786515
2013-02-01,106.06,108.40,89.20,89.78,4000692
2013-03-01,89.90,90.32,54.44,58.78,8166132
2013-04-01,59.40,71.86,58.84,64.20,7471302
2013-05-02,63.76,77.60,63.60,69.68,10496372
2013-06-03,70.34,71.20,59.28,62.00,3937688
2013-07-01,62.40,72.20,56.16,58.00,6560012
2013-08-01,57.06,62.72,42.40,56.00,5886745
2013-09-02,56.00,64.00,55.46,56.18,6020725
2013-10-01,56.02,77.96,56.02,75.14,16960275
2013-11-01,75.20,81.80,69.20,73.38,6992412
2013-12-02,72.92,99.52,72.92,93.98,23356072
2014-01-01,94.08,97.28,74.40,76.20,11351640
2014-02-03,76.00,84.78,72.02,82.78,12374422
2014-03-03,82.80,121.88,82.22,116.86,24550832
2014-04-01,117.78,180.76,114.80,155.00,40240092
2014-05-02,156.30,278.00,155.20,261.14,65303895
2014-06-02,263.92,351.08,261.60,318.52,52193872
2014-07-01,320.00,332.96,232.04,252.20,3980115
2014-08-01,246.20,287.20,206.20,227.32,8617898
2014-09-01,233.48,291.48,218.40,245.98,14850428
2014-10-01,248.72,280.86,216.04,270.98,17922490
2014-11-03,272.80,303.20,263.60,284.12,16983518
2014-12-01,283.88,348.80,256.06,317.52,36161742
