Date,Open,High,Low,Close,Volume
2001-12-03,4.34,4.38,3.81,4.05,130460
2002-01-01,4.19,4.40,3.90,4.15,194120
2002-02-01,4.15,4.38,4.05,4.17,430940
2002-03-01,4.15,4.55,4.05,4.15,268020
2002-04-01,4.30,4.63,4.07,4.63,1125540
2002-05-01,4.83,5.29,4.48,4.65,1326080
2002-06-03,4.60,5.60,4.60,5.50,2557180
2002-07-01,5.53,6.50,4.85,5.08,2372420
2002-08-01,5.25,5.99,5.01,5.35,766760
2002-09-02,5.35,5.62,5.21,5.40,685700
2002-10-01,5.33,5.50,4.95,5.11,217280
2002-11-01,5.19,5.25,4.95,5.01,671200
2002-12-02,5.10,5.45,5.07,5.41,710600
2003-01-01,5.40,5.72,5.00,5.25,1807280
2003-02-03,5.30,5.75,5.10,5.51,559640
2003-03-03,5.46,5.60,5.20,5.60,1260280
2003-04-01,5.26,5.75,5.26,5.50,588980
2003-05-01,5.53,7.45,5.53,6.95,5029400
2003-06-02,6.95,8.75,6.60,8.50,5627360
2003-07-01,8.00,9.20,7.45,8.13,3442760
2003-08-01,7.99,8.14,6.92,7.70,3239720
2003-09-01,7.53,10.25,7.52,10.00,5117560
2003-10-01,10.10,10.24,8.75,9.30,1249560
2003-11-03,9.30,9.85,8.75,9.43,1554820
2003-12-01,9.90,14.79,9.30,12.73,5832360
2004-01-01,12.65,13.53,8.61,10.51,1786440
2004-02-03,10.05,11.80,9.71,10.65,2749480
2004-03-01,10.76,11.24,9.75,10.38,2153020
2004-04-01,10.62,11.65,10.01,11.11,422420
2004-05-03,11.05,12.40,9.50,11.15,2085240
2004-06-01,11.40,12.73,10.75,12.60,578700
2004-07-01,12.60,17.25,11.90,14.75,1399600
2004-08-02,15.00,17.93,15.00,16.51,5899604
2004-09-01,16.65,21.86,16.43,20.62,5309216
2004-10-01,20.25,20.98,18.25,19.88,1971576
2004-11-01,20.00,27.18,19.88,26.57,13762372
2004-12-01,26.25,32.11,25.26,30.06,12504664
2005-01-03,31.25,31.25,24.75,27.70,2855572
2005-02-01,27.88,31.23,27.10,27.88,4692232
2005-03-01,27.81,33.25,26.25,32.01,4710344
2005-04-01,32.38,36.85,30.75,33.75,6715988
2005-05-02,36.50,39.75,31.26,35.80,4840740
2005-06-01,36.14,41.86,35.76,39.90,7845146
2005-07-01,39.85,47.95,39.00,43.75,4769568
2005-08-01,44.00,53.50,42.05,51.33,5678172
2005-09-01,51.25,63.00,50.05,54.58,9576876
2005-10-03,54.60,60.85,51.50,56.58,5741914
2005-11-01,57.25,67.97,56.38,65.05,6309070
2005-12-01,65.05,70.90,61.60,66.78,2939272
2006-01-02,66.57,92.20,66.57,82.80,4769048
2006-02-01,84.00,85.00,71.90,78.53,1638620
