Date,Open,High,Low,Close,Volume
2025-07-01,170.00,227.79,170.00,195.79,690862
2025-08-01,190.02,244.99,165.00,186.23,979735
2025-09-01,187.50,218.00,157.51,163.28,793629
2025-10-01,169.60,171.27,149.12,159.40,584022
2025-11-03,162.70,164.99,143.71,149.89,349224
2025-12-01,150.00,168.20,140.29,151.60,215958
2026-01-01,153.62,168.00,126.90,142.95,284838
2026-02-01,145.73,167.40,135.10,146.85,272321
2026-03-02,128.00,154.99,104.85,106.24,301557
2026-04-01,109.85,167.00,107.65,152.09,363822
2026-05-04,145.20,207.99,145.20,185.32,625926
2026-06-01,185.99,236.40,169.00,217.73,290430
2026-07-01,219.00,279.80,212.25,226.41,362254
2026-08-03,234.00,290.00,221.00,256.53,406712
2026-09-01,255.40,284.00,243.60,272.55,109504
