Date,Open,High,Low,Close,Volume
2016-07-01,28.24,34.43,25.57,33.31,740714
2016-08-01,33.27,39.07,29.80,35.18,1261167
2016-09-01,35.39,41.58,30.94,34.91,1352965
2016-10-03,34.91,50.67,33.46,48.25,3539673
2016-11-01,55.60,55.60,35.49,37.91,3851732
2016-12-01,37.91,50.09,36.88,39.43,2400299
2017-01-02,40.03,50.28,39.55,47.25,4711989
2017-02-01,48.35,60.24,44.89,53.04,7105651
2017-03-01,53.04,53.23,31.72,35.44,16781430
2017-04-03,36.84,41.53,33.46,37.23,5763463
2017-05-02,37.23,38.44,28.33,30.12,4875380
2017-06-01,29.98,31.33,20.50,21.03,1472307
2017-07-03,21.03,33.89,20.79,28.48,2447337
2017-08-01,29.06,31.23,22.43,28.58,1384846
2017-09-01,29.30,30.46,26.11,27.22,1561454
2017-10-03,27.08,28.82,25.14,25.67,734267
2017-11-01,26.06,37.04,24.61,35.97,18691369
2017-12-01,36.55,49.70,36.26,47.19,14039482
2018-01-01,47.19,62.86,44.92,46.42,10595138
2018-02-01,48.69,53.52,37.71,48.16,3317708
2018-03-01,48.16,48.79,33.17,38.97,3460835
2018-04-02,40.52,44.48,36.70,38.54,1381750
2018-05-02,39.89,39.94,33.12,37.28,1516272
2018-06-01,36.75,42.55,28.24,32.64,1911750
2018-07-02,32.73,35.10,27.32,32.73,1070343
2018-08-01,34.62,40.52,31.62,32.15,1587003
2018-09-03,32.10,35.78,25.96,26.50,489483
2018-10-01,25.63,28.00,20.07,22.77,1561575
2018-11-01,23.89,24.66,21.76,23.26,414787
2018-12-03,25.14,25.14,19.73,21.52,373994
2019-01-01,22.19,22.19,17.89,18.71,469500
2019-02-01,19.49,21.61,14.65,15.28,984093
2019-03-01,15.47,19.29,15.42,16.58,1310888
2019-04-01,16.54,19.87,14.80,15.28,1219615
2019-05-02,15.23,15.91,12.28,13.83,2294582
2019-06-03,13.73,14.02,11.99,12.23,474086
2019-07-01,12.18,13.78,9.96,11.12,596167
2019-08-01,11.07,12.28,8.36,8.94,1794763
2019-09-03,8.85,11.51,8.27,10.25,2256093
2019-10-01,10.35,11.02,8.65,9.23,1286991
2019-11-01,9.19,10.06,7.74,8.75,2881901
2019-12-02,9.09,15.96,8.70,15.38,4342655
2020-01-01,15.96,20.31,14.07,14.60,2198883
2020-02-01,14.89,17.70,11.94,13.01,788588
2020-03-02,13.54,13.63,7.25,7.74,784150
2020-04-01,7.74,10.83,7.35,9.96,524772
2020-05-04,9.67,9.86,8.12,8.90,1000956
2020-06-01,8.94,16.44,8.80,12.62,4426541
2020-07-01,12.57,12.57,10.11,10.30,2621919
2020-08-03,10.59,13.54,10.40,12.04,3236053
2020-09-01,12.09,16.44,11.27,15.76,5991879
2020-10-01,16.15,16.15,11.75,13.05,3359268
2020-11-02,13.01,14.99,12.09,12.28,3672008
2020-12-01,12.47,19.05,12.38,15.42,19351472
2021-01-01,15.67,17.70,13.54,14.65,9356684
2021-02-01,14.89,17.70,13.54,16.68,8057313
2021-03-01,16.83,20.69,15.57,17.84,14497586
2021-04-01,18.28,18.66,13.92,16.83,7882995
2021-05-03,16.68,26.01,16.44,22.19,22386239
2021-06-01,22.63,30.70,21.27,28.77,20414827
2021-07-01,29.11,33.85,26.74,28.96,16944776
2021-08-02,29.25,33.12,21.95,25.00,15611346
2021-09-01,25.53,26.98,23.01,25.14,5675144
2021-10-01,25.00,29.93,22.87,23.74,5801140
