Date,Open,High,Low,Close,Volume
2024-06-03,339.00,365.70,310.00,323.47,39254023
2024-07-01,323.00,400.00,314.00,368.45,25980968
2024-08-01,369.85,379.00,342.15,345.70,8120391
2024-09-02,348.25,348.25,275.40,282.00,6383466
2024-10-01,282.80,288.05,225.60,263.80,3501399
2024-11-01,270.00,320.00,254.00,304.85,7692667
2024-12-02,307.00,360.00,301.95,304.95,6959061
2025-01-01,306.00,322.00,261.05,281.90,3078479
2025-02-01,284.25,288.00,167.00,199.55,5156014
2025-03-03,199.55,268.00,189.10,242.06,2837535
2025-04-01,246.90,267.29,223.00,223.83,1605805
2025-05-02,220.25,316.00,210.00,291.75,6470968
2025-06-02,292.70,329.00,272.10,320.50,6851192
2025-07-01,323.10,336.20,275.10,279.45,2563399
2025-08-01,280.00,320.00,257.60,267.65,17105211
2025-09-01,271.00,309.00,264.00,266.75,3714579
2025-10-01,266.75,285.85,246.05,257.90,1996160
2025-11-03,259.00,264.00,210.00,213.45,2939521
2025-12-01,214.00,235.39,199.52,209.60,4854075
2026-01-01,212.50,236.00,183.00,188.99,13879529
2026-02-01,191.20,309.77,187.00,294.34,223736120
2026-03-02,285.00,322.75,241.35,268.85,55336746
2026-04-01,282.00,445.20,277.55,417.00,26988856
2026-05-04,431.60,593.40,420.00,593.40,9270186
2026-06-01,609.00,760.00,600.00,643.40,4287399
2026-07-01,640.00,744.75,615.50,678.55,2060775
2026-08-03,682.00,704.00,577.50,590.30,4383337
2026-09-01,580.30,710.00,577.65,668.75,3955744
