Date,Open,High,Low,Close,Volume
2024-11-01,220.00,233.70,205.05,207.07,55409608
2024-12-02,209.00,391.60,208.10,311.87,681314063
2025-01-01,313.70,339.85,218.50,261.15,127055620
2025-02-01,262.90,296.95,195.10,206.85,103268989
2025-03-03,209.88,233.40,187.10,222.01,64999844
2025-04-01,219.05,226.49,182.00,197.73,27096817
2025-05-02,198.00,268.80,188.00,237.93,69864698
2025-06-02,233.00,252.00,208.32,236.63,123846880
2025-07-01,237.59,306.40,228.01,252.89,254348343
2025-08-01,253.45,274.00,233.30,249.60,51200015
2025-09-01,251.40,276.10,238.00,243.12,37568581
2025-10-01,244.12,257.66,238.51,253.23,17225785
2025-11-03,254.15,254.50,207.50,217.15,14599064
2025-12-01,220.00,226.40,191.12,205.91,11470745
2026-01-01,206.00,207.95,163.21,180.48,11346917
2026-02-01,181.87,194.58,157.60,158.05,15449337
2026-03-02,150.00,170.00,134.71,140.39,61495872
2026-04-01,147.00,227.00,146.16,211.94,242955197
2026-05-04,215.00,225.89,184.48,190.02,47631966
2026-06-01,192.00,233.90,175.50,223.73,67738302
2026-07-01,224.60,247.40,212.11,220.06,62077792
2026-08-03,223.00,228.84,193.02,196.92,17460920
2026-09-01,196.50,215.74,188.00,200.01,28061666
