Date,Open,High,Low,Close,Volume
2010-07-01,598.80,598.80,80.15,89.75,40492295
2010-08-02,91.00,91.80,51.00,54.10,45035673
2010-09-01,54.30,64.40,52.10,52.65,7164294
2010-10-01,53.20,57.00,45.00,47.15,2972041
2010-11-01,48.00,61.00,41.05,41.75,3326367
2010-12-01,42.30,48.00,28.20,43.75,4266088
2011-01-03,45.30,50.85,30.95,32.35,5323290
2011-02-01,33.10,33.75,27.00,28.75,1309375
2011-03-01,28.00,37.45,27.90,34.05,1853222
2011-04-01,34.25,37.60,31.75,31.80,1654665
2011-05-02,32.90,32.90,28.50,29.15,491183
2011-06-01,29.25,34.50,29.00,34.50,1076470
2011-07-01,35.10,50.00,35.10,41.05,2846021
2011-08-01,41.10,42.20,35.00,41.70,587539
2011-09-02,42.60,45.80,35.00,35.00,301871
2011-10-03,35.00,36.20,31.20,32.75,142400
2011-11-01,32.50,33.50,19.90,21.90,326341
2011-12-01,21.50,23.20,17.05,17.60,1559619
2012-01-02,18.00,24.00,17.20,22.95,193067
2012-02-01,22.35,25.45,20.80,21.20,141755
2012-03-01,20.40,24.25,17.55,18.75,313255
2012-04-02,19.50,23.40,18.10,18.60,185056
2012-05-02,18.20,25.50,14.15,22.95,403957
2012-06-01,22.50,24.40,21.05,22.50,165319
2012-07-02,22.60,29.05,20.40,21.20,138792
2012-08-01,21.15,23.00,19.70,20.00,83716
2012-09-03,19.15,22.70,18.60,21.50,168368
2012-10-01,23.05,26.05,20.00,22.90,411171
2012-11-01,23.10,25.90,20.20,21.00,657888
2012-12-03,21.70,34.60,20.65,33.90,2817791
2013-01-01,34.45,34.70,22.30,23.25,986248
2013-02-01,22.95,23.95,20.15,23.00,136019
2013-03-01,22.10,24.10,17.05,18.45,188318
2013-04-01,19.00,21.50,17.95,20.00,81032
2013-05-02,20.60,20.60,17.65,18.40,104396
2013-06-03,17.85,18.65,14.70,15.05,93078
2013-07-01,14.50,17.00,12.00,13.15,117872
2013-08-01,13.10,15.55,11.80,13.30,78776
2013-09-02,13.40,16.50,12.80,13.70,142900
2013-10-01,13.40,18.85,13.00,16.70,220584
2013-11-01,16.25,21.00,15.50,17.65,280775
2013-12-02,18.00,19.45,16.15,18.50,75874
2014-01-01,18.10,20.25,14.75,14.75,82156
2014-02-03,14.50,15.80,13.80,14.95,30571
2014-03-03,15.60,18.60,14.60,16.20,327310
2014-04-01,15.90,20.95,15.70,19.05,703112
2014-05-02,19.00,33.55,17.55,30.35,772859
2014-06-02,31.90,32.95,26.00,29.50,841179
2014-07-01,29.20,30.35,24.05,25.55,221764
2014-08-01,25.90,30.25,23.00,26.30,247796
2014-09-01,26.05,43.70,25.50,35.10,1356410
2014-10-01,35.35,38.00,31.45,36.70,214236
2014-11-03,37.25,37.25,31.70,34.80,391855
2014-12-01,34.70,37.00,31.00,31.60,246704
2015-01-01,31.60,40.70,31.00,36.60,393381
2015-02-02,36.60,57.80,36.50,46.05,1927062
2015-03-02,46.10,46.95,31.50,38.85,356853
2015-04-01,41.50,45.35,37.00,38.50,201136
2015-05-04,38.00,42.50,34.00,35.00,177728
2015-06-01,36.40,37.20,31.85,32.60,120518
2015-07-01,32.45,41.45,32.00,39.90,285352
2015-08-03,41.60,49.80,35.50,44.45,737550
2015-09-01,44.20,54.00,41.80,42.75,661169
2015-10-01,43.15,45.00,38.70,40.95,195311
2015-11-02,40.50,43.50,37.50,39.35,89721
2015-12-01,40.00,44.55,38.00,41.10,302050
2016-01-01,40.80,43.00,36.15,37.50,188134
2016-02-01,39.00,39.40,30.10,31.35,111597
2016-03-01,31.95,40.25,31.55,34.80,188264
2016-04-01,35.90,40.75,34.00,37.50,170478
2016-05-02,37.45,45.00,36.25,38.50,323492
2016-06-01,39.95,81.50,37.55,79.80,8391515
2016-07-01,80.00,90.40,67.00,67.60,5150040
2016-08-01,68.30,68.30,54.00,62.30,1410672
2016-09-01,63.40,66.15,55.50,57.05,642542
2016-10-03,58.00,84.85,57.70,76.85,2058604
2016-11-01,76.55,81.90,47.70,62.55,1063752
2016-12-01,63.00,65.00,52.55,61.45,407341
2017-01-02,62.70,66.40,54.90,60.85,589574
2017-02-01,60.70,67.90,59.10,66.80,552154
2017-03-01,68.00,84.30,61.20,84.30,4436213
2017-04-03,91.00,103.60,86.00,89.75,6870067
2017-05-02,87.60,99.00,83.10,94.40,841365
2017-06-01,94.55,154.40,93.35,147.75,7420408
2017-07-03,155.10,183.80,153.95,166.60,4181709
2017-08-01,168.70,201.95,127.25,190.35,3292952
2017-09-01,191.85,205.35,164.35,170.35,2187830
2017-10-03,172.65,198.50,167.15,179.00,2204769
2017-11-01,178.90,292.60,176.35,287.35,5968296
2017-12-01,290.00,314.65,226.25,274.25,3124273
2018-01-01,278.00,406.00,270.30,324.10,6678066
2018-02-01,327.00,364.00,249.80,285.80,2372315
2018-03-01,287.00,295.00,237.15,240.50,1472113
2018-04-02,248.25,324.95,247.20,303.20,2986994
2018-05-02,303.25,308.95,245.10,256.10,1216760
2018-06-01,256.10,259.65,175.15,184.95,1848309
2018-07-02,185.00,191.35,128.85,159.55,365108
2018-08-01,164.70,207.00,158.35,170.10,329194
2018-09-03,177.50,180.35,136.35,136.35,250264
2018-10-01,129.60,162.80,120.50,154.45,272329
2018-11-01,153.65,173.80,122.10,133.35,300145
2018-12-03,134.45,174.90,128.00,146.25,773095
2019-01-01,147.75,156.00,122.80,126.55,440787
2019-02-01,125.15,135.25,102.00,126.05,1218939
2019-03-01,129.00,136.25,113.00,114.90,604576
2019-04-01,117.60,124.85,106.25,106.90,472651
2019-05-02,108.30,117.50,77.05,89.25,756628
2019-06-03,89.00,91.75,45.10,71.20,819076
2019-07-01,74.75,74.75,45.40,46.25,449289
2019-08-01,44.10,48.65,38.80,41.10,263446
2019-09-03,40.45,62.85,39.50,46.10,373812
2019-10-01,48.40,48.40,37.30,41.20,210955
2019-11-01,43.00,51.80,40.05,42.60,200447
2019-12-02,43.95,51.00,39.15,46.25,413653
2020-01-01,48.40,80.05,43.35,72.25,558675
2020-02-01,68.65,68.65,42.65,42.65,288090
2020-03-02,44.75,44.75,24.50,28.05,316168
2020-04-01,27.50,38.65,25.80,26.25,686886
2020-05-04,25.20,29.55,22.50,27.75,906684
2020-06-01,28.00,41.60,27.70,35.75,709195
2020-07-01,36.95,40.20,32.30,33.15,493822
2020-08-03,33.00,60.30,30.30,51.90,1023039
2020-09-01,50.00,50.80,41.60,42.75,311319
2020-10-01,44.40,44.40,34.70,35.55,241801
2020-11-02,36.85,48.55,32.50,45.80,492935
2020-12-01,46.00,57.35,44.70,49.75,825903
2021-01-01,51.50,74.00,49.10,58.10,1070005
2021-02-01,60.75,63.00,50.10,51.60,935899
2021-03-01,52.50,52.50,39.50,39.70,1181625
2021-04-01,39.70,52.90,39.50,44.50,772216
2021-05-03,46.90,63.35,43.55,57.95,2982281
2021-06-01,59.00,66.90,52.95,64.65,2756847
2021-07-01,65.00,88.40,60.35,78.95,5445994
2021-08-02,77.65,82.85,60.50,64.80,1889499
2021-09-01,63.45,80.45,63.45,73.00,2289415
2021-10-01,72.00,74.50,60.60,64.90,1264263
2021-11-01,64.65,77.70,62.60,64.85,1727747
2021-12-01,64.00,106.00,64.00,94.45,8425274
2022-01-03,95.05,96.60,80.35,84.45,1483594
2022-02-01,83.00,86.90,63.55,66.20,512797
2022-03-02,64.95,66.40,56.55,60.30,816240
2022-04-01,59.00,80.50,59.00,68.40,1002857
2022-05-02,67.60,69.00,52.45,64.95,1552696
2022-06-01,63.70,70.45,55.70,63.60,1076847
2022-07-01,63.20,73.00,61.80,69.00,662959
2022-08-01,67.75,77.40,65.70,68.80,1156701
2022-09-01,68.80,86.30,68.00,80.45,2304866
2022-10-03,81.90,87.55,74.15,76.35,1030484
2022-11-01,76.60,86.40,63.45,71.75,1449611
2022-12-01,72.30,89.00,65.00,80.10,4514289
2023-01-02,80.75,92.45,78.50,83.40,1965521
2023-02-01,83.00,84.50,66.50,67.45,557055
2023-03-01,68.70,70.75,53.55,61.40,731649
2023-04-03,64.70,76.00,61.65,69.80,1317996
2023-05-02,69.80,74.00,64.95,67.55,727526
2023-06-01,68.90,75.00,66.50,68.00,978624
2023-07-03,68.80,71.60,64.00,69.40,1019283
2023-08-01,70.00,87.45,66.10,79.30,3279643
2023-09-01,80.90,92.40,77.35,82.05,1924628
2023-10-03,84.50,93.85,73.20,88.60,4785199
2023-11-01,88.90,117.80,81.15,107.85,7748958
2023-12-01,109.00,152.15,107.65,109.20,10092046
2024-01-01,108.05,129.00,107.00,117.85,1374745
2024-02-01,119.85,121.00,96.50,99.20,933530
2024-03-01,100.70,114.65,79.35,105.05,1296897
2024-04-01,109.20,122.45,103.00,113.20,2098218
2024-05-02,114.90,118.85,99.00,101.35,1095084
2024-06-03,111.40,113.89,89.50,102.46,1263717
2024-07-01,103.00,105.00,92.25,96.37,800360
2024-08-01,98.00,129.00,88.10,120.95,6122505
2024-09-02,120.95,125.12,103.00,112.78,1539861
2024-10-01,110.41,125.00,94.53,101.40,1049783
2024-11-01,103.99,106.41,89.21,106.41,667685
2024-12-02,111.73,157.16,111.73,125.79,2054614
2025-01-01,125.79,125.79,102.58,102.58,100243
2025-02-01,97.45,107.70,72.87,95.92,178507
2025-03-03,98.00,124.35,79.99,116.17,851352
2025-04-01,116.00,135.99,111.35,113.43,645669
2025-05-02,113.43,121.99,101.61,109.05,252218
2025-06-02,111.60,123.90,104.25,111.75,329461
2025-07-01,113.75,127.69,105.10,119.00,416469
2025-08-01,119.50,129.00,108.00,114.00,374546
2025-09-01,113.29,122.14,108.01,108.87,460874
2025-10-01,110.71,110.90,81.76,95.90,769893
2025-11-03,95.90,99.00,79.00,88.21,315391
2025-12-01,85.40,89.02,78.60,80.99,398172
2026-01-01,82.00,83.00,64.00,68.81,208415
2026-02-01,68.00,81.99,64.40,66.01,241191
2026-03-02,62.65,65.80,48.20,54.42,815439
2026-04-01,58.00,108.50,56.00,90.37,2560775
2026-05-04,94.88,115.30,84.36,87.52,456634
2026-06-01,86.85,94.98,80.65,84.99,319631
2026-07-01,84.92,86.00,75.40,78.42,201324
2026-08-03,76.85,81.50,66.78,69.45,274401
2026-09-01,69.84,74.50,65.30,67.18,188986
