Date,Open,High,Low,Close,Volume
2006-09-01,313.89,343.13,252.88,340.58,409902
2006-10-03,343.32,386.48,323.70,376.87,287595
2006-11-01,381.58,438.47,279.42,352.20,134090
2006-12-01,353.13,450.05,353.08,419.54,2446224
2007-01-02,431.60,451.13,366.47,373.09,2019168
2007-02-01,372.75,376.67,284.56,326.79,265498
2007-03-01,328.61,340.38,252.54,257.10,87331
2007-04-02,240.82,278.48,226.59,257.30,157272
2007-05-03,257.00,279.56,219.73,245.62,172981
2007-06-01,237.82,255.04,188.58,192.11,208323
2007-07-02,196.18,201.09,169.31,170.73,144861
2007-08-01,169.70,177.84,141.35,161.85,183973
2007-09-03,162.05,195.20,137.33,148.95,381490
2007-10-01,149.80,167.00,131.00,142.85,179768
2007-11-01,144.90,149.00,134.55,138.95,282672
2007-12-03,139.00,183.90,135.05,180.00,2935965
2008-01-01,182.00,185.60,95.45,102.65,975776
2008-02-01,103.90,113.00,85.10,88.40,267952
2008-03-03,89.85,90.00,52.00,67.25,529311
2008-04-01,67.00,91.00,62.50,83.30,1474135
2008-05-02,85.10,85.10,66.05,71.80,434683
2008-06-02,73.60,73.95,51.00,53.10,178119
2008-07-01,53.50,56.40,47.10,53.15,173711
2008-08-01,52.00,68.50,51.65,59.35,371252
2008-09-01,58.00,66.35,45.00,51.40,163768
2008-10-01,51.75,51.75,30.00,35.80,97401
2008-11-03,36.60,41.45,31.05,34.75,247045
2008-12-01,35.00,44.00,34.00,39.80,233667
2009-01-01,39.00,43.95,32.50,35.25,106149
2009-02-02,34.10,36.00,30.20,31.00,69950
2009-03-02,31.50,38.25,27.50,32.65,98508
2009-04-01,33.50,45.80,32.25,41.70,118278
2009-06-01,56.00,59.45,44.60,45.00,101066
2009-07-01,45.50,69.50,39.25,69.50,162182
2009-08-03,73.00,84.55,73.00,84.55,180617
2009-09-01,84.55,84.55,84.55,84.55,0
2009-10-01,84.55,84.55,84.55,84.55,0
2009-11-03,139.70,144.00,127.00,134.20,125439
2009-12-01,135.50,154.00,130.00,145.20,657977
2010-01-04,145.00,182.00,140.80,152.25,746511
2010-02-01,152.25,166.00,132.75,142.75,415948
2010-03-02,147.30,170.05,136.00,136.85,773032
2010-04-01,137.05,142.50,127.50,131.30,548972
2010-05-03,133.00,133.00,99.05,106.80,940776
2010-06-01,106.65,142.00,100.30,131.20,1447795
2010-07-01,129.35,146.10,128.00,142.05,921842
2010-08-02,144.00,156.75,138.35,149.45,1631158
2010-09-01,150.00,165.35,147.20,163.00,675627
2010-10-01,163.00,201.40,161.50,174.85,842715
2010-11-01,174.05,205.80,162.05,179.50,456944
2010-12-01,178.00,189.00,163.20,179.90,145471
2011-01-03,181.00,199.00,151.00,156.45,263935
2011-02-01,154.05,170.05,139.15,142.50,99302
2011-03-01,141.00,210.95,139.25,202.50,776522
