Date,Open,High,Low,Close,Volume
2017-10-03,615.60,630.00,542.90,575.20,32220263
2017-11-01,576.05,582.80,522.15,552.80,4993342
2017-12-01,554.95,589.00,538.70,579.25,3794271
2018-01-01,581.45,636.00,562.10,570.40,4529646
2018-02-01,575.00,610.00,561.00,605.20,4989203
2018-03-01,606.00,707.05,606.00,637.80,9553753
2018-04-02,642.45,738.00,637.80,704.50,7098167
2018-05-02,706.55,715.00,586.60,633.75,4440413
2018-06-01,635.00,679.85,603.70,619.35,2774438
2018-07-02,625.00,660.00,582.05,627.55,1600030
2018-08-01,623.15,659.85,581.00,582.85,1960945
2018-09-03,584.00,594.35,508.00,514.10,2197353
2018-10-01,517.10,552.00,490.10,524.95,1808302
2018-11-01,528.95,539.90,494.30,495.85,1193562
2018-12-03,499.40,518.90,476.30,502.85,1977471
2019-01-01,503.85,523.20,485.00,497.00,1747025
2019-02-01,501.90,507.00,460.00,480.95,1723956
2019-03-01,481.95,525.45,478.20,508.30,3161027
2019-04-01,513.85,558.00,505.00,519.95,3047732
2019-05-02,519.00,524.25,461.15,508.15,1593163
2019-06-03,510.00,516.00,492.00,503.15,973433
2019-07-01,506.50,517.75,427.10,434.90,1853941
2019-08-01,436.00,469.70,422.50,449.35,962179
2019-09-03,448.95,504.70,442.05,477.00,632561
2019-10-01,475.30,528.85,465.95,511.70,987068
2019-11-01,510.00,521.95,465.00,494.45,1242673
2019-12-02,492.20,519.80,481.30,516.95,1069196
2020-01-01,515.60,598.00,511.30,560.10,3495701
2020-02-01,556.90,589.90,455.00,465.30,3115223
2020-03-02,467.00,479.75,265.05,367.75,2744928
2020-04-01,370.00,424.85,340.00,405.95,2323601
2020-05-04,392.90,415.00,349.00,374.40,2854297
2020-06-01,381.00,463.80,366.00,430.80,8129557
2020-07-01,436.75,498.00,429.80,459.15,6502941
2020-08-03,473.95,515.40,460.50,487.75,6091676
2020-09-01,490.00,545.00,471.05,509.45,2771801
2020-10-01,510.30,548.50,503.60,515.60,2163895
2020-11-02,513.00,537.75,488.00,509.90,2450671
2020-12-01,511.65,569.00,502.20,535.10,4253219
2021-01-01,543.00,554.75,515.10,535.20,2969427
2021-02-01,538.85,547.10,476.40,485.75,3072616
2021-03-01,490.95,525.00,475.20,523.80,3303010
2021-04-01,525.00,532.35,480.00,499.35,1984622
2021-05-03,498.00,596.20,492.60,550.90,10089069
2021-06-01,550.00,661.15,543.80,634.15,17146423
2021-07-01,634.15,700.00,615.45,697.20,8256259
2021-08-02,703.00,746.80,597.00,632.00,6128681
2021-09-01,635.00,688.95,620.00,640.00,3457951
2021-10-01,636.00,662.85,584.00,593.60,1819811
2021-11-01,584.00,637.00,525.00,527.25,1882150
2021-12-01,535.90,555.00,511.00,517.75,3013001
2022-01-03,519.85,561.35,493.30,534.95,2385392
2022-02-01,537.65,545.00,457.55,464.35,1767173
2022-03-02,464.90,505.00,441.00,442.15,3103895
2022-04-01,442.15,593.00,442.15,545.35,24318410
2022-05-02,541.00,588.60,488.10,537.65,10750203
2022-06-01,535.75,544.40,490.90,506.95,1895503
2022-07-01,503.85,526.50,495.05,509.15,1216319
2022-08-01,509.00,540.00,488.10,521.75,5038537
2022-09-01,524.50,557.70,498.80,513.70,2752152
2022-10-03,514.00,532.60,499.00,500.90,1374175
2022-11-01,503.40,508.35,453.90,478.60,2289973
2022-12-01,478.00,498.00,452.00,469.70,1065603
2023-01-02,477.00,479.00,447.00,450.50,888985
2023-02-01,453.65,466.00,432.10,437.95,1247596
2023-03-01,439.60,449.95,390.85,412.70,1502503
2023-04-03,413.00,440.45,413.00,437.95,659396
2023-05-02,437.90,452.65,417.15,430.00,1552257
2023-06-01,434.30,462.30,429.85,453.70,1459329
2023-07-03,455.00,530.00,454.95,485.90,6059279
2023-08-01,488.50,520.00,466.05,479.70,5812088
2023-09-01,477.10,509.30,471.80,480.25,2872676
2023-10-03,489.00,522.00,446.35,464.45,4647162
2023-11-01,462.45,510.00,461.00,501.35,3282200
2023-12-01,502.95,572.35,501.00,557.45,6412879
2024-01-01,557.00,577.10,522.45,555.85,4051842
2024-02-01,575.95,579.00,504.00,513.55,3807958
2024-03-01,516.15,532.45,482.00,487.00,3675953
2024-04-01,489.45,557.40,489.45,544.15,2894770
2024-05-02,567.00,594.00,516.05,519.10,4941559
2024-06-03,530.00,694.00,476.05,675.30,11495012
2024-07-01,677.50,876.70,675.00,851.50,16975070
2024-08-01,850.00,854.50,777.25,783.70,6082597
2024-09-02,798.45,853.75,755.45,761.85,12866061
2024-10-01,751.80,799.95,688.00,712.80,6304430
2024-11-01,719.60,764.45,689.00,750.55,2094621
2024-12-02,750.50,794.25,710.00,743.45,3110591
2025-01-01,741.10,788.40,677.45,729.90,2586714
2025-02-01,754.20,793.00,683.75,715.15,3876286
2025-03-03,714.05,811.25,711.55,753.70,9284152
2025-04-01,755.95,809.00,668.00,770.25,7540235
2025-05-02,756.35,774.95,654.00,762.80,12131855
2025-06-02,762.05,827.00,740.55,781.50,5724591
2025-07-01,781.50,876.35,762.30,847.20,8775225
2025-08-01,847.70,867.15,732.30,740.30,4400530
2025-09-01,743.25,760.00,684.40,690.20,4985378
2025-10-01,689.00,701.15,648.20,663.25,3298324
2025-11-03,663.25,666.60,560.05,594.55,6359401
2025-12-01,595.30,614.90,559.10,571.20,3609368
2026-01-01,571.95,577.90,506.10,533.55,2336947
2026-02-01,535.75,656.70,514.00,640.25,13021179
2026-03-02,630.00,630.00,530.80,534.70,3570873
2026-04-01,541.10,630.00,541.10,596.30,2126170
2026-05-04,607.55,607.55,560.00,576.20,4853918
2026-06-01,576.20,586.70,553.60,556.50,1815697
2026-07-01,560.00,587.90,548.65,556.80,2416262
2026-08-03,557.05,634.45,534.30,615.30,8327538
2026-09-01,650.00,695.60,630.10,661.60,16077713
