Date,Open,High,Low,Close,Volume
2008-06-02,43.98,47.96,33.32,40.79,259353365
2008-07-01,41.00,46.58,32.73,43.19,13943540
2008-08-01,42.62,47.20,37.58,46.49,10245200
2008-09-01,45.80,69.34,43.05,50.07,35749285
2008-10-01,50.40,53.98,34.20,37.72,1528755
2008-11-03,40.34,44.99,34.45,38.64,997935
2008-12-01,35.01,45.60,35.01,40.68,502025
2009-01-01,40.98,44.18,33.00,36.96,1855120
2009-02-02,37.20,39.00,35.00,35.61,285935
2009-03-02,36.00,49.40,35.03,41.17,981490
2009-04-01,41.40,51.59,39.40,43.55,1443895
2009-05-04,47.00,65.94,42.20,53.58,2281305
2009-06-01,54.80,60.10,45.80,47.71,4755400
2009-07-01,47.60,53.74,42.00,45.51,2819565
2009-08-03,46.20,51.48,45.13,49.38,2038800
2009-09-01,56.09,60.48,46.66,60.18,4433740
2009-10-01,60.80,79.00,50.00,51.50,2258306
2009-11-03,52.35,62.00,50.35,53.95,1292284
2009-12-01,53.20,63.90,50.50,60.20,4827324
2010-01-04,60.40,64.70,51.25,53.20,2906701
2010-02-01,53.00,58.90,45.25,52.35,1080019
2010-03-02,53.50,66.50,52.70,64.80,18668574
2010-04-01,65.50,81.60,65.25,78.10,9804010
2010-05-03,77.90,81.85,68.10,73.40,2353712
2010-06-01,73.10,82.80,72.00,75.70,3986110
2010-07-01,75.25,108.35,73.20,106.80,18019811
2010-08-02,108.40,112.00,95.00,95.40,8649999
2010-09-01,96.35,106.00,92.70,94.50,5119255
2010-10-01,95.80,107.70,90.10,98.00,7994105
2010-11-01,99.80,105.00,87.25,99.05,3714197
2010-12-01,99.90,102.90,65.00,99.65,4456508
2011-01-03,101.00,103.00,90.15,95.10,2293189
2011-02-01,96.40,101.00,91.25,96.55,3514929
2011-03-01,97.50,109.40,91.00,100.80,2047796
2011-04-01,103.50,110.40,94.55,95.75,1440754
2011-05-02,96.25,104.80,92.15,93.20,1137256
2011-06-01,93.60,96.00,81.00,90.95,1631107
2011-07-01,91.80,97.50,87.40,91.90,2129632
2011-08-01,91.00,94.20,83.40,86.95,1201125
2011-09-02,89.40,92.00,82.35,84.80,680991
2011-10-03,85.30,101.00,80.10,93.15,1488599
2011-11-01,93.65,98.00,80.50,83.80,1156837
2011-12-01,85.00,91.00,75.85,81.60,1288645
2012-01-02,81.00,89.00,73.15,79.90,402741
2012-02-01,85.00,92.00,74.15,79.90,1031224
2012-03-01,79.00,83.00,72.55,77.90,1224638
2012-04-02,77.05,91.70,73.60,80.50,774166
2012-05-02,86.00,98.00,68.35,74.10,959213
2012-06-01,72.50,83.00,71.00,75.15,1162117
2012-07-02,75.00,86.80,46.80,47.55,4852191
2012-08-01,46.80,52.45,42.85,45.40,1156922
2012-09-03,44.90,47.00,38.75,43.35,1291711
2012-10-01,43.00,53.30,42.50,43.35,925357
2012-11-01,43.90,44.70,37.55,41.35,295191
2012-12-03,42.35,52.00,39.60,46.15,1908173
2013-01-01,46.05,47.75,37.10,38.00,415152
2013-02-01,37.60,39.70,21.25,21.25,616476
2013-03-01,21.75,25.45,18.05,19.60,735818
2013-04-01,19.50,22.90,19.15,21.00,875366
2013-05-02,20.20,21.75,18.00,19.25,359009
2013-06-03,19.00,19.65,15.50,16.20,462322
2013-07-01,16.30,20.70,13.30,14.10,679305
2013-08-01,14.50,17.70,13.00,15.70,205893
2013-09-02,15.05,20.90,14.05,16.55,145977
2013-10-01,16.60,21.45,16.00,18.00,107572
2013-11-01,18.65,19.00,15.35,16.00,20273
2013-12-02,16.05,19.70,14.85,16.30,164169
2014-01-01,16.60,19.00,15.75,15.75,209171
2014-02-03,16.00,16.90,10.60,12.05,717333
2014-03-03,12.20,13.40,10.60,12.40,434345
2014-04-01,12.00,20.45,12.00,14.90,432540
2014-05-02,14.75,21.00,13.20,17.75,306360
2014-06-02,19.45,25.25,17.20,22.15,618106
2014-07-01,22.15,23.90,17.50,17.60,688150
2014-08-01,17.70,25.70,17.10,23.30,283375
2014-09-01,22.15,23.20,17.30,18.20,332152
2014-10-01,18.55,20.85,17.15,18.25,88847
2014-11-03,20.10,21.50,17.10,19.80,142839
2014-12-01,19.25,20.40,15.50,16.35,1247516
2015-01-01,16.90,19.45,15.40,16.50,353470
2015-02-02,16.60,18.60,14.55,15.30,96040
2015-03-02,16.45,18.00,12.30,14.90,93601
2015-04-01,16.25,18.35,14.00,15.00,58592
2015-05-04,14.80,17.50,13.50,14.65,672994
2015-06-01,15.50,22.70,13.10,19.20,227940
2015-07-01,18.25,32.05,18.25,26.30,425965
2015-08-03,25.35,28.00,21.40,25.05,138649
2015-09-01,25.00,25.90,14.20,14.20,96035
2015-10-01,13.60,25.80,13.25,22.75,383521
2015-11-02,22.75,22.75,17.10,17.70,660027
2015-12-01,17.90,22.55,17.20,20.25,1000816
2016-01-01,19.30,22.00,14.45,16.55,744633
2016-02-01,17.85,17.85,12.90,13.65,116753
2016-03-01,13.20,14.50,9.55,11.40,1918013
2016-04-01,11.80,14.85,11.60,13.55,191716
2016-05-02,13.45,14.80,11.85,14.20,2306766
2016-06-01,14.50,18.90,13.80,15.65,1218780
2016-07-01,15.90,16.65,13.45,15.30,256621
2016-08-01,15.30,16.25,12.55,13.40,252410
2016-09-01,13.50,16.00,11.40,12.75,281658
2016-10-03,13.00,18.40,13.00,16.65,1343303
2016-11-01,16.80,19.40,12.50,18.00,994417
2016-12-01,18.45,27.20,17.65,21.80,4298514
2017-01-02,22.70,25.00,19.75,24.35,418886
2017-02-01,23.40,24.60,20.00,21.70,331036
2017-03-01,21.65,29.30,21.10,23.60,1446149
2017-04-03,24.55,27.00,22.55,25.00,1437102
2017-05-02,26.25,33.20,23.40,28.20,4102779
2017-06-01,28.90,31.85,23.45,24.00,1937942
2017-07-03,24.30,27.60,21.05,25.80,865196
2017-08-01,26.85,27.85,20.60,23.55,438867
2017-09-01,23.00,24.40,19.45,20.10,1405362
2017-10-03,20.20,26.45,20.05,22.50,1541335
2017-11-01,22.90,26.55,22.05,22.65,668562
2017-12-01,23.60,24.40,19.00,23.35,1387924
2018-01-01,24.20,24.20,20.00,20.70,465766
2018-02-01,20.40,21.30,15.95,16.00,334515
2018-03-01,16.00,16.65,12.30,12.40,2209465
2018-04-02,13.00,16.70,12.00,14.05,347664
2018-05-02,14.70,14.70,12.10,14.00,106297
2018-06-01,13.60,16.80,12.30,13.50,3572196
2018-07-02,13.00,13.45,10.55,11.30,441609
2018-08-01,11.60,15.00,11.10,12.70,689008
2018-09-03,13.00,13.20,8.80,9.50,309293
2018-10-01,9.20,10.55,7.20,8.35,225859
2018-11-01,8.45,10.85,7.90,9.80,387877
2018-12-03,10.80,18.20,10.10,14.90,4071218
2019-01-01,14.20,17.45,13.05,16.20,1105043
2019-02-01,17.00,18.70,10.10,10.50,788890
2019-03-01,10.75,10.75,8.15,8.50,1240899
2019-04-01,8.50,8.80,7.20,7.85,505322
2019-05-02,8.05,13.70,7.45,13.70,2817616
2019-06-03,13.90,16.60,12.50,12.95,1436769
2019-07-01,12.35,14.00,11.75,12.50,54793
2019-08-01,12.00,13.20,10.95,12.60,482238
2019-09-03,13.00,17.25,11.70,14.60,293205
2019-10-01,14.05,15.05,11.15,11.35,1042719
2019-11-01,10.95,15.00,10.65,14.80,98704
2019-12-02,14.80,15.70,12.25,13.85,249286
2020-01-01,13.85,14.40,10.05,10.30,1335814
2020-02-01,10.30,11.25,8.55,9.30,1434344
