Date,Open,High,Low,Close,Volume
2011-08-01,134.90,139.00,124.10,134.25,40012
2011-09-02,137.40,150.00,124.80,130.05,125272
2011-10-03,134.95,138.95,123.00,128.20,82767
2011-11-01,129.50,132.90,117.00,121.45,294704
2011-12-01,123.30,127.70,42.70,42.70,81829
2012-01-02,40.60,54.10,35.60,51.75,3053097
2012-02-01,50.40,60.55,49.20,52.00,304449
2012-03-01,52.90,58.00,48.15,50.50,474839
2012-04-02,49.40,57.00,48.60,49.45,95367
2012-05-02,51.80,51.95,40.45,43.15,69908
2012-06-01,46.95,49.60,41.00,42.80,88316
2012-07-02,41.00,48.85,37.40,38.95,119059
2012-08-01,39.75,45.00,35.00,36.45,491833
2012-09-03,35.30,46.90,35.30,38.00,220853
2012-10-01,38.00,42.00,36.15,37.25,117019
2012-11-01,37.30,43.85,36.00,37.65,411781
2012-12-03,37.25,44.95,36.00,38.30,520569
2013-01-01,38.85,41.00,35.15,37.20,68621
2013-02-01,36.90,39.85,33.55,36.25,98960
2013-03-01,34.00,38.05,30.00,33.90,78844
2013-04-01,33.40,35.00,29.25,31.30,83680
2013-05-02,32.50,33.90,27.00,30.00,75277
2013-06-03,29.05,30.85,26.15,28.80,76130
2013-07-01,28.75,31.50,26.40,30.00,44985
2013-08-01,30.00,31.00,24.70,28.80,40618
2013-09-02,29.90,46.60,26.80,33.00,123937
2013-10-01,33.00,38.70,32.25,35.00,29542
2013-11-01,36.55,54.90,35.55,38.80,220973
2013-12-02,40.70,44.15,31.70,37.10,94663
2014-01-01,37.50,42.20,35.70,38.60,64551
2014-02-03,38.00,39.15,35.00,37.50,34943
2014-03-03,36.05,37.80,27.25,29.00,45470
2014-04-01,31.20,35.70,28.25,32.70,31574
2014-05-02,33.95,38.50,26.10,34.35,159433
2014-06-02,33.20,45.80,33.10,39.30,337037
2014-07-01,39.95,44.40,34.05,37.10,308494
2014-08-01,36.30,38.90,31.30,34.55,94989
2014-09-01,33.70,39.90,29.75,31.35,442200
2014-10-01,31.00,34.00,27.50,30.75,103457
2014-11-03,32.50,34.90,28.50,31.60,157067
2014-12-01,29.60,31.45,26.15,27.60,123961
2015-01-01,27.95,31.00,25.50,28.80,107424
2015-02-02,28.70,33.00,26.70,27.35,141305
2015-03-02,27.45,29.40,14.60,18.10,362656
2015-04-01,18.45,20.40,15.35,16.15,400642
2015-05-04,16.15,16.70,12.80,12.95,141157
2015-06-01,12.80,18.90,11.90,18.90,1306620
2015-07-01,19.80,22.40,17.50,20.95,534096
2015-08-03,20.95,22.70,17.45,21.60,196846
2015-09-01,21.50,34.30,18.65,31.70,202697
2015-10-01,31.05,33.75,26.65,28.20,162798
2015-11-02,29.35,39.35,26.15,39.35,105464
2015-12-01,41.30,44.30,34.75,39.25,356881
2016-01-01,39.50,41.75,28.50,34.30,225837
2016-02-01,35.00,35.20,21.40,24.00,99612
2016-03-01,23.00,27.60,23.00,25.20,171779
2016-04-01,26.10,29.00,24.15,24.50,65495
2016-05-02,25.00,26.95,22.45,23.40,46928
2016-06-01,24.70,25.00,20.20,22.55,115742
2016-07-01,24.80,26.45,20.85,23.50,120018
2016-08-01,23.20,26.40,20.65,22.90,52806
2016-09-01,24.20,32.50,21.80,26.20,905624
2016-10-03,26.00,38.50,26.00,34.40,508383
2016-11-01,34.35,35.90,24.25,27.95,263591
2016-12-01,26.60,30.95,24.10,28.05,204335
2017-01-02,26.15,29.90,25.80,26.00,182682
2017-02-01,25.20,26.95,23.55,24.40,184512
2017-03-01,24.95,25.65,22.00,24.10,341640
2017-04-03,23.25,32.90,22.00,27.85,10244338
2017-05-02,27.10,28.15,22.20,22.25,835791
2017-06-01,23.50,29.00,20.75,21.25,3714913
2017-07-03,20.60,22.60,20.35,20.80,467842
2017-08-01,21.30,23.95,18.75,21.80,348000
2017-09-01,21.70,22.50,20.60,21.55,640549
2017-10-03,21.60,26.25,21.00,25.40,2188924
2017-11-01,25.45,29.95,23.00,27.30,4913938
2017-12-01,27.30,31.40,25.05,27.75,2875815
2018-01-01,28.40,40.25,27.50,34.85,17107189
2018-02-01,35.60,54.80,29.55,46.80,21058758
2018-03-01,46.40,69.50,43.65,54.30,36418894
2018-04-02,55.10,85.45,51.15,78.10,38757923
2018-05-02,78.15,110.00,70.70,93.60,33819381
2018-06-01,88.95,91.20,71.35,73.00,3088244
2018-07-02,73.50,81.00,64.60,69.75,1561073
2018-08-01,80.00,103.95,75.20,100.90,8741101
2018-09-03,102.90,122.80,90.20,101.65,14662489
2018-10-01,101.90,113.90,88.80,92.75,7754457
2018-11-01,93.30,129.90,90.00,126.05,8717493
2018-12-03,127.00,141.00,108.80,129.65,9158407
2019-01-01,130.20,135.25,101.75,111.85,6386516
2019-02-01,112.80,121.20,95.20,110.40,5337664
2019-03-01,111.30,141.65,110.85,116.20,5774062
2019-04-01,116.90,137.00,114.75,129.60,4103789
2019-05-02,129.60,135.90,107.75,124.15,5265813
2019-06-03,124.95,144.80,60.10,68.25,7405594
2019-07-01,68.50,72.00,35.10,35.10,2857225
2019-08-01,33.35,42.40,31.10,33.85,996316
2019-09-03,33.85,39.20,31.25,31.35,524980
2019-10-01,31.05,33.75,20.60,33.75,527479
2019-11-01,35.40,37.95,31.10,34.05,516105
2019-12-02,34.40,38.90,25.40,25.65,544118
2020-01-01,25.05,50.95,23.50,48.25,997619
2020-02-01,50.65,50.65,32.10,32.10,424523
2020-03-02,32.50,33.30,18.90,19.05,195304
2020-04-01,19.75,28.20,18.50,25.75,428071
2020-05-04,26.00,26.00,19.40,21.00,286546
2020-06-01,21.70,29.55,20.05,26.15,1211116
2020-07-01,26.40,28.00,21.15,23.30,797491
2020-08-03,23.30,29.40,20.85,24.95,13529696
2020-09-01,24.25,35.00,24.15,32.85,5036653
2020-10-01,32.45,42.60,32.10,36.60,4211267
2020-11-02,35.20,45.25,33.80,43.25,3260370
2020-12-01,45.50,58.85,43.20,54.25,4088438
2021-01-01,54.30,69.65,39.90,41.90,9394420
2021-02-01,42.30,56.00,42.25,50.45,4686181
2021-03-01,51.05,60.50,48.00,52.30,4761796
2021-04-01,52.60,69.75,50.50,67.75,8041642
2021-05-03,69.50,76.40,60.00,63.25,5064231
2021-06-01,64.10,75.70,60.60,68.00,4838693
2021-07-01,69.00,87.40,65.55,74.15,7866172
2021-08-02,74.90,75.70,59.00,73.00,5665117
2021-09-01,75.45,90.90,67.25,75.65,7327977
2021-10-01,75.75,93.40,75.55,82.30,2877841
2021-11-01,83.50,114.20,78.30,100.65,5735531
2021-12-01,101.50,152.00,101.50,118.15,2421556
2022-01-03,118.75,152.75,112.05,121.20,926590
2022-02-01,123.95,125.75,90.60,92.80,526988
2022-03-02,92.90,123.25,92.55,115.50,1072892
2022-04-01,118.05,163.50,115.40,154.30,3951038
2022-05-02,153.45,225.90,152.60,204.20,3571211
2022-06-01,210.00,246.80,206.20,215.20,1148407
2022-07-01,215.00,237.85,204.55,221.20,1731073
2022-08-01,225.00,238.00,206.85,216.45,2416661
2022-09-01,221.40,258.50,214.00,224.20,2072975
2022-10-03,228.50,312.00,222.50,283.00,3109370
2022-11-01,285.00,343.65,283.05,312.75,3608838
2022-12-01,312.75,319.40,260.00,263.90,1608720
2023-01-02,263.50,304.00,242.00,245.80,1723074
2023-02-01,245.00,249.50,210.50,222.25,1608258
2023-03-01,223.95,228.95,181.00,198.10,2273406
2023-04-03,199.20,230.95,192.05,208.55,1431237
2023-05-02,209.80,212.45,183.50,186.25,608929
