Date,Open,High,Low,Close,Volume
2010-02-01,50.00,50.00,37.84,40.11,59846095
2010-03-02,40.50,44.96,38.93,41.50,25669290
2010-04-01,41.50,45.96,40.80,41.96,8606875
2010-05-03,41.60,43.20,36.11,37.32,12967420
2010-06-01,37.80,43.00,35.00,36.65,41572265
2010-07-01,36.68,37.80,34.05,34.91,14216385
2010-08-02,35.16,46.85,35.01,41.04,67255045
2010-09-01,41.16,48.00,40.64,40.82,13918110
2010-10-01,41.00,43.36,36.03,36.82,10758170
2010-11-01,36.82,41.10,32.00,33.18,15467530
2010-12-01,33.58,35.95,29.81,33.40,11501690
2011-01-03,33.59,34.20,25.40,26.11,4991995
2011-02-01,26.11,31.40,22.82,23.56,8143950
2011-03-01,23.94,24.60,18.60,19.42,41144315
2011-04-01,19.58,27.77,19.43,24.67,72457440
2011-05-02,25.04,25.11,20.62,22.20,11913030
2011-06-01,22.60,25.30,20.70,24.62,8809020
2011-07-01,25.00,25.34,22.05,22.14,9612090
2011-08-01,22.56,22.90,15.44,17.67,3285910
2011-09-02,17.75,21.21,15.72,17.33,17278755
2011-10-03,17.01,26.94,16.08,23.75,105488400
2011-11-01,23.40,24.98,20.00,20.69,22908870
2011-12-01,21.10,24.68,20.60,22.09,36995585
2012-01-02,22.09,29.36,21.91,27.45,84200665
2012-02-01,27.63,38.76,27.00,33.27,49863985
2012-03-01,33.40,37.59,29.00,32.99,153680310
2012-04-02,33.18,38.78,30.60,31.13,20294530
2012-05-02,31.35,38.10,31.35,32.88,37703725
2012-06-01,32.70,37.38,31.00,35.67,12891505
2012-07-02,35.52,41.60,35.40,37.78,24461880
2012-08-01,37.30,38.38,34.06,36.42,15640545
2012-09-03,36.38,46.37,35.80,45.30,54153740
2012-10-01,45.37,49.93,42.40,46.89,24374375
2012-11-01,46.95,55.62,46.42,54.32,19183210
2012-12-03,53.20,61.36,53.20,56.94,13853690
2013-01-01,57.34,60.42,48.53,50.88,13997650
2013-02-01,50.95,53.56,45.56,48.38,17626760
2013-03-01,48.40,54.70,46.86,53.78,15570740
2013-04-01,54.00,57.06,49.20,51.00,7736605
2013-05-02,50.97,60.40,50.20,56.00,27031200
2013-06-03,56.00,56.20,47.53,55.44,5712445
2013-07-01,55.74,59.20,50.60,54.60,7324325
2013-08-01,53.60,56.63,47.00,52.76,6160265
2013-09-02,53.60,57.74,50.37,55.96,10085240
2013-10-01,56.80,58.18,51.39,57.00,3615600
2013-11-01,56.20,57.95,49.20,52.80,3259960
2013-12-02,52.40,58.38,48.40,56.60,6974005
2014-01-01,56.50,57.49,49.31,51.13,8439675
2014-02-03,52.18,53.20,48.04,48.89,11523650
2014-03-03,49.09,51.40,48.22,48.47,7273830
2014-04-01,51.60,51.98,44.00,48.95,15654360
2014-05-02,48.51,69.67,47.81,65.68,13443345
2014-06-02,64.94,74.02,58.00,63.28,7675125
2014-07-01,63.00,67.00,59.20,64.04,13301360
2014-08-01,63.41,65.00,51.40,54.75,12147830
2014-09-01,54.20,62.80,53.21,58.27,11115290
2014-10-01,57.20,63.60,56.11,61.74,29253940
2014-11-03,61.74,75.80,60.42,71.79,7628955
2014-12-01,71.12,76.40,63.20,69.99,16772705
2015-01-01,70.60,70.86,62.15,63.80,20783324
2015-02-02,63.50,64.80,49.90,55.55,5261234
2015-03-02,56.30,58.00,45.20,49.00,4040983
2015-04-01,47.35,57.40,47.35,54.00,3406903
2015-05-04,52.70,58.60,50.50,54.00,1724348
2015-06-01,52.00,53.50,45.65,49.25,2652097
2015-07-01,50.05,52.40,45.50,50.20,4757057
2015-08-03,50.50,52.20,36.05,42.65,3788282
2015-09-01,42.80,44.45,35.80,36.75,17221313
2015-10-01,36.75,46.40,36.05,40.95,6437779
2015-11-02,40.60,49.25,38.60,42.30,3576450
2015-12-01,42.90,48.00,37.35,44.50,5721238
2016-01-01,44.65,45.00,33.50,38.15,2799688
2016-02-01,38.50,39.35,29.30,29.95,2750095
2016-03-01,29.90,39.90,29.50,38.75,17814872
2016-04-01,38.40,39.35,35.50,36.85,7319972
2016-05-02,37.00,37.00,30.30,34.85,7388165
2016-06-01,34.95,35.40,30.15,33.35,4427224
2016-07-01,33.65,34.70,31.35,31.65,3520280
2016-08-01,31.60,33.25,29.50,30.10,5026913
2016-09-01,29.95,30.00,23.95,26.15,6141694
2016-10-03,26.25,33.50,26.15,30.85,17866420
2016-11-01,30.85,35.30,25.10,34.30,8011110
2016-12-01,33.00,38.50,33.00,34.50,6395286
2017-01-02,35.15,40.00,34.70,37.50,7267700
2017-02-01,37.50,37.50,33.85,36.35,7827683
2017-03-01,36.55,41.40,34.55,37.70,13911135
2017-04-03,37.90,49.50,35.30,43.70,27036820
2017-05-02,44.45,45.30,36.55,39.85,13212608
2017-06-01,40.50,43.90,35.75,36.40,5839545
2017-07-03,37.10,37.65,32.00,32.35,4422268
2017-08-01,33.00,33.75,25.60,32.40,4437662
2017-09-01,32.05,33.90,29.10,30.70,3862382
2017-10-03,31.85,31.85,29.10,30.35,3724192
2017-11-01,30.80,44.90,30.30,42.80,13274567
2017-12-01,43.00,45.50,34.60,39.90,11118634
2018-01-01,40.30,48.70,38.75,40.25,73904772
2018-02-01,40.15,41.00,32.85,37.45,20502817
2018-03-01,37.35,38.50,31.60,33.85,11195643
2018-04-02,34.05,43.10,32.05,34.90,128312492
2018-05-02,35.10,35.40,25.80,26.75,25467898
2018-06-01,26.60,30.75,23.45,24.65,13004137
2018-07-02,24.95,25.25,15.10,17.10,44065962
2018-08-01,17.30,22.50,16.50,18.75,21882472
2018-09-03,18.80,27.80,18.10,23.40,53981577
2018-10-01,23.50,32.35,22.95,30.05,80048172
2018-11-01,30.00,31.45,29.85,30.55,12913317
2018-12-03,30.75,31.35,30.30,30.80,14954641
2019-01-01,31.00,32.00,30.60,32.00,82932587
2019-02-01,32.00,32.15,23.25,24.95,27350909
2019-03-01,25.35,30.80,24.80,28.95,5584847
2019-04-01,29.25,31.55,27.50,30.45,3188407
2019-05-02,30.45,31.70,21.65,24.70,2370533
2019-06-03,24.50,25.45,22.10,23.05,1405581
2019-07-01,22.75,25.00,19.75,20.15,4248131
2019-08-01,20.00,38.45,17.55,33.65,21792063
2019-09-03,34.15,34.50,20.60,20.80,16355497
2019-10-01,20.95,23.70,18.70,21.15,8630643
2019-11-01,21.00,22.30,19.60,19.90,3985145
2019-12-02,20.00,22.20,18.65,20.15,4274851
2020-01-01,20.15,23.90,18.65,19.25,32354924
2020-02-01,19.10,26.35,17.55,19.30,20062811
2020-03-02,19.00,20.90,10.50,13.45,7189634
2020-04-01,13.45,22.80,12.00,19.00,20655138
2020-05-04,19.20,29.85,17.20,23.55,58040207
2020-06-01,23.95,36.85,22.60,31.70,124428353
2020-07-01,31.85,57.30,30.30,38.00,126235189
2020-08-03,36.10,41.70,33.75,33.80,14643071
2020-09-01,33.75,36.55,28.00,29.85,4847190
2020-10-01,29.20,35.30,27.95,28.40,5323235
2020-11-02,28.40,34.45,27.05,30.70,7435647
2020-12-01,30.95,36.70,28.75,33.15,20155506
2021-01-01,33.35,35.30,28.60,30.25,14692405
2021-02-01,30.25,33.00,27.60,29.75,8446160
2021-03-01,30.25,34.80,24.90,25.70,37112688
2021-04-01,26.10,26.15,20.55,23.45,164522288
2021-05-03,23.10,26.90,22.45,25.65,130673776
2021-06-01,25.90,29.25,24.40,25.90,318884209
2021-07-01,26.20,28.70,25.00,26.05,196042767
2021-08-02,26.10,27.85,21.90,23.15,96074342
2021-09-01,23.30,25.75,22.95,24.00,104396859
2021-10-01,23.95,27.60,21.75,21.80,122408865
2021-11-01,22.45,22.45,19.60,20.00,95222452
2021-12-01,20.45,23.70,20.00,21.90,102960817
2022-01-03,22.05,24.05,20.45,21.90,134731447
2022-02-01,22.15,23.15,16.80,18.60,137743771
2022-03-02,18.55,19.30,17.05,17.25,62827843
2022-04-01,17.40,21.80,17.35,20.10,199642861
2022-05-02,19.90,20.35,16.55,18.10,54846588
