Date,Open,High,Low,Close,Volume
2010-09-01,399.95,480.70,393.00,440.90,12254311
2010-10-01,445.70,486.00,427.35,429.60,3569378
2010-11-01,435.50,470.00,301.25,312.15,6213552
2010-12-01,317.95,364.70,285.00,330.50,5852837
2011-01-03,332.00,349.80,241.50,253.40,6667030
2011-02-01,254.00,342.90,230.35,297.40,14460103
2011-03-01,303.60,318.40,272.10,289.45,4124173
2011-04-01,292.85,324.70,291.15,292.45,3568256
2011-05-02,294.00,297.90,251.00,282.05,5884015
2011-06-01,283.00,294.90,250.05,266.00,2037902
2011-07-01,265.00,288.00,252.05,254.35,1089989
2011-08-01,257.95,273.50,205.95,233.00,2559917
2011-09-02,235.05,252.15,210.00,226.70,1732980
2011-10-03,223.00,231.95,204.00,223.35,1249603
2011-11-01,220.10,229.90,181.15,185.20,908331
2011-12-01,188.90,198.00,146.00,186.15,3822308
2012-01-02,188.00,321.95,182.55,310.55,43113089
2012-02-01,308.00,320.05,246.00,294.70,8113008
2012-03-01,297.65,309.50,257.90,268.15,7223395
2012-04-02,269.65,295.50,250.50,280.50,4057831
2012-05-02,283.00,290.55,229.75,252.10,7824076
2012-06-01,249.95,268.80,203.90,260.00,5351596
2012-07-02,262.75,271.45,238.05,247.85,3114507
2012-08-01,244.10,292.40,244.10,256.70,11418929
2012-09-03,259.10,282.75,252.00,263.05,5316118
2012-10-01,264.60,270.05,247.60,250.55,2333467
2012-11-01,249.25,276.55,148.00,153.55,32760910
2012-12-03,155.00,155.00,130.10,142.40,15604320
2013-01-01,142.95,146.85,128.55,129.35,7035797
2013-02-01,129.90,139.70,112.65,114.40,12126138
2013-03-01,115.00,122.50,84.45,92.50,7204508
2013-04-01,92.95,108.40,92.95,100.15,10925573
2013-05-02,99.80,113.00,95.50,96.25,8522271
2013-06-03,95.35,96.15,63.90,74.10,5260037
2013-07-01,74.10,78.60,46.35,47.00,14519887
2013-08-01,47.45,66.30,42.30,55.45,26655700
2013-09-02,55.70,71.20,55.40,62.90,16862215
2013-10-01,63.00,74.75,63.00,71.65,16149945
2013-11-01,71.00,78.30,66.65,68.65,11223298
2013-12-02,69.00,73.40,66.80,70.55,8012414
2014-01-01,70.90,73.25,61.55,61.75,6587981
2014-02-03,61.30,63.00,58.05,59.05,2982657
2014-03-03,58.60,70.50,58.00,68.65,14654151
2014-04-01,69.00,83.95,68.40,74.10,22762142
2014-05-02,74.20,109.40,70.70,100.10,35464381
2014-06-02,99.80,125.00,99.80,115.60,31035071
2014-07-01,116.40,117.70,92.35,92.80,12840486
2014-08-01,91.90,93.95,84.35,88.20,9568963
2014-09-01,87.80,94.80,75.45,79.75,7715301
2014-10-01,79.25,83.45,74.60,82.05,4137956
2014-11-03,82.75,87.90,75.20,75.50,5339804
2014-12-01,75.55,79.70,67.00,70.65,4709468
2015-01-01,71.00,75.15,68.30,69.70,4636024
2015-02-02,69.70,81.50,67.75,72.10,8805225
2015-03-02,72.10,76.60,60.10,63.60,6806838
2015-04-01,63.70,72.35,61.85,62.75,4122997
2015-05-04,63.40,66.25,58.95,62.00,3259118
2015-06-01,62.60,70.00,51.85,62.75,6492777
2015-07-01,63.25,65.30,58.00,61.60,4026840
2015-08-03,61.90,67.25,49.00,53.30,5038479
2015-09-01,52.65,58.15,49.45,53.30,1594121
2015-10-01,54.35,61.75,53.55,57.00,2829705
2015-11-02,58.60,60.65,51.60,57.50,2518172
2015-12-01,57.55,63.30,54.00,58.75,4157391
2016-01-01,59.00,61.30,47.75,49.45,2462265
2016-02-01,49.60,50.50,42.55,43.05,1614415
2016-03-01,43.10,54.80,43.10,50.35,3255304
2016-04-01,50.30,58.90,49.15,53.75,3582550
2016-05-02,53.80,55.70,42.00,45.60,3365828
2016-06-01,45.50,55.70,45.50,53.50,11268907
2016-07-01,53.80,68.70,53.20,64.15,15540548
2016-08-01,64.00,73.80,58.40,65.80,15862358
2016-09-01,66.30,70.50,59.50,59.70,9914260
2016-10-03,59.50,62.10,57.40,59.70,6763643
2016-11-01,60.00,63.70,49.95,58.90,18718924
2016-12-01,59.50,65.80,55.75,59.60,24521192
2017-01-02,59.85,71.00,59.30,66.35,62254118
2017-02-01,66.85,72.30,66.50,67.85,23928393
2017-03-01,68.10,71.95,64.90,66.10,16683993
2017-04-03,66.50,70.65,64.20,65.60,11916942
2017-05-02,65.90,71.95,61.75,63.40,21426613
2017-06-01,63.80,66.80,62.00,64.00,11439578
2017-07-03,64.50,75.00,64.00,69.65,17496557
2017-08-01,70.20,72.60,59.05,62.50,27296094
2017-09-01,62.75,66.50,56.55,58.30,27979324
2017-10-03,59.00,72.40,58.05,69.45,41617835
2017-11-01,70.20,110.50,70.05,94.90,287676605
2017-12-01,95.50,105.60,86.65,101.00,119790954
2018-01-01,101.50,103.25,83.00,85.00,78603769
2018-02-01,84.00,84.00,69.55,73.00,42946989
2018-03-01,72.90,75.65,62.45,62.90,50432442
2018-04-02,63.90,82.05,63.40,73.35,80197422
2018-05-02,73.70,77.00,67.40,70.45,42149998
2018-06-01,70.05,74.40,60.25,62.40,38968945
2018-07-02,62.75,63.20,53.10,60.10,23744928
2018-08-01,60.90,67.70,59.25,63.00,35238144
2018-09-03,63.20,63.90,50.10,51.00,17743950
2018-10-01,51.20,53.65,45.05,49.30,20277556
2018-11-01,49.70,53.45,47.50,48.10,13089370
2018-12-03,49.50,53.00,44.80,52.45,15573563
2019-01-01,52.50,52.70,45.00,46.35,9963700
2019-02-01,46.50,46.95,43.00,45.70,9791030
2019-03-01,46.50,52.75,46.25,48.95,16775216
2019-04-01,49.70,51.50,45.85,46.05,13101146
2019-05-02,45.75,47.40,39.50,44.15,18257536
2019-06-03,44.05,45.15,37.75,39.95,11110363
2019-07-01,40.15,41.00,30.85,32.50,8555685
2019-08-01,32.10,33.60,27.85,31.60,11203246
2019-09-03,30.95,41.65,30.50,35.20,23733615
2019-10-01,35.00,43.55,28.60,41.40,38872855
2019-11-01,41.45,44.70,36.90,40.45,23533593
2019-12-02,40.40,42.35,36.00,39.25,17228533
2020-01-01,39.40,51.00,39.25,42.45,56850687
2020-02-01,42.25,44.30,31.10,31.35,15050196
2020-03-02,31.95,32.45,18.25,21.30,16863553
2020-04-01,21.90,28.30,20.70,26.05,12042474
2020-05-04,25.30,27.35,23.15,25.95,11144205
2020-06-01,26.30,34.65,26.30,31.70,28838735
2020-07-01,32.10,42.80,31.25,35.45,65432545
2020-08-03,35.00,41.65,35.00,36.35,33700159
2020-09-01,36.20,38.45,32.55,33.20,14602760
2020-10-01,33.40,37.30,31.30,32.95,16015062
