Date,Open,High,Low,Close,Volume
2001-12-03,18.35,18.52,14.53,16.13,11187589
2002-01-01,16.35,17.36,15.63,16.44,23970905
2002-02-01,17.00,26.35,16.20,22.73,85046590
2002-03-01,22.47,25.43,21.55,22.53,63708016
2002-04-01,22.82,23.91,20.18,20.48,13801637
2002-05-01,21.07,28.17,20.27,25.14,42942547
2002-06-03,25.54,29.89,24.21,25.04,46365409
2002-07-01,25.42,28.80,24.42,25.56,52795724
2002-08-01,25.80,26.52,23.65,26.11,24384692
2002-09-02,26.18,26.82,23.91,25.51,42326046
2002-10-01,25.32,26.47,22.31,24.53,39575103
2002-11-01,24.55,25.65,19.89,24.21,91360811
2003-01-01,25.72,28.35,23.94,27.25,105531746
2003-02-03,27.40,27.82,24.55,27.15,68505340
2003-03-03,27.36,27.65,24.00,24.32,71962539
2003-04-01,24.18,25.37,21.65,22.03,94667629
2003-05-01,22.36,25.80,21.69,25.08,126515356
2003-06-02,25.09,27.74,24.09,27.30,107426619
2003-07-01,27.45,30.54,26.18,28.94,203743997
2003-08-01,29.09,34.09,26.58,32.67,315941089
2003-09-01,32.93,37.81,32.16,37.18,187095359
2003-10-01,37.21,45.45,36.82,44.91,174009267
2003-11-03,45.44,48.78,40.02,45.47,139713697
2003-12-01,45.90,56.36,45.90,53.72,176666733
2004-01-01,54.16,57.86,49.82,53.65,238018777
2004-02-03,53.64,64.05,48.20,49.26,337175290
2004-03-01,49.76,55.98,48.18,53.87,148194403
2004-04-01,54.31,59.15,52.00,57.27,326256647
2004-05-03,57.18,58.05,38.46,41.89,180798722
2004-06-01,41.64,50.00,41.64,44.45,155750773
2004-07-01,44.65,49.45,41.84,48.64,142014905
2004-08-02,48.55,51.40,47.69,49.05,66573409
2004-09-01,49.64,54.13,47.35,52.05,90712449
2004-10-01,52.55,55.07,50.38,54.37,67667024
2004-11-01,54.38,62.86,53.75,61.77,97020713
2004-12-01,61.84,69.05,60.73,67.52,111305069
2005-01-03,68.18,68.91,59.13,65.62,56815304
2005-02-01,66.00,70.36,65.09,69.25,67771854
2005-03-01,69.36,75.96,63.64,71.42,118184184
2005-04-01,71.45,78.09,64.74,65.45,137586350
2005-05-02,66.91,75.42,65.01,71.28,55919166
2005-06-01,71.63,79.55,71.09,77.41,68721331
2005-07-01,77.64,100.89,75.82,97.17,119869133
2005-08-01,96.82,99.98,83.64,87.60,87186720
2005-09-01,87.68,111.81,87.00,109.40,111188595
2005-10-03,109.89,111.64,85.00,90.65,161985870
2005-11-01,91.09,100.91,89.76,97.83,99708813
2005-12-01,98.18,108.00,95.27,106.37,229919639
2006-01-02,106.85,112.98,96.37,110.77,262042311
2006-02-01,112.71,115.45,93.05,111.86,138238172
2006-03-01,109.09,116.36,101.82,107.10,79928714
2006-04-03,108.91,114.18,87.27,104.87,67602416
2006-05-02,109.11,122.73,89.45,97.73,141689288
2006-06-01,98.55,101.27,79.09,88.71,129717234
2006-07-03,90.73,103.27,84.54,100.70,135976564
2006-08-01,100.73,117.82,97.27,108.63,156652312
2006-09-01,108.16,144.57,104.85,127.20,114095684
2006-10-03,127.27,144.52,122.24,141.30,104482823
2006-11-01,138.18,163.62,137.88,158.63,211847078
2006-12-01,160.55,166.18,140.38,162.09,120755860
2007-01-02,162.18,181.82,158.58,171.11,137925975
2007-02-01,172.91,183.64,145.73,150.82,172137473
2007-03-01,152.73,180.00,144.23,155.15,181215133
2007-04-02,149.20,180.85,145.46,157.43,133100694
2007-05-03,163.27,175.27,149.48,167.12,170913919
2007-06-01,168.18,175.77,161.45,173.72,121531168
2007-07-02,178.45,183.64,163.82,168.63,219736830
2007-08-01,167.27,167.27,146.36,161.18,382580102
2007-09-03,161.84,194.53,160.36,193.16,317278564
2007-10-01,194.18,235.26,177.27,228.01,477117298
2007-11-01,230.91,245.27,196.36,214.25,329968562
2007-12-03,214.55,241.20,205.50,225.22,255163790
2008-01-01,225.45,264.64,182.12,208.55,621494021
2008-02-01,210.36,226.35,181.64,197.91,328601992
2008-03-03,192.73,192.73,130.92,139.89,615393756
2008-04-01,144.35,174.55,132.10,159.93,478002321
2008-05-02,172.49,176.55,141.49,143.38,484245613
2008-06-02,150.91,151.82,111.15,114.58,502002585
2008-07-01,114.55,139.07,93.45,115.87,991489929
2008-08-01,111.82,143.45,110.91,122.16,805095309
2008-09-01,119.45,136.36,83.65,97.37,1360443608
2008-10-01,95.65,102.71,51.47,72.50,1718506676
2008-11-03,75.45,89.47,55.65,63.94,1224181659
2008-12-01,65.09,87.55,56.05,81.47,1194892804
2009-01-01,81.82,97.93,60.28,75.68,1045765534
2009-02-02,73.19,80.36,56.55,59.55,1010066104
2009-03-02,59.04,70.51,45.87,60.51,2581218761
2009-04-01,63.58,88.09,58.85,87.13,1769047601
2009-05-04,89.11,145.45,89.09,134.57,1567795157
2009-06-01,137.95,141.75,122.74,131.31,1024293100
2009-07-01,130.91,146.85,110.21,137.91,1181591112
2009-08-03,138.90,146.16,125.49,136.57,750426140
2009-09-01,136.76,168.65,131.45,165.02,584063305
2009-10-01,148.73,176.33,137.57,143.78,666195283
2009-11-03,142.96,169.45,140.74,157.79,571272107
2009-12-01,159.27,166.81,145.55,159.45,515985700
2010-01-04,159.45,164.97,140.91,150.97,508894642
2010-02-01,149.11,161.27,142.91,158.57,407928648
2010-03-02,160.93,176.51,155.64,173.18,470919892
2010-04-01,174.00,183.58,164.10,173.08,462647620
