Date,Open,High,Low,Close,Volume
2005-09-01,9.56,9.56,6.00,6.39,1284190
2005-10-03,6.40,7.00,4.47,5.29,436180
2005-11-01,5.39,7.10,4.85,5.80,791830
2005-12-01,5.73,6.60,5.41,5.57,515800
2006-01-02,6.09,6.60,5.26,5.30,416680
2006-02-01,5.23,5.80,4.10,4.88,305265
2006-03-01,4.80,5.20,3.62,4.32,776435
2006-04-03,4.70,5.00,3.90,4.16,535815
2006-05-02,4.05,5.58,3.57,4.34,1231475
2006-06-01,4.45,4.45,2.52,3.64,441415
2006-07-03,3.65,3.89,2.80,3.14,292585
2006-08-01,3.14,4.30,2.52,3.38,546310
2006-09-01,3.35,3.90,2.88,3.44,198705
2006-10-03,3.37,4.80,3.37,4.27,680395
2006-11-01,4.20,4.79,3.81,4.10,582110
2006-12-01,4.21,4.39,3.62,4.01,203695
2007-01-02,4.02,4.90,3.74,4.11,360830
2007-02-01,4.04,4.60,3.20,3.66,457745
2007-03-01,3.98,4.36,3.07,3.44,738605
2007-04-02,3.40,3.70,3.12,3.20,145340
2007-05-03,3.18,3.33,2.48,2.91,211215
2007-06-01,2.90,3.84,2.80,3.13,801685
2007-07-02,2.94,3.48,2.64,2.69,993125
2007-08-01,2.73,2.94,2.40,2.73,947380
2007-09-03,2.79,3.47,2.42,2.80,831965
2007-10-01,2.80,2.98,2.40,2.61,528350
2007-11-01,2.60,2.98,2.31,2.88,387300
2007-12-03,2.90,4.90,2.60,4.34,2140170
2008-02-01,2.83,2.95,2.83,2.88,3905
2008-03-03,2.80,2.80,1.86,2.30,284210
2008-04-01,2.25,2.90,2.25,2.67,42835
2008-05-02,2.60,2.92,2.28,2.50,116240
2008-06-02,2.45,2.62,1.93,2.05,98740
2008-07-01,1.95,2.50,1.72,2.08,93185
2008-08-01,2.08,2.97,1.92,2.39,187605
2008-09-01,2.20,2.47,1.57,1.84,46455
2008-10-01,1.61,1.91,0.90,1.36,213530
2008-11-03,1.20,1.48,1.00,1.11,27090
2008-12-01,1.01,1.05,0.72,0.81,127490
2009-01-01,0.74,1.08,0.63,0.74,178100
2009-02-02,0.85,0.88,0.57,0.70,82580
2009-03-02,0.60,0.82,0.51,0.78,109010
2009-04-01,0.75,1.10,0.75,1.03,199285
2009-05-04,1.00,1.36,0.95,1.36,213645
2009-06-01,1.43,1.56,1.27,1.38,142890
2009-07-01,1.38,1.84,1.26,1.62,235170
2009-08-03,1.59,1.84,1.40,1.68,536725
2009-09-01,1.78,2.15,1.40,1.85,733660
2009-10-01,1.87,1.88,1.80,1.80,17490
2009-11-03,1.71,2.00,1.71,1.89,110875
2009-12-01,1.96,2.28,1.80,2.20,359140
2010-01-04,2.31,2.87,2.23,2.43,219585
2010-02-01,2.09,2.09,1.89,1.89,2805
2010-03-02,1.80,1.93,1.71,1.93,97200
2010-04-01,2.04,2.19,1.77,1.93,28120
2010-05-03,1.85,2.73,1.71,2.20,1072880
2010-12-01,4.36,4.36,3.21,3.21,393500
2011-01-03,3.30,3.45,2.43,2.71,203015
2011-02-01,2.61,3.55,2.31,3.28,83310
2011-03-01,3.01,3.15,2.56,2.91,48750
2011-04-01,2.78,3.05,2.67,2.90,94670
2011-05-02,2.62,2.88,2.22,2.71,87265
2011-06-01,2.71,2.97,2.20,2.24,119350
2011-07-01,2.21,2.88,2.07,2.40,228150
2011-08-01,2.20,2.48,1.80,1.97,132100
2011-09-02,2.00,2.26,1.61,1.94,112210
2011-10-03,1.80,2.13,1.72,1.84,32935
2011-11-01,1.76,2.02,1.59,1.90,19555
2011-12-01,1.78,1.78,1.40,1.41,16840
2012-01-02,1.42,1.69,1.27,1.52,42600
2012-02-01,1.47,1.69,1.30,1.39,258455
2012-03-01,1.45,1.50,1.07,1.31,541035
2012-04-02,1.31,1.59,1.18,1.43,179485
2012-05-02,1.43,1.43,1.21,1.27,271185
2012-06-01,1.21,1.85,1.21,1.68,131775
2012-07-02,1.75,1.86,1.33,1.34,137975
2012-08-01,1.43,1.88,1.35,1.76,5771865
2012-09-03,1.79,2.00,1.43,1.70,342775
2012-10-01,1.70,3.16,1.61,2.52,1036035
2012-11-01,2.74,3.39,2.31,2.80,466690
2012-12-03,2.90,2.94,2.55,2.80,120165
2013-01-01,2.94,3.10,2.61,2.69,102730
2013-02-01,2.79,2.96,2.60,2.80,65400
2013-03-01,2.89,2.90,1.94,1.94,194920
2013-04-01,1.94,2.54,1.94,2.45,64940
2013-05-02,2.48,3.39,2.21,2.91,413580
2013-06-03,3.02,3.50,2.70,2.84,226150
2013-07-01,2.71,3.99,2.64,3.38,344805
2013-08-01,3.28,6.96,3.05,5.33,2014695
2013-09-02,5.07,5.81,4.71,5.21,297160
2013-10-01,5.30,6.17,5.22,6.02,624570
2013-11-01,6.32,8.90,6.32,7.86,1254535
2013-12-02,7.63,8.32,7.01,7.62,1065845
2014-01-01,7.49,8.70,7.20,7.78,1086890
2014-02-03,7.20,8.84,7.20,7.42,1338185
2014-03-03,7.33,9.30,7.08,7.92,615335
2014-04-01,7.92,9.78,7.71,8.90,1396560
2014-05-02,9.90,16.59,8.48,14.42,5621220
2014-06-02,15.19,19.57,13.94,17.45,2243225
2014-07-01,17.60,25.98,17.34,24.88,5184880
2014-08-01,24.40,32.49,24.20,29.03,4005825
2014-09-01,28.74,38.58,25.96,36.63,5416460
2014-10-01,36.98,38.00,33.10,35.34,3924515
2014-11-03,35.29,78.13,34.70,63.90,15594390
2014-12-01,62.20,73.60,50.99,68.98,8800435
2015-01-01,69.17,86.40,63.40,81.20,5631325
2015-02-02,81.60,96.59,76.38,79.35,4190610
2015-03-02,81.54,87.00,71.80,75.44,2386135
2015-04-01,80.00,98.00,68.60,87.12,3332080
2015-05-04,88.39,116.80,80.40,113.76,8448610
2015-06-01,115.89,146.27,110.01,144.73,5485700
2015-07-01,145.70,171.72,135.14,167.03,5581770
2015-08-03,167.80,208.88,153.32,199.66,12241390
2015-09-01,199.80,204.00,144.28,182.52,7931225
2015-10-01,184.78,201.02,173.40,183.66,4346060
2015-11-02,186.96,207.00,176.67,203.95,5741850
2015-12-01,206.79,222.00,180.00,220.12,5505600
2016-01-01,220.45,231.00,199.40,219.08,6926420
2016-02-01,225.00,250.80,155.40,166.99,7217460
2016-03-01,168.06,197.42,168.00,194.30,7905715
2016-04-01,195.00,215.38,192.60,209.80,3972460
2016-05-02,207.42,216.60,178.05,188.34,7585765
2016-06-01,189.40,196.88,173.56,193.39,7161880
2016-07-01,194.20,202.60,170.00,179.76,7937635
2016-08-01,179.75,189.80,150.06,163.52,26196345
2016-09-01,162.41,165.91,140.44,145.23,11070945
2016-10-03,146.00,166.01,138.70,164.81,16082875
2016-11-01,165.72,171.11,135.00,156.10,13260643
2016-12-01,156.40,167.40,147.20,163.65,9583539
2017-01-02,163.65,189.20,160.05,179.85,11649735
2017-02-01,180.00,192.15,159.00,162.45,11423107
2017-03-01,162.65,205.00,158.00,197.45,34740112
2017-04-03,197.45,209.00,187.00,205.15,23783696
2017-05-02,206.90,210.05,162.15,172.85,32133223
2017-06-01,173.30,187.40,161.40,166.40,14053765
2017-07-03,165.70,170.50,144.70,148.35,12988321
2017-08-01,148.35,150.00,96.10,116.75,62372784
2017-09-01,117.40,127.80,93.70,98.95,50579180
2017-10-03,102.50,124.30,97.50,118.80,33946231
2017-11-01,119.50,131.00,106.00,119.15,56561888
2017-12-01,120.00,128.50,106.40,123.95,32195216
2018-01-01,124.90,138.85,102.00,103.60,57955967
2018-02-01,104.45,108.75,91.50,100.15,13595032
2018-03-01,100.15,101.70,82.00,85.00,11071567
2018-04-02,86.00,103.45,85.60,93.90,8774560
2018-05-02,93.90,94.40,74.00,78.20,6188624
2018-06-01,78.20,79.50,59.30,61.85,10766034
2018-07-02,61.90,86.10,58.75,81.55,16365946
2018-08-01,82.00,89.60,73.15,79.10,6806430
2018-09-03,79.00,81.80,63.00,64.55,4304376
2018-10-01,63.30,76.30,53.90,67.60,5042463
2018-11-01,67.60,71.00,57.85,62.75,2851272
2018-12-03,63.05,65.50,55.55,56.30,2654613
2019-01-01,56.70,57.30,45.00,46.60,2152835
2019-02-01,47.90,48.00,30.35,37.05,6792594
2019-03-01,37.30,69.30,35.70,48.70,18443152
2019-04-01,49.05,57.00,40.50,41.25,3613344
2019-05-02,41.75,45.45,36.15,41.15,3129396
2019-06-03,42.65,42.65,31.00,32.55,1852412
2019-07-01,32.55,35.00,30.40,33.85,1607392
2019-08-01,33.30,50.00,31.80,41.00,3678529
2019-09-03,39.55,52.50,38.50,44.30,4069713
2019-10-01,44.10,46.50,38.70,46.15,1767628
2019-11-01,45.05,61.40,44.40,50.05,5513143
2019-12-02,48.65,51.60,43.00,46.70,2087888
2020-01-01,46.95,64.95,46.95,53.25,6637523
2020-02-01,53.10,67.20,46.30,53.95,8597650
2020-03-02,56.10,56.60,22.10,23.80,4849089
2020-04-01,24.00,31.90,22.75,29.50,1406411
2020-05-04,28.50,30.00,23.50,26.05,1203609
2020-06-01,27.20,47.60,25.90,37.15,7292807
2020-07-01,37.60,76.45,36.00,65.00,18992079
2020-08-03,65.00,80.15,62.80,70.30,7230314
2020-09-01,67.20,105.00,67.05,101.60,7412773
2020-10-01,101.70,171.75,101.70,143.15,16662470
2020-11-02,143.00,170.40,140.20,155.50,4985724
2020-12-01,154.20,171.80,138.15,145.65,3882249
2021-01-01,145.65,157.00,126.20,137.55,6788742
2021-02-01,134.50,141.30,118.40,129.10,5855845
2021-03-01,133.60,144.00,113.00,131.65,7009760
2021-04-01,133.75,139.90,117.00,131.60,3384849
2021-05-03,128.35,161.00,128.35,147.20,11831152
2021-06-01,149.70,181.25,141.90,170.15,16838171
2021-07-01,171.90,273.90,165.65,263.35,24755442
2021-08-02,267.45,285.00,215.10,234.80,10804117
2021-09-01,236.90,304.90,230.00,295.85,19729884
2021-10-01,293.10,315.00,228.85,241.60,12956723
2021-11-01,240.00,274.50,223.95,233.10,9350384
2021-12-01,229.80,278.20,226.95,250.00,11419491
2022-01-03,252.85,275.05,229.25,242.65,8092101
2022-02-01,246.80,248.65,159.65,174.15,7643179
2022-03-02,171.55,178.00,148.50,158.95,10580282
2022-04-01,158.95,189.50,155.00,155.90,7482227
2022-05-02,156.00,163.45,123.40,149.00,7780689
2022-06-01,150.00,155.20,119.55,131.05,6270156
2022-07-01,131.25,147.40,128.00,137.95,4985829
2022-08-01,138.75,169.80,136.00,164.40,11830858
2022-09-01,162.00,167.00,134.10,136.05,6421331
2022-10-03,136.80,148.90,127.25,140.30,5489772
2022-11-01,141.00,141.70,130.20,137.15,3922479
2022-12-01,138.50,147.55,120.05,134.55,3567013
2023-01-02,136.00,143.70,122.55,125.75,3018219
2023-02-01,127.50,136.30,124.95,129.10,2399537
2023-03-01,129.10,137.50,101.25,112.05,6024132
2023-04-03,112.05,147.00,112.05,135.40,9068712
2023-05-02,136.50,177.75,136.50,172.95,19027628
2023-06-01,172.95,219.30,172.90,206.95,24962905
2023-07-03,207.95,228.40,199.05,220.95,14392340
2023-08-01,222.00,253.95,203.00,245.30,14266744
2023-09-01,246.00,255.00,220.50,223.45,8141115
2023-10-03,226.60,289.10,215.20,284.60,20366404
2023-11-01,283.20,319.65,268.00,309.35,20339204
2023-12-01,309.35,319.65,270.00,307.85,9482792
2024-01-01,308.50,318.00,262.70,278.15,9350665
2024-02-01,278.15,364.75,255.45,339.55,28455396
2024-03-01,340.20,360.00,288.95,354.10,10301171
2024-04-01,359.00,405.00,338.00,392.70,11481711
2024-05-02,391.80,403.00,331.10,336.25,6860038
2024-06-03,341.00,400.00,307.85,389.65,6144466
2024-07-01,395.00,450.65,364.20,397.85,17888971
2024-08-01,396.00,429.95,358.00,408.90,11102346
2024-09-02,409.25,438.90,378.55,384.70,7076633
2024-10-01,382.00,398.75,342.00,388.00,7119936
2024-11-01,390.90,399.50,303.05,324.65,5636269
2024-12-02,324.65,423.95,318.25,326.50,14385020
2025-01-01,328.15,354.00,288.65,297.80,6492655
2025-02-01,298.95,355.50,256.00,264.35,15796877
2025-03-03,266.45,288.30,249.80,253.95,7567686
2025-04-01,250.95,317.35,213.55,304.60,14090975
2025-05-02,304.50,351.35,285.00,291.80,16247063
2025-06-02,264.10,301.05,240.70,297.05,10817263
2025-07-01,299.40,313.40,261.20,271.35,7369845
2025-08-01,268.65,274.95,220.20,230.95,5507574
2025-09-01,232.05,316.00,221.10,270.27,17278369
2025-10-01,274.00,292.95,258.50,283.45,5931111
2025-11-03,285.45,327.00,262.35,324.35,12078184
2025-12-01,326.20,327.00,255.95,282.40,17247099
2026-01-01,283.00,287.10,221.00,235.75,5407807
2026-02-01,236.49,343.00,226.61,265.67,28563584
2026-03-02,246.00,271.90,216.90,249.55,6839033
2026-04-01,259.00,287.41,238.15,277.36,8645090
2026-05-04,277.85,318.85,276.55,312.10,8361649
2026-06-01,324.00,446.05,315.00,438.25,41114262
2026-07-01,442.50,463.80,384.20,401.25,8963545
2026-08-03,401.25,474.65,371.30,469.45,41879732
2026-09-01,470.95,471.25,408.05,447.35,7949358
