Date,Open,High,Low,Close,Volume
2017-10-03,50.00,55.33,50.00,51.81,116753190
2017-11-01,51.68,54.00,49.67,51.13,20280990
2017-12-01,51.17,55.00,49.80,53.67,27667560
2018-01-01,53.33,55.90,52.50,53.38,21251400
2018-02-01,53.00,54.00,48.00,48.64,8416110
2018-03-01,48.03,54.84,46.73,53.43,9134220
2018-04-02,52.60,55.95,51.17,53.79,12881100
2018-05-02,53.84,55.00,51.37,52.61,8540520
2018-06-01,52.08,56.50,51.63,55.33,39456600
2018-07-02,56.67,56.67,52.27,53.32,5619990
2018-08-01,53.63,58.87,52.30,58.07,14826840
2018-09-03,59.00,59.33,52.00,53.56,16437870
2018-10-01,53.56,58.60,49.68,52.97,20477109
2018-11-01,53.27,56.50,51.50,54.23,7222752
2018-12-03,54.30,57.08,50.17,55.27,5127396
2019-01-01,55.43,56.17,52.03,52.90,7871655
2019-02-01,52.68,56.65,50.00,51.07,10438452
2019-03-01,51.67,56.60,51.48,55.00,23211681
2019-04-01,55.00,55.97,51.67,53.03,32438160
2019-05-02,53.67,53.95,47.03,52.10,12083784
2019-06-03,50.75,52.30,46.82,48.03,3449424
2019-07-01,47.83,48.95,45.22,47.17,9544512
2019-08-01,47.17,50.00,42.42,44.87,21627099
2019-09-03,44.00,45.67,37.35,40.22,67427799
2019-10-01,40.50,50.73,39.42,48.32,16346550
2019-11-01,48.02,49.93,45.37,46.62,38316801
2019-12-02,46.33,48.33,45.68,47.60,14358051
2020-01-01,47.58,66.67,47.18,54.92,32073378
2020-02-01,55.33,67.97,50.82,58.73,81390873
2020-03-02,60.53,64.28,38.67,42.65,58701006
2020-04-01,43.30,59.00,41.37,49.97,28612911
2020-05-04,49.67,57.57,46.67,54.60,53114907
2020-06-01,54.97,67.30,54.08,59.92,46030626
2020-07-01,60.25,65.90,56.75,59.73,50510133
2020-08-03,60.00,66.97,58.22,64.28,71434374
2020-09-01,64.17,73.10,61.07,69.28,134560959
2020-10-01,69.95,72.60,62.78,63.77,64393806
2020-11-02,64.00,73.00,60.33,72.57,44690133
2020-12-01,73.17,77.55,66.57,75.97,58060524
2021-01-01,76.32,84.42,68.10,82.08,85214622
2021-02-01,83.00,107.67,81.38,97.78,179587473
2021-03-01,97.95,130.87,97.50,110.93,228989103
2021-04-01,111.67,129.50,107.52,123.45,135886887
2021-05-03,122.67,137.88,114.35,119.15,206991348
2021-06-01,119.73,129.90,116.50,125.05,155371554
2021-07-01,125.97,151.53,124.67,143.67,216970950
2021-08-02,144.93,173.90,128.37,168.28,256770306
2021-09-01,169.00,222.32,165.58,215.32,700401273
2021-10-01,214.67,318.67,206.00,236.10,1080635550
2021-11-01,236.83,275.67,233.95,248.17,389887251
2021-12-01,252.33,303.80,234.35,252.80,502117841
2022-01-03,253.50,272.00,225.50,235.45,211051815
2022-02-01,238.00,243.25,192.00,205.85,201566751
2022-03-02,204.00,235.50,201.50,224.70,167181137
2022-04-01,224.50,251.50,211.00,214.55,187753173
2022-05-02,214.00,214.00,177.25,194.65,172670590
2022-06-01,193.95,195.90,158.00,158.75,180550063
2022-07-01,158.00,167.95,150.70,159.60,151147609
2022-08-01,160.75,175.85,154.50,161.00,214677964
2022-09-01,161.00,165.45,138.65,142.05,148240570
2022-10-03,142.90,146.95,133.85,139.90,80636558
2022-11-01,140.00,151.80,137.50,147.85,135091984
2022-12-01,148.00,152.40,129.25,140.00,93619362
2023-01-02,140.45,143.80,132.00,138.60,58708613
2023-02-01,139.30,146.40,132.50,144.55,89063482
2023-03-01,144.90,154.60,125.80,127.95,144816209
2023-04-03,129.65,157.25,128.90,156.55,147750104
2023-05-02,157.50,163.75,152.50,153.00,128322892
2023-06-01,153.85,155.00,116.00,127.10,355115222
2023-07-03,127.60,128.20,119.00,122.65,138003589
2023-08-01,123.75,132.00,121.85,126.20,160945677
2023-09-01,126.50,143.45,126.45,132.20,230573321
