Date,Open,High,Low,Close,Volume
2002-01-01,13.01,14.12,12.99,13.77,2552
2002-02-01,13.65,16.47,13.65,16.00,4621
2002-03-01,16.24,27.16,16.24,24.73,57897
2002-04-01,24.97,39.77,24.97,39.77,86958
2002-05-01,42.36,48.12,33.89,37.96,235300
2002-06-03,38.12,48.48,37.91,48.45,117745
2002-07-01,48.48,52.66,47.75,51.54,166855
2002-08-01,52.48,59.54,51.82,56.08,141462
2002-09-02,56.95,57.18,44.52,46.83,92712
2002-10-01,47.51,47.53,45.65,46.48,45162
2002-11-01,46.48,50.36,46.12,50.34,41267
2003-01-01,51.30,51.30,48.12,48.74,29944
2003-02-03,50.36,50.83,48.24,48.95,44412
2003-03-03,50.83,50.95,48.01,49.89,84223
2003-04-01,51.06,51.28,47.63,49.18,47571
2003-05-01,48.48,51.04,47.89,48.12,89907
2003-06-02,49.89,56.43,48.48,52.71,41356
2003-07-01,50.36,64.95,49.89,63.09,116033
2003-08-01,64.48,88.69,62.60,85.26,102211
2003-09-01,83.77,91.73,81.89,89.26,155116
2003-10-01,88.97,136.96,88.97,136.27,765632
2003-11-03,138.37,174.14,135.57,170.02,1615209
2003-12-01,174.14,176.49,160.02,170.40,2343639
2004-01-01,172.26,177.43,158.37,164.77,2170492
2004-02-03,164.28,168.96,159.08,162.98,640773
2004-03-01,165.67,170.61,159.19,164.47,252495
2004-04-01,167.55,167.55,150.70,155.31,252423
2004-05-03,152.06,164.72,139.31,161.43,155254
2004-06-01,164.72,176.49,155.78,166.61,449543
2004-07-01,165.67,168.37,161.92,164.49,473242
2004-08-02,162.40,184.49,162.40,167.08,566164
2004-09-01,168.25,174.14,157.67,165.60,686105
2004-10-01,165.67,173.95,159.90,166.82,378438
2004-11-01,169.43,173.20,163.78,163.81,359755
2004-12-01,163.78,176.02,157.43,167.97,535406
2005-01-03,174.14,258.85,174.14,237.70,686787
2005-02-01,236.26,264.27,234.40,237.82,1058540
2005-03-01,242.38,246.15,222.14,223.32,923884
2005-04-01,224.03,258.29,222.61,233.46,1490303
2005-05-02,235.32,247.09,211.79,233.98,1682528
2005-06-01,237.67,245.68,150.16,160.39,2177468
2005-07-01,162.84,168.96,159.19,164.00,2402104
2005-08-01,162.89,167.55,160.96,163.34,858902
2005-09-01,163.34,168.89,149.19,149.57,894018
2005-10-03,149.66,154.84,124.72,134.98,278262
2005-11-01,136.49,140.25,128.23,131.85,191213
2005-12-01,131.73,132.72,120.06,123.83,330510
2006-01-02,125.66,145.15,122.37,134.84,726526
2006-02-01,132.72,134.16,120.67,130.09,495588
2006-03-01,130.37,147.73,127.10,133.59,982508
2006-04-03,136.49,140.25,133.45,136.37,1998899
2006-05-02,136.39,138.84,120.01,127.33,2161443
2006-06-01,127.07,128.01,70.17,74.20,669111
2006-07-03,73.89,75.77,54.83,62.03,382615
2006-08-01,59.82,71.02,57.25,65.56,728663
2006-09-01,65.89,80.43,65.18,73.77,477277
2006-10-03,75.30,77.66,66.83,72.27,190807
2006-11-01,70.97,82.69,69.47,80.53,310473
2006-12-01,82.13,82.36,69.30,71.18,190733
2007-01-02,71.14,81.89,71.14,78.43,189433
2007-02-01,75.54,79.40,70.15,72.43,142274
