Date,Open,High,Low,Close,Volume
2005-04-01,32.00,35.50,27.95,29.00,148219937
2005-05-02,29.00,29.90,27.00,27.40,46247813
2005-06-01,27.45,31.50,26.80,27.60,50510618
2005-07-01,28.10,33.00,27.25,29.80,58367107
2005-08-01,29.45,33.85,29.10,32.80,66083068
2005-09-01,33.25,34.75,30.05,32.15,57109535
2005-10-03,32.15,37.00,27.75,29.85,107272230
2005-11-01,30.20,34.30,29.65,33.70,43386590
2005-12-01,33.70,36.00,32.20,33.00,33454153
2006-01-02,33.50,34.00,30.80,32.15,21771557
2006-02-01,32.20,32.45,28.10,29.60,37932501
2006-03-01,29.50,33.05,27.50,29.55,38393249
2006-04-03,30.00,36.85,29.00,35.80,49953677
2006-05-02,35.00,39.80,26.00,28.90,85007687
2006-06-01,29.20,29.75,21.60,25.40,45027721
2006-07-03,25.00,26.60,22.75,25.75,10561101
2006-08-01,25.45,27.60,23.20,26.20,37265245
2006-09-01,26.20,32.45,26.00,31.15,47082148
2006-10-03,31.30,35.60,31.00,33.10,24073277
2006-11-01,33.25,33.50,29.25,32.00,19176702
2006-12-01,32.10,32.70,26.15,29.65,14635414
2007-01-02,29.65,36.40,29.65,34.75,42213947
2007-02-01,34.85,37.20,29.00,30.10,32097701
2007-03-01,30.00,30.40,25.95,28.15,23458405
2007-04-02,27.10,34.00,27.10,33.55,22585392
2007-05-03,33.60,37.45,31.20,37.15,65822827
2007-06-01,37.10,37.55,32.00,35.35,40635761
2007-07-02,35.80,42.40,34.80,41.25,104527768
2007-08-01,40.90,51.45,38.00,50.75,268002266
2007-09-03,51.00,84.90,49.20,75.25,341604526
2007-10-01,76.75,88.35,61.05,83.80,309223476
2007-11-01,85.45,118.90,75.00,113.75,432317561
2007-12-03,115.70,139.90,106.25,137.20,274013941
2008-01-01,137.75,143.40,54.05,74.50,216836690
2008-02-01,76.00,91.85,64.55,72.95,135111100
2008-03-03,70.40,71.40,46.50,53.70,98054643
2008-04-01,54.25,74.90,51.05,70.40,122453351
2008-05-02,71.00,74.80,60.05,60.50,85940025
2008-06-02,61.10,61.70,43.10,44.00,60432841
2008-07-01,43.50,56.60,38.30,52.90,89428249
2008-08-01,52.25,62.25,49.90,52.10,66982375
2008-09-01,51.05,56.00,38.10,42.30,40708945
2008-10-01,42.00,43.50,22.40,27.75,38521097
2008-11-03,28.50,33.00,24.30,26.05,24067664
2008-12-01,26.80,33.80,24.70,31.00,38304412
2009-01-01,31.10,36.75,27.65,30.70,55338821
2009-02-02,30.75,31.90,26.90,27.50,21092859
2009-03-02,27.00,30.40,24.30,29.10,22125317
2009-04-01,29.70,43.50,28.55,38.10,92725830
2009-05-04,38.95,71.85,38.00,70.25,191503007
2009-06-01,72.80,103.70,69.25,90.30,637618747
2009-07-01,90.90,99.75,64.30,83.15,318746289
2009-08-03,83.70,90.50,76.60,84.60,193054127
2009-09-01,86.90,86.90,80.10,82.80,78939328
2009-10-01,83.40,83.70,62.30,63.40,48819402
2009-11-03,61.00,76.70,53.75,71.25,70593479
2009-12-01,72.40,78.60,71.30,73.65,60102736
2010-01-04,74.10,84.00,67.05,69.50,69930740
2010-02-01,69.00,72.10,62.00,68.00,27330719
2010-03-02,68.90,73.80,66.05,67.60,22121673
2010-04-01,67.95,76.00,67.50,74.00,36364774
2010-05-03,73.00,74.95,58.05,64.85,17277502
2010-06-01,65.00,72.20,62.15,69.10,17774239
2010-07-01,68.70,75.90,68.15,69.85,16366368
2010-08-02,70.10,70.90,62.80,63.30,10622730
2010-09-01,63.30,68.20,62.75,63.70,13160154
2010-10-01,65.05,69.75,60.95,62.45,17005417
2010-11-01,63.80,67.70,46.00,53.80,31953827
2010-12-01,53.80,56.60,48.00,52.85,11528296
2011-01-03,53.10,57.95,44.00,45.10,14258260
2011-02-01,45.05,46.00,35.15,38.10,14017345
2011-03-01,38.25,43.80,36.00,42.15,13950299
2011-04-01,42.65,51.30,41.80,48.15,11110460
2011-05-02,48.20,49.95,44.50,49.20,7993941
2011-06-01,49.45,54.10,42.20,47.85,14917486
2011-07-01,48.30,48.80,42.00,43.05,4496670
2011-08-01,43.05,44.30,31.45,33.10,18123203
2011-09-02,33.50,35.25,31.20,34.05,9830283
2011-10-03,36.00,39.90,33.00,38.55,9736277
2011-11-01,38.00,39.00,33.65,33.90,33368653
2011-12-01,34.85,39.45,33.50,35.05,14489464
2012-01-02,35.60,44.50,33.30,44.05,47943764
2012-02-01,44.05,49.80,42.15,43.95,53228052
2012-03-01,43.80,45.00,38.00,40.75,31830079
2012-04-02,41.00,43.50,39.00,40.50,15477889
2012-05-02,40.05,41.40,32.05,35.75,10378784
2012-06-01,35.70,38.85,32.30,34.85,11552460
2012-07-02,34.85,36.50,30.25,31.75,17396635
2012-08-01,31.85,33.10,24.55,25.55,17122015
2012-09-03,25.85,36.70,25.50,35.25,30727727
2012-10-01,35.60,40.90,32.80,38.35,39929427
2012-11-01,38.45,40.05,33.60,38.60,21431727
2012-12-03,38.90,47.00,35.95,37.50,83183134
2013-01-01,38.00,40.90,34.50,34.95,71233399
2013-02-01,34.65,35.50,26.40,28.75,59324137
2013-03-01,29.00,31.60,24.20,26.10,62801633
2013-04-01,26.10,28.15,23.75,25.50,41510453
2013-05-02,25.40,29.50,22.65,23.40,61637580
2013-06-03,23.20,24.10,15.65,19.00,77596548
