Date,Open,High,Low,Close,Volume
2023-10-03,143.00,186.35,142.20,169.55,307951776
2023-11-01,170.85,220.00,167.65,210.50,145030798
2023-12-01,211.85,247.50,205.65,208.30,119661833
2024-01-01,208.30,223.60,202.00,215.00,75486362
2024-02-01,216.50,276.20,205.00,256.50,154992093
2024-03-01,258.40,266.70,211.10,245.35,97972034
2024-04-01,245.85,258.55,230.55,250.00,76465453
2024-05-02,251.60,299.25,240.50,283.05,108141281
2024-06-03,299.90,336.00,250.00,328.40,119242312
2024-07-01,330.40,360.95,308.05,338.95,68047979
2024-08-01,340.40,342.00,308.65,324.60,35578430
2024-09-02,324.60,355.00,302.25,345.10,73256442
2024-10-01,345.20,351.00,276.00,314.90,65606426
2024-11-01,320.00,323.40,286.60,311.55,29165591
2024-12-02,310.40,338.05,304.95,318.00,40432039
2025-01-01,318.05,334.45,251.20,275.00,35244585
2025-02-01,280.30,284.45,218.20,254.75,50016096
2025-03-03,255.25,327.80,241.15,319.80,56422847
2025-04-01,316.50,326.85,277.80,293.65,35168292
2025-05-02,299.90,304.75,279.25,290.85,92045957
2025-06-02,292.00,320.70,286.20,313.10,59107905
2025-07-01,313.15,328.50,301.00,304.75,44767780
2025-08-01,305.15,314.50,294.15,296.00,15244412
2025-09-01,300.00,349.00,296.50,315.25,47878784
2025-10-01,316.00,318.00,289.00,289.85,26744751
2025-11-03,290.10,292.80,264.60,270.35,22893261
2025-12-01,273.70,290.00,258.10,284.80,20655572
2026-01-01,285.00,287.20,255.40,258.50,33792721
2026-02-01,258.90,270.85,251.15,254.80,25762220
2026-03-02,245.00,275.00,239.70,240.80,33690477
2026-04-01,250.71,288.73,233.42,271.98,43471225
2026-05-04,272.80,295.80,256.00,275.30,38010272
2026-06-01,275.90,343.45,266.55,322.15,119489228
2026-07-01,323.60,355.80,310.10,312.40,88089913
2026-08-03,317.70,355.00,314.40,340.00,53831547
2026-09-01,344.00,356.95,317.90,348.25,57571636
