Date,Open,High,Low,Close,Volume
2007-12-03,7900.00,10640.00,5900.00,9560.00,992804
2008-01-01,9700.00,10200.00,4820.00,5195.00,143428
2008-02-01,5680.00,6470.00,4440.00,4780.00,37707
2008-03-03,4610.00,4700.00,2805.00,3525.00,18885
2008-04-01,3650.00,4440.00,3405.00,4140.00,39618
2008-05-02,4200.00,4570.00,3415.00,3460.00,30664
2008-06-02,3555.00,3610.00,2255.00,2290.00,11333
2008-07-01,2150.00,3245.00,1750.00,2640.00,34875
2008-08-01,2600.00,2995.00,2390.00,2455.00,9801
2008-09-01,2375.00,2530.00,1505.00,1805.00,5856
2008-10-01,1850.00,1890.00,865.00,1070.00,5813
2008-11-03,1160.00,1375.00,900.00,925.00,4436
2008-12-01,960.00,1375.00,900.00,1090.00,14759
2009-01-01,1130.00,1280.00,835.00,895.00,25714
2009-02-02,935.00,1055.00,825.00,835.00,6786
2009-03-02,830.00,875.00,750.00,775.00,4163
2009-04-01,775.00,1385.00,775.00,1020.00,11631
2009-05-04,1095.00,2750.00,1025.00,2750.00,23982
2009-06-01,2890.00,3500.00,2045.00,2330.00,28400
2009-07-01,2330.00,2500.00,1715.00,2210.00,17948
2009-08-03,2225.00,2445.00,1915.00,2415.00,16398
2009-09-01,2550.00,2595.00,2180.00,2395.00,17061
2009-10-01,2435.00,2435.00,1830.00,1905.00,11085
2009-11-03,1880.00,2200.00,1690.00,1840.00,9065
2009-12-01,1860.00,2120.00,1720.00,2015.00,14023
2010-01-04,2080.00,3075.00,2075.00,2365.00,93303
2010-02-01,2395.00,2500.00,2070.00,2255.00,12611
2010-03-02,2310.00,2520.00,2015.00,2160.00,11138
2010-04-01,2175.00,2745.00,2150.00,2365.00,24101
2010-05-03,2310.00,2475.00,1780.00,1995.00,8546
2010-06-01,1985.00,2300.00,1880.00,2080.00,11254
2010-07-01,2115.00,2325.00,2015.00,2075.00,8810
2010-08-02,2100.00,2180.00,1855.00,1870.00,7558
2010-09-01,1880.00,2060.00,1870.00,1905.00,6958
2010-10-01,1950.00,2185.00,1860.00,1905.00,10321
2010-11-01,1865.00,1945.00,1400.00,1460.00,5675
2010-12-01,1430.00,1590.00,1310.00,1430.00,3511
2011-01-03,1430.00,1505.00,1170.00,1230.00,2795
2011-02-01,1235.00,1515.00,965.00,1140.00,3913
2011-03-01,1195.00,1340.00,1045.00,1095.00,2468
2011-04-01,1060.00,1350.00,1060.00,1135.00,3204
2011-05-02,1125.00,1195.00,965.00,1025.00,1571
2011-06-01,1000.00,1085.00,900.00,980.00,2220
2011-07-01,950.00,1150.00,925.00,940.00,1689
2011-08-01,950.00,975.00,740.00,860.00,2250
2011-09-02,925.00,995.00,790.00,795.00,855
2011-10-03,790.00,850.00,735.00,770.00,891
2011-11-01,785.00,830.00,615.00,635.00,977
2011-12-01,635.00,700.00,500.00,585.00,1370
2012-01-02,555.00,820.00,545.00,760.00,3836
2012-02-01,725.00,960.00,725.00,825.00,3028
2012-03-01,825.00,840.00,680.00,695.00,1291
2012-04-02,690.00,820.00,650.00,800.00,1190
2012-05-02,790.00,1340.00,745.00,1220.00,4372
2012-06-01,1210.00,1270.00,855.00,875.00,1839
2012-07-02,860.00,1160.00,860.00,900.00,1292
2012-08-01,900.00,1000.00,840.00,865.00,428
2012-09-03,840.00,925.00,720.00,860.00,910
2012-10-01,860.00,930.00,760.00,785.00,3247
2012-11-01,765.00,1190.00,760.00,855.00,3021
2012-12-03,820.00,1100.00,820.00,860.00,2218
2013-01-01,925.00,1000.00,810.00,825.00,2871
2013-02-01,810.00,890.00,720.00,810.00,907
2013-03-01,770.00,800.00,575.00,800.00,1141
2013-04-01,735.00,940.00,715.00,930.00,440
2013-05-02,675.00,700.00,515.00,570.00,168
2013-06-03,570.00,570.00,500.00,560.00,69
2013-07-01,585.00,610.00,480.00,480.00,83
2013-08-01,500.00,500.00,385.00,400.00,67
2013-09-02,380.00,415.00,315.00,330.00,89
2013-10-01,315.00,375.00,310.00,350.00,276
2013-11-01,335.00,390.00,330.00,375.00,81
2013-12-02,365.00,405.00,340.00,405.00,126
2014-01-01,405.00,690.00,395.00,650.00,649
2014-02-03,655.00,740.00,605.00,650.00,976
2014-03-03,625.00,655.00,470.00,530.00,611
2014-04-01,515.00,860.00,515.00,785.00,643
2014-05-02,750.00,900.00,660.00,730.00,4136
2014-06-02,710.00,915.00,705.00,815.00,3571
2014-07-01,855.00,1285.00,850.00,865.00,63306
2014-08-01,830.00,850.00,620.00,635.00,9294
2014-09-01,605.00,695.00,500.00,565.00,7597
2014-10-01,565.00,625.00,500.00,590.00,1479
2014-11-03,585.00,750.00,550.00,560.00,4163
2014-12-01,545.00,665.00,500.00,565.00,2338
2015-01-01,565.00,775.00,540.00,740.00,4376
2015-02-02,730.00,875.00,615.00,720.00,5059
2015-03-02,710.00,785.00,450.00,710.00,3096
2015-04-01,700.00,835.00,615.00,700.00,2712
2015-05-04,680.00,765.00,590.00,635.00,1606
2015-06-01,625.00,695.00,520.00,680.00,2270
2015-07-01,650.00,770.00,565.00,655.00,2564
2015-08-03,670.00,740.00,400.00,470.00,3712
2015-09-01,475.00,560.00,415.00,475.00,1035
2015-10-01,555.00,585.00,425.00,475.00,2251
2015-11-02,460.00,500.00,420.00,485.00,1405
2015-12-01,480.00,540.00,445.00,500.00,2690
2016-01-01,500.00,595.00,425.00,510.00,2651
2016-02-01,510.00,510.00,330.00,375.00,1058
2016-03-01,350.00,425.00,320.00,360.00,978
2016-04-01,385.00,400.00,330.00,395.00,862
2016-05-02,375.00,565.00,370.00,475.00,3368
2016-06-01,460.00,645.00,410.00,590.00,6855
2016-07-01,585.00,695.00,490.00,645.00,7463
2016-08-01,615.00,670.00,490.00,525.00,1733
2016-09-01,515.00,780.00,480.00,480.00,31735
2016-10-03,480.00,545.00,465.00,510.00,6606
2016-11-01,530.00,545.00,425.00,475.00,3225
2016-12-01,460.00,515.00,400.00,460.00,2263
2017-01-02,485.00,555.00,440.00,465.00,1930
2017-02-01,490.00,540.00,425.00,465.00,1896
2017-03-01,465.00,660.00,420.00,530.00,28908
2017-04-03,545.00,635.00,380.00,385.00,89699
2017-05-02,395.00,395.00,260.00,285.00,13036
2017-06-01,300.00,350.00,240.00,290.00,9924
2017-07-03,300.00,340.00,275.00,295.00,14816
2017-08-01,300.00,340.00,290.00,295.00,3002
2018-01-01,285.00,545.00,285.00,350.00,41320
2018-02-01,335.00,365.00,285.00,300.00,8844
2018-03-01,300.00,310.00,210.00,210.00,5639
2018-04-02,220.00,265.00,210.00,210.00,5084
2018-05-02,205.00,225.00,180.00,200.00,4260
2018-06-01,205.00,210.00,140.00,140.00,3312
2018-07-02,145.00,190.00,130.00,150.00,3133
2018-08-01,145.00,240.00,145.00,190.00,4166
2018-09-03,185.00,200.00,160.00,165.00,979
2018-10-01,165.00,165.00,125.00,125.00,600
2018-11-01,120.00,160.00,120.00,150.00,949
2018-12-03,145.00,145.00,105.00,110.00,888
2019-01-01,110.00,110.00,90.00,90.00,950
2019-02-01,90.00,90.00,75.00,85.00,260
2019-03-01,80.00,95.00,65.00,65.00,1176
2019-04-01,65.00,80.00,60.00,75.00,691
2019-05-02,75.00,80.00,65.00,65.00,259
2019-06-03,65.00,70.00,40.00,40.00,360
2019-07-01,40.00,55.00,30.00,30.00,644
2019-08-01,30.00,35.00,30.00,35.00,1484
2019-09-03,35.00,45.00,35.00,40.00,220
2019-10-01,35.00,55.00,30.00,50.00,1190
2019-11-01,50.00,55.00,40.00,45.00,977
2019-12-02,45.00,70.00,40.00,40.00,1241
2020-01-01,40.00,60.00,40.00,50.00,3374
2020-02-01,50.00,50.00,35.00,40.00,1017
2020-03-02,40.00,50.00,30.00,40.00,2656
2020-04-01,35.00,50.00,35.00,40.00,761
2020-05-04,40.00,45.00,35.00,35.00,209
2020-06-01,35.00,70.00,35.00,65.00,1536
2020-07-01,65.00,115.00,65.00,115.00,12946
2020-08-03,120.00,240.00,120.00,240.00,15793
2020-09-01,250.00,270.00,175.00,175.00,9341
2020-10-01,170.00,170.00,135.00,145.00,2357
2020-11-02,145.00,150.00,130.00,140.00,2460
2020-12-01,145.00,200.00,130.00,165.00,5074
2021-01-01,165.00,195.00,165.00,170.00,2624
2021-02-01,170.00,250.00,165.00,185.00,5660
2021-03-01,190.00,210.00,165.00,165.00,4107
2021-04-01,170.00,170.00,135.00,135.00,1037
2021-05-03,135.00,155.00,125.00,155.00,1255
2021-06-01,155.00,225.00,155.00,195.00,2980
2021-07-01,195.00,335.00,195.00,335.00,3886
2021-08-02,350.00,395.00,250.00,280.00,7127
2021-09-01,290.00,290.00,235.00,260.00,7829
2021-10-01,270.00,330.00,235.00,240.00,3346
2021-11-01,230.00,260.00,220.00,225.00,1360
2021-12-01,225.00,350.00,210.00,350.00,3697
2022-01-03,360.00,695.00,345.00,695.00,22057
2022-02-01,725.00,725.00,330.00,340.00,12429
2022-03-02,340.00,470.00,310.00,355.00,10435
2022-04-01,360.00,635.00,345.00,500.00,20839
2022-05-02,475.00,475.00,370.00,390.00,9535
2022-06-01,390.00,405.00,335.00,345.00,5098
2022-07-01,340.00,445.00,325.00,380.00,7106
2022-08-01,395.00,440.00,335.00,400.00,10378
2022-09-01,415.00,520.00,380.00,465.00,21213
2022-10-03,480.00,530.00,415.00,445.00,8073
2022-11-01,425.00,485.00,400.00,450.00,6706
2022-12-01,460.00,695.00,450.00,505.00,49895
2023-01-02,525.00,525.00,430.00,445.00,7953
2023-02-01,445.00,495.00,400.00,410.00,6888
2023-03-01,405.00,445.00,370.00,395.00,5734
2023-04-03,380.00,465.00,380.00,425.00,4395
2023-05-02,420.00,480.00,370.00,480.00,9135
2023-06-01,485.00,690.00,460.00,525.00,64536
2023-07-03,545.00,550.00,460.00,470.00,10260
2023-08-01,470.00,520.00,460.00,505.00,8307
2023-09-01,505.00,700.00,475.00,695.00,41271
2023-10-03,705.00,1065.00,675.00,885.00,32124
2023-11-01,870.00,870.00,680.00,685.00,3969
2023-12-01,680.00,955.00,680.00,850.00,5086
2024-01-01,865.00,985.00,865.00,985.00,5349
2024-02-01,965.50,1048.75,748.00,756.90,12450
2024-03-01,756.90,816.75,570.10,598.65,18521
2024-04-01,598.65,965.00,598.65,761.55,26990
2024-05-02,767.45,790.00,690.40,746.60,9442
2024-06-03,783.00,786.00,664.10,720.75,12866
2024-07-01,750.00,1222.65,729.15,989.25,54631
2024-08-01,989.25,1005.00,901.60,960.40,3419
2024-09-02,941.20,1000.00,865.00,967.45,11584
2024-10-01,998.95,1055.00,837.05,869.40,11815
2024-11-01,884.00,999.00,867.00,988.25,14841
2024-12-02,1025.00,1050.00,854.00,969.20,26851
2025-01-01,1030.00,1287.00,900.00,965.40,43420
2025-02-01,980.00,1040.00,826.35,846.35,15678
2025-03-03,837.90,951.20,787.80,877.65,9278
2025-04-01,878.00,979.00,811.00,915.30,11453
2025-05-02,915.75,959.40,851.40,913.25,29711
2025-06-02,915.85,974.55,881.00,899.40,41473
2025-07-01,910.20,916.00,854.95,878.60,42853
2025-08-01,866.85,1250.00,813.90,1169.45,87603
2025-09-01,1198.00,1841.90,1069.00,1115.00,99838
2025-10-01,1070.00,1169.00,985.50,1008.00,8222
2025-11-03,1028.80,1033.00,900.00,938.80,4789
2025-12-01,911.00,953.00,852.55,857.90,18335
2026-01-01,853.65,918.00,801.00,809.05,9396
2026-02-01,802.15,914.50,800.00,897.00,8480
2026-03-02,885.40,885.40,750.00,755.20,6071
2026-04-01,790.00,953.50,770.40,903.25,3652
2026-05-04,910.00,947.95,851.00,859.40,2289
2026-06-01,887.40,894.00,805.00,883.00,2464
2026-07-01,879.40,1435.95,851.40,909.00,66748
2026-08-03,892.30,970.00,852.60,857.75,4742
2026-09-01,854.05,889.00,820.00,833.10,2124
