Date,Open,High,Low,Close,Volume
2001-12-03,0.67,0.96,0.62,0.71,106312445
2002-01-01,0.74,0.75,0.66,0.70,37044050
2002-02-01,0.70,0.71,0.65,0.66,48696349
2002-03-01,0.66,0.70,0.55,0.60,47605743
2002-04-01,0.60,0.69,0.59,0.68,26953042
2002-05-01,0.69,0.76,0.67,0.73,60446507
2002-06-03,0.74,0.97,0.68,0.92,83541159
2002-07-01,0.95,1.01,0.61,0.66,87570069
2002-08-01,0.68,0.69,0.64,0.66,10254827
2002-09-02,0.67,0.70,0.62,0.62,8350224
2002-10-01,0.63,0.65,0.58,0.59,11269129
2002-11-01,0.61,0.71,0.57,0.70,6735948
2003-01-01,0.70,0.72,0.64,0.67,11868515
2003-02-03,0.67,0.74,0.66,0.70,8294495
2003-03-03,0.70,0.72,0.64,0.66,9759492
2003-04-01,0.66,0.74,0.66,0.71,8008322
2003-05-01,0.71,0.89,0.71,0.86,26561524
2003-06-02,0.83,1.02,0.74,0.99,80915951
2003-07-01,0.96,1.11,0.82,0.97,89029501
2003-08-01,0.97,1.47,0.97,1.23,258128273
2003-09-01,1.22,1.33,0.94,1.18,67752410
2003-10-01,1.13,1.61,1.13,1.39,148441367
2003-11-03,1.40,1.72,1.33,1.58,196116948
2003-12-01,1.61,1.87,1.38,1.74,223444734
2004-03-01,1.54,1.57,1.18,1.47,25482635
2004-04-01,1.48,2.06,1.43,1.96,147885678
2004-05-03,1.95,2.61,1.72,2.02,392561729
2004-06-01,2.04,2.11,1.54,1.90,78277890
2004-07-01,1.94,2.02,1.71,1.92,103392248
2004-08-02,1.97,2.52,1.87,2.50,317167275
2004-09-01,2.54,2.83,2.34,2.71,215532625
2004-10-01,2.65,2.98,2.40,2.48,115870300
2004-11-01,2.51,2.74,2.27,2.61,225116581
2004-12-01,2.63,3.14,2.39,2.88,408142648
2005-01-03,2.88,3.44,2.35,2.81,416304755
2005-02-01,2.86,3.47,2.82,3.25,232009411
2005-03-01,3.27,3.65,2.96,3.06,192403721
2005-04-01,3.07,3.45,2.90,3.03,70998951
2005-05-02,3.06,3.48,3.01,3.23,68564917
