Date,Open,High,Low,Close,Volume
2010-09-01,65.79,65.79,61.16,62.48,45170
2010-10-01,63.12,66.84,51.47,53.75,462093
2010-11-01,53.82,55.63,41.74,43.96,173027
2010-12-01,45.90,49.81,37.95,46.48,182717
2011-01-03,47.46,47.95,34.52,38.85,93903
2011-02-01,36.75,44.01,32.00,32.88,61728
2011-03-01,34.25,34.74,28.62,28.92,107763
2011-04-01,29.36,36.06,29.04,30.68,50539
2011-05-02,31.56,32.29,25.93,29.43,49922
2011-06-01,28.62,30.14,23.93,25.44,60190
2011-07-01,24.95,39.12,24.07,35.33,594240
2011-08-01,34.25,36.11,26.54,33.71,179385
2011-09-02,34.57,43.40,33.39,40.76,307408
2011-10-03,38.75,43.11,30.34,31.17,174290
2011-11-01,31.34,31.80,26.67,28.89,43721
2011-12-01,29.36,29.36,20.06,20.06,20016
2012-01-02,21.06,26.57,19.52,25.17,34018
2012-02-01,26.28,31.07,25.47,28.36,115084
2012-03-01,28.84,33.76,25.59,29.38,193495
2012-04-02,30.78,31.54,26.42,30.24,43684
2012-05-02,30.34,30.83,18.62,22.26,118151
2012-06-01,22.26,29.36,20.62,25.37,134189
2012-07-02,25.37,29.36,23.07,27.01,136954
2012-08-01,27.74,40.83,25.08,36.45,1232430
2012-09-03,38.61,44.28,17.13,20.31,5986975
2012-10-01,20.55,21.48,17.52,17.57,797484
2012-11-01,17.84,20.55,16.81,18.06,590962
2012-12-03,17.91,18.50,16.88,16.98,448817
2013-01-01,16.88,18.57,15.76,16.24,513213
2013-02-01,16.39,18.10,13.46,13.55,314747
2013-03-01,14.19,14.19,9.69,10.08,338869
2013-04-01,10.54,11.69,10.08,10.98,148119
2013-05-02,10.76,11.67,9.49,9.59,253380
2013-06-03,9.49,12.35,8.32,11.30,331367
2013-07-01,12.04,12.38,8.81,9.42,197793
2013-08-01,10.62,10.76,8.34,10.28,194268
2013-09-02,9.27,11.84,9.05,10.06,181529
2013-10-01,9.79,11.11,9.35,9.44,173432
2013-11-01,9.64,10.67,8.86,9.66,131703
2013-12-02,9.54,12.70,9.39,11.11,376737
2014-01-01,11.01,11.96,8.93,9.20,173583
2014-02-03,9.30,9.71,8.39,8.64,77839
2014-03-03,8.64,11.11,8.44,9.25,359977
2014-04-01,9.20,12.23,9.05,10.54,363925
2014-05-02,10.57,12.97,9.39,11.45,335681
2014-06-02,11.45,16.54,10.89,13.02,1088648
2014-07-01,12.87,13.46,10.52,11.11,200859
2014-08-01,11.11,15.61,10.52,14.29,1313564
2014-09-01,14.68,16.24,12.92,13.55,779192
2014-10-01,13.46,14.65,11.65,13.65,261069
2014-11-03,13.46,22.73,12.28,21.65,1970301
2014-12-01,22.12,24.76,16.07,18.81,2624301
2015-01-01,18.69,27.65,17.64,21.14,4540194
