Date,Open,High,Low,Close,Volume
2006-04-03,54.00,71.80,47.45,68.01,79145500
2006-05-02,69.74,74.59,41.70,45.86,8467430
2006-06-01,46.40,47.90,29.00,37.67,1847395
2006-07-03,36.85,41.44,32.82,33.90,377730
2006-08-01,34.14,41.60,33.40,37.58,1001175
2006-09-01,37.44,40.97,36.40,37.34,1003605
2006-10-03,38.40,54.07,37.42,50.99,8903475
2006-11-01,53.60,54.00,45.42,46.24,800525
2006-12-01,45.80,47.60,41.12,43.89,359495
2007-01-02,44.40,54.00,43.80,48.77,913105
2007-02-01,49.60,50.80,42.04,43.45,257685
2007-03-01,43.40,44.79,34.30,35.69,234250
2007-04-02,36.00,43.80,35.80,38.80,73940
2007-05-03,41.65,41.65,34.45,37.04,191700
2007-06-01,36.65,38.80,34.82,37.64,77675
2007-07-02,37.60,49.00,36.00,41.81,883885
2007-08-01,41.02,46.24,36.26,45.29,177840
2007-09-03,42.40,81.00,42.40,71.83,4846135
2007-10-01,72.90,98.00,61.05,78.10,6367455
2007-11-01,78.00,86.00,69.20,72.20,2265475
2007-12-03,74.00,89.80,71.00,83.74,2519740
2008-01-01,86.00,112.88,77.81,103.32,1320995
2008-02-01,82.00,82.00,82.00,82.00,100
2008-03-03,80.00,80.00,53.80,65.20,206195
2008-04-01,62.20,68.98,55.82,65.00,57695
2008-05-02,64.00,68.00,47.40,53.47,28755
2008-06-02,53.47,59.80,45.60,50.00,69805
2008-07-01,51.00,53.60,39.15,39.61,57275
2008-08-01,39.72,48.00,36.80,38.35,125165
2008-09-01,37.82,40.80,26.80,30.22,6178745
2008-10-01,30.99,37.00,23.10,30.99,23675
2008-11-03,31.40,31.80,20.00,20.41,77415
2008-12-01,19.40,36.40,19.34,30.00,171990
2009-01-01,30.40,31.96,20.02,25.17,700300
2009-02-02,27.98,27.98,20.22,21.80,37260
2009-03-02,22.00,22.00,17.30,20.00,74710
2009-04-01,18.10,28.64,18.10,19.96,271825
2009-05-04,20.04,30.00,18.51,28.16,3145950
2009-06-01,28.98,33.00,25.20,27.02,2714380
2009-07-01,26.00,36.80,25.60,34.34,925610
2009-08-03,35.99,38.98,30.80,37.58,1684610
2009-09-01,38.40,41.89,35.00,38.08,981805
2009-10-01,37.46,51.94,37.00,41.50,3773485
2009-11-03,44.60,48.80,41.40,46.91,1428360
2009-12-01,48.00,55.79,46.44,52.65,1973560
2010-01-04,53.20,62.00,44.60,48.00,1760080
2010-02-01,49.80,57.14,44.80,47.32,2885225
2010-03-02,47.79,52.90,47.29,49.13,564735
2010-04-01,49.98,56.98,48.66,53.05,231775
2010-05-03,53.50,61.60,49.65,54.88,237245
2010-06-01,54.70,64.20,52.51,63.39,1107995
2010-07-01,62.06,74.00,61.60,70.64,291585
2010-08-02,71.40,80.90,69.65,74.78,2199060
2010-09-01,75.20,84.00,71.21,77.86,620750
2010-10-01,78.90,114.80,78.20,109.40,5860995
2010-11-01,110.78,130.00,108.21,117.52,1121160
2010-12-01,121.96,125.10,98.40,123.04,704215
2011-01-03,120.62,130.00,101.11,113.42,616295
2011-02-01,113.42,114.00,86.23,98.11,163495
2011-03-01,104.00,114.00,94.00,109.95,115285
2011-04-01,111.58,118.87,106.01,112.52,167530
2011-05-02,115.97,119.98,106.00,110.38,129470
2011-06-01,111.00,147.36,108.00,139.64,2621370
2011-07-01,139.02,158.86,132.00,147.19,855700
2011-08-01,147.00,165.79,133.42,152.35,439075
2011-09-02,154.00,175.00,147.03,163.85,247750
2011-10-03,162.80,167.00,150.44,156.12,226810
2011-11-01,157.82,162.40,133.00,147.00,224630
2011-12-01,149.94,150.38,117.31,139.70,322310
2012-01-02,140.40,159.80,121.33,125.23,111145
2012-02-01,126.99,140.64,122.85,128.40,61920
2012-03-01,128.40,138.96,126.00,131.01,157195
2012-04-02,133.00,135.00,123.14,124.66,163225
2012-05-02,131.96,131.96,112.12,116.68,142215
2012-06-01,113.80,129.99,109.40,116.00,118220
2012-07-02,116.40,118.00,97.07,100.79,561495
2012-08-01,98.46,124.00,98.46,120.00,598805
2012-09-03,121.00,149.40,116.80,136.00,215710
2012-10-01,135.99,144.00,132.42,139.00,200040
2012-11-01,138.79,154.00,134.03,146.00,156310
2012-12-03,145.80,147.00,129.37,143.40,218140
2013-01-01,140.00,147.60,137.20,147.01,264455
2013-02-01,142.25,154.59,134.10,142.00,160210
2013-03-01,143.60,155.00,134.01,145.58,135390
2013-04-01,142.42,148.00,136.81,144.00,489230
2013-05-02,140.00,169.00,140.00,165.00,208800
2013-06-03,167.41,180.64,144.24,154.19,350030
2013-07-01,150.20,165.00,143.01,147.01,176385
2013-08-01,148.00,158.73,140.00,144.41,531465
2013-09-02,148.01,163.80,143.20,163.00,385685
2013-10-01,156.20,202.00,154.20,191.02,295060
2013-11-01,190.31,232.40,190.31,224.00,248280
2013-12-02,229.99,234.96,208.08,230.60,474465
2014-01-01,230.01,248.80,196.00,214.00,224800
2014-02-03,210.20,221.00,194.28,204.60,313230
2014-03-03,209.57,247.99,202.40,231.00,348760
2014-04-01,232.01,259.00,218.00,248.00,261945
2014-05-02,250.00,286.58,230.70,277.99,480655
2014-06-02,283.01,355.00,255.00,334.07,250390
2014-07-01,333.20,365.80,320.00,354.02,649740
2014-08-01,341.41,354.80,320.25,345.20,77410
2014-09-01,349.91,377.00,345.05,368.64,185910
2014-10-01,372.00,375.99,333.97,338.67,238720
2014-11-03,350.00,390.00,330.00,379.21,379660
2014-12-01,380.00,400.00,344.60,389.07,489520
2015-01-01,391.60,398.00,369.00,383.74,322130
2015-02-02,374.01,388.60,330.00,364.94,178805
2015-03-02,357.40,436.00,357.40,425.16,321040
2015-04-01,425.00,476.00,382.80,445.08,94165
2015-05-04,459.80,460.01,392.01,399.12,43595
2015-06-01,408.00,451.00,391.40,423.36,101035
2015-07-01,429.79,464.00,392.00,437.67,234655
2015-08-03,437.67,456.00,372.56,442.20,223795
2015-09-01,439.33,459.58,411.26,429.97,40100
2015-10-01,437.00,443.00,392.23,420.50,264305
2015-11-02,423.00,447.00,372.62,384.15,71000
2015-12-01,400.00,450.00,382.20,440.78,55485
2016-01-01,427.56,449.20,386.12,413.69,64560
2016-02-01,404.00,414.00,341.50,360.00,20825
2016-03-01,367.00,383.00,321.99,352.72,272015
2016-04-01,373.88,373.88,334.00,360.00,13990
2016-05-02,360.00,367.95,344.00,359.65,198320
2016-06-01,360.00,367.80,343.60,363.60,168445
2016-07-01,360.00,375.00,352.50,366.28,48545
2016-08-01,366.28,377.59,358.10,363.40,41330
2016-09-01,370.88,390.00,366.12,380.07,44950
2016-10-03,380.00,390.20,366.21,377.87,28660
2016-11-01,392.60,392.86,340.10,365.20,33525
2016-12-01,363.87,368.79,349.08,356.00,222345
2017-01-02,360.00,360.18,337.60,347.87,26315
2017-02-01,349.00,362.00,342.00,347.50,46040
2017-03-01,353.34,364.80,323.80,347.17,260375
2017-04-03,347.00,401.36,330.00,354.46,127935
2017-05-02,358.00,376.44,335.80,343.60,343075
2017-06-01,343.60,349.80,327.12,343.18,64110
2017-07-03,343.18,367.80,339.00,341.74,183210
2017-08-01,340.00,341.20,321.40,329.96,277240
2017-09-01,332.00,359.40,320.20,340.64,361020
2017-10-03,340.00,401.76,321.10,369.39,1087900
2017-11-01,377.66,390.00,365.20,379.64,63660
2017-12-01,376.45,386.00,367.25,379.80,17065
2018-01-01,379.40,428.70,338.00,341.23,507800
2018-02-01,345.13,345.70,306.13,310.26,170520
2018-03-01,319.56,326.00,287.80,302.15,273260
2018-04-02,298.06,333.00,298.06,309.26,49100
2018-05-02,311.16,319.72,296.22,301.82,81350
2018-06-01,309.79,309.79,276.01,281.08,2002965
2018-07-02,280.00,301.58,267.23,299.39,70510
2018-08-01,299.20,301.60,282.38,295.06,30350
2018-09-03,295.06,300.00,259.80,268.87,28650
2018-10-01,260.26,290.00,246.01,257.05,89020
2018-11-01,261.80,277.72,251.00,258.96,35660
2018-12-03,258.00,265.00,235.61,260.50,51515
2019-01-01,258.62,264.00,227.00,240.44,50235
2019-02-01,246.99,250.01,225.00,235.46,27215
2019-03-01,231.31,264.32,230.21,260.07,86260
