Date,Open,High,Low,Close,Volume
2021-11-01,512.20,754.90,461.10,656.45,101286385
2021-12-01,669.70,680.00,486.00,561.55,40850197
2022-01-03,565.90,617.50,480.10,498.20,20387258
2022-02-01,505.30,573.80,368.10,409.65,18539999
2022-03-02,403.95,463.00,395.10,422.75,15672754
2022-04-01,425.00,546.55,423.00,442.20,25063622
2022-05-02,434.90,445.65,366.10,400.75,10722892
2022-06-01,402.80,416.00,305.25,333.95,10545129
2022-07-01,332.00,389.90,308.75,372.00,10691138
2022-08-01,373.50,403.60,350.00,368.25,9154217
2022-09-01,368.05,421.45,350.00,357.30,11734070
2022-10-03,357.00,407.90,350.05,392.65,6546720
2022-11-01,390.00,403.30,363.70,373.95,6313824
2022-12-01,378.40,380.50,320.00,371.20,8702911
2023-01-02,374.00,391.40,360.50,369.05,5951466
2023-02-01,373.00,374.25,345.50,346.15,3663702
2023-03-01,346.00,368.15,310.45,321.10,6191275
2023-04-03,325.70,369.85,324.10,360.40,3787233
2023-05-02,364.40,378.80,321.90,337.45,12570893
2023-06-01,338.40,367.00,331.50,351.65,12458823
2023-07-03,353.85,401.90,350.00,379.55,22094488
2023-08-01,381.90,449.95,371.30,426.00,36182166
2023-09-01,428.05,466.45,406.00,410.70,19642186
2023-10-03,411.40,443.90,392.85,398.15,13108944
2023-11-01,401.50,503.90,398.00,491.10,38262280
2023-12-01,492.00,503.90,432.00,455.05,19013628
2024-01-01,457.70,492.00,442.80,470.55,21421327
2024-02-01,470.00,544.80,461.40,509.75,30025696
2024-03-01,512.95,527.00,430.00,507.75,18390200
2024-04-01,511.85,567.10,470.55,498.25,17796108
2024-05-02,498.25,504.40,455.00,476.30,4260104
2024-06-03,489.00,526.70,444.00,501.30,4588961
2024-07-01,501.30,575.00,500.00,514.30,10076800
2024-08-01,522.85,527.50,470.00,483.45,7965488
2024-09-02,483.90,500.00,454.80,473.25,7921839
2024-10-01,474.00,493.45,440.55,458.25,6490240
2024-11-01,464.65,510.00,434.00,447.90,7907573
2024-12-02,447.55,520.25,443.65,489.50,11984131
2025-01-01,491.00,509.95,401.70,438.15,6299949
2025-02-01,438.15,466.00,370.05,383.25,5513970
2025-03-03,384.75,395.95,345.90,367.55,8221960
2025-04-01,370.00,431.40,341.20,393.25,10966084
2025-05-02,395.75,433.70,382.25,416.05,7982384
2025-06-02,412.20,430.80,390.10,411.50,10175466
2025-07-01,410.00,467.00,403.10,410.00,17655935
2025-08-01,412.90,444.00,386.40,415.45,6095366
2025-09-01,414.00,434.20,398.50,408.45,4186136
2025-10-01,411.70,452.00,406.20,448.35,7946121
2025-11-03,450.00,514.00,434.00,498.35,25164372
2025-12-01,501.00,517.50,449.15,458.70,43893758
2026-01-01,457.00,470.00,379.00,407.10,4731577
2026-02-01,407.10,484.70,332.25,337.20,31166334
2026-03-02,315.75,331.95,248.00,251.15,16124912
2026-04-01,263.85,323.65,256.75,292.35,107043094
2026-05-04,296.40,340.85,277.30,322.55,29893590
2026-06-01,322.60,335.40,267.30,270.80,18717034
2026-07-01,271.35,324.80,262.05,316.20,31790194
2026-08-03,300.00,308.70,267.70,269.80,14257334
2026-09-01,268.55,276.65,251.05,255.35,7354330
