Date,Open,High,Low,Close,Volume
2018-06-01,76.95,76.95,63.60,63.60,190
2018-07-02,63.55,66.70,50.00,54.00,230754
2018-08-01,56.70,59.50,47.35,55.00,22337
2018-09-03,55.00,59.80,52.25,59.00,1437
2018-10-01,57.00,57.00,46.25,46.25,2222
2018-11-01,45.10,45.10,41.00,45.05,1783
2018-12-03,42.80,42.80,40.05,41.00,21217
2019-01-01,40.55,46.25,40.25,43.95,1362
2019-02-01,44.00,45.10,40.05,44.30,1836
2019-03-01,44.30,47.50,42.10,46.00,18308
2019-04-01,47.95,47.95,41.55,44.00,11026
2019-05-02,41.80,47.25,38.70,44.00,12115
2019-06-03,42.00,46.00,40.00,44.00,7604
2019-07-01,42.10,42.95,37.00,37.00,3415
2019-08-01,36.00,41.60,35.15,40.45,8703
2019-09-03,40.35,41.95,37.95,41.95,1253
2019-10-01,41.05,44.10,38.00,42.55,3225
2019-11-01,44.60,44.60,37.05,37.25,2695
2019-12-02,38.50,40.75,32.60,32.60,4762
2020-01-01,31.00,33.50,27.55,29.50,5064
2020-02-01,28.35,29.75,24.25,26.70,3675
2020-03-02,25.40,28.40,23.00,26.75,6286
2020-04-01,26.70,33.00,26.00,32.00,1622
2020-05-04,32.00,32.00,24.25,24.50,1676
2020-06-01,24.50,32.80,23.95,31.60,12890
2020-07-01,30.05,34.90,25.00,29.30,18111
2020-08-03,27.85,35.80,27.85,32.25,30391
2020-09-01,33.85,33.85,25.35,30.00,15042
2020-10-01,30.00,32.20,27.35,27.85,6599
2020-11-02,27.75,33.65,27.75,31.80,6247
2020-12-01,33.35,38.95,30.65,36.00,19821
2021-01-01,34.25,58.30,33.50,58.30,59566
2021-02-01,60.00,153.70,58.30,153.70,267587
2021-03-01,161.35,216.05,95.70,95.70,97115
2021-04-01,90.95,104.85,71.35,78.60,140455
2021-05-03,79.00,82.00,72.50,75.30,98645
2021-06-01,73.05,78.00,71.25,75.25,87805
2021-07-01,75.45,76.50,68.50,73.50,71187
2021-08-02,73.50,73.50,60.15,65.20,39916
2021-09-01,66.50,116.70,65.25,90.95,118857
2021-10-01,92.80,92.80,76.30,77.85,90965
2021-11-01,79.40,85.00,72.15,75.10,38456
2021-12-01,74.00,85.25,72.00,75.75,135853
2022-01-03,75.90,83.80,72.00,78.30,92595
2022-02-01,78.30,79.25,63.10,67.95,47634
2022-03-02,66.60,73.80,64.65,69.05,40836
2022-04-01,71.10,76.15,65.25,67.45,39514
2022-05-02,67.95,70.45,58.00,63.35,20516
2022-06-01,65.85,67.45,51.55,54.60,18008
2022-07-01,56.00,60.90,52.05,56.80,25918
2022-08-01,57.95,59.00,51.65,57.20,51096
2022-09-01,55.75,87.85,55.75,77.60,157007
2022-10-03,79.20,80.00,69.00,72.65,23178
2022-11-01,72.65,78.00,68.75,70.00,28516
2022-12-01,71.00,77.45,63.20,71.50,23890
2023-01-02,71.00,74.40,65.35,68.15,21952
2023-02-01,68.20,70.00,64.55,69.00,7362
2023-03-01,68.50,68.50,51.10,56.15,19983
2023-04-03,58.00,65.90,58.00,63.00,8738
2023-05-02,63.90,66.60,61.00,64.75,12794
2023-06-01,64.75,67.70,61.00,62.95,17059
2023-07-03,63.40,74.95,61.50,70.00,54005
2023-08-01,70.40,75.00,66.50,72.50,43949
2023-09-01,72.50,75.45,68.55,72.25,34656
2023-10-03,75.00,92.20,71.00,85.50,189322
2023-11-01,82.50,100.50,81.70,89.00,155821
2023-12-01,89.00,91.00,81.00,85.00,68617
2024-01-01,85.00,97.90,82.05,88.85,142407
2024-02-01,91.90,109.20,86.00,96.95,201173
2024-03-01,100.00,106.00,79.10,86.90,101944
2024-04-01,90.00,120.05,85.15,104.20,547841
2024-05-02,100.55,105.25,91.10,92.20,88589
2024-06-03,94.95,108.00,85.00,97.75,104875
2024-07-01,100.99,105.00,94.00,101.10,115542
2024-08-01,103.10,130.46,93.27,130.46,270345
2024-09-02,129.90,154.54,123.50,129.15,742707
2024-10-01,129.15,138.50,112.50,119.22,55966
2024-11-01,123.00,131.00,116.00,128.99,46204
2024-12-02,133.70,140.88,120.50,122.24,97898
2025-01-01,126.41,130.00,102.83,111.14,55403
2025-02-01,110.16,119.93,91.11,98.17,51904
2025-03-03,101.00,110.80,90.33,105.14,60329
2025-04-01,105.14,163.70,90.00,131.37,915101
2025-05-02,133.90,151.50,119.10,132.84,288252
2025-06-02,131.51,134.00,113.60,124.41,79089
2025-07-01,128.45,136.00,115.31,118.50,43726
2025-08-01,113.61,124.99,110.60,112.13,16096
2025-09-01,112.14,130.00,111.00,117.76,89778
2025-10-01,114.30,148.00,114.00,127.09,930110
2025-11-03,128.83,130.90,109.00,110.11,70307
2025-12-01,113.25,167.50,98.41,142.97,2226504
2026-01-01,142.00,144.80,108.79,124.17,311002
2026-02-01,130.37,136.88,115.11,117.12,195722
2026-03-02,117.99,117.99,105.01,106.32,72339
2026-04-01,109.70,139.80,108.10,136.88,153161
2026-05-04,136.88,152.00,127.08,133.73,249585
2026-06-01,135.00,135.00,123.00,129.60,43703
2026-07-01,132.19,135.60,115.50,120.84,44815
2026-08-03,121.51,145.00,111.21,129.55,146336
2026-09-01,132.00,139.00,117.31,120.24,40337
