Date,Open,High,Low,Close,Volume
2017-11-01,375.00,375.00,316.12,316.65,9234984
2017-12-01,318.40,318.45,266.55,300.55,4107968
2018-01-01,303.92,322.50,301.50,318.58,4626730
2018-02-01,318.58,375.77,318.02,355.42,3334830
2018-03-01,356.50,362.50,317.50,356.42,1363832
2018-04-02,346.00,354.98,326.42,331.40,1186956
2018-05-02,330.50,382.42,326.92,341.17,3210976
2018-06-01,342.50,347.50,308.00,317.45,1566156
2018-07-02,317.45,318.00,252.70,284.20,1335573
2018-08-01,285.00,291.95,235.75,250.10,1631130
2018-09-03,255.00,257.25,216.55,224.70,2258053
2018-10-01,226.10,227.35,198.00,216.95,2862647
2018-11-01,219.90,238.20,196.55,197.25,691183
2018-12-03,197.25,207.00,171.20,179.75,2134832
2019-01-01,178.55,187.30,172.00,174.85,697087
2019-02-01,174.00,184.85,169.00,172.50,647250
2019-03-01,172.15,219.00,172.15,189.75,6334957
2019-04-01,192.40,195.45,179.25,180.15,1369640
2019-05-02,180.00,181.70,161.55,163.45,865466
2019-06-03,163.00,165.60,147.00,149.35,1174953
2019-07-01,150.10,159.90,110.60,114.20,2537068
2019-08-01,112.25,126.50,101.45,105.40,1011414
2019-09-03,105.00,113.00,99.55,109.35,2825431
2019-10-01,111.20,179.15,94.40,167.80,20899907
2019-11-01,169.85,173.90,144.20,148.35,8513710
2019-12-02,149.75,153.80,131.15,135.45,8034936
2020-01-01,136.70,172.00,133.80,155.50,12547325
2020-02-01,157.80,164.00,107.50,109.45,8205686
2020-03-02,111.55,120.95,74.10,112.30,7249505
2020-04-01,112.30,131.25,98.85,119.85,8815274
2020-05-04,116.00,130.00,111.25,120.80,5282024
2020-06-01,123.15,138.00,108.90,116.65,13406220
2020-07-01,122.45,125.80,110.05,112.70,23296983
2020-08-03,112.70,122.00,111.10,113.85,14317903
2020-09-01,114.00,115.45,101.00,104.60,5018213
2020-10-01,105.80,108.20,100.15,101.25,2054307
2020-11-02,102.30,120.00,99.80,117.55,9896000
2020-12-01,116.50,139.75,115.05,128.85,19627675
2021-01-01,129.80,143.80,124.50,127.00,17153067
2021-02-01,128.00,197.00,127.85,153.65,53769410
2021-03-01,154.60,180.80,147.05,154.35,35871684
2021-04-01,155.30,163.30,142.15,145.85,15508959
2021-05-03,145.85,170.45,143.50,163.30,23754666
2021-06-01,164.40,183.00,160.00,169.60,32525228
