Date,Open,High,Low,Close,Volume
2006-03-01,180.00,212.40,161.25,201.35,49398121
2006-04-03,200.10,210.00,176.55,200.85,6895861
2006-05-02,208.90,237.40,141.25,181.80,6450117
2006-06-01,187.30,188.70,112.00,162.55,1715422
2006-07-03,169.70,169.70,125.50,138.60,739989
2006-08-01,140.00,200.95,125.00,200.95,1379668
2006-09-01,203.95,221.00,195.00,218.00,2207636
2006-10-03,223.00,223.00,176.50,177.90,656945
2006-11-01,184.00,237.40,180.00,227.60,4028004
2006-12-01,229.75,265.00,217.00,253.05,3683054
2007-01-02,255.20,260.00,225.25,239.15,1441832
2007-02-01,239.95,272.40,195.00,200.15,1742818
2007-03-01,210.00,217.00,172.65,192.00,1663392
2007-04-02,188.00,215.00,182.00,198.65,966127
2007-05-03,201.00,218.50,190.10,197.95,718021
2007-06-01,200.50,217.00,176.00,207.70,434031
2007-07-02,206.00,250.90,200.45,232.15,2197918
2007-08-01,227.00,256.00,205.30,249.95,884469
2007-09-03,248.70,250.00,222.05,230.15,468710
2007-10-01,239.95,340.00,216.30,315.15,1752817
2007-11-01,310.00,360.00,281.75,296.05,1111508
2007-12-03,292.15,320.00,283.00,286.40,268118
2008-01-01,299.00,300.00,211.25,270.20,359819
2008-02-01,262.00,273.00,231.00,257.55,30009
2008-03-03,256.00,268.80,203.30,244.95,1487463
2008-04-01,225.00,262.95,216.25,222.60,113470
2008-05-02,223.15,229.80,175.00,178.45,29782
2008-06-02,176.00,180.00,121.10,122.05,516482
2008-07-01,120.00,125.25,94.10,98.40,575843
2008-08-01,99.00,119.00,96.40,103.50,280282
2008-09-01,104.35,108.80,60.85,69.30,83648
2008-10-01,70.35,86.90,38.25,39.75,59334
2008-11-03,42.00,49.00,28.65,32.95,58329
2008-12-01,31.05,43.00,29.20,35.60,118956
2009-01-01,36.85,49.55,26.05,31.90,304346
2009-02-02,31.85,35.95,25.10,26.30,1688327
2009-03-02,25.10,26.50,20.70,23.55,997699
2009-04-01,23.95,39.90,23.75,33.80,1184549
2009-05-04,36.50,55.90,35.00,55.85,1126648
2009-06-01,58.65,74.95,54.25,63.15,1576442
2009-07-01,63.90,66.45,50.05,60.80,890211
2009-08-03,60.75,69.00,55.00,64.95,963564
2009-09-01,63.80,74.30,52.15,61.80,2848378
2009-10-01,61.50,64.90,47.75,49.45,3404853
2009-11-03,49.00,62.00,45.25,51.90,2547801
2009-12-01,52.20,54.75,48.10,53.10,1417304
2010-01-04,54.20,60.00,45.00,48.95,1809442
2010-02-01,48.95,51.05,41.20,43.85,464022
2010-03-02,44.40,53.00,44.25,50.80,967877
2010-04-01,50.95,59.15,50.00,51.80,1322065
2010-05-03,51.00,51.95,40.30,45.25,358066
2010-06-01,45.60,48.70,42.60,45.70,316577
2010-07-01,45.00,62.50,44.85,60.65,9172838
2010-08-02,61.05,64.75,56.20,62.55,2680749
2010-12-01,83.00,85.00,64.75,68.00,1165899
2011-01-03,68.00,74.80,56.15,58.25,736194
2011-02-01,59.95,64.50,46.50,50.55,726571
2011-03-01,51.85,66.90,50.40,60.65,1252619
2011-04-01,60.50,68.00,60.50,61.80,414432
2011-05-02,62.00,71.30,56.15,58.05,1760712
2011-06-01,58.00,65.40,54.20,57.90,664010
2011-07-01,57.80,69.10,53.50,62.85,614018
2011-08-01,64.00,66.35,46.00,52.50,664716
