Date,Open,High,Low,Close,Volume
2023-01-02,103.33,106.00,68.20,77.83,2091412
2023-02-01,82.63,86.53,67.30,68.47,2615565
2023-03-01,69.00,86.67,64.30,70.23,3447464
2023-04-03,72.67,84.50,66.53,69.07,2192096
2023-05-02,70.47,83.33,67.10,78.17,5501011
2023-06-01,78.30,81.77,72.70,74.03,1757522
2023-07-03,73.43,77.77,68.00,70.33,1945602
2023-08-01,70.60,72.60,60.33,64.60,2607171
2023-09-01,67.27,71.13,60.00,67.37,2717737
2023-10-03,67.37,68.83,57.67,60.63,1760247
2023-11-01,61.50,67.33,57.37,62.57,2716377
2023-12-01,62.77,65.27,57.73,59.93,2656861
2024-01-01,60.77,83.27,59.33,72.97,9662617
2024-02-01,74.07,99.33,68.70,82.60,11555562
2024-03-01,83.00,94.35,63.33,90.70,8497694
2024-04-01,92.50,106.50,78.05,79.50,6463341
2024-05-02,81.75,82.00,71.85,76.60,1887841
2024-06-03,79.00,96.50,76.25,85.68,4203571
2024-07-01,86.00,100.75,84.57,89.82,5084991
2024-08-01,90.70,106.00,81.50,100.46,11690061
2024-09-02,100.46,129.11,93.51,121.32,27263446
2024-10-01,122.80,143.40,99.00,112.82,24292796
2024-11-01,116.95,119.00,100.90,103.14,1396729
2024-12-02,103.14,120.00,97.50,98.07,1385818
2025-01-01,99.00,108.00,89.00,98.72,1577351
2025-02-01,98.00,106.49,65.41,66.45,1836487
2025-03-03,68.60,71.85,53.16,59.80,7007215
2025-04-01,59.00,67.01,52.70,59.63,1720305
2025-05-02,58.25,91.40,56.00,82.30,5913588
2025-06-02,82.00,94.00,73.00,80.09,2608803
2025-07-01,79.25,81.70,71.85,72.06,543726
2025-08-01,71.00,73.79,68.00,71.78,623055
2025-09-01,70.50,80.50,68.00,72.74,1613887
2025-10-01,72.87,73.50,61.99,68.12,1410213
2025-11-03,68.25,69.98,60.60,61.93,1051362
2025-12-01,63.79,63.79,55.30,56.68,1033985
2026-01-01,56.97,58.50,48.80,53.36,1173690
2026-02-01,52.58,56.68,50.81,53.10,658689
2026-03-02,50.70,53.10,45.10,46.75,1277273
2026-04-01,49.05,57.50,47.00,55.29,832268
2026-05-04,56.36,68.50,50.80,66.66,2575458
2026-06-01,69.00,84.98,64.21,83.70,3155778
2026-07-01,84.20,114.00,83.60,106.59,2850052
2026-08-03,108.72,125.00,108.72,122.50,1338701
2026-09-01,120.50,143.98,120.05,143.67,1462414
