Date,Open,High,Low,Close,Volume
2025-10-01,81.50,100.00,81.10,90.78,5426779
2025-11-03,90.05,107.40,87.00,95.31,6389096
2025-12-01,93.99,100.80,85.10,95.44,2082928
2026-01-01,94.10,101.50,81.30,91.80,1818767
2026-02-01,90.00,96.00,76.45,79.54,1469647
2026-03-02,77.00,85.00,58.95,59.64,1928859
2026-04-01,62.00,85.00,61.71,81.98,801360
2026-05-04,82.91,95.00,79.60,84.23,1337256
2026-06-01,85.00,101.80,76.30,95.28,1579438
2026-07-01,95.28,114.33,87.50,89.66,2016134
2026-08-03,89.66,99.50,84.00,89.50,240406
2026-09-01,88.60,91.50,83.50,85.16,75119
