Date,Open,High,Low,Close,Volume
2004-03-01,8.50,8.50,6.00,7.35,58397940
2004-04-01,7.42,13.40,7.38,11.57,683906086
2004-05-03,11.57,13.25,8.45,11.45,280902366
2004-06-01,11.45,11.95,9.48,10.80,67588312
2004-07-01,10.98,12.02,10.00,11.05,60118144
2004-08-02,11.07,12.52,10.70,12.12,110293670
2004-09-01,12.25,12.85,11.77,11.90,74608172
2004-10-01,12.00,13.00,9.75,11.62,38590756
2004-11-01,11.75,12.35,11.40,11.73,32683214
2004-12-01,11.50,16.55,11.25,15.75,207985710
2005-01-03,15.98,24.40,15.75,22.12,534482690
2005-02-01,22.38,25.00,21.45,21.92,172177802
2005-03-01,22.00,23.00,19.08,21.15,79420856
2005-04-01,21.33,22.25,19.27,19.60,39202272
2005-05-02,19.95,22.92,19.30,20.88,67336422
2005-06-01,21.08,22.70,20.45,20.58,47122570
2005-07-01,20.60,28.48,20.38,24.67,319545930
2005-08-01,24.52,28.15,23.00,27.80,126991922
2005-09-01,28.50,31.08,26.58,29.73,145880710
2005-10-03,30.12,32.40,27.55,29.05,80605964
2005-11-01,29.48,35.83,29.05,32.85,82929456
2005-12-01,33.20,34.35,30.88,32.90,61380578
2006-01-02,33.05,34.25,31.80,32.28,32822544
2006-02-01,32.50,32.50,28.88,30.05,25178974
2006-03-01,29.55,30.90,26.60,27.45,29501556
2006-04-03,27.50,31.17,25.55,29.38,49447374
2006-05-02,30.52,32.50,22.50,24.02,77158202
2006-06-01,24.50,24.65,17.62,22.12,31226086
2006-07-03,23.40,24.25,20.85,23.00,22591382
2006-08-01,23.00,25.95,22.33,24.60,27229774
2006-09-01,24.98,26.08,22.55,24.05,34843928
2006-10-03,23.83,32.35,23.83,27.58,118721382
2006-11-01,28.80,30.15,24.88,26.10,40611352
2006-12-01,26.33,26.45,22.55,24.05,19438566
2007-01-02,24.15,29.50,24.00,26.08,40500530
2007-02-01,26.27,26.30,21.55,22.65,23296360
2007-03-01,23.17,23.25,20.75,21.10,18268804
