Date,Open,High,Low,Close,Volume
2021-11-01,1150.00,1470.00,1149.00,1215.60,74311251
2021-12-01,1247.00,1274.00,885.00,950.30,19489164
2022-01-03,957.90,1052.95,725.25,795.05,18376575
2022-02-01,807.00,972.40,618.00,662.05,22910420
2022-03-02,657.90,789.85,630.35,694.30,13518410
2022-04-01,693.00,825.05,645.40,668.25,8364179
2022-05-02,655.00,748.00,540.10,663.65,23529667
2022-06-01,664.60,679.45,552.00,572.95,35971290
2022-07-01,571.95,603.00,454.30,468.25,18472164
2022-08-01,471.45,597.30,466.30,503.05,28428821
2022-09-01,504.50,575.00,461.00,472.55,22105976
2022-10-03,473.00,495.80,371.00,386.05,12293609
2022-11-01,386.05,482.00,356.20,452.75,164175904
2022-12-01,458.50,500.70,433.00,448.30,70239022
2023-01-02,451.00,477.95,395.00,428.55,24360698
2023-02-01,427.95,588.40,390.70,558.25,64554009
2023-03-01,562.25,655.60,547.05,638.90,54980786
2023-04-03,641.60,646.95,566.30,600.10,19380196
2023-05-02,601.90,655.00,583.50,605.95,36686011
2023-06-01,605.00,731.90,588.10,696.80,57609402
2023-07-03,696.55,782.00,683.95,731.55,27353396
2023-08-01,735.00,818.00,706.00,774.65,32110410
2023-09-01,782.00,814.90,725.15,765.25,19948121
2023-10-03,762.00,777.00,661.30,700.70,25173134
2023-11-01,704.00,846.50,690.60,833.05,23874429
2023-12-01,829.05,891.00,725.25,794.65,26945221
2024-01-01,794.65,1045.30,767.25,1002.40,32429812
2024-02-01,1030.00,1180.00,852.00,1167.40,51881190
2024-03-01,1150.00,1210.95,1035.05,1124.25,36129864
2024-04-01,1124.25,1400.35,1108.05,1264.90,36313905
2024-05-02,1264.95,1380.00,1159.05,1294.40,85721660
2024-06-03,1292.90,1458.00,1193.05,1397.25,30652118
2024-07-01,1400.20,1543.00,1362.55,1453.00,23455353
2024-08-01,1458.65,1849.90,1416.00,1772.25,40978715
2024-09-02,1783.00,1966.50,1545.05,1619.95,41951462
2024-10-01,1645.00,1779.00,1595.40,1701.15,29323097
2024-11-01,1716.95,1920.20,1596.60,1893.90,24925095
2024-12-02,1888.40,2210.00,1848.15,2108.85,34483407
2025-01-01,2103.00,2246.90,1547.25,1726.80,38129227
2025-02-01,1740.00,1777.10,1442.05,1463.60,34370219
2025-03-03,1457.00,1698.00,1311.35,1589.75,48023680
2025-04-01,1586.00,1709.80,1381.90,1625.30,29338387
2025-05-02,1615.00,1853.70,1558.40,1761.60,32489127
2025-06-02,1755.00,1978.00,1724.80,1823.90,34217158
2025-07-01,1818.00,1875.00,1737.60,1812.10,25693992
2025-08-01,1812.10,1940.00,1725.00,1770.80,22357769
2025-09-01,1767.00,1974.00,1658.00,1702.00,27606555
2025-10-01,1699.20,1851.00,1631.20,1785.40,38535772
2025-11-03,1768.00,1866.50,1715.00,1818.90,25154799
2025-12-01,1818.90,1964.20,1756.00,1825.60,30321294
2026-01-01,1837.70,1848.00,1592.30,1654.50,26029304
2026-02-01,1642.00,1661.90,1412.30,1481.60,75897702
2026-03-02,1445.10,1546.70,1364.00,1427.80,29405862
2026-04-01,1468.60,1728.60,1390.50,1666.20,31371284
2026-05-04,1674.00,1845.50,1593.70,1702.50,37052052
2026-06-01,1702.50,1711.30,1478.30,1628.60,37579853
2026-07-01,1640.00,1705.00,1502.10,1601.50,59971260
2026-08-03,1607.00,1875.00,1578.40,1875.00,27437636
2026-09-01,1845.00,1870.00,1710.10,1743.00,18914246
