Date,Open,High,Low,Close,Volume
2021-12-01,360.00,411.00,297.40,372.35,39126187
2022-01-03,372.65,525.00,355.50,371.90,28641070
2022-02-01,374.90,404.80,280.00,299.55,9160911
2022-03-02,299.00,361.70,275.20,334.10,19373518
2022-04-01,335.60,418.00,335.35,354.45,10657289
2022-05-02,349.35,372.00,263.90,289.95,7788987
2022-06-01,293.80,308.50,235.00,238.30,3952107
2022-07-01,239.90,327.40,238.30,322.20,8363760
2022-08-01,325.85,343.80,274.55,298.70,8626885
2022-09-01,296.10,306.85,252.60,269.55,7198080
2022-10-03,270.00,308.40,264.50,271.15,14396334
2022-11-01,271.75,309.00,269.20,290.35,9908999
2022-12-01,293.25,315.45,262.95,285.35,5843553
2023-01-02,287.40,382.75,285.55,367.10,12934387
2023-02-01,369.00,387.40,337.90,352.20,8495817
2023-03-01,350.65,356.35,313.30,343.70,2837331
2023-04-03,343.80,367.45,337.40,355.65,2390510
2023-05-02,355.50,424.90,354.10,377.50,9682348
2023-06-01,377.50,428.00,374.55,417.85,12136495
2023-07-03,419.95,471.45,415.00,461.60,7923589
2023-08-01,463.90,614.40,445.25,601.60,20271338
2023-09-01,605.00,641.60,528.05,593.45,7236492
2023-10-03,593.40,670.30,572.55,624.15,6987907
2023-11-01,625.40,733.00,618.50,659.95,17219891
2023-12-01,666.00,772.95,637.15,727.80,11298453
2024-01-01,726.00,821.65,704.80,797.20,7879154
2024-02-01,802.80,921.70,761.75,812.10,12023601
2024-03-01,823.50,829.00,705.00,716.90,9288273
2024-04-01,740.00,752.45,635.55,697.10,8531209
2024-05-02,703.40,819.90,655.00,698.70,10768617
2024-06-03,744.00,814.40,647.50,746.25,9075111
2024-07-01,755.00,859.00,742.85,821.20,8504642
2024-08-01,833.50,836.95,710.05,737.65,8302791
2024-09-02,747.90,779.05,711.55,733.10,9051067
2024-10-01,736.70,765.00,704.10,752.50,5930036
2024-11-01,755.00,854.00,670.10,701.90,10136212
2024-12-02,701.90,754.60,673.55,725.15,4527590
2025-01-01,728.95,762.70,657.90,699.15,4026768
2025-02-01,706.05,724.95,475.00,490.00,10541976
2025-03-03,490.00,518.95,419.40,445.00,8946816
2025-04-01,445.00,483.30,412.85,433.80,4376384
2025-05-02,433.80,568.20,419.00,443.80,10115174
2025-06-02,444.65,459.85,423.70,457.50,6821697
2025-07-01,459.60,485.00,431.70,438.45,11157701
2025-08-01,438.45,556.25,417.60,511.80,18211370
2025-09-01,518.05,682.65,517.95,644.75,20521681
2025-10-01,662.00,741.60,623.20,638.25,15308081
2025-11-03,640.85,730.60,637.00,710.45,8059723
2025-12-01,712.85,722.45,642.00,691.70,4692336
2026-01-01,694.40,716.00,564.60,612.10,6649058
2026-02-01,613.85,659.85,480.50,529.35,12660665
2026-03-02,496.25,520.00,437.00,438.15,6455508
2026-04-01,459.90,612.95,451.35,602.60,7807605
2026-05-04,608.40,766.70,590.10,746.45,20847741
2026-06-01,754.50,901.60,737.00,899.15,12104910
2026-07-01,901.00,997.25,850.65,918.40,8911558
2026-08-03,929.00,1050.00,878.65,937.70,14196572
2026-09-01,930.70,939.30,833.25,858.40,4704582
