Date,Open,High,Low,Close,Volume
2025-09-01,365.00,389.55,350.50,360.50,1443226
2025-10-01,358.50,378.00,334.00,346.80,5313112
2025-11-03,343.20,363.60,330.75,350.55,4565082
2025-12-01,351.00,389.75,321.95,375.10,4198941
2026-01-01,376.50,397.20,313.10,362.55,5648712
2026-02-01,364.95,479.10,343.00,461.70,8065350
2026-03-02,450.00,506.00,417.60,463.70,7493672
2026-04-01,490.00,583.50,470.90,571.00,5824569
2026-05-04,573.00,638.10,521.20,590.20,8380233
2026-06-01,590.20,633.00,560.25,590.95,2632446
2026-07-01,593.00,737.45,585.95,697.35,23560963
2026-08-03,705.00,860.60,685.10,803.30,8277625
2026-09-01,803.30,859.95,678.10,733.55,3401067
