Date,Open,High,Low,Close,Volume
2021-11-01,542.00,551.00,419.05,435.30,11891560
2021-12-01,435.30,455.65,339.50,382.15,3957173
2022-01-03,382.20,467.00,355.00,397.45,3766796
2022-02-01,399.00,419.50,357.05,369.70,1453143
2022-03-02,369.00,427.40,347.50,409.15,1852843
2022-04-01,419.00,455.00,409.15,426.60,1713375
2022-05-02,418.00,456.05,371.05,439.30,1058365
2022-06-01,443.70,510.00,425.20,478.10,3239772
2022-07-01,474.00,476.90,424.95,445.70,1674988
2022-08-01,446.00,510.00,426.20,482.15,2617529
2022-09-01,482.70,550.75,410.00,431.10,3337746
2022-10-03,429.70,458.80,420.35,446.65,1151212
2022-11-01,447.00,484.05,430.50,455.35,1135485
2022-12-01,459.80,515.05,447.95,492.90,1951275
2023-01-02,498.80,509.95,437.10,452.80,858321
2023-02-01,459.50,469.50,411.00,415.75,905636
2023-03-01,419.80,436.80,377.65,396.05,780608
2023-04-03,399.95,473.70,394.40,464.75,678080
2023-05-02,465.00,505.10,451.00,479.45,1593042
2023-06-01,474.65,594.00,474.65,566.00,5217011
2023-07-03,568.95,674.40,564.60,658.45,4307619
2023-08-01,665.00,699.70,595.30,685.10,17985664
2023-09-01,685.10,745.00,668.00,684.80,4089727
2023-10-03,688.85,718.80,622.40,676.65,2953287
2023-11-01,678.00,709.75,605.00,630.60,4519071
2023-12-01,635.80,655.20,607.30,618.80,2572012
2024-01-01,626.00,626.05,552.05,601.60,2744583
2024-02-01,600.00,667.00,588.70,635.35,3737575
2024-03-01,644.00,668.00,578.35,610.65,2137176
2024-04-01,620.80,645.00,594.60,628.40,1271253
2024-05-02,628.40,745.00,600.00,728.80,3843545
2024-06-03,757.00,832.00,625.00,781.75,2113830
2024-07-01,798.80,886.15,762.65,871.25,2754400
2024-08-01,871.00,1137.70,835.00,977.55,7472435
2024-09-02,978.00,1046.25,922.50,1001.90,2633806
2024-10-01,992.00,1235.00,891.75,1213.30,5076243
2024-11-01,1235.00,1279.00,1097.60,1249.75,2785746
2024-12-02,1251.45,1347.00,1128.25,1154.00,2204268
2025-01-01,1154.00,1191.40,896.45,987.85,2253761
2025-02-01,951.00,1063.65,821.65,852.90,1485164
2025-03-03,861.40,955.20,808.15,903.35,2236230
2025-04-01,902.25,1021.05,811.00,929.50,1805602
2025-05-02,929.50,1133.00,893.70,1102.45,3375474
2025-06-02,1112.40,1314.00,1080.90,1283.10,4053185
2025-07-01,1295.00,1316.20,1181.50,1227.20,2551332
2025-08-01,1229.90,1407.50,1131.30,1295.00,3728705
2025-09-01,1305.50,1554.40,1293.00,1452.40,3830516
2025-10-01,1463.60,1628.00,1447.10,1614.50,2695286
2025-11-03,1614.50,1814.00,1574.30,1695.10,5630878
2025-12-01,1712.00,1800.00,1621.10,1699.50,1937953
2026-01-01,1760.00,1869.00,1524.80,1668.30,3355493
2026-02-01,1682.90,1930.00,1595.40,1759.70,2500530
2026-03-02,1656.10,1766.80,1503.00,1550.90,2124356
2026-04-01,1622.00,1815.00,1544.50,1808.80,2432667
2026-05-04,1839.90,2119.90,1818.30,2105.20,2955022
2026-06-01,2103.00,2286.70,1949.50,2218.00,2045474
2026-07-01,2241.70,2439.90,2104.00,2391.70,2117711
2026-08-03,2430.20,2590.00,2355.20,2488.60,4082106
2026-09-01,2488.60,2519.90,2241.70,2422.80,2456764
