Date,Open,High,Low,Close,Volume
2021-06-01,301.00,413.90,295.00,342.30,82059756
2021-07-01,342.00,456.90,333.25,439.25,69357504
2021-08-02,442.65,559.40,408.00,500.10,91808103
2021-09-01,500.10,610.00,491.00,555.85,60295814
2021-10-01,551.00,813.00,549.20,647.70,64341989
2021-11-01,653.70,775.00,635.65,748.30,42307774
2021-12-01,758.65,839.90,680.15,743.55,58832857
2022-01-03,743.55,794.80,600.00,642.35,37596349
2022-02-01,653.60,699.50,568.55,636.10,26302413
2022-03-02,621.00,706.60,553.00,679.45,25304783
2022-04-01,674.85,688.00,610.90,635.55,17057359
2022-05-02,627.00,639.80,519.05,557.40,19554388
2022-06-01,556.90,609.00,536.50,553.80,15434369
2022-07-01,551.10,586.80,545.90,568.35,10117182
2022-08-01,571.40,607.00,507.20,522.00,106196932
2022-09-01,518.80,548.40,455.25,463.75,38622588
2022-10-03,463.75,497.05,453.00,465.40,16601603
2022-11-01,467.75,485.90,426.30,454.45,18477261
2022-12-01,458.70,483.55,398.05,419.50,19777813
2023-01-02,422.70,464.85,407.10,450.00,35400383
2023-02-01,453.10,477.90,438.00,448.10,19665276
2023-03-01,451.35,466.55,401.10,413.50,57219035
2023-04-03,415.70,490.00,414.80,480.00,27014143
2023-05-02,483.50,574.00,482.55,541.55,161130914
2023-06-01,539.00,547.00,505.30,515.85,36309905
2023-07-03,516.05,605.25,508.50,570.10,38584274
2023-08-01,575.00,625.95,535.15,595.60,32809436
2023-09-01,597.75,618.00,566.05,583.40,21946216
2023-10-03,583.30,586.95,488.10,541.50,25537133
2023-11-01,542.90,603.90,539.75,558.00,22396823
2023-12-01,563.50,651.65,531.60,644.50,45003109
2024-01-01,646.00,669.95,562.10,618.20,36432743
2024-02-01,622.15,718.85,580.00,689.35,42478381
2024-03-01,693.35,716.00,603.65,705.95,39559063
2024-04-01,709.95,714.00,624.00,625.35,38125197
2024-05-02,647.00,657.00,565.00,651.10,42650283
2024-06-03,675.00,676.00,605.00,641.00,22617164
2024-07-01,644.75,764.50,641.85,679.25,43894193
2024-08-01,679.00,736.90,643.75,683.35,28548309
2024-09-02,685.00,768.65,682.50,743.40,51533903
2024-10-01,742.00,745.70,626.85,685.70,69378221
2024-11-01,686.45,720.90,658.15,671.60,21186676
2024-12-02,671.00,697.45,580.85,594.80,32858971
2025-01-01,596.80,607.30,493.35,504.30,49266786
2025-02-01,510.10,535.85,475.05,493.90,48373779
2025-03-03,503.95,532.45,458.00,461.20,35831529
2025-04-01,460.00,499.30,380.00,481.15,58662345
2025-05-02,470.00,559.50,468.45,543.95,40538680
2025-06-02,539.95,548.00,467.95,481.35,46337036
2025-07-01,486.00,496.45,445.00,449.55,109058957
2025-08-01,450.00,466.65,431.35,443.05,105744807
2025-09-01,443.95,459.35,402.30,411.75,63488136
2025-10-01,414.85,503.40,404.35,472.75,68522802
2025-11-03,473.00,520.60,472.85,511.75,34724666
2025-12-01,514.25,515.15,469.00,479.40,31681346
2026-01-01,481.95,498.50,437.70,495.75,35278242
2026-02-01,496.00,549.45,480.45,534.50,46281594
2026-03-02,502.00,536.90,474.40,481.50,38248233
2026-04-01,492.00,613.10,478.30,607.25,50979106
2026-05-04,614.00,621.80,555.55,607.45,49891243
2026-06-01,608.80,632.20,582.10,619.90,36132058
2026-07-01,623.00,773.20,615.40,769.40,71238934
2026-08-03,775.00,844.00,768.05,813.05,43868422
2026-09-01,815.00,821.50,759.05,808.00,23692935
