Date,Open,High,Low,Close,Volume
2016-08-01,275.00,352.50,275.00,325.60,4587985
2016-09-01,326.00,360.80,321.00,337.05,3226154
2016-10-03,336.05,358.00,320.00,348.90,1015003
2016-11-01,349.00,359.95,265.00,323.85,995314
2016-12-01,327.75,372.80,315.20,350.80,930768
2017-01-02,354.45,394.40,339.55,376.10,1087619
2017-02-01,368.65,451.15,368.65,427.30,2130996
2017-03-01,433.00,478.25,413.25,428.50,1064396
2017-04-03,430.00,438.00,403.00,417.45,800447
2017-05-02,416.00,431.45,345.00,415.15,1557333
2017-06-01,420.00,484.00,412.85,443.50,1311364
2017-07-03,449.70,469.45,437.00,452.00,350615
2017-08-01,452.00,454.10,380.10,418.45,383755
2017-09-01,418.00,430.00,373.10,391.40,932571
2017-10-03,398.95,425.00,382.05,401.90,435321
2017-11-01,404.00,411.00,359.90,387.35,674343
2017-12-01,393.00,430.00,373.00,422.45,535821
2018-01-01,429.55,429.55,355.00,380.40,746248
2018-02-01,389.90,390.00,301.20,335.75,1142410
2018-03-01,335.00,379.80,268.30,334.25,1944684
2018-04-02,337.75,378.00,330.45,367.25,338392
2018-05-02,366.60,373.50,320.05,339.65,217262
2018-06-01,340.00,340.00,306.10,326.75,129293
2018-07-02,328.50,350.75,272.00,324.05,168824
2018-08-01,320.80,354.80,296.35,313.45,136264
2018-09-03,314.95,321.00,230.00,267.00,153782
2018-10-01,266.20,311.70,230.50,270.55,157248
2018-11-01,269.05,299.45,250.00,256.70,78561
2018-12-03,258.85,259.95,233.00,236.45,244953
2019-01-01,239.05,241.00,201.00,239.95,151743
2019-02-01,239.65,260.05,215.25,251.95,415178
2019-03-01,250.20,333.00,249.95,325.15,1014527
2019-04-01,324.00,328.60,288.65,301.05,120486
2019-05-02,304.95,314.80,280.25,292.95,190691
2019-06-03,296.50,301.00,261.10,293.85,77884
2019-07-01,287.00,296.95,241.50,252.55,254461
2019-08-01,249.50,249.80,175.45,191.85,147750
2019-09-03,190.00,210.00,175.00,199.80,193990
2019-10-01,203.85,218.65,193.15,201.05,605763
2019-11-01,202.70,239.00,195.05,201.75,322291
2019-12-02,197.40,213.95,192.60,203.20,272969
2020-01-01,205.90,234.00,196.60,206.30,560386
2020-02-01,197.50,209.80,157.15,162.65,396598
2020-03-02,160.05,166.05,56.75,60.25,728671
2020-04-01,61.00,90.60,59.90,76.10,150986
2020-05-04,76.10,76.10,57.00,61.20,219407
2020-06-01,63.00,88.00,59.00,78.80,3261064
2020-07-01,81.00,82.95,67.05,68.30,679568
2020-08-03,68.35,118.00,61.50,96.60,2168495
2020-09-01,97.20,134.30,91.95,134.30,2848850
2020-10-01,138.00,159.00,102.90,133.60,1516797
2020-11-02,130.95,148.00,124.05,142.75,613599
2020-12-01,141.25,180.00,135.10,157.85,861166
2021-01-01,161.85,184.40,145.35,151.30,920041
2021-02-01,152.35,211.25,147.20,183.40,1166556
2021-03-01,187.00,187.65,150.05,153.10,543329
2021-04-01,154.50,169.40,141.55,157.10,735887
2021-05-03,157.10,214.50,157.00,201.70,2386741
2021-06-01,205.45,255.50,191.75,220.70,4769666
2021-07-01,220.00,353.25,215.05,323.15,4642686
2021-08-02,323.35,361.80,289.90,299.50,1402132
2021-09-01,305.00,362.60,294.25,340.40,2421990
2021-10-01,342.00,374.20,304.15,314.05,925177
2021-11-01,320.00,442.70,316.05,375.40,3170774
2021-12-01,378.60,449.15,366.35,432.75,1842026
2022-01-03,437.00,515.00,414.00,482.45,2341192
2022-02-01,483.00,530.90,352.55,397.65,1727519
2022-03-02,392.00,427.50,337.25,341.80,1296693
2022-04-01,348.00,397.45,345.75,361.75,1931942
2022-05-02,360.45,408.00,308.40,324.25,2147188
2022-06-01,328.90,398.00,326.05,371.75,2365591
