Date,Open,High,Low,Close,Volume
2001-12-03,7.55,10.50,7.55,8.40,130
2002-01-01,8.30,8.30,6.60,6.60,6697
2002-02-01,6.25,6.40,4.80,5.35,67168
2002-03-01,5.40,6.00,4.25,4.80,15203
2002-04-01,5.10,7.40,4.50,6.25,27810
2002-05-01,6.65,8.40,5.25,6.05,75910
2002-06-03,6.00,16.80,6.00,13.80,437435
2002-07-01,14.00,20.75,11.00,11.75,581453
2002-08-01,11.90,12.85,10.30,11.10,123182
2002-09-02,11.30,12.00,10.30,10.75,42494
2002-10-01,11.75,11.80,10.45,11.00,39021
2002-11-01,10.20,10.90,8.50,9.65,22202
2003-01-01,8.25,9.45,7.95,7.95,41531
2003-02-03,8.20,9.00,7.55,9.00,19251
2003-03-03,8.45,10.20,7.45,8.25,175326
2003-04-01,9.00,11.20,7.35,9.05,9831
2003-05-01,8.60,12.00,8.40,11.00,81031
2003-06-02,11.00,18.50,10.60,15.00,778206
2003-07-01,14.90,18.75,14.90,16.80,380223
2003-08-01,17.50,24.50,17.40,21.20,946161
2003-09-01,22.60,25.00,18.90,19.05,187906
2003-12-01,38.05,38.90,33.95,34.75,99798
2004-01-01,36.00,37.30,24.95,26.85,1047210
2004-02-03,27.50,28.95,23.40,23.55,277993
2004-03-01,23.95,25.00,17.40,21.25,381455
2004-04-01,22.40,27.30,21.80,25.65,296035
2004-05-03,25.00,34.10,23.25,24.25,781895
2004-06-01,25.00,27.90,23.15,24.80,173995
2004-07-01,24.55,28.50,23.95,27.00,204576
2004-08-02,27.65,39.80,27.60,39.30,3150244
2004-09-01,39.35,41.25,35.65,37.60,1766191
2004-10-01,37.00,41.90,33.05,36.35,601128
2004-11-01,37.05,56.25,37.05,48.90,3308317
2004-12-01,48.65,56.45,45.90,53.55,3006560
2005-01-03,54.20,57.90,43.60,52.55,1178515
2005-02-01,52.50,61.90,50.10,55.80,1610892
2005-03-01,56.50,68.00,53.10,58.35,2835817
2005-04-01,58.50,63.70,57.15,61.50,769467
2005-05-02,64.00,74.90,61.00,70.20,1888577
2005-06-01,72.90,72.95,64.75,66.00,1033645
2005-07-01,65.20,69.90,62.00,65.90,530282
2005-08-01,64.90,87.40,61.50,84.40,2680149
2005-09-01,85.70,123.70,85.00,98.35,8173559
2005-10-03,98.50,102.80,69.10,69.85,678290
2005-11-01,69.85,86.90,61.15,82.45,602060
2005-12-01,75.00,88.80,72.00,76.20,513685
2006-01-02,77.00,91.90,73.25,73.85,1318224
2006-02-01,73.85,76.80,64.05,65.75,815653
2006-03-01,65.00,70.00,54.25,61.65,586973
2006-04-03,62.90,66.60,58.10,60.15,406881
2006-05-02,62.35,69.25,46.25,50.95,439985
2006-06-01,51.00,51.00,32.00,40.50,348207
2006-07-03,41.50,42.00,34.50,38.10,88719
2006-08-01,38.15,49.50,37.00,47.00,672909
2006-09-01,47.50,49.95,43.05,45.40,358549
2006-10-03,46.90,50.45,41.40,41.55,262180
2006-11-01,41.05,42.15,36.55,39.50,185156
2006-12-01,38.65,40.00,35.65,37.65,109732
2007-01-02,37.50,44.00,37.50,40.10,142218
2007-02-01,37.50,41.90,35.90,36.55,75098
2007-03-01,38.20,38.20,31.00,32.75,96600
2007-04-02,32.70,36.90,31.20,34.60,72128
2007-05-03,34.15,35.75,32.25,33.65,96483
2007-06-01,33.95,37.80,33.00,36.05,149888
2007-07-02,36.15,36.90,32.10,32.80,271223
2007-08-01,32.35,36.45,25.15,34.50,342624
2007-09-03,34.25,35.50,32.00,33.25,376958
2007-10-01,33.00,34.50,31.05,32.00,133813
2007-11-01,34.00,43.90,30.10,40.85,554989
2007-12-03,41.90,53.70,40.65,51.85,769506
2008-01-01,52.50,58.00,31.90,39.00,720849
2008-02-01,39.30,47.25,32.50,37.30,193694
2008-03-03,38.80,38.80,27.05,29.95,173022
2008-04-01,30.00,40.45,25.00,35.50,114718
2008-05-02,33.80,40.55,31.20,32.75,348240
2008-06-02,32.05,32.55,24.50,28.65,63860
2008-07-01,26.50,35.50,24.65,28.55,39375
2008-08-01,29.50,30.90,22.20,26.55,94086
2008-09-01,26.50,28.50,20.05,22.85,101164
2008-10-01,22.60,24.60,13.40,15.05,61165
2008-11-03,17.80,18.80,14.00,15.60,26171
2008-12-01,15.00,21.85,14.20,17.80,30471
2009-01-01,18.85,20.75,15.00,15.60,28139
2009-02-02,15.85,20.80,15.05,17.45,67408
2009-03-02,17.00,18.45,13.75,15.90,74540
2009-04-01,15.65,22.70,15.50,18.90,66481
