Date,Open,High,Low,Close,Volume
2006-11-01,75.12,75.82,68.67,70.89,39699991
2006-12-01,72.00,82.00,66.69,71.25,25378739
2007-01-02,71.63,72.81,70.15,70.49,14528775
2007-02-01,70.67,72.51,59.87,61.05,15065227
2007-03-01,59.90,66.43,54.86,60.00,15275433
2007-04-02,59.28,81.50,57.04,76.67,38410504
2007-05-03,77.06,100.92,69.68,90.92,89708422
2007-06-01,92.87,96.31,78.86,84.68,53853671
2007-07-02,84.87,87.14,71.23,76.16,40923977
2007-08-01,76.16,76.17,63.63,72.76,38138847
2007-09-03,74.59,80.91,74.10,79.61,23295558
2007-10-01,79.03,87.48,74.72,81.10,30047989
2007-11-01,81.36,83.18,72.13,75.04,22701035
2007-12-03,78.05,95.73,75.21,89.65,59089121
2008-01-01,89.90,100.27,53.84,81.61,49010462
2008-02-01,82.01,84.36,70.98,81.17,14975079
2008-03-03,79.03,86.94,74.29,81.68,15783290
2008-04-01,83.95,91.09,80.47,90.26,20124462
2008-05-02,90.59,95.34,80.52,85.21,35027846
2008-06-02,86.94,87.93,67.69,73.74,23332888
2008-07-01,73.60,79.73,69.01,75.07,15887659
2008-08-01,72.42,78.05,64.74,70.03,22895279
2008-09-01,70.14,72.61,64.71,66.08,12685822
2008-10-01,66.30,68.71,46.43,50.16,13290790
2008-11-03,52.36,53.83,42.78,52.28,16033093
2008-12-01,50.98,61.45,48.91,59.28,14188156
2009-01-01,59.78,63.62,58.41,59.86,10885837
2009-02-02,59.87,62.24,50.41,57.29,24707268
2009-03-02,56.41,58.75,50.19,57.75,13402660
2009-04-01,58.63,70.04,56.52,67.03,18450021
2009-05-04,68.66,74.00,61.25,68.48,35341935
2009-06-01,69.55,83.47,67.77,71.25,47343057
2009-07-01,72.12,84.47,69.16,84.07,30527119
2009-08-03,84.47,100.56,82.69,93.35,41533136
2009-09-01,93.91,95.86,88.42,88.62,49637962
2009-10-01,89.01,95.06,81.11,84.63,46595144
2009-11-03,84.37,95.83,82.20,89.09,36285873
