Date,Open,High,Low,Close,Volume
2001-12-03,26.00,29.75,24.50,28.30,559811
2002-01-01,28.95,30.10,25.00,25.00,518096
2002-02-01,25.00,33.75,23.50,27.10,2774590
2002-03-01,26.90,33.00,26.50,31.10,2199685
2002-04-01,31.00,44.65,29.55,37.20,4322973
2002-05-01,39.90,42.50,32.00,36.40,2072167
2002-06-03,35.50,53.25,35.50,51.00,9183734
2002-07-01,52.25,56.00,41.50,42.90,5598864
2002-08-01,43.90,48.90,43.10,45.95,1147407
2002-09-02,47.00,49.50,39.10,41.80,986485
2002-10-01,42.10,50.55,41.10,43.45,408434
2002-11-01,44.20,45.50,41.80,43.25,420199
2003-01-01,45.00,52.00,43.00,43.75,919797
2003-02-03,43.50,45.65,42.75,44.70,483701
2003-03-03,44.70,45.25,36.75,37.85,633637
2003-04-01,37.50,42.75,37.30,38.55,352318
2003-05-01,38.25,52.70,38.20,50.35,2224216
2003-06-02,51.50,57.85,51.00,54.25,2308890
2003-07-01,56.90,64.95,47.60,59.00,4646526
2003-08-01,58.85,72.20,56.50,71.20,3771486
2003-09-01,70.50,97.75,61.90,95.55,4198632
2003-10-01,97.00,97.00,74.00,83.30,2914692
2003-11-03,84.80,95.00,80.10,89.15,2291035
2003-12-01,90.00,103.95,85.75,95.55,3142711
2004-01-01,97.90,101.80,72.00,80.30,1873234
2004-02-03,80.20,81.00,66.50,68.35,681580
2004-03-01,69.00,70.85,55.85,62.70,866097
2004-04-01,63.50,71.50,60.15,64.85,670847
2004-05-03,65.00,74.50,48.00,53.40,1090724
2004-06-01,54.00,58.50,50.10,53.75,302715
2004-07-01,53.70,58.00,51.00,51.60,744209
2004-08-02,52.00,71.40,51.75,69.85,8845566
2004-09-01,70.80,73.95,63.00,68.05,3536016
2004-10-01,68.50,75.00,58.55,60.45,2862361
2004-11-01,60.90,72.00,59.30,65.30,1790143
2004-12-01,64.50,70.70,63.65,65.60,6089912
2005-01-03,66.25,70.90,45.00,57.90,4778089
2005-02-01,57.90,70.00,57.50,62.85,6758922
2005-03-01,63.00,71.90,54.10,58.70,7381048
2005-04-01,59.25,63.50,57.30,61.00,3178625
2005-05-02,60.05,81.20,60.00,76.05,7365041
2005-06-01,77.00,88.80,74.50,81.95,7582060
2005-07-01,82.05,99.40,78.50,85.90,5090572
2005-08-01,86.40,96.10,80.30,93.35,10515083
2005-09-01,93.90,103.75,78.60,89.75,11078347
2005-10-03,90.70,97.40,79.00,79.80,4548883
2005-11-01,80.00,91.80,79.00,84.30,2730390
2005-12-01,84.30,91.90,82.50,87.70,5341459
2006-01-02,88.50,102.40,88.00,94.75,8638114
2006-02-01,94.80,108.80,90.55,104.70,8612391
2006-03-01,105.50,120.65,104.20,116.65,9833390
2006-04-03,117.00,128.50,112.60,121.35,2830025
2006-05-02,127.25,137.95,97.00,108.25,4367062
2006-06-01,110.00,113.90,80.50,99.00,1982547
2006-07-03,98.00,99.90,86.30,91.95,931393
2006-08-01,91.90,108.80,91.00,101.85,2587535
2006-09-01,102.00,105.50,91.75,95.55,2838118
2006-10-03,96.40,104.45,94.90,96.85,2466887
2006-11-01,96.40,97.25,90.70,92.65,1846161
2006-12-01,92.65,97.95,82.00,93.10,1021943
2007-01-02,92.10,97.90,92.00,93.20,1245293
2007-02-01,93.20,98.75,84.05,87.65,1375387
2007-03-01,87.90,91.25,80.55,82.90,958868
2007-04-02,82.90,91.50,81.00,85.90,613112
2007-05-03,85.50,99.40,73.55,94.40,3271263
2007-06-01,95.25,103.00,92.00,100.15,4536918
2007-07-02,100.15,103.90,95.00,99.90,1858693
2007-08-01,99.90,102.90,94.50,98.55,986937
2007-09-03,100.00,118.00,98.60,105.45,1669293
2007-10-01,106.00,117.00,94.00,104.65,2102024
2007-11-01,104.00,138.90,100.60,116.75,2806310
2007-12-03,118.90,150.00,118.80,132.25,2830811
2008-01-01,134.70,145.00,88.00,112.40,2462707
2008-02-01,113.90,116.00,100.00,105.55,716956
2008-03-03,105.50,110.00,83.50,99.50,2305774
2008-04-01,99.00,111.90,95.25,104.95,961196
2008-05-02,107.00,110.00,98.00,101.35,1352102
2008-06-02,105.00,105.00,92.00,92.50,769589
2008-07-01,93.00,96.50,84.80,93.60,309159
2008-08-01,106.95,106.95,89.10,91.75,300746
2008-09-01,91.10,93.25,68.30,80.85,257481
2008-10-01,81.50,81.55,56.50,68.00,454313
2008-11-03,69.00,72.25,63.60,64.95,356564
2008-12-01,65.05,73.00,62.05,65.40,571044
2009-01-01,65.85,74.00,60.05,61.30,402469
2009-02-02,60.40,64.90,55.50,58.10,221849
2009-03-02,57.50,58.55,50.75,56.75,306786
2009-04-01,56.10,72.40,51.80,63.95,358947
2009-05-04,66.40,85.80,63.65,81.90,2404899
2009-06-01,83.75,94.45,76.20,77.80,2465285
2009-07-01,78.00,94.00,73.85,78.25,1456714
2009-08-03,79.00,83.40,75.00,76.45,3255523
2009-09-01,76.50,81.90,74.60,80.35,4191914
2009-10-01,80.20,87.25,72.50,73.70,3991043
2009-11-03,73.00,83.50,70.10,79.20,1335203
2009-12-01,79.15,85.00,77.05,84.75,3137010
2010-01-04,84.75,93.40,81.95,84.35,5691629
2010-02-01,85.40,87.00,80.25,85.00,1078594
2010-03-02,85.00,93.00,83.10,89.55,1569018
2010-04-01,89.30,103.80,89.30,99.10,8741288
2010-05-03,99.00,105.90,93.50,104.20,4639151
2010-06-01,104.25,116.90,102.35,111.20,2950290
2010-07-01,113.00,126.00,111.00,125.50,5127902
2010-08-02,126.75,150.75,125.30,136.60,4783741
2010-09-01,137.00,150.00,134.10,139.95,2749415
2010-10-01,138.10,164.95,138.00,151.70,3471227
2010-11-01,166.00,166.00,126.00,130.50,1390327
2010-12-01,134.80,144.00,121.55,141.05,901907
2011-01-03,142.00,145.70,129.10,134.65,866449
2011-02-01,132.10,134.75,121.00,122.25,1489463
2011-03-01,124.75,146.80,120.70,131.35,2623870
2011-04-01,132.10,146.95,128.20,140.05,1882333
2011-05-02,140.20,143.00,124.90,126.50,884922
2011-06-01,127.50,131.35,113.20,118.35,1064870
2011-07-01,118.10,125.00,114.65,120.65,719790
2011-08-01,120.75,122.90,99.25,108.00,1271101
2011-09-02,106.80,112.25,94.30,95.85,907976
2011-10-03,96.00,105.00,95.50,102.35,612812
2011-11-01,102.40,109.45,83.05,86.40,426565
2011-12-01,87.00,89.00,75.05,80.75,627750
2012-01-02,80.95,97.00,80.40,93.00,472511
2012-02-01,94.30,105.90,86.55,98.50,1162867
2012-03-01,97.85,108.75,94.10,96.00,476496
2012-04-02,97.00,110.35,94.00,109.30,1170755
2012-05-02,109.00,110.00,93.65,101.15,238507
2012-06-01,101.95,104.00,97.65,103.05,371414
2012-07-02,103.40,115.00,97.90,115.00,720234
2012-08-01,114.55,116.80,106.75,109.05,307721
2012-09-03,111.00,116.30,104.55,106.00,1596725
2012-10-01,106.00,121.50,105.35,108.65,1542752
2012-11-01,112.00,119.90,107.35,112.00,876940
2012-12-03,112.60,118.40,108.90,109.75,701625
2013-01-01,109.00,113.00,103.85,104.60,324880
2013-02-01,104.50,106.00,94.00,95.00,361895
2013-03-01,96.00,101.00,78.00,95.20,556436
2013-04-01,94.80,100.00,92.65,96.00,253543
2013-05-02,96.90,106.90,94.90,101.00,1104560
2013-06-03,100.05,102.85,94.65,95.25,364611
2013-07-01,95.55,101.35,88.00,90.60,1020736
2013-08-01,90.85,93.40,85.90,88.75,1105468
2013-09-02,89.00,92.20,85.50,90.00,1204190
2013-10-01,91.00,105.40,89.15,104.90,983336
2013-11-01,105.00,116.20,102.50,113.30,1247802
2013-12-02,112.00,123.95,112.00,118.95,1362099
2014-01-01,118.75,144.95,118.05,124.15,2589310
2014-02-03,123.25,127.00,115.10,124.50,1580976
2014-03-03,123.00,130.40,120.00,128.30,1110258
2014-04-01,128.35,136.65,128.00,129.20,794952
2014-05-02,129.10,156.40,122.20,143.90,1655085
2014-06-02,145.95,178.00,142.30,169.25,6351419
2014-07-01,170.90,172.70,154.60,161.75,1289226
2014-08-01,161.50,175.00,155.65,162.00,2066558
2014-09-01,163.05,167.60,150.00,151.55,2173909
2014-10-01,151.00,154.80,134.75,140.20,823230
2014-11-03,139.30,148.60,132.55,135.40,1177252
2014-12-01,135.00,140.00,127.00,132.60,637392
2015-01-01,132.60,140.70,127.90,133.80,791709
2015-02-02,133.55,144.80,131.80,136.70,963013
2015-03-02,137.00,137.85,117.00,126.15,878720
2015-04-01,125.40,137.90,121.10,130.85,498419
2015-05-04,132.20,156.30,126.90,149.00,885163
2015-06-01,149.95,163.00,144.65,156.25,1172700
2015-07-01,155.00,209.00,155.00,200.00,8482134
2015-08-03,201.10,221.40,174.00,191.90,11990381
2015-09-01,190.50,194.35,174.30,182.25,3298213
2015-10-01,183.80,220.00,181.20,205.40,8089770
2015-11-02,206.00,254.30,203.70,227.60,7877414
2015-12-01,228.40,275.00,220.45,268.90,5755375
2016-01-01,270.00,271.95,210.75,247.10,2354738
2016-02-01,250.10,259.45,185.15,191.05,2613951
2016-03-01,193.75,226.00,190.40,218.50,3375137
2016-04-01,219.10,242.85,217.65,233.20,2512261
2016-05-02,232.00,287.65,231.60,284.90,5542070
2016-06-01,282.00,291.90,257.95,275.60,3280813
2016-07-01,277.70,308.00,260.35,284.85,4455796
2016-08-01,290.00,344.90,276.30,320.60,4068979
2016-09-01,319.50,346.95,313.05,329.50,2339252
2016-10-03,331.50,392.35,324.00,375.70,4085231
2016-11-01,375.00,385.35,315.00,352.40,2755728
2016-12-01,354.55,359.70,321.05,332.25,1778727
2017-01-02,334.90,356.80,331.20,337.25,1620022
2017-02-01,337.25,367.00,335.00,342.20,2389136
2017-03-01,346.90,363.50,313.00,314.65,5097546
2017-04-03,316.35,329.60,291.75,296.90,3174706
2017-05-02,298.85,361.45,288.70,336.40,6857007
2017-06-01,339.00,348.00,309.30,311.80,2821987
2017-07-03,312.50,398.00,309.60,371.95,8077868
2017-08-01,370.00,378.10,323.00,334.60,3034218
2017-09-01,335.05,379.00,285.50,349.85,5843048
2017-10-03,350.20,364.80,337.80,363.35,1756199
2017-11-01,365.80,397.00,317.50,373.80,3427181
2017-12-01,374.85,461.90,357.05,447.30,10950322
2018-01-01,446.00,499.00,415.05,417.40,3224114
2018-02-01,415.00,433.00,358.30,359.65,2007483
2018-03-01,360.00,381.80,327.50,347.85,2502716
2018-04-02,347.00,377.40,340.00,354.05,1015993
2018-05-02,356.00,369.00,305.00,318.00,1119458
2018-06-01,316.00,318.50,243.00,249.85,1442804
2018-07-02,253.55,275.90,242.00,266.20,830859
2018-08-01,271.20,349.00,268.15,299.05,6753456
2018-09-03,311.40,323.40,247.15,258.65,2972223
2018-10-01,260.00,274.35,222.25,258.05,1552903
2018-11-01,259.50,295.00,243.05,252.05,2292478
2018-12-03,253.95,263.50,243.15,257.40,1333532
2019-01-01,258.40,261.15,216.30,219.80,1085977
2019-02-01,221.00,222.00,185.00,187.60,2366170
2019-03-01,189.55,229.70,188.40,206.00,2137234
2019-04-01,207.95,223.80,192.45,194.00,1071549
2019-05-02,193.05,210.00,177.55,194.80,1107192
2019-06-03,197.85,197.85,166.30,182.10,963594
2019-07-01,185.00,185.45,151.40,156.35,975180
2019-08-01,156.35,196.90,151.05,187.00,2179000
2019-09-03,186.60,215.35,184.30,209.90,4205879
2019-10-01,211.00,211.05,176.50,192.00,1703902
2019-11-01,193.70,198.75,175.70,180.20,1392900
2019-12-02,180.85,181.30,164.00,168.50,1209205
2020-01-01,168.50,198.95,163.85,190.60,1923611
2020-02-01,190.65,196.00,154.25,162.45,1146061
2020-03-02,162.45,166.00,88.05,88.95,1956650
2020-04-01,89.80,109.95,86.50,99.15,13033157
2020-05-04,98.45,103.90,87.00,90.50,5377482
2020-06-01,90.95,121.45,90.70,116.90,13354225
2020-07-01,112.00,122.00,108.40,112.80,13555200
2020-08-03,112.50,129.50,111.65,121.50,10157588
2020-09-01,121.00,127.00,98.00,104.90,4487632
2020-10-01,105.70,112.80,100.10,102.00,2347613
2020-11-02,104.00,115.70,100.10,110.90,2487848
2020-12-01,110.00,129.80,110.00,122.60,7895250
2021-01-01,122.80,144.30,117.10,118.95,7222635
2021-02-01,119.85,134.05,117.90,130.30,3634994
2021-03-01,132.20,156.00,130.70,146.55,10719940
2021-04-01,147.05,161.80,133.20,137.90,3365683
2021-05-03,136.00,160.20,131.25,152.60,6282490
2021-06-01,153.40,182.90,146.15,158.65,15186803
2021-07-01,158.40,169.45,140.75,153.30,8597123
2021-08-02,155.00,160.50,130.00,134.85,5719366
2021-09-01,135.55,138.75,127.60,132.70,6447441
2021-10-01,131.85,149.30,130.25,131.25,5687227
2021-11-01,131.50,139.05,123.05,124.45,1790255
2021-12-01,125.10,130.50,118.00,122.15,1307620
2022-01-03,122.65,128.90,112.35,117.45,2494491
2022-02-01,118.30,137.00,117.05,127.90,5680154
2022-03-02,124.20,179.25,121.95,167.65,14773645
2022-04-01,168.00,226.95,167.75,210.55,24935748
2022-05-02,207.90,221.50,166.00,180.10,11645071
2022-06-01,181.20,188.00,158.70,185.10,3555651
2022-07-01,185.10,229.40,185.10,220.55,6141026
2022-08-01,224.70,265.50,224.45,256.65,14269106
2022-09-01,254.10,280.00,214.90,229.75,11204308
2022-10-03,229.05,269.70,222.05,266.70,5503957
2022-11-01,269.90,283.90,242.65,247.50,6761247
2022-12-01,248.75,267.70,221.05,234.70,6145583
2023-01-02,236.20,252.50,224.05,239.70,3500514
2023-02-01,240.90,249.10,207.00,208.70,4388845
2023-03-01,209.90,225.00,200.00,218.30,5165618
2023-04-03,219.40,249.95,218.40,240.50,3345900
2023-05-02,240.50,261.00,220.05,224.75,7236229
2023-06-01,223.80,229.25,203.60,209.35,4373293
2023-07-03,210.00,217.40,201.90,211.10,5529766
2023-08-01,213.00,274.95,209.30,250.80,17225578
2023-09-01,251.25,293.90,247.60,264.75,17792239
2023-10-03,264.75,302.95,247.05,277.55,13710421
2023-11-01,278.80,293.70,258.10,267.15,7079726
2023-12-01,268.30,311.00,266.55,299.35,8493326
2024-01-01,298.25,331.00,285.25,320.85,11410632
2024-02-01,323.00,323.50,256.30,267.00,7283079
2024-03-01,269.45,282.90,245.05,246.65,2927603
2024-04-01,248.65,278.55,248.65,274.75,2701391
2024-05-02,274.85,292.60,243.90,247.65,4186311
2024-06-03,252.00,288.00,225.00,271.57,4828913
2024-07-01,271.00,300.95,247.95,261.05,5775869
2024-08-01,262.80,263.10,221.10,228.70,5196080
2024-09-02,229.85,230.85,206.80,210.15,3023435
2024-10-01,212.00,212.80,171.10,178.12,4014520
2024-11-01,178.60,184.79,158.21,171.18,3220557
2024-12-02,171.30,216.59,169.00,187.84,21575163
2025-01-01,191.00,204.72,157.30,167.93,6294723
2025-02-01,167.60,171.01,124.00,126.84,3345516
2025-03-03,127.00,139.90,121.68,126.29,6739334
2025-04-01,126.29,137.90,115.50,131.64,3438224
2025-05-02,131.97,172.00,125.25,162.98,3653684
2025-06-02,163.00,176.37,150.60,167.68,2760339
2025-07-01,169.00,190.77,155.63,160.53,4636654
2025-08-01,161.00,179.90,151.99,162.42,10980062
2025-09-01,161.90,175.75,146.77,158.27,12295718
2025-10-01,157.49,166.66,151.69,155.80,4948987
2025-11-03,154.11,155.56,138.00,143.96,950654
2025-12-01,144.80,147.17,134.00,143.57,868577
2026-01-01,143.60,148.34,128.75,132.93,2562156
2026-02-01,133.00,150.62,129.50,136.74,1855846
2026-03-02,132.01,142.80,121.51,122.54,2433440
2026-04-01,124.97,159.00,124.97,150.47,4434632
2026-05-04,151.69,161.00,144.15,148.50,2545819
2026-06-01,149.10,151.75,142.21,147.10,1384076
2026-07-01,147.99,159.70,141.96,150.68,5991929
2026-08-03,151.50,161.00,136.01,140.88,4264400
2026-09-01,140.94,166.00,140.20,148.34,7887863
