Date,Open,High,Low,Close,Volume
2024-10-01,2500.00,2758.70,2300.00,2722.10,44681114
2024-11-01,2780.00,3743.00,2512.00,2667.75,87374547
2024-12-02,2695.00,3445.45,2675.05,2854.60,56483091
2025-01-01,2869.00,2906.00,2026.00,2392.70,46365456
2025-02-01,2415.00,2557.35,2052.40,2158.55,24853742
2025-03-03,2179.00,2508.00,2066.40,2404.65,16777478
2025-04-01,2380.00,3116.30,1863.00,2604.50,61821107
2025-05-02,2609.90,3080.00,2530.30,2978.90,49049597
2025-06-02,2984.90,3154.00,2641.00,3139.40,54174196
2025-07-01,3178.00,3342.00,2905.00,2992.40,58489701
2025-08-01,3024.90,3496.80,2830.50,3402.00,63441570
2025-09-01,3447.90,3865.00,3142.70,3328.40,61625023
2025-10-01,3344.00,3718.80,3270.00,3427.40,32134029
2025-11-03,3423.00,3475.10,3075.10,3172.50,15593700
2025-12-01,3200.00,3229.40,2825.00,2968.10,16140517
2026-01-01,2970.00,2994.30,2403.00,2787.50,40502265
2026-02-01,2800.00,3214.00,2546.90,2709.30,49100624
2026-03-02,2588.20,3243.40,2541.00,3109.80,39948067
2026-04-01,3220.00,3557.00,2980.80,3118.80,42636662
2026-05-04,3159.80,3292.80,2961.30,3140.80,24245905
2026-06-01,3149.30,3163.00,2836.00,2947.00,18931484
2026-07-01,2954.00,2954.00,2561.00,2680.20,20596049
2026-08-03,2705.00,2730.00,2572.50,2605.00,9956258
2026-09-01,2599.90,2653.00,2470.00,2560.70,7766799
