Date,Open,High,Low,Close,Volume
2021-08-02,437.00,452.00,332.05,390.90,10718678
2021-09-01,392.00,411.10,357.00,361.05,4418982
2021-10-01,361.05,384.00,307.10,308.40,1653229
2021-11-01,311.00,324.00,277.00,283.25,1606794
2021-12-01,287.45,295.45,258.05,275.95,1648797
2022-01-03,273.00,288.20,255.30,260.20,1098852
2022-02-01,260.20,292.80,232.75,243.20,1352355
2022-03-02,238.00,249.00,209.30,210.05,846716
2022-04-01,214.85,284.00,212.00,250.30,1217066
2022-05-02,249.05,253.40,213.00,227.30,758401
2022-06-01,227.00,234.00,203.25,218.60,327069
2022-07-01,221.85,239.55,208.00,210.80,399625
2022-08-01,211.00,233.95,209.70,223.90,895833
2022-09-01,223.40,261.40,216.30,234.15,1937786
2022-10-03,232.00,244.80,212.00,226.15,665383
2022-11-01,226.20,269.75,225.40,263.80,1753757
2022-12-01,266.70,266.70,238.20,250.10,720645
2023-01-02,246.35,259.50,235.00,246.50,435626
2023-02-01,248.50,263.30,237.60,255.15,517071
2023-03-01,258.15,258.15,220.55,225.30,636336
2023-04-03,228.65,255.00,226.10,254.10,304943
2023-05-02,252.00,282.40,251.00,262.90,888448
2023-06-01,260.10,317.50,260.10,298.85,1709642
2023-07-03,298.85,349.90,295.55,335.50,2302691
2023-08-01,339.80,420.90,306.20,373.60,3366022
2023-09-01,374.00,395.50,333.60,356.55,962378
2023-10-03,353.00,383.85,311.60,334.90,892003
2023-11-01,335.45,466.60,330.10,420.85,3298617
2023-12-01,422.95,457.45,400.10,428.75,1787380
2024-01-01,432.00,544.00,431.95,489.85,6345140
2024-02-01,492.20,583.50,460.55,503.40,4205492
2024-03-01,505.90,590.85,474.10,510.30,3225025
2024-04-01,515.90,579.00,506.55,552.75,1154003
2024-05-02,547.00,650.00,495.65,632.10,2047398
2024-06-03,659.85,794.50,555.05,717.65,1790182
2024-07-01,750.90,830.00,659.00,826.55,1578563
2024-08-01,826.55,899.85,707.00,819.80,1885611
2024-09-02,827.50,952.10,807.00,835.95,1106791
2024-10-01,838.45,1143.00,827.80,1116.00,1149339
2024-11-01,1135.00,1198.25,905.25,1093.15,1484877
2024-12-02,1091.90,1178.85,998.00,1041.15,669446
2025-01-01,1048.25,1075.00,833.00,968.35,987150
2025-02-01,976.00,1078.70,665.10,763.00,2621647
2025-03-03,781.00,1085.05,777.60,1040.50,2538795
2025-04-01,1032.00,1140.00,813.25,965.50,1710941
2025-05-02,970.40,1034.95,871.05,912.35,1331757
2025-06-02,909.00,961.95,865.00,890.75,917768
2025-07-01,885.00,1023.05,875.00,989.05,1279909
2025-08-01,999.90,1097.90,907.00,998.40,2055112
2025-09-01,998.40,1027.50,900.15,905.85,785526
2025-10-01,905.00,963.95,904.50,945.50,607062
2025-11-03,955.00,986.00,768.15,783.60,1207133
2025-12-01,788.00,818.00,731.75,795.05,929746
2026-01-01,808.80,950.00,735.30,848.90,876424
2026-02-01,848.90,928.50,746.00,755.00,729551
2026-03-02,740.00,786.00,697.40,736.75,698074
2026-04-01,747.95,898.80,743.20,851.85,936515
2026-05-04,851.85,884.90,746.55,833.10,1332829
2026-06-01,833.10,895.80,793.50,859.30,979940
2026-07-01,859.30,894.00,820.00,857.70,984729
2026-08-03,856.60,1035.90,808.05,994.20,4482170
2026-09-01,994.60,1181.90,986.10,1109.45,3264658
