Date,Open,High,Low,Close,Volume
2021-10-11,74.00,88.70,74.00,85.05,644117
2021-10-18,87.85,88.00,66.25,71.65,262873
2021-10-25,71.00,72.90,63.60,67.80,103153
2021-11-01,71.45,72.00,63.00,63.90,162401
2021-11-08,63.05,65.80,58.30,60.45,144502
2021-11-15,60.45,62.65,57.20,58.00,75718
2021-11-22,60.80,62.70,54.15,55.30,69609
2021-11-29,58.60,58.60,52.00,55.35,35989
2021-12-06,55.35,64.35,52.35,61.50,138165
2021-12-13,64.20,64.80,57.25,59.00,85058
2021-12-20,62.10,63.50,56.40,60.45,118380
2021-12-27,60.60,79.90,59.00,79.90,471237
2022-01-03,84.00,90.10,74.15,76.55,872222
2022-01-10,79.80,79.80,72.25,74.20,140820
2022-01-17,77.90,89.15,68.80,82.75,715839
2022-01-24,84.00,84.75,71.65,80.60,200094
2022-01-31,79.05,84.80,76.00,82.80,117736
2022-02-07,82.80,83.95,75.65,78.10,89390
2022-02-14,77.70,77.85,66.25,71.30,176737
2022-02-21,72.75,76.50,63.00,69.15,67126
2022-02-28,73.50,73.50,65.00,65.95,54876
2022-03-07,64.90,72.70,58.50,67.15,209998
2022-03-14,68.50,72.90,65.90,69.35,63041
2022-03-21,72.80,76.45,68.45,69.20,77564
2022-03-28,72.70,72.70,66.05,69.60,52357
2022-04-04,71.00,83.95,70.00,77.80,166716
2022-04-11,80.05,81.65,77.65,78.25,33435
2022-04-18,79.00,80.00,70.10,73.55,52592
2022-04-25,73.55,78.00,68.00,70.95,108680
2022-05-02,75.75,75.90,67.60,69.75,89460
2022-05-09,74.90,74.90,62.35,65.45,56035
2022-05-16,71.30,71.30,66.00,68.45,67289
2022-05-23,68.40,69.05,63.00,65.20,38283
2022-05-30,67.00,67.50,60.00,63.65,108888
2022-06-06,63.95,71.80,63.30,65.45,143609
2022-06-13,66.30,66.30,58.65,64.15,54045
2022-06-20,64.05,67.00,50.40,61.35,55045
2022-06-27,62.55,63.90,60.85,62.75,26791
2022-07-04,62.05,69.00,59.50,64.30,56001
2022-07-11,64.75,72.80,62.35,65.40,348880
2022-07-18,65.55,67.75,62.75,65.35,45950
2022-07-25,64.15,66.05,63.70,64.45,33885
2022-08-01,64.00,68.95,64.00,66.05,59002
2022-08-08,65.85,68.90,64.00,67.40,48945
2022-08-16,66.20,71.90,65.50,67.75,158426
2022-08-22,67.75,80.10,66.50,74.10,554804
2022-08-29,74.00,75.80,70.35,71.60,64849
2022-09-05,72.05,77.90,68.60,73.65,137316
2022-09-12,74.45,76.45,71.05,72.50,93534
2022-09-19,72.90,109.70,72.15,100.35,3312665
2022-09-26,99.00,125.15,91.60,122.30,1358124
