Date,Open,High,Low,Close,Volume
2007-04-23,51.56,51.56,41.36,42.58,173694
2007-04-30,43.76,49.78,43.44,47.42,13349
2007-05-07,45.33,48.89,42.27,43.73,7450
2007-05-14,44.89,48.87,42.89,45.78,10795
2007-05-21,44.27,48.89,41.60,43.89,8764
2007-05-28,44.44,44.89,43.71,44.44,5443
2007-06-04,42.93,44.36,41.47,41.89,2299
2007-06-11,41.78,43.33,38.84,40.89,4876
2007-06-18,40.89,40.89,40.00,40.89,999
2007-06-25,37.93,40.31,37.60,37.84,14764
2007-07-02,37.87,40.00,36.96,38.89,10222
2007-07-09,39.11,42.64,38.02,41.38,4342
2007-07-16,41.82,46.07,35.82,45.80,18515
2007-07-23,45.78,48.22,37.91,45.33,17338
2007-07-30,46.67,48.00,42.22,46.22,6183
2007-08-06,46.00,46.98,42.22,43.64,5526
2007-08-13,44.89,44.89,44.00,44.00,225
2007-08-20,42.67,44.02,39.56,42.33,48456
2007-08-27,42.67,42.67,40.04,42.22,18628
2007-09-03,49.58,50.91,41.36,42.07,13556
2007-09-10,43.33,44.89,40.00,42.29,174371
2007-09-17,43.78,44.44,36.58,42.51,61037
2007-09-24,41.33,43.98,37.91,41.07,23573
2007-10-01,41.73,42.22,40.04,42.20,10660
2007-10-08,41.33,44.40,37.91,41.36,7177
2007-10-15,43.96,44.31,39.67,40.44,12447
2007-10-22,44.44,48.40,37.33,39.98,6244
2007-10-29,42.44,46.67,36.13,39.67,52559
2007-11-05,40.04,42.13,38.67,41.33,2923
2007-11-12,37.38,43.76,37.38,40.24,10433
2007-11-19,40.31,43.33,38.00,39.11,6093
2007-11-26,41.11,44.00,36.93,43.16,17500
2007-12-03,40.53,44.40,39.56,42.40,9513
2007-12-10,38.93,44.00,38.93,42.84,6939
2007-12-17,43.56,43.78,33.56,43.22,27326
2007-12-24,42.22,44.00,41.56,42.22,15482
2007-12-31,44.44,54.16,43.13,47.16,33945
2008-01-07,45.02,51.56,44.96,46.02,42943
2008-01-14,45.93,60.00,45.78,51.80,443603
2008-01-21,47.60,51.51,34.67,39.29,63724
2008-01-28,38.67,50.64,36.58,46.27,84025
2008-02-04,44.51,47.93,40.02,42.22,17413
2008-02-11,41.56,42.64,31.11,38.93,18391
2008-02-18,40.00,40.00,34.24,37.00,15579
2008-02-25,36.04,45.40,31.24,43.20,33768
2008-03-03,41.36,45.33,34.76,35.11,13081
2008-03-10,31.78,38.22,28.40,32.58,24532
2008-03-17,30.22,34.96,29.33,30.67,9358
2008-03-24,30.00,42.09,27.56,38.09,41384
2008-03-31,38.11,45.33,36.07,39.67,22203
2008-04-07,40.89,40.89,37.09,38.80,2052
2008-04-15,40.00,44.38,37.89,42.67,29144
2008-04-21,44.44,44.44,37.33,37.91,13977
2008-04-28,40.00,48.20,37.38,47.93,55595
2008-05-05,51.11,53.47,44.96,49.80,270846
2008-05-12,50.56,50.56,41.11,41.51,84682
2008-05-20,42.22,44.22,38.22,41.80,32607
2008-05-26,41.33,43.80,37.02,42.47,25452
2008-06-02,41.33,42.11,36.09,39.38,16562
2008-06-09,35.78,40.00,35.60,36.87,15914
2008-06-16,38.98,39.02,36.04,37.04,5866
2008-06-23,34.89,42.44,34.13,41.91,47569
2008-06-30,39.69,41.76,35.58,36.91,15527
2008-07-07,34.91,39.11,34.91,38.58,4543
2008-07-14,37.33,40.00,35.82,39.16,13963
2008-07-21,40.00,40.89,36.80,38.11,6082
2008-07-28,38.62,39.78,37.60,39.47,12132
2008-08-04,40.00,42.09,36.64,40.84,8611
2008-08-11,40.11,41.76,38.22,39.33,6205
2008-08-18,38.53,41.11,38.53,39.13,3377
2008-08-25,38.27,41.33,38.24,40.18,26248
2008-09-01,39.78,40.56,39.33,39.73,17451
2008-09-08,39.78,48.00,39.78,44.71,20439
2008-09-15,42.67,44.89,39.11,42.22,31767
2008-09-22,43.22,49.60,40.33,40.47,39856
2008-09-29,37.67,40.53,33.33,36.43,1635
