Date,Open,High,Low,Close,Volume
2023-04-17,436.00,436.00,387.15,397.95,6707690
2023-04-24,397.95,403.95,360.15,374.15,1037013
2023-05-02,380.00,380.00,366.05,367.65,661510
2023-05-08,365.00,367.90,348.00,356.70,806019
2023-05-15,354.05,414.90,354.05,411.70,1434910
2023-05-22,414.00,436.40,405.30,421.55,1491040
2023-05-29,439.00,453.00,404.15,442.55,2797316
2023-06-05,450.00,519.20,444.20,500.65,3070124
2023-06-12,504.75,538.90,486.15,505.40,1646826
2023-06-19,508.95,582.25,490.05,512.75,2901918
2023-06-26,516.80,562.00,504.00,549.90,1773094
2023-07-03,552.90,681.70,552.85,627.15,4042192
2023-07-10,630.00,732.10,591.00,695.20,4198554
2023-07-17,698.70,705.60,623.90,637.70,1874920
2023-07-24,637.70,642.00,581.20,591.75,1460193
2023-07-31,597.95,607.00,560.15,573.70,1179876
2023-08-07,577.95,605.70,505.65,520.55,2555087
2023-08-14,523.00,534.70,449.25,478.70,5182437
2023-08-21,484.40,504.70,475.10,481.10,2000497
2023-08-28,484.00,514.50,478.05,502.00,2940523
2023-09-04,520.00,614.00,507.05,605.00,5809767
2023-09-11,608.95,620.00,560.15,580.10,2220890
2023-09-18,580.65,587.30,547.85,554.95,706541
2023-09-25,557.95,575.20,551.85,555.40,789976
2023-10-03,555.95,600.00,553.50,570.55,1249870
2023-10-09,562.00,568.50,526.00,528.95,1745143
2023-10-16,532.00,557.70,524.30,530.30,1974565
2023-10-23,530.00,575.80,456.15,503.75,5048081
2023-10-30,507.20,510.55,487.00,498.70,1081905
2023-11-06,504.90,514.20,470.50,490.00,1493533
2023-11-13,490.00,493.50,475.70,476.80,997294
2023-11-20,480.00,486.95,473.10,479.05,748526
2023-11-28,485.00,513.90,483.00,506.35,1539455
2023-12-04,521.00,522.00,490.00,514.35,1983429
2023-12-11,514.35,537.40,508.50,512.30,1606567
2023-12-18,510.15,559.25,505.00,551.40,2625779
2023-12-26,552.50,576.00,548.45,551.10,1369539
2024-01-01,550.00,556.95,528.20,545.20,1034394
2024-01-08,545.00,554.70,531.25,541.60,787669
2024-01-15,562.00,565.00,524.75,530.15,1516038
2024-01-23,530.15,536.50,512.25,525.75,472108
2024-01-29,526.10,557.45,505.00,507.30,1197858
2024-02-05,507.30,514.05,469.00,480.95,3718750
2024-02-12,484.95,517.60,467.90,507.95,1254640
2024-02-19,509.70,519.10,495.00,512.95,798140
2024-02-26,514.80,535.00,506.25,528.05,1076886
2024-03-04,527.95,529.05,504.10,520.25,959415
2024-03-11,520.30,522.95,469.95,485.85,885865
2024-03-18,485.85,507.85,480.00,494.60,631505
2024-03-26,490.00,500.95,475.00,494.00,398059
2024-04-01,498.00,523.50,495.30,517.90,598947
2024-04-08,518.00,530.00,512.30,519.75,351408
2024-04-15,509.00,525.65,488.35,517.80,430994
2024-04-22,520.20,549.00,515.00,520.70,568834
2024-04-29,524.90,527.10,502.00,512.10,345296
2024-05-06,510.45,521.90,502.80,507.55,380006
2024-05-13,507.90,508.90,479.10,489.45,710043
2024-05-21,494.00,508.00,474.85,483.00,837440
2024-05-27,485.55,491.80,477.10,486.70,564153
2024-06-03,496.70,497.70,457.20,491.00,559419
2024-06-10,491.00,523.95,487.00,519.50,639631
2024-06-18,520.00,534.85,512.80,526.80,434038
2024-06-24,528.95,575.00,526.00,541.00,1430015
2024-07-01,541.00,560.00,533.00,539.15,434730
2024-07-08,544.00,552.60,523.85,531.70,553157
2024-07-15,537.00,549.00,511.00,514.10,291131
2024-07-22,484.00,536.00,484.00,522.50,306777
2024-07-29,527.00,534.20,507.30,514.55,315200
2024-08-05,491.00,505.80,425.00,473.10,1007439
2024-08-12,471.95,495.30,450.65,488.80,597319
2024-08-19,489.05,527.80,480.00,515.15,568280
2024-08-26,522.70,548.80,495.10,521.15,1024603
2024-09-02,523.70,543.15,498.20,502.80,933882
2024-09-09,499.80,555.55,489.85,541.30,1508499
2024-09-16,542.00,608.40,523.05,581.75,3256470
2024-09-23,583.00,667.00,562.05,607.10,5521353
2024-09-30,604.95,611.25,537.45,561.95,709578
2024-10-07,550.60,640.00,527.45,626.55,1808427
2024-10-14,628.00,659.00,559.55,590.35,1778089
2024-10-21,589.90,612.00,530.55,587.35,1323214
2024-10-28,580.00,613.45,566.40,588.65,940705
2024-11-04,588.00,849.10,575.00,793.30,16234324
2024-11-11,789.95,848.00,735.00,773.55,4226406
2024-11-18,780.00,897.70,745.55,856.85,4235878
2024-11-25,875.20,969.90,842.25,964.90,3166572
2024-12-02,963.95,990.55,852.30,892.55,1952018
2024-12-09,891.90,904.40,830.20,853.15,1709368
2024-12-16,853.15,1073.75,843.60,992.50,5319678
2024-12-23,999.00,1035.85,935.95,1012.40,3584971
2024-12-30,1015.95,1050.95,946.00,973.15,6872638
2025-01-06,975.00,992.00,900.20,913.70,3770221
2025-01-13,885.15,904.45,790.00,822.60,3013337
2025-01-20,820.00,856.80,685.25,692.65,4283901
2025-01-27,688.10,693.25,598.00,690.65,3786378
2025-02-03,690.95,766.80,668.50,707.85,3414164
2025-02-10,720.70,720.70,636.20,636.20,1871207
2025-02-17,620.00,726.75,603.00,692.45,3114120
2025-02-24,669.00,705.20,640.10,664.45,2029173
2025-03-03,666.95,737.95,644.15,710.45,2614654
2025-03-10,710.00,720.80,651.80,675.10,996480
2025-03-17,675.00,804.55,666.75,768.80,1766943
2025-03-24,783.00,807.20,736.15,757.55,2182700
2025-04-01,750.00,834.90,749.50,766.55,2149651
2025-04-07,689.90,821.00,689.90,812.30,1596639
2025-04-15,844.00,854.00,815.30,828.75,665040
2025-04-21,828.80,925.10,816.50,836.80,2864545
2025-04-28,835.20,905.00,821.00,878.25,2576760
2025-05-05,894.00,900.25,774.00,793.00,3173593
2025-05-12,840.00,914.00,824.30,897.10,2280002
2025-05-19,900.00,903.60,852.50,870.20,1027067
2025-05-26,875.00,928.40,831.25,859.90,1663557
2025-06-02,858.00,884.05,833.70,866.35,779559
2025-06-09,876.70,879.15,803.60,831.15,577429
2025-06-16,830.00,855.00,807.00,835.55,497884
2025-06-23,832.05,873.90,783.45,825.00,5475186
