Date,Open,High,Low,Close,Volume
2001-12-31,48.70,54.80,48.60,50.00,136586
2002-01-07,53.35,53.35,47.10,47.70,95223
2002-01-14,47.30,50.85,47.30,49.55,59242
2002-01-21,49.60,54.40,48.25,53.35,204415
2002-01-28,55.00,55.90,49.40,49.50,205039
2002-02-04,50.00,52.55,49.50,50.00,112591
2002-02-11,49.95,58.50,49.95,55.25,282814
2002-02-18,56.00,58.85,51.75,52.45,206501
2002-02-25,53.00,55.00,47.15,50.70,139789
2002-03-04,51.90,51.90,49.10,49.60,83088
2002-03-11,50.10,51.00,47.65,49.55,90378
2002-03-18,50.90,56.00,50.85,52.50,302926
2002-03-25,53.50,58.85,53.50,56.15,348311
2002-04-01,56.80,69.00,56.30,60.60,683092
2002-04-08,61.20,63.00,58.70,60.80,280313
2002-04-15,61.80,61.80,55.90,56.15,162286
2002-04-22,56.85,65.00,55.10,57.40,178929
2002-04-29,57.00,61.45,55.65,59.60,134911
2002-05-06,60.90,66.30,59.80,61.40,404606
2002-05-13,62.00,62.90,54.55,55.35,155092
2002-05-20,55.40,55.40,49.50,53.95,96360
2002-05-27,54.00,54.85,50.50,50.90,73386
2002-06-03,52.75,58.20,51.50,55.85,158598
2002-06-10,58.50,60.05,50.10,58.85,220729
2002-06-17,59.00,62.80,56.55,60.30,288293
2002-06-24,61.90,72.50,61.45,67.70,2610305
2002-07-01,66.90,85.40,66.90,83.75,1787312
2002-07-08,84.90,86.80,73.05,74.35,1072888
2002-07-15,75.25,75.35,67.10,67.70,373126
2002-07-22,66.00,67.00,56.00,56.45,281193
2002-07-29,56.60,57.50,43.15,52.55,272637
2002-08-05,53.90,59.00,53.20,54.70,180997
2002-08-12,55.85,57.00,53.60,53.95,60672
2002-08-19,54.80,56.90,53.80,54.60,127441
2002-08-26,55.00,55.60,50.20,51.50,116169
2002-09-02,52.10,52.95,48.70,50.15,93701
2002-09-09,50.05,51.80,49.60,50.75,60916
2002-09-16,51.00,51.00,47.70,48.30,52627
2002-09-23,48.50,49.35,46.20,46.90,39780
2002-09-30,46.05,47.40,44.10,45.25,45036
2002-10-07,46.00,46.50,44.45,44.65,44594
2002-10-14,45.15,46.00,43.50,43.90,44515
2002-10-21,44.25,44.85,42.00,42.55,45899
2002-10-28,43.00,43.50,39.20,43.45,34286
2002-11-04,44.00,46.90,43.95,44.75,31088
2002-11-11,44.50,44.95,42.00,43.35,28621
2002-11-18,44.00,47.70,43.00,46.90,61488
2002-11-25,46.50,52.50,45.20,51.30,173900
2002-12-30,47.25,47.25,45.00,45.10,34746
2003-01-06,44.90,45.75,43.20,43.60,39087
2003-01-13,43.75,44.95,40.00,44.10,66734
2003-01-20,44.20,45.95,41.65,42.10,88580
2003-01-27,43.85,43.85,37.00,37.55,122402
2003-02-03,38.20,39.50,37.25,37.85,61653
2003-02-10,37.50,37.50,32.85,33.00,64260
2003-02-17,33.50,37.45,33.00,34.95,83545
2003-02-24,35.45,38.90,33.80,34.70,74455
2003-03-03,34.40,35.00,30.00,30.60,66837
2003-03-10,30.50,30.70,28.20,28.55,166763
2003-03-17,28.75,29.30,28.00,28.60,169017
2003-03-24,29.00,29.00,25.50,26.00,58630
2003-03-31,25.95,27.95,23.75,27.60,56350
2003-04-07,27.10,29.65,26.00,26.55,59273
2003-04-14,27.45,28.35,25.40,26.00,21252
2003-04-21,24.50,26.10,23.75,23.95,67562
2003-04-28,26.40,26.40,22.65,23.25,50721
2003-05-05,24.00,24.80,22.50,22.70,140290
2003-05-12,23.50,30.40,22.05,28.45,531269
2003-05-19,28.75,30.85,26.50,27.50,189845
2003-05-26,28.00,30.90,28.00,28.40,245337
2003-06-02,29.00,36.30,27.65,33.90,856879
2003-06-09,34.45,36.25,31.80,32.35,331819
2003-06-16,32.50,33.85,31.10,31.55,141491
2003-06-23,32.30,34.45,31.00,33.10,245748
2003-06-30,32.95,36.80,32.70,35.40,533555
2003-07-07,35.40,38.35,33.00,33.70,364404
2003-07-14,35.50,44.00,35.30,38.55,1056074
2003-07-21,39.00,48.70,38.65,42.80,1726001
2003-07-28,43.20,44.45,40.15,40.45,328410
2003-08-04,41.00,44.50,37.90,39.70,475334
2003-08-11,40.70,42.60,39.00,41.45,553060
2003-08-18,42.70,45.00,39.30,43.85,997217
2003-08-25,44.90,49.90,40.70,44.70,2110185
2003-09-01,47.50,49.10,41.75,42.65,416040
2003-09-08,44.70,46.10,42.00,42.90,860615
2003-09-15,43.90,43.90,37.60,38.55,443542
2003-09-22,38.75,40.85,37.25,39.85,183700
