Date,Open,High,Low,Close,Volume
2019-08-05,67.50,75.40,66.20,70.95,19979
2019-08-13,73.50,76.50,69.55,72.10,15521
2019-08-19,75.65,75.65,71.00,71.75,20625
2019-08-26,74.75,75.65,71.75,72.00,25673
2019-09-03,74.90,77.45,69.00,72.50,11501
2019-09-09,72.00,72.75,69.00,69.35,10053
2019-09-16,69.00,69.00,63.00,63.60,8860
2019-09-23,61.60,61.60,60.00,61.10,2577
2019-09-30,61.50,64.50,61.50,63.35,9850
2019-10-07,62.60,67.95,59.70,59.70,12259
2019-10-14,65.65,70.95,58.00,64.50,33735
2019-10-22,70.70,71.00,60.00,71.00,94542
2019-10-29,65.00,71.00,62.00,64.35,45137
2019-11-04,64.50,72.00,64.05,69.55,35940
2019-11-11,69.00,75.30,68.30,71.10,56954
2019-11-18,73.50,73.65,70.00,72.50,75277
2019-11-25,73.25,79.25,72.65,76.90,79749
2019-12-02,78.25,89.35,75.00,83.60,153153
2019-12-09,94.00,94.00,83.80,84.00,57096
2019-12-16,86.50,92.75,84.00,90.00,78069
2019-12-23,91.00,103.75,91.00,100.00,67264
2019-12-30,104.90,111.00,100.00,105.50,58891
2020-01-06,106.50,110.75,105.00,107.00,39716
2020-01-13,107.00,113.90,107.00,110.05,26455
2020-01-20,111.90,112.95,108.00,110.45,25036
2020-01-27,109.95,110.00,95.70,105.00,30153
2020-02-03,108.95,114.05,102.40,111.95,34751
2020-02-10,111.95,117.00,110.00,110.10,28714
2020-02-17,110.10,118.00,110.10,112.55,30406
2020-02-24,118.00,127.00,116.00,124.95,52596
2020-03-02,130.00,130.00,111.05,114.10,74055
2020-03-09,119.00,119.00,94.60,101.65,14918
2020-03-16,102.00,102.00,89.55,91.05,23242
2020-03-23,90.50,90.50,77.80,78.40,942
2020-03-30,78.95,81.00,71.05,74.00,5962
2020-04-07,77.60,81.50,74.00,74.15,9188
2020-04-13,74.00,77.90,67.55,77.90,3245
2020-04-20,81.50,92.85,80.00,89.10,3919
2020-04-27,93.20,93.45,82.05,84.40,11068
2020-05-04,80.20,89.45,79.00,83.00,7228
2020-05-11,86.50,86.50,76.25,81.95,114331
2020-05-18,77.90,85.50,77.90,78.70,4403
2020-05-26,78.50,79.95,71.05,73.35,54304
2020-06-01,73.35,79.20,68.50,75.00,49050
2020-06-08,78.00,99.45,75.35,85.55,39306
2020-06-15,88.00,89.70,76.70,79.00,16406
2020-06-22,82.75,82.75,75.25,78.55,37458
2020-06-29,76.00,81.00,72.20,74.55,15283
2020-07-06,75.85,77.45,69.10,73.25,88189
2020-07-13,76.90,82.35,71.45,82.30,89678
2020-07-20,83.60,97.85,83.00,96.60,117621
2020-07-27,96.70,98.80,88.50,90.15,84691
2020-08-03,93.75,114.80,93.70,114.40,84075
2020-08-10,118.90,118.90,104.00,105.10,77102
2020-08-17,105.25,119.90,104.85,119.70,98202
2020-08-24,116.60,137.80,116.55,129.35,196880
2020-08-31,129.40,130.00,118.20,129.35,60108
2020-09-07,129.00,130.80,123.70,125.00,130366
2020-09-14,128.50,133.00,116.90,117.10,128093
2020-09-21,117.10,121.50,109.90,116.60,81791
2020-09-28,121.00,125.00,113.10,120.90,61326
2020-10-05,123.35,124.85,116.00,121.55,109068
2020-10-12,127.90,127.90,114.45,123.90,84720
2020-10-19,125.50,146.90,122.00,142.15,124097
2020-10-26,144.95,151.00,130.30,134.60,95341
2020-11-02,134.60,148.05,126.15,127.75,144952
2020-11-09,127.00,132.00,111.50,117.40,78673
2020-11-17,119.00,123.00,113.00,117.35,57201
2020-11-23,118.00,126.90,115.00,116.25,58569
2020-12-01,117.00,130.95,110.00,127.15,108351
2020-12-07,133.90,140.00,115.20,115.75,128235
2020-12-14,119.00,124.00,108.40,109.55,254292
2020-12-21,110.05,113.50,105.00,111.95,74762
2020-12-28,112.05,120.50,105.15,116.25,149274
2021-01-04,120.50,123.00,110.00,114.00,243588
2021-01-11,114.05,119.75,112.00,112.60,212420
2021-01-18,118.00,118.00,104.20,104.95,229705
2021-01-25,109.00,114.40,101.00,105.55,64246
2021-02-01,105.55,111.75,90.55,104.65,96311
2021-02-08,108.45,113.90,101.95,106.35,170918
2021-02-15,108.55,108.70,103.00,104.20,214101
2021-02-22,104.35,124.05,85.35,113.00,202659
2021-03-01,113.30,121.80,88.35,111.00,110377
2021-03-08,110.30,117.00,104.00,109.95,46733
2021-03-15,109.60,109.75,101.00,102.95,61699
2021-03-22,103.85,120.00,96.60,104.15,227321
2021-03-30,103.00,106.05,101.00,103.30,56163
2021-04-05,101.15,106.00,101.10,103.25,84812
2021-04-12,103.25,105.50,98.50,101.65,45774
2021-04-19,101.00,104.95,94.50,100.00,47095
2021-04-26,102.00,102.95,99.05,100.20,71788
2021-05-03,101.75,102.35,91.55,93.55,158060
2021-05-10,94.00,102.00,90.05,92.85,209064
2021-05-17,93.50,94.70,83.90,86.70,227598
2021-05-24,87.95,103.95,85.05,87.85,482436
2021-05-31,88.70,89.50,84.00,84.10,378641
2021-06-07,85.05,107.40,85.00,91.90,1854135
2021-06-14,93.00,105.00,89.70,91.30,1186591
2021-06-21,96.75,155.15,95.05,133.85,5036503
2021-06-28,137.85,196.25,134.00,196.25,1223283
2021-07-05,202.25,208.65,172.30,208.65,1268862
2021-07-12,219.05,241.50,207.60,217.95,853041
2021-07-19,207.10,226.00,196.75,215.95,293287
2021-07-26,211.00,228.00,205.20,218.55,241933
2021-08-02,217.00,256.40,210.00,242.65,236045
2021-08-09,242.65,248.80,214.95,241.45,156732
2021-08-16,253.50,279.45,253.20,263.15,292055
2021-08-23,263.15,273.00,224.55,229.10,113715
2021-08-30,233.00,251.50,230.00,234.00,94214
2021-09-06,230.00,239.80,218.00,233.95,64416
2021-09-13,235.00,242.00,215.25,215.25,138804
2021-09-20,215.00,236.25,205.20,235.60,160343
2021-09-27,230.00,235.95,216.55,231.30,70445
2021-10-04,232.00,248.90,225.00,239.35,202118
2021-10-11,247.80,290.85,247.80,290.85,58490
2021-10-18,305.35,328.55,282.05,298.65,538386
2021-10-25,313.55,367.80,313.55,367.80,454174
2021-11-01,386.15,422.95,365.95,367.90,216660
2021-11-08,367.90,385.40,351.05,381.20,61030
2021-11-15,400.25,437.00,390.55,413.70,182853
2021-11-22,414.00,423.50,380.10,403.80,71355
2021-11-29,396.15,404.80,365.05,402.50,110625
2021-12-06,402.40,422.70,373.20,388.65,35242
2021-12-13,399.90,431.75,385.00,400.40,112510
2021-12-20,408.45,418.50,364.10,411.65,73639
2021-12-27,424.00,459.60,395.05,450.05,140791
2022-01-03,469.95,574.25,445.00,574.25,233120
2022-01-10,602.95,704.90,578.40,668.00,716652
2022-01-17,670.00,743.95,634.60,688.50,446588
2022-01-24,697.00,706.70,621.40,670.10,385614
2022-01-31,685.00,687.00,591.95,616.40,209265
2022-02-07,625.00,665.60,590.00,624.15,131255
2022-02-14,592.95,624.20,568.10,590.70,160758
2022-02-21,599.80,607.00,527.35,547.45,208675
2022-02-28,547.00,607.50,527.20,580.65,77648
2022-03-07,574.00,618.70,552.10,610.00,141565
2022-03-14,611.10,620.70,580.00,620.70,69282
2022-03-21,644.00,735.00,633.75,697.35,337015
2022-03-28,715.00,764.00,690.25,718.70,251981
2022-04-04,743.90,744.00,631.00,639.70,93727
2022-04-11,646.00,665.80,611.80,665.35,76124
2022-04-18,669.90,699.95,650.25,670.05,114620
2022-04-25,665.00,684.80,596.80,622.50,89056
2022-05-02,619.85,665.85,580.00,607.70,82631
2022-05-09,591.00,619.95,492.55,502.95,158912
2022-05-16,490.00,574.75,489.40,567.50,52773
2022-05-23,579.80,579.80,466.05,480.65,117321
2022-05-30,480.10,564.00,480.10,525.05,109443
2022-06-06,530.00,530.00,488.85,520.40,29606
2022-06-13,510.05,538.85,480.75,493.45,39729
2022-06-20,513.00,545.85,469.90,542.70,46167
2022-06-27,567.50,567.50,518.00,519.55,59838
2022-07-04,525.70,534.00,470.15,527.95,49228
2022-07-11,530.00,549.90,505.75,522.70,17138
2022-07-18,534.00,539.80,496.00,502.05,30346
2022-07-25,502.00,514.90,478.35,482.45,30767
2022-08-01,470.00,506.05,455.75,466.40,66504
2022-08-08,466.20,498.00,450.50,498.00,136240
2022-08-16,517.95,548.00,499.35,506.90,60716
2022-08-22,491.50,512.30,483.10,495.05,51092
2022-08-29,481.00,502.00,481.00,485.80,27461
2022-09-05,495.55,534.60,477.55,506.90,140922
2022-09-12,492.00,514.70,482.75,486.65,37706
2022-09-19,494.00,498.50,463.20,466.55,29390
2022-09-26,470.00,479.60,442.10,447.90,37148
2022-10-03,448.00,484.40,445.05,474.60,69160
2022-10-10,488.00,498.50,452.00,456.80,55636
2022-10-17,472.65,472.65,434.15,439.10,19016
2022-10-24,442.25,460.25,432.00,449.35,33601
2022-10-31,444.85,535.00,441.00,494.75,62849
2022-11-07,498.60,498.60,461.00,467.65,12417
2022-11-14,462.45,530.00,458.05,467.40,65876
2022-11-21,465.00,549.00,465.00,542.25,165542
2022-11-28,548.50,548.90,510.95,517.80,26240
2022-12-05,511.00,549.00,488.55,528.25,132030
2022-12-12,509.50,648.80,509.50,601.50,489634
2022-12-19,600.00,606.05,485.90,508.90,102179
2022-12-26,507.00,593.50,507.00,559.95,98561
2023-01-02,551.55,595.00,508.45,516.15,121350
2023-01-09,523.90,538.85,506.65,521.70,67342
2023-01-16,529.55,557.05,516.00,536.25,35503
2023-01-23,539.30,539.95,481.55,484.20,44220
2023-01-30,493.80,536.95,454.00,479.10,80664
2023-02-06,487.40,515.00,476.00,500.90,32043
2023-02-13,500.00,504.00,471.00,471.50,31298
2023-02-20,478.60,480.65,420.10,427.20,44370
2023-02-27,427.15,457.00,411.95,453.45,41555
2023-03-06,455.00,461.95,428.20,431.70,17437
2023-03-13,433.60,454.45,396.10,444.75,105740
2023-03-20,474.20,474.20,421.95,439.80,57086
2023-03-27,458.55,458.60,400.50,426.00,116624
2023-04-03,427.60,450.00,423.55,433.15,36520
