Date,Open,High,Low,Close,Volume
2009-10-12,106.50,109.50,106.15,108.47,289364
2009-10-20,110.00,111.47,107.50,110.32,475296
2009-10-26,109.00,110.68,100.30,108.25,261724
2009-11-03,107.00,107.40,97.50,103.28,110340
2009-11-09,103.50,109.50,103.50,107.53,531172
2009-11-16,106.50,115.00,104.00,108.28,555192
2009-11-23,106.55,113.80,104.53,111.50,720764
2009-11-30,112.50,121.00,109.53,116.78,793872
2009-12-07,115.00,121.47,113.25,116.88,192026
2009-12-14,115.50,121.00,113.03,117.50,402940
2009-12-21,116.05,119.55,115.50,118.05,1010472
2009-12-29,118.00,121.45,116.55,118.88,136392
2010-01-04,115.55,134.50,115.55,127.38,814576
2010-01-11,125.15,133.00,125.12,129.18,151670
2010-01-18,129.50,146.50,128.52,136.57,1600152
2010-01-25,140.85,141.00,132.50,140.30,1231678
2010-02-01,140.00,143.48,127.50,133.62,589418
2010-02-08,134.95,134.95,130.50,131.30,117274
2010-02-15,133.48,144.50,128.25,137.62,2180990
2010-02-22,139.00,144.35,133.85,138.23,1564932
2010-03-02,139.95,159.75,133.23,156.80,1128440
2010-03-08,157.50,164.50,148.77,163.75,419484
2010-03-15,164.00,167.50,155.82,164.15,577092
2010-03-22,164.20,164.20,154.05,157.10,110012
2010-03-29,157.50,164.00,155.00,158.55,451174
2010-04-05,159.00,162.40,154.00,157.48,460074
2010-04-12,142.50,165.00,142.50,160.02,579542
2010-04-19,152.02,182.50,152.02,174.77,1419418
2010-04-26,176.50,188.00,172.52,182.35,927096
2010-05-03,179.00,184.00,171.55,176.12,862882
2010-05-10,175.12,203.73,175.12,197.48,2015646
2010-05-17,195.73,210.75,184.27,190.15,1111722
2010-05-24,194.95,199.00,187.60,198.05,291358
2010-05-31,197.65,224.50,197.50,212.10,774384
2010-06-07,207.50,217.20,200.05,211.80,984178
2010-06-14,213.00,222.52,209.15,215.45,390714
2010-06-21,217.10,241.95,214.00,235.20,1078906
2010-06-28,236.00,245.95,227.50,236.38,661806
2010-07-05,238.00,244.00,232.55,238.15,436932
2010-07-12,235.50,249.50,233.95,244.93,1147682
2010-07-19,238.05,262.90,237.50,257.65,857670
2010-07-26,262.20,275.00,254.50,271.75,1299228
2010-08-02,273.50,275.00,252.57,262.80,768220
2010-08-09,264.00,268.98,251.00,263.08,1069556
2010-08-16,266.48,299.70,266.48,270.08,837118
2010-08-23,269.00,274.45,257.00,265.30,747476
2010-08-30,263.00,284.00,259.00,282.55,604902
2010-09-06,287.45,319.67,275.10,313.27,1143762
2010-09-13,316.42,337.85,297.00,302.77,2005026
2010-09-20,307.00,317.80,298.05,309.38,396224
2010-09-27,312.50,317.00,300.60,311.77,507174
2010-10-04,312.00,321.40,298.85,309.12,428158
2010-10-11,317.20,341.50,306.00,326.15,1322044
2010-10-18,329.50,361.05,315.00,334.95,2207516
2010-10-25,338.90,342.05,314.75,320.52,435416
2010-11-01,325.00,343.50,311.52,330.92,1591136
2010-11-08,331.00,341.95,322.55,323.65,1067010
2010-11-15,328.25,329.50,315.00,319.73,1075522
2010-11-22,312.50,315.00,238.43,287.15,2381332
2010-11-29,290.05,291.48,265.00,278.92,1216522
2010-12-06,279.00,303.45,261.02,290.62,1468926
2010-12-13,292.58,321.25,291.48,317.95,843556
2010-12-20,318.00,323.00,292.00,311.15,371200
2010-12-27,314.70,319.90,306.35,316.45,205079
2011-01-03,318.00,324.75,288.00,289.05,460680
2011-01-10,292.90,294.00,270.55,277.85,520497
2011-01-17,274.95,274.95,243.00,245.40,950984
2011-01-24,240.30,255.80,224.10,235.15,625197
2011-01-31,230.00,251.00,220.00,231.40,548870
2011-02-07,232.00,244.90,215.10,235.45,474986
2011-02-14,237.40,311.50,231.50,288.00,2381851
2011-02-21,288.00,289.85,251.00,259.20,666642
2011-02-28,259.85,279.30,245.50,273.20,801452
2011-03-07,270.00,330.00,253.00,287.10,801775
2011-03-14,288.95,291.80,255.00,286.10,443691
2011-03-21,288.05,291.80,278.00,282.70,380053
