Date,Open,High,Low,Close,Volume
2006-10-30,2.60,2.70,2.50,2.60,6177
2006-11-06,2.50,2.70,2.40,2.65,28359
2006-11-13,2.65,2.75,2.40,2.40,41185
2006-11-20,2.35,2.45,2.20,2.40,56839
2006-11-27,2.45,2.70,2.35,2.50,25930
2006-12-04,2.60,3.30,2.60,3.30,28517
2006-12-11,3.60,3.85,3.35,3.40,72161
2006-12-18,3.45,3.85,3.30,3.55,47878
2006-12-26,3.40,3.70,3.30,3.45,33410
2007-01-02,3.45,3.60,3.25,3.55,52070
2007-01-08,3.60,4.05,3.60,3.85,54465
2007-01-15,4.00,4.25,3.80,3.90,52283
2007-01-22,3.80,4.10,3.60,4.10,40805
2007-01-29,3.90,4.15,3.80,3.90,42744
2007-02-05,3.85,4.70,3.80,4.55,80849
2007-02-12,4.35,4.75,3.65,4.25,54537
2007-02-19,4.50,4.70,3.70,3.70,31267
2007-02-26,3.50,4.00,3.35,3.90,37684
2007-03-05,3.65,3.65,3.00,3.55,15582
2007-03-12,3.30,4.00,3.10,3.95,59247
2007-03-19,4.00,4.10,3.60,3.75,108021
2007-03-26,3.75,4.05,3.60,4.05,176018
2007-04-02,4.20,4.55,3.85,4.25,130330
2007-04-09,4.00,4.30,3.65,4.15,36985
2007-04-16,4.15,4.50,3.90,4.25,129331
2007-04-23,4.15,5.00,4.00,4.75,223526
2007-04-30,5.00,5.85,4.50,5.85,113864
2007-05-07,6.00,6.25,5.25,6.00,388832
2007-05-14,6.00,6.00,5.35,5.35,136034
2007-12-03,8.55,10.50,8.55,10.50,232105
2007-12-10,11.05,13.50,10.95,13.50,268712
2007-12-17,14.20,14.40,12.80,13.70,723967
2007-12-24,13.70,14.40,11.80,13.50,432378
2007-12-31,14.15,17.35,13.95,17.35,569594
2008-01-07,18.25,19.20,14.95,14.95,611294
2008-01-14,14.20,15.00,13.40,13.85,314602
2008-01-21,13.20,13.75,10.80,10.80,32563
2008-01-28,10.30,10.85,8.80,8.80,90052
2008-02-04,9.25,11.20,8.90,10.25,107810
2008-02-11,9.75,10.75,8.95,9.90,152211
2008-02-18,10.40,10.95,9.90,10.20,337007
2008-02-25,10.20,10.25,8.80,8.95,100672
2008-03-03,9.00,9.00,7.50,7.55,44170
2008-03-10,7.25,7.70,6.25,6.25,52357
2008-03-17,5.95,5.95,5.40,5.40,10103
2008-03-24,5.50,6.05,5.00,6.05,36854
2008-03-31,6.35,7.80,6.25,7.65,57028
2008-04-07,8.00,8.00,6.70,6.80,78622
2008-04-15,6.75,7.30,6.50,7.15,41721
2008-04-21,7.10,7.95,7.05,7.55,114791
2008-04-28,7.85,7.90,7.25,7.75,39119
2008-05-05,7.75,7.80,6.65,6.65,46201
2008-05-12,6.35,6.85,6.00,6.45,60183
2008-05-20,6.45,6.90,6.00,6.30,67296
2008-05-26,6.00,6.75,5.80,5.95,27525
2008-06-02,6.15,6.30,5.10,5.75,27430
2008-06-09,5.75,6.00,5.10,5.75,17237
2008-06-16,6.00,6.85,5.65,5.95,15711
2008-06-23,5.95,5.95,4.70,5.00,24552
2008-06-30,5.45,5.45,4.40,4.95,32654
2008-07-07,5.15,5.75,4.55,5.15,20048
2008-07-14,5.30,5.75,4.55,4.80,23194
2008-07-21,4.65,5.90,4.65,5.30,34500
2008-07-28,5.25,5.75,4.65,4.95,36922
2008-08-04,4.75,5.20,4.50,4.75,52308
2008-08-11,4.85,5.50,4.75,4.80,22816
2008-08-18,4.95,4.95,4.40,4.60,32987
2008-08-25,4.90,4.90,4.35,4.50,26543
2008-09-01,4.45,4.80,4.25,4.65,16407
2008-09-08,4.65,4.85,4.00,4.20,53468
2008-09-15,4.00,4.40,3.40,4.00,40238
2008-09-22,4.00,4.00,3.50,3.75,10410
2008-09-29,3.85,3.85,2.75,3.50,34766
2008-10-06,3.40,3.75,2.25,2.45,91621
2008-10-13,2.55,3.30,2.30,2.55,80501
2008-10-20,2.90,2.90,1.80,2.10,28052
2008-10-27,2.10,2.35,1.65,2.10,29110
2008-11-03,2.00,2.80,2.00,2.35,67262
2008-11-10,2.35,2.80,2.05,2.15,31614
2008-11-17,2.05,2.60,1.90,2.25,64314
2008-11-24,2.10,2.40,2.00,2.30,23921
2008-12-01,2.00,2.35,2.00,2.20,24429
2008-12-08,2.10,2.40,2.00,2.10,72286
2008-12-15,2.10,2.55,2.00,2.35,54608
2008-12-22,2.10,2.60,2.10,2.55,37063
2008-12-29,2.55,3.20,2.05,3.00,103881
2009-01-05,3.00,3.40,2.65,2.85,42200
2009-01-12,2.40,2.85,2.30,2.55,8111
2009-01-19,2.55,2.70,2.30,2.40,9443
2009-01-27,2.50,2.50,2.20,2.25,6946
2009-02-02,2.30,2.55,2.15,2.55,16926
2009-02-09,2.55,2.75,2.50,2.60,15905
2009-02-16,2.75,2.85,2.65,2.85,9909
2009-02-24,2.75,2.80,2.55,2.60,15004
2009-03-02,2.70,2.75,2.50,2.50,1949
2009-03-09,2.55,2.60,2.15,2.30,11928
2009-03-16,2.45,2.45,2.15,2.35,6347
2009-03-23,2.00,2.45,2.00,2.25,22027
2009-03-30,2.25,2.50,2.20,2.50,7527
2009-04-06,2.45,2.75,2.30,2.55,7671
2009-04-13,2.35,3.30,2.35,2.90,33120
2009-04-20,2.80,3.25,2.65,3.00,14443
2009-04-27,2.85,3.10,2.80,2.90,5352
2009-05-04,2.75,3.15,2.75,2.90,25149
2009-05-11,2.80,3.00,2.70,2.80,10143
2009-05-18,2.80,3.40,2.70,3.40,27129
2009-05-25,3.55,4.20,3.55,4.10,54237
2009-06-01,4.00,4.80,4.00,4.75,132346
2009-06-08,4.95,5.00,4.10,4.10,46329
2009-06-15,4.00,4.00,3.50,3.70,16839
2009-06-22,3.75,4.10,3.50,3.75,15785
2009-06-29,3.90,3.90,3.55,3.80,17668
2009-07-06,3.65,3.80,3.05,3.15,38918
2009-07-13,2.90,3.85,2.85,3.50,41528
2009-07-20,3.50,3.65,3.05,3.60,42769
2009-07-27,3.70,3.95,3.30,3.75,72631
2009-08-03,4.00,4.15,3.65,3.70,92419
2009-08-10,3.80,4.00,3.40,3.75,37890
2009-08-17,3.55,4.00,3.40,3.45,28975
2009-08-24,3.70,3.95,3.40,3.65,54113
2009-08-31,3.70,3.95,3.55,3.90,30283
2009-09-07,3.90,4.35,3.20,3.70,49311
2009-09-14,3.70,3.95,3.50,3.75,67977
2009-09-22,3.50,3.95,3.40,3.70,26692
2009-09-29,3.95,4.00,3.65,3.75,49793
2009-10-05,3.65,3.80,3.55,3.65,18464
2009-10-12,3.45,5.20,3.45,5.20,63375
2009-10-20,6.30,7.70,5.85,7.00,628278
2009-10-26,7.00,7.00,5.40,5.40,47941
2009-11-03,4.90,5.15,4.50,4.90,76347
2009-11-09,4.90,5.90,4.85,5.20,139254
2009-11-16,5.45,5.45,4.80,5.00,88134
2010-02-15,3.85,3.85,3.70,3.75,1960
2010-02-22,3.65,3.90,3.60,3.65,12023
2010-03-02,3.65,3.85,3.55,3.65,19176
2010-03-08,3.65,3.80,3.30,3.55,29287
2010-03-15,3.60,3.80,3.30,3.55,48487
2010-03-22,3.65,3.65,3.20,3.40,31316
2010-03-29,3.10,3.55,3.10,3.35,31588
2010-04-05,3.40,4.00,3.25,4.00,69541
2010-04-12,3.75,4.10,3.40,3.50,202753
2010-04-19,3.60,3.95,3.35,3.60,41659
2010-04-26,3.75,3.80,3.30,3.65,74942
2010-05-03,3.30,3.80,3.30,3.60,48605
2010-05-10,3.60,3.75,3.30,3.45,54287
2010-05-17,3.55,6.35,3.35,5.95,1668938
2010-05-24,6.00,6.15,4.35,5.25,477364
2010-05-31,5.20,5.25,4.40,4.50,142588
2010-06-07,4.55,4.75,4.25,4.60,71307
2010-08-16,4.00,4.00,3.95,4.00,2320
2010-08-23,4.15,4.25,3.80,4.00,72326
2010-08-30,3.80,4.00,3.65,3.75,25376
2010-09-06,3.65,4.25,3.65,3.90,69931
2010-09-13,3.90,4.35,3.65,4.05,156354
2010-09-20,4.05,4.15,3.75,3.90,56580
2010-09-27,4.00,4.30,3.80,4.00,70104
2010-10-04,4.10,4.15,3.65,4.00,42534
2010-10-11,3.80,4.15,3.70,3.80,45562
2010-10-18,3.75,4.00,3.30,3.80,63903
2010-10-25,3.45,3.95,3.45,3.75,27226
2018-03-19,2.15,2.15,2.15,2.15,683
2018-04-16,2.15,2.15,2.15,2.15,100
2018-04-23,2.15,2.15,2.15,2.15,698
2018-04-30,2.15,2.35,2.05,2.35,4287
2018-05-07,2.30,2.60,2.30,2.60,2109
2018-05-14,2.60,3.00,2.60,2.85,56292
2018-05-21,2.90,3.20,2.75,3.10,45454
2018-05-28,3.20,3.20,2.70,2.70,36164
2018-06-04,2.60,2.70,2.50,2.50,35685
2018-06-11,2.40,2.70,2.35,2.50,23743
2018-06-18,2.60,2.60,2.40,2.45,5918
2018-06-25,2.40,2.40,2.20,2.25,2538
2018-07-02,2.25,2.25,2.20,2.25,4816
2018-07-09,2.25,2.25,2.25,2.25,1000
2018-07-23,2.25,2.35,2.25,2.35,101
2018-07-30,2.35,2.45,2.30,2.30,556
2018-08-06,2.20,2.20,1.95,1.95,2749
2018-08-13,1.95,1.95,1.90,1.90,1901
2018-08-20,1.90,1.95,1.90,1.95,487
2018-09-10,1.95,2.00,1.95,2.00,1876
2018-09-17,2.10,2.10,1.85,2.10,4699
2018-09-24,2.20,2.20,2.00,2.05,14350
2018-10-01,2.15,2.15,1.90,2.00,10805
2018-10-08,1.90,1.90,1.75,1.75,4459
2018-10-15,1.70,1.80,1.70,1.80,22100
2018-10-22,1.80,1.80,1.80,1.80,205
2018-10-29,1.80,1.80,1.80,1.80,2085
2018-11-05,1.80,1.80,1.80,1.80,550
2018-11-12,1.80,1.80,1.75,1.75,970
2018-11-19,1.75,1.75,1.65,1.65,2216
2018-11-26,1.60,1.65,1.60,1.60,2815
2018-12-03,1.65,1.65,1.55,1.55,2040
2018-12-10,1.55,1.55,1.50,1.55,452
2018-12-17,1.50,1.50,1.45,1.45,3157
