Date,Open,High,Low,Close,Volume
2024-06-24,339.00,365.70,310.00,323.47,39254023
2024-07-01,323.00,400.00,314.00,363.20,11278451
2024-07-08,366.70,393.75,358.05,380.35,7021502
2024-07-15,382.95,388.15,348.00,353.55,2997709
2024-07-22,353.55,388.95,340.00,382.00,3744084
2024-07-29,389.00,397.80,353.55,358.15,1388872
2024-08-05,355.00,368.90,345.30,352.70,2191891
2024-08-12,354.95,379.00,351.80,359.95,2200934
2024-08-19,363.70,369.90,342.15,354.90,2027412
2024-08-26,354.60,363.30,344.50,345.70,1250504
2024-09-02,348.25,348.25,327.15,328.65,977830
2024-09-09,328.00,343.40,321.50,330.15,890921
2024-09-16,330.20,334.50,300.05,301.80,1088902
2024-09-23,304.70,305.95,275.40,280.25,2566693
2024-09-30,280.45,294.00,260.25,262.60,1534743
2024-10-07,266.55,267.95,248.30,257.85,1119523
2024-10-14,260.00,274.00,249.50,250.60,549776
2024-10-21,252.70,254.25,225.60,235.60,619425
2024-10-28,233.15,274.00,231.05,272.10,628881
2024-11-04,272.15,279.20,262.20,264.75,448609
2024-11-11,264.75,309.20,254.00,281.25,4883775
2024-11-18,278.00,291.45,269.70,280.55,807036
2024-11-25,289.00,320.00,285.00,304.85,1461418
2024-12-02,307.00,357.90,305.00,337.10,3113539
2024-12-09,338.45,360.00,336.15,349.40,2229638
2024-12-16,351.80,354.15,313.05,317.35,1071445
2024-12-23,325.00,325.00,311.55,315.85,316249
2024-12-30,313.00,318.75,301.95,314.05,663136
2025-01-06,314.10,314.45,278.20,280.75,651266
2025-01-13,275.50,304.90,263.95,300.75,410268
2025-01-20,301.00,322.00,283.00,285.30,985131
2025-01-27,280.00,291.85,261.05,287.30,626389
2025-02-03,285.75,285.75,263.95,269.25,361209
2025-02-10,268.25,270.50,245.20,250.80,326397
2025-02-17,200.65,221.00,167.00,182.95,3651073
2025-02-24,179.10,215.40,179.10,199.55,787814
2025-03-03,199.55,232.90,189.10,231.26,616948
2025-03-10,237.00,247.90,216.00,228.75,744705
2025-03-17,229.00,264.66,225.71,259.33,736189
2025-03-24,259.35,268.00,236.00,242.06,739693
2025-04-01,246.90,267.29,240.40,254.21,391485
2025-04-07,236.00,242.00,225.00,227.61,501391
2025-04-15,232.80,241.55,230.11,240.35,252264
2025-04-21,238.85,249.90,226.05,229.62,310063
2025-04-28,229.62,236.32,219.00,222.27,205651
2025-05-05,223.94,238.81,210.00,222.85,385783
2025-05-12,228.00,239.69,226.10,238.68,251927
2025-05-19,243.70,252.59,237.50,238.78,452219
2025-05-26,241.15,316.00,240.77,291.75,5325990
2025-06-02,292.70,300.95,273.90,276.55,641292
2025-06-09,279.70,303.30,272.10,286.65,822574
2025-06-16,288.00,314.05,275.05,309.70,2046484
2025-06-23,303.50,329.00,300.10,320.85,3068057
