Date,Open,High,Low,Close,Volume
2003-01-13,16.97,16.97,16.58,16.77,75957
2003-01-20,16.73,18.42,16.48,17.60,168683
2003-01-27,17.11,17.94,16.87,17.60,74846
2003-02-03,17.65,18.62,17.45,18.37,96679
2003-02-10,18.66,18.66,17.84,18.13,65188
2003-02-17,18.23,19.10,18.13,18.71,133766
2003-02-24,18.71,19.97,18.71,19.15,185370
2003-03-03,18.42,19.34,17.94,17.94,105930
2003-03-10,17.94,18.37,17.45,18.23,41022
2003-03-17,17.45,18.18,17.45,17.94,66315
2003-03-24,17.65,18.71,17.45,17.99,50719
2003-03-31,17.94,18.91,17.94,18.81,46268
2003-04-07,18.23,19.20,18.23,19.05,81407
2003-04-14,18.47,19.20,17.65,19.10,119362
2003-04-21,19.49,20.56,18.13,19.44,326804
2003-04-28,19.44,20.85,19.44,20.80,126634
2003-05-05,20.41,21.43,20.41,21.23,151310
2003-05-12,21.09,23.22,20.85,21.62,221814
2003-05-19,21.91,24.09,21.67,23.37,486152
2003-05-26,24.19,24.19,23.27,23.51,377273
2003-06-02,23.27,23.56,22.30,23.12,175102
2003-06-09,23.51,24.48,23.27,23.46,266409
2003-06-16,23.37,25.16,21.33,24.00,264177
2003-06-23,24.24,26.47,24.09,25.60,657152
2003-06-30,25.98,28.02,23.95,24.09,871783
2003-07-07,24.53,24.72,22.15,22.25,361538
2003-07-14,22.40,23.80,22.20,22.83,287505
2003-07-21,23.17,23.46,22.06,23.27,207812
2003-07-28,23.85,24.24,22.59,23.32,272811
2003-08-04,22.83,24.82,22.83,24.43,472836
2003-08-11,24.09,28.75,24.00,27.34,719529
2003-08-18,25.69,31.03,23.27,26.28,1000281
2003-08-25,23.27,27.63,23.27,24.97,675666
2003-09-01,23.27,28.70,23.27,27.15,2141036
2003-09-08,26.71,28.94,23.75,25.74,1054093
2003-09-15,25.74,25.84,21.33,24.87,509652
2003-09-22,23.27,26.37,21.33,25.84,442492
2003-09-29,24.53,28.21,24.53,27.68,490921
2003-10-06,26.18,30.78,26.18,28.80,1165006
2003-10-13,26.18,30.35,26.18,28.94,767219
2003-10-20,26.18,33.35,26.18,30.69,2283759
2003-10-27,32.48,35.39,30.06,33.06,1127648
2003-11-03,30.15,39.66,29.18,37.81,1894443
2003-11-10,37.23,41.21,35.39,36.55,1585118
2003-11-17,38.30,42.86,37.33,39.85,1556664
2003-11-24,36.84,40.96,35.87,38.83,459662
2003-12-01,38.30,43.15,38.30,41.01,1276646
2003-12-08,41.50,43.44,37.81,41.79,949729
2003-12-15,41.93,43.58,37.81,42.56,1263299
2003-12-22,44.16,46.83,37.81,44.65,1430166
2003-12-29,45.18,47.41,37.81,46.59,1687084
2004-01-05,46.59,47.70,39.75,42.71,1564493
2004-01-12,39.85,44.99,37.81,40.00,1277878
2004-01-19,37.91,43.34,31.03,37.77,945745
2004-01-27,36.36,42.66,33.94,34.52,417166
2004-02-03,35.24,35.39,31.22,34.86,437401
2004-02-09,34.03,37.33,34.03,36.80,309021
2004-02-16,36.94,37.43,33.84,34.61,226168
2004-02-23,34.42,34.42,30.78,31.46,277505
2004-03-01,31.51,32.63,31.03,31.80,159068
2004-03-08,32.77,33.94,31.61,33.31,454825
2004-03-15,33.45,33.45,29.09,29.57,246089
2004-03-22,31.85,31.85,26.91,27.78,424326
2004-03-29,28.60,35.39,28.12,33.98,563134
2004-04-05,34.42,34.95,32.19,32.92,212303
2004-04-12,33.35,38.78,32.72,37.23,411256
2004-04-19,38.73,44.99,34.42,39.07,1118223
2004-04-26,38.78,38.78,35.15,37.28,403997
2004-05-03,37.77,40.53,35.63,38.15,820841
2004-05-10,36.94,38.49,32.24,34.23,553723
2004-05-17,36.31,36.84,28.60,35.78,558665
2004-05-24,36.70,36.84,33.98,34.52,435055
2004-05-31,33.98,35.29,32.09,33.50,292307
2004-06-07,33.50,35.29,33.45,34.76,341301
2004-06-14,34.81,35.10,33.31,33.84,290709
2004-06-21,34.03,34.37,32.24,33.79,245825
2004-06-28,34.13,35.29,31.80,32.00,698104
2004-07-05,32.09,34.42,29.33,31.22,819914
2004-07-12,31.80,31.95,30.44,31.27,415061
2004-07-19,31.66,32.63,29.77,30.49,461940
2004-07-26,30.11,31.95,29.28,30.83,417699
2004-08-02,31.51,32.29,29.57,31.90,695976
2004-08-09,31.75,32.43,30.64,31.17,431611
2004-08-16,31.75,32.92,30.83,31.80,520360
2004-08-23,31.66,33.35,31.03,32.48,461962
2004-08-30,33.21,37.23,32.58,34.86,1827650
2004-09-06,35.39,37.43,35.39,36.21,1290305
2004-09-13,36.46,37.72,35.63,36.75,922131
2004-09-20,36.84,39.75,36.07,38.64,1921519
2004-09-27,38.78,41.55,38.10,40.67,1573595
2004-10-04,41.55,41.89,38.35,41.50,1141499
2004-10-11,41.21,41.50,38.30,38.44,610663
2004-10-18,34.81,39.51,34.81,38.98,300151
2004-10-25,38.88,40.48,37.67,39.75,611844
2004-11-01,39.80,41.35,39.70,40.09,487448
2004-11-08,39.75,47.90,39.07,46.20,1922066
2004-11-16,46.54,46.98,41.69,45.04,856990
2004-11-22,41.89,51.63,41.89,48.96,2625598
2004-11-29,49.30,50.03,43.87,47.17,760784
2004-12-06,47.12,48.48,44.07,46.01,876335
2004-12-13,45.09,50.61,42.23,48.58,1936223
2004-12-20,48.87,50.81,47.61,49.64,1003111
2004-12-27,44.70,50.03,44.70,48.53,707844
2005-01-03,49.93,55.46,40.29,53.42,2132528
2005-01-10,54.35,56.09,47.32,49.01,1442848
2005-01-17,47.99,49.74,47.12,48.38,344028
2005-01-24,49.45,51.78,38.88,50.95,2141889
2005-01-31,51.78,56.14,50.42,54.30,1994974
2005-02-07,55.27,59.92,54.30,59.10,3423056
2005-02-14,59.82,60.07,52.50,54.49,2362724
2005-02-21,55.27,55.90,51.87,54.64,1149739
2005-02-28,55.90,56.53,52.45,52.84,1049214
2005-03-07,52.84,54.15,50.08,50.95,899940
2005-03-14,50.42,57.21,45.18,55.99,4369505
2005-03-21,57.21,68.31,55.56,59.48,21112401
2005-03-28,60.50,63.22,55.90,62.54,4003020
2005-04-04,63.02,68.55,59.63,64.57,6479035
2005-04-11,64.96,65.93,60.65,61.08,2017935
2005-04-18,60.79,64.67,58.47,61.47,2031370
2005-04-25,61.47,63.27,60.11,60.45,1331096
2005-05-02,60.11,63.17,59.63,61.67,1494385
2005-05-09,62.78,67.53,61.96,66.08,3680838
2005-05-16,66.32,75.14,65.93,66.37,11068568
2005-05-23,66.42,67.73,64.14,64.77,2419966
2005-05-30,64.96,65.74,62.05,64.48,868394
2005-06-06,66.80,69.71,64.28,64.91,2144154
2005-06-13,66.42,69.81,61.18,62.54,859319
2005-06-20,63.99,65.83,62.83,64.77,993879
2005-06-27,65.06,66.90,62.25,62.54,977970
2005-07-04,63.07,63.56,61.08,61.67,685702
2005-07-11,61.67,66.71,61.67,64.57,1550870
2005-07-18,65.16,84.26,64.48,81.88,14355344
2005-07-25,82.61,82.66,73.35,74.03,1555994
2005-08-01,74.66,76.50,72.23,73.40,1184076
2005-08-08,73.40,78.15,71.26,75.00,2217289
2005-08-16,74.66,76.31,71.31,71.65,2519024
2005-08-22,72.62,79.84,69.86,79.26,4420022
2005-08-29,80.33,90.95,79.36,88.28,10802027
2005-09-05,87.26,95.75,87.26,93.08,5153007
2005-09-12,93.23,102.63,92.30,94.83,6774031
2005-09-19,95.60,96.47,78.63,85.42,2287552
2005-09-26,87.26,92.11,83.04,86.68,1639565
2005-10-03,87.21,91.82,82.41,88.52,1302700
2005-10-10,88.77,89.10,80.48,82.22,615943
2005-10-17,89.69,89.69,71.75,75.92,1081407
2005-10-24,76.11,77.47,72.23,72.62,481216
2005-10-31,75.48,76.98,71.75,76.45,197096
2005-11-07,76.98,81.15,76.11,79.02,739561
2005-11-14,79.80,90.66,79.80,84.84,2116569
2005-11-21,85.32,87.75,82.66,87.26,821011
2005-11-28,88.28,89.20,83.63,83.97,789037
2005-12-05,84.16,93.95,82.41,90.07,1122456
2005-12-12,90.17,97.93,87.89,93.08,2879158
2005-12-19,93.95,93.95,87.55,90.07,1207942
2005-12-26,90.75,92.40,85.81,88.67,795061
2006-01-02,89.20,112.96,88.67,104.76,9709755
2006-01-09,105.88,112.76,99.77,107.96,2261206
2006-01-16,108.11,108.30,96.57,102.82,1273021
2006-01-23,92.69,106.65,92.69,101.85,1169198
2006-01-30,111.50,111.50,98.41,100.45,1153800
2006-02-06,102.10,108.59,98.07,107.53,1679603
2006-02-13,108.59,111.21,101.85,103.50,2255550
2006-02-20,103.89,107.82,99.38,102.19,1358907
2006-02-27,102.29,103.45,92.84,93.18,1203927
2006-03-06,94.24,94.53,87.94,89.98,820022
2006-03-13,90.66,91.92,85.61,87.36,1071303
2006-03-20,87.26,95.02,86.39,90.32,1072538
2006-03-27,91.14,99.48,88.72,96.38,1061578
2006-04-03,98.70,100.84,93.18,99.62,889325
2006-04-10,100.74,115.28,93.90,95.50,1410317
2006-04-17,98.90,103.75,94.29,99.24,486516
2006-04-24,98.80,106.65,78.68,96.96,546388
2006-05-02,96.67,116.35,94.63,95.12,622873
2006-05-08,95.99,110.92,92.69,99.24,1991671
2006-05-15,99.87,114.36,86.39,89.25,875893
2006-05-22,89.69,102.68,73.93,94.24,570908
2006-05-29,94.29,96.47,78.73,83.92,398687
2006-06-05,84.31,88.23,63.22,71.26,552857
2006-06-12,67.87,72.72,60.50,67.77,556747
2006-06-19,67.82,76.60,63.02,69.71,413995
2006-06-26,71.75,73.59,63.56,69.47,658883
2006-07-03,70.78,70.92,66.80,67.77,146975
2006-07-10,65.93,69.81,64.23,67.48,156836
2006-07-17,67.48,81.01,66.42,70.00,2801720
2006-07-24,68.84,74.66,67.87,74.08,579641
2006-07-31,73.93,78.92,72.33,74.37,303715
2006-08-07,72.77,81.74,72.77,79.94,858009
2006-08-14,79.94,81.54,76.84,77.28,298184
2006-08-21,78.05,86.87,77.08,81.15,1316979
2006-08-28,81.74,82.41,77.18,80.28,727251
2006-09-04,80.48,90.07,80.48,87.94,1471696
2006-09-11,87.94,90.17,82.03,88.67,611712
2006-09-18,87.75,89.69,83.58,84.26,330065
2006-09-25,84.26,86.29,81.25,84.64,201729
2006-10-03,84.94,91.09,80.72,89.69,628720
2006-10-09,88.72,92.50,86.92,90.56,994006
2006-10-16,91.14,94.34,85.86,86.24,735593
2006-10-23,86.34,89.15,83.09,83.48,406333
2006-10-30,83.48,83.82,78.54,79.26,431488
2006-11-06,79.26,82.03,77.66,78.39,339721
2006-11-13,78.39,81.35,71.41,73.49,499697
2006-11-20,72.82,78.54,67.97,73.54,361828
2006-11-27,74.03,77.86,73.35,77.13,292199
