Date,Open,High,Low,Close,Volume
2023-09-25,542.95,545.00,521.00,532.25,31022
2023-10-03,531.90,540.00,518.10,532.40,23518
2023-10-09,515.00,533.00,501.10,511.10,28443
2023-10-16,520.00,533.95,505.00,511.40,26118
2023-10-23,510.00,513.45,456.10,482.20,45158
2023-10-30,490.00,508.55,476.80,486.45,23250
2023-11-06,493.50,506.90,458.70,472.00,87279
2023-11-13,471.05,476.45,456.00,456.30,22027
2023-11-20,464.95,534.35,446.10,530.10,147651
2023-11-28,537.70,555.00,508.00,542.45,68275
2023-12-04,569.00,569.00,501.05,506.80,68635
2023-12-11,502.00,511.95,479.40,488.85,62610
2023-12-18,488.80,577.00,484.85,549.70,384951
2023-12-26,565.00,588.30,533.55,553.00,120070
2024-01-01,557.20,558.95,528.55,545.50,69283
2024-01-08,554.85,562.00,525.00,527.65,81867
2024-01-15,529.95,540.00,509.85,520.25,80784
2024-01-23,525.00,525.00,500.00,502.70,22989
2024-01-29,514.85,522.00,497.70,500.05,30703
2024-02-05,500.95,504.80,452.30,469.40,97045
2024-02-12,478.80,501.50,455.05,498.70,44353
2024-02-19,501.00,570.00,497.00,561.05,219771
2024-02-26,547.00,630.00,522.60,603.95,353809
2024-03-04,610.00,610.00,542.65,550.65,112389
2024-03-11,560.00,560.00,502.05,533.45,111028
2024-03-18,530.15,547.95,513.00,529.05,94000
2024-03-26,530.00,538.00,496.10,506.85,70715
2024-04-01,509.40,590.00,508.30,587.20,120233
2024-04-08,594.00,597.95,557.80,571.25,107997
2024-04-15,570.00,585.85,541.25,579.60,57845
2024-04-22,582.00,598.85,562.05,577.15,67024
2024-04-29,576.05,593.45,542.00,546.60,103608
2024-05-06,549.00,561.95,530.00,537.75,55772
2024-05-13,535.00,567.90,531.05,563.95,48895
2024-05-21,571.00,582.20,545.00,551.15,63734
2024-05-27,539.00,539.00,480.60,484.65,133195
2024-06-03,490.00,505.00,455.00,498.00,60071
2024-06-10,498.00,558.70,490.00,529.35,110000
2024-06-18,529.65,535.60,500.55,517.15,62490
2024-06-24,517.15,536.80,500.00,527.80,48373
2024-07-01,525.00,693.40,518.00,657.60,983826
2024-07-08,662.00,691.65,600.00,605.80,240831
2024-07-15,605.80,628.95,565.00,567.70,158411
2024-07-22,570.00,645.25,553.00,635.60,199412
2024-07-29,640.00,640.00,579.00,581.00,202982
2024-08-05,581.00,595.45,531.00,570.85,264928
2024-08-12,560.05,560.95,531.00,543.70,62114
2024-08-19,540.00,624.00,540.00,580.30,165948
2024-08-26,589.95,595.00,540.00,568.05,75672
2024-09-02,570.20,585.00,551.00,554.35,46989
2024-09-09,546.00,573.80,546.00,556.25,32974
2024-09-16,564.95,564.95,533.55,549.30,42707
2024-09-23,549.30,582.90,549.30,562.00,43662
2024-09-30,574.80,574.80,531.00,539.15,29001
2024-10-07,541.00,549.15,501.60,541.45,30327
2024-10-14,541.55,550.15,526.00,535.30,18381
2024-10-21,530.10,541.95,471.65,479.75,63359
2024-10-28,475.00,510.65,470.40,485.30,31326
2024-11-04,485.30,549.90,481.80,541.75,63951
2024-11-11,552.45,577.00,505.00,517.65,72801
2024-11-18,520.00,527.50,507.00,513.00,25994
2024-11-25,516.35,527.50,493.10,512.15,35717
2024-12-02,508.00,566.10,499.50,525.75,60080
2024-12-09,528.05,541.40,508.10,528.85,36882
2024-12-16,531.60,536.55,497.15,499.45,27829
2024-12-23,501.85,510.10,492.10,495.40,15682
