Date,Open,High,Low,Close,Volume
2011-07-25,118.80,118.80,109.20,112.85,87561
2011-08-01,111.25,114.70,99.25,100.80,64507
2011-08-08,100.25,105.70,97.00,99.30,72228
2011-08-16,100.50,102.00,92.50,98.40,165687
2011-08-22,98.00,102.90,95.25,99.55,81269
2011-08-29,98.15,107.95,98.15,105.20,59058
2011-09-05,103.00,108.95,102.00,105.35,299411
2011-09-12,104.15,109.80,101.50,105.15,297774
2011-09-19,105.80,105.90,99.00,99.95,358666
2011-09-26,100.20,105.00,98.50,103.85,331661
2011-10-03,103.00,104.60,99.00,103.60,303360
2011-10-10,103.25,104.90,99.00,100.00,407666
2011-10-17,101.00,101.50,98.15,99.90,262543
2011-10-24,100.00,104.00,98.35,100.75,56845
2011-10-31,101.00,101.95,98.65,99.00,86845
2011-11-08,99.70,101.70,97.65,98.20,103823
2011-11-14,99.90,101.50,95.00,95.30,131136
2011-11-21,95.95,97.70,85.05,92.75,112596
2011-11-28,91.05,95.70,88.30,89.70,36527
2011-12-05,88.50,96.70,86.00,87.10,21796
2011-12-12,87.50,90.00,77.05,79.50,25843
2011-12-19,80.00,82.00,63.40,71.90,189222
2011-12-26,72.00,85.95,72.00,83.70,51087
2012-01-02,89.95,90.00,80.00,82.00,7252
2012-01-09,82.00,84.00,80.00,83.00,13118
2012-01-16,83.00,83.95,78.00,81.15,7061
2012-01-23,83.00,83.90,79.50,79.65,10974
2012-01-30,78.00,88.80,70.70,75.80,217241
2012-02-06,76.20,83.90,71.00,79.90,71088
2012-02-13,79.00,81.90,74.00,75.30,47925
2012-02-21,76.60,79.80,73.00,73.15,18728
2012-02-27,75.00,77.50,70.00,71.30,85273
2012-03-05,73.00,73.40,65.00,67.00,72635
2012-03-12,69.50,71.45,66.80,68.55,16383
2012-03-19,70.00,70.00,64.55,68.55,43484
2012-03-26,70.00,70.00,63.05,66.15,51100
2012-04-02,69.90,78.00,66.00,68.30,423364
2012-04-09,71.00,71.00,65.10,65.45,408839
2012-04-16,67.90,70.00,62.95,64.85,28082
2012-04-23,69.00,69.00,63.10,65.45,544558
2012-04-30,69.00,69.00,59.00,60.95,12031
2012-05-07,62.00,67.00,58.00,64.90,22885
2012-05-14,65.80,65.80,52.40,58.10,18206
2012-05-21,56.80,56.80,44.05,46.95,43281
2012-05-28,47.40,48.00,36.80,37.90,108701
2012-06-04,38.35,51.95,37.00,46.90,28928
2012-06-11,47.00,47.90,43.70,45.00,49835
2012-06-18,44.50,46.45,43.95,44.00,23074
2012-06-25,45.00,45.45,43.40,44.10,26247
2012-07-02,44.00,46.10,44.00,46.05,8274
2012-07-09,46.00,50.05,45.00,45.00,5221
2012-07-16,41.25,47.60,41.25,43.50,9521
2012-07-23,44.95,44.95,41.00,43.10,7338
2012-07-30,41.00,45.80,39.20,43.50,2391
2012-08-06,46.90,46.90,40.70,41.05,167793
2012-08-13,41.05,42.85,40.00,41.25,17771
2012-08-21,42.85,46.00,41.05,43.65,12323
2012-08-27,39.70,44.25,38.00,40.05,7957
2012-09-03,38.00,42.35,37.00,40.15,8557
2012-09-10,40.50,43.50,39.55,40.00,14609
2012-09-17,39.60,41.80,39.00,39.10,19437
2012-09-24,40.00,47.00,40.00,42.05,27261
2012-10-01,41.10,46.95,39.40,43.50,13846
2012-10-08,44.85,45.00,41.10,42.00,35237
2012-10-15,41.60,44.00,39.30,40.05,25004
2012-10-22,39.50,41.40,38.10,40.30,8000
2012-10-29,39.25,41.00,39.00,39.40,5128
2012-11-05,39.20,40.50,38.05,39.10,12413
2012-11-12,38.80,41.30,38.65,39.35,13154
2012-11-19,38.20,41.15,36.65,38.90,9995
2012-11-26,38.75,40.75,37.40,39.75,9758
2012-12-03,39.00,40.45,38.90,40.20,8598
2012-12-10,40.20,41.50,39.00,41.05,11805
2012-12-17,41.85,42.00,41.00,41.00,10153
2012-12-24,41.00,42.55,39.75,40.00,4897
2012-12-31,39.30,46.50,39.30,39.55,11991
2013-01-07,39.55,41.50,39.00,39.50,10494
