Date,Open,High,Low,Close,Volume
2002-03-04,4.95,4.95,4.95,4.95,1
2002-04-22,4.30,4.50,4.30,4.50,350
2002-05-06,4.50,4.50,3.60,3.60,1200
2002-05-13,3.10,4.25,3.10,4.25,600
2002-05-20,5.10,5.10,5.10,5.10,100
2002-05-27,4.90,5.00,4.90,5.00,7000
2002-06-10,4.95,6.55,4.85,4.85,5801
2002-06-17,5.50,6.70,5.00,6.30,1203
2002-06-24,6.00,7.20,6.00,7.20,1300
2002-07-01,7.50,9.60,7.50,8.30,7910
2002-07-08,8.40,9.00,6.60,6.60,4435
2002-07-15,5.40,6.90,5.40,6.30,1000
2002-07-22,6.50,6.50,4.40,4.45,800
2002-07-29,4.80,4.85,4.00,4.85,1104
2002-08-05,5.70,7.10,4.05,4.05,204
2002-08-12,3.45,3.45,3.00,3.00,2
2002-08-19,3.60,6.10,3.60,6.05,802
2002-08-26,5.00,5.45,4.20,4.20,503
2002-09-02,3.60,4.30,3.00,4.30,804
2002-09-09,5.10,7.05,4.10,5.00,847
2002-09-16,4.05,4.70,3.25,3.60,405
2002-09-23,3.15,4.50,3.05,4.05,606
2002-09-30,3.30,4.70,3.30,3.70,155
2002-10-07,3.15,5.05,3.15,5.05,205
2002-10-14,4.95,5.10,2.70,2.70,704
2002-10-21,3.20,3.20,2.30,2.95,223
2002-10-28,2.65,2.65,1.95,1.95,3
2002-11-11,2.35,2.35,2.35,2.35,1
2002-11-25,2.60,2.60,1.75,1.75,102
2002-12-30,3.30,3.30,2.65,3.00,2800
2003-01-06,3.00,3.00,3.00,3.00,220
2003-01-13,2.45,2.85,2.45,2.85,300
2003-02-03,8.90,9.35,8.90,9.05,800
2003-02-24,7.00,7.00,7.00,7.00,100
2003-06-23,17.00,17.00,11.45,11.45,519
2003-06-30,9.45,9.45,7.50,8.00,5106
2003-07-07,8.00,10.25,6.75,8.00,8807
2003-07-14,8.00,8.85,6.80,8.85,3356
2003-07-21,8.00,9.00,6.60,6.75,745
2003-07-28,8.00,8.90,6.60,7.75,5934
2003-08-04,7.25,8.00,6.85,7.40,2850
2003-08-11,7.00,8.00,6.15,7.80,3974
2003-08-18,8.10,8.50,6.90,8.00,15897
2003-08-25,8.55,8.60,7.00,7.70,4905
2003-09-01,8.10,9.95,7.25,9.65,15808
2003-09-08,8.10,9.00,7.25,8.45,2106
2004-03-08,12.35,12.35,12.35,12.35,200
2004-03-15,9.90,9.90,9.90,9.90,101
2004-05-03,14.40,14.40,9.25,9.25,387
2004-07-05,12.80,12.80,8.20,8.20,180
2004-07-12,7.25,8.70,6.50,8.00,946
2004-07-19,6.60,9.60,6.60,6.75,3714
2004-07-26,7.50,8.05,6.60,8.00,211
2004-08-02,8.15,8.70,6.85,7.55,8275
2004-08-09,7.50,8.15,7.10,7.35,7406
2004-08-16,7.65,7.75,7.20,7.65,3100
2004-08-23,7.60,7.90,7.10,7.50,5367
2004-08-30,7.50,8.20,6.90,8.15,9112
2004-09-06,8.00,10.10,8.00,9.35,25642
2004-09-13,10.25,10.25,7.60,8.10,8681
2004-09-20,7.35,9.80,7.35,9.45,8058
2004-09-27,8.55,9.95,8.55,8.90,14470
2004-10-04,9.15,10.00,8.20,10.00,14351
2004-10-11,10.25,10.95,9.60,10.90,26243
2004-10-18,10.25,11.10,9.75,10.45,3068
2004-10-25,9.55,10.80,9.55,10.45,8420
2004-11-01,10.50,11.00,9.70,10.60,13599
2004-11-08,10.50,11.75,10.05,10.85,6428
2004-11-16,10.70,13.55,10.25,13.05,30890
2004-11-22,13.40,15.90,13.40,15.80,25061
2004-11-29,16.20,19.90,16.15,19.90,25251
2004-12-06,20.90,24.20,20.80,20.85,95758
2004-12-13,20.40,24.80,20.35,22.15,35977
2004-12-20,21.75,22.10,19.10,19.20,33525
2004-12-27,19.50,20.40,16.50,18.20,24911
2005-01-03,19.10,19.10,16.25,16.50,36921
2005-01-10,16.60,16.65,14.10,14.95,24367
2005-01-17,14.85,20.70,14.00,17.85,170664
2005-01-24,17.85,22.20,13.50,19.05,446724
2005-01-31,18.00,26.20,17.60,21.70,236711
2005-02-07,22.10,32.90,21.60,30.20,676298
2005-02-14,30.55,32.70,27.05,28.80,557185
2005-02-21,29.80,34.50,25.90,31.40,600230
2005-02-28,34.50,34.50,29.80,30.75,271086
2005-03-07,31.40,31.80,27.60,28.80,121637
2005-03-14,29.00,33.80,28.50,30.90,340203
2005-03-21,31.90,31.90,28.50,29.00,97328
2005-03-28,29.35,32.00,28.00,31.60,101329
2005-04-04,32.40,32.40,29.25,30.25,33183
2005-04-11,30.05,41.00,29.60,41.00,458831
2005-04-18,42.00,52.40,38.95,52.40,301918
2005-04-25,55.05,66.95,55.05,60.60,141880
2005-05-02,57.60,63.85,52.50,63.85,514612
2005-05-09,67.05,77.35,64.30,77.35,334049
2005-05-16,81.00,98.90,81.00,91.10,330162
2005-05-23,94.40,94.40,78.15,86.20,292744
2005-05-30,86.50,99.90,81.90,94.20,541169
2005-06-06,99.80,99.80,85.60,85.75,141580
2005-06-13,86.50,96.50,81.50,91.20,653430
2005-06-20,92.00,95.80,88.60,91.05,148087
2005-06-27,91.00,91.25,82.00,83.40,152789
2005-07-04,84.05,99.60,83.05,99.60,425861
2005-07-11,103.00,109.85,100.00,103.85,254595
2005-07-18,107.50,110.90,100.55,110.90,290424
2005-07-25,115.00,122.30,111.00,117.15,315561
2005-08-01,119.00,125.90,114.50,125.90,454914
2005-08-08,129.85,143.55,123.50,135.65,1167482
2005-08-16,140.00,140.00,131.25,131.95,625157
2005-08-22,133.80,143.00,131.00,142.25,650344
2005-08-29,144.00,181.65,141.00,168.30,1042486
2005-09-05,170.00,176.75,156.10,156.35,509684
2005-09-12,159.95,165.00,157.10,158.60,312669
2005-09-19,160.00,166.00,137.10,147.85,373772
2005-09-26,150.00,172.90,148.85,148.85,284080
2005-10-03,148.50,153.95,138.00,142.05,158533
2005-10-10,142.15,146.95,130.50,131.90,95465
2005-10-17,121.00,132.95,109.00,110.70,211784
2005-10-24,110.00,136.00,110.00,127.10,160173
2005-10-31,127.05,139.50,127.05,135.60,112837
2005-11-07,138.00,145.90,134.10,140.10,70369
2005-11-14,139.90,150.40,133.00,138.00,150629
2005-11-21,137.00,137.00,119.00,123.75,139106
2005-11-28,124.50,134.60,122.05,132.55,191002
2005-12-05,138.00,138.00,125.95,135.15,158892
2005-12-12,141.90,167.90,129.25,167.90,821328
2005-12-19,175.00,198.00,174.40,186.75,871473
2005-12-26,186.05,195.70,171.90,195.70,410228
2006-01-02,199.40,249.85,199.00,235.40,477493
2006-01-09,238.90,259.40,215.10,259.40,213775
2006-01-16,272.40,317.05,262.30,317.05,660947
2006-01-23,325.00,333.50,293.35,293.75,439883
2006-01-30,300.00,308.45,266.05,293.55,310396
2006-02-06,308.25,308.25,270.00,285.85,250601
2006-02-13,298.40,332.00,298.00,321.80,337818
