Date,Open,High,Low,Close,Volume
2001-12-31,2.88,3.00,2.75,3.00,72956
2002-01-07,2.88,2.88,2.75,2.77,51960
2002-01-14,2.83,3.24,2.75,3.06,425084
2002-01-21,3.19,3.24,2.94,3.00,664180
2002-01-28,3.02,3.16,2.98,3.04,334196
2002-02-04,3.00,3.25,3.00,3.06,509512
2002-02-11,3.06,4.64,3.00,4.64,3488044
2002-02-18,4.83,4.97,3.73,3.98,1707348
2002-02-25,4.22,4.22,3.40,3.73,507352
2002-03-04,3.74,4.31,3.51,3.94,934084
2002-03-11,4.00,4.47,3.75,4.03,1038668
2002-03-18,4.00,4.28,3.75,3.92,881724
2002-03-25,3.98,4.00,3.75,3.98,236656
2002-04-01,3.92,4.56,3.89,4.42,1368056
2002-04-08,4.39,5.11,3.88,4.75,2804844
2002-04-15,4.75,5.06,4.34,4.88,2415520
2002-04-22,4.79,4.88,4.50,4.50,448260
2002-04-29,4.62,4.62,4.50,4.50,224624
2002-05-06,4.38,4.75,4.38,4.51,440164
2002-05-13,4.54,4.69,4.38,4.59,486472
2002-05-20,4.62,4.97,4.44,4.76,1206612
2002-05-27,4.80,5.14,4.50,4.62,442760
2002-06-03,4.96,5.12,4.65,5.06,949980
2002-06-10,5.01,5.45,5.00,5.05,557160
2002-06-17,5.01,5.47,5.00,5.19,851044
2002-06-24,5.38,5.38,5.00,5.10,409720
2002-07-01,5.25,5.71,5.12,5.56,1198176
2002-07-08,5.50,6.53,5.44,5.67,2247928
2002-07-15,5.70,5.88,5.22,5.54,387864
2002-07-22,5.03,5.38,4.79,5.12,601348
2002-07-29,5.14,5.45,4.80,4.88,1058176
2002-08-05,4.88,5.24,4.88,4.89,189852
2002-08-12,5.08,5.12,4.71,4.71,84628
2002-08-19,4.84,5.09,4.70,5.06,134652
2002-08-26,4.94,5.03,4.39,4.47,466772
2002-09-02,4.66,4.70,4.06,4.44,254348
2002-09-09,4.41,4.75,4.38,4.50,127132
2002-09-16,4.42,4.55,4.25,4.38,70524
2002-09-23,4.29,4.46,4.14,4.31,70272
2002-09-30,4.28,4.46,3.88,3.96,169212
2002-10-07,4.38,4.38,4.00,4.10,86868
2002-10-14,4.22,4.25,4.00,4.00,65436
2002-10-21,4.03,4.25,3.94,4.00,120240
2002-10-28,4.00,4.24,3.62,3.99,293412
2002-11-04,4.03,4.21,4.01,4.14,252132
2002-11-11,4.24,4.29,4.14,4.29,87420
2002-11-18,4.35,4.75,4.34,4.47,159384
2002-11-25,4.39,4.97,3.67,4.50,149228
2002-12-02,4.50,4.75,4.38,4.41,161780
2002-12-09,4.50,4.71,4.31,4.33,153144
2002-12-16,4.30,4.56,4.29,4.49,189760
2002-12-23,4.46,4.62,4.45,4.55,2288884
2002-12-30,4.54,4.80,4.50,4.62,220676
2003-01-06,4.56,4.75,4.56,4.58,260656
2003-01-13,4.62,5.12,4.53,4.86,225528
2003-01-20,4.91,5.62,4.83,4.88,905396
2003-01-27,4.88,5.06,4.64,4.86,275400
2003-02-03,4.76,4.92,4.66,4.75,97780
2003-02-10,4.88,5.17,4.74,4.96,282628
2003-02-17,4.99,5.09,4.69,4.79,160160
2003-02-24,4.92,4.92,4.64,4.72,69128
2003-03-03,4.75,4.78,4.31,4.33,73584
2003-03-10,4.33,4.46,4.00,4.17,153696
2003-03-17,4.12,4.34,4.01,4.06,165816
2003-03-24,4.19,4.24,3.88,4.16,320664
2003-03-31,4.25,4.47,4.06,4.41,94880
2003-04-07,4.46,4.75,4.42,4.67,296944
2003-04-14,4.54,4.75,4.41,4.44,37112
2003-04-21,4.34,4.75,4.33,4.50,71536
2003-04-28,4.60,5.56,4.51,5.35,678164
2003-05-05,5.46,6.17,5.26,5.97,4344564
2003-05-12,6.22,6.50,5.88,5.95,1563168
2003-05-19,6.25,6.84,6.12,6.69,4852936
2003-05-26,6.75,6.86,6.25,6.28,2063504
2003-06-02,6.61,6.65,6.06,6.53,1166132
2003-06-09,6.62,7.00,6.42,6.64,2269944
2003-06-16,6.70,7.72,6.66,6.86,4336416
2003-06-23,7.10,7.75,6.81,7.05,2642880
2003-06-30,7.35,8.25,7.00,7.62,4633108
2003-07-07,7.69,8.60,7.56,7.78,3814292
2003-07-14,8.00,9.70,7.75,8.89,7099668
2003-07-21,9.00,9.55,8.38,9.31,2364768
2003-07-28,9.60,11.50,9.44,10.88,7464136
2003-08-04,10.88,11.50,10.50,10.90,4194928
2003-08-11,10.75,11.05,10.64,10.75,902300
2003-08-18,11.00,13.25,10.88,11.25,4142716
2003-08-25,11.60,14.47,10.12,12.50,7099692
2003-09-01,12.70,14.38,12.12,14.31,7838888
2003-09-08,14.35,14.81,12.53,12.94,4632020
2003-09-15,13.00,13.38,12.06,12.61,2256036
2003-09-22,12.62,13.06,12.10,13.00,1005672
2003-09-29,13.24,14.22,12.88,13.65,2023508
2003-10-06,13.97,15.35,13.35,14.95,3325372
2003-10-13,15.10,15.10,13.59,14.00,1310296
2003-10-20,14.25,14.70,13.00,13.88,2056404
2003-10-27,14.00,16.00,13.30,15.45,2787092
2003-11-03,15.88,17.07,15.62,16.12,3742444
2003-11-10,16.31,17.48,15.69,15.91,3521492
2003-11-17,16.56,17.25,15.50,15.94,1652188
2003-11-24,15.95,16.69,15.64,16.25,877924
2003-12-01,16.48,17.94,16.12,16.71,3301716
2003-12-08,17.25,17.25,16.29,16.50,1173328
2003-12-15,16.56,18.07,16.10,17.44,2683192
2003-12-22,17.85,17.88,16.34,16.75,1408092
2003-12-29,17.00,17.48,15.00,16.50,1282952
2004-01-05,16.62,17.00,15.45,16.02,997884
2004-01-12,16.07,18.71,16.07,16.56,6771704
2004-01-19,16.50,16.99,13.51,15.47,2531752
2004-01-27,15.39,16.38,15.03,15.75,1518420
2004-02-03,14.64,15.62,13.95,14.05,942320
2004-02-09,14.18,14.94,14.00,14.50,1050748
2004-02-16,14.75,14.75,13.14,13.82,981620
2004-02-23,13.51,13.70,12.50,13.00,743904
2004-03-01,13.38,13.72,12.75,13.05,817596
2004-03-08,13.06,13.31,10.53,12.15,645896
2004-03-15,12.36,12.36,10.88,11.03,509040
2004-03-22,10.80,11.95,9.76,11.91,1578380
2004-03-29,12.25,13.62,11.44,13.05,1329976
2004-04-05,13.25,13.78,12.14,12.26,943408
2004-04-12,12.88,13.69,12.26,13.26,675176
2004-04-19,14.49,14.90,12.82,13.65,1158980
2004-04-26,13.75,14.00,12.25,12.47,883620
2004-05-03,12.50,12.62,11.55,12.00,929160
2004-05-10,12.00,12.80,11.30,12.12,684084
2004-05-17,10.25,11.99,9.62,11.62,618144
2004-05-24,12.00,12.25,10.57,10.80,1135372
2004-05-31,10.99,11.40,10.50,10.68,424508
2004-06-07,10.97,11.00,10.29,10.62,278280
2004-06-14,10.50,10.85,10.03,10.50,434472
2004-06-21,10.50,10.69,9.64,10.49,392676
2004-06-28,10.44,10.88,9.05,10.43,300640
2004-07-05,10.65,11.00,9.47,10.38,410528
2004-07-12,10.16,12.85,10.15,12.50,2018420
2004-07-19,12.51,13.25,11.65,12.00,986792
2004-07-26,12.20,12.30,10.90,11.59,2930716
2004-08-02,11.68,12.50,11.16,11.84,1188836
2004-08-09,11.57,12.00,10.88,11.10,1211300
2004-08-16,11.14,11.55,11.07,11.20,516136
2004-08-23,11.34,12.10,10.95,11.71,1281544
2004-08-30,11.81,13.09,11.70,12.12,3376224
2004-09-06,12.06,13.18,11.75,12.28,2797740
2004-09-13,12.45,12.80,12.04,12.19,1258276
2004-09-20,12.46,12.62,11.91,12.05,1332244
2004-09-27,12.25,12.97,11.96,12.56,1330260
2004-10-04,12.50,12.75,12.00,12.12,1278836
2004-10-11,12.81,12.97,12.00,12.00,695244
2004-10-18,12.21,12.22,11.66,11.86,336776
2004-10-25,11.75,12.20,11.20,11.40,821324
2004-11-01,11.26,12.10,11.20,11.82,1046440
2004-11-08,11.97,12.47,10.15,12.14,864512
2004-11-16,12.18,14.00,11.90,13.19,4818692
2004-11-22,13.12,13.86,12.88,13.50,2112540
2004-11-29,13.70,13.70,12.12,12.38,1400200
2004-12-06,12.31,13.00,12.00,12.12,1879608
2004-12-13,12.25,12.44,11.25,11.86,2534588
2004-12-20,11.97,12.97,11.80,12.60,4946196
2004-12-27,12.66,14.85,12.39,13.60,7668652
2005-01-03,13.50,13.64,11.93,12.47,2935116
2005-01-10,12.93,12.93,11.31,12.03,1712000
2005-01-17,12.31,12.31,11.03,11.69,755648
2005-01-24,11.28,11.55,10.78,11.38,914428
2005-01-31,11.49,12.43,9.85,12.03,1112024
2005-02-07,11.78,12.88,11.75,12.53,1952680
2005-02-14,11.50,12.62,11.35,12.26,1981532
2005-02-21,12.25,12.45,11.50,11.51,595624
2005-02-28,11.70,12.00,11.50,11.75,669412
2005-03-07,10.00,12.22,10.00,11.28,960660
2005-03-14,11.38,12.07,11.09,11.31,1021472
2005-03-21,11.15,11.45,10.56,10.56,642552
2005-03-28,10.75,11.43,10.00,11.12,747816
2005-04-04,11.22,11.62,10.75,11.10,506028
2005-04-11,11.25,11.49,10.81,11.12,364620
2005-04-18,10.81,12.11,10.81,11.45,553792
2005-04-25,11.47,11.62,10.81,10.94,830448
2005-05-02,10.95,12.44,10.81,11.75,1633064
2005-05-09,11.69,12.88,11.55,12.71,1868644
2005-05-16,12.75,13.20,12.28,12.62,1545604
2005-05-23,12.70,13.12,12.44,12.75,1085364
2005-05-30,12.88,12.88,12.28,12.47,584244
2005-06-06,12.56,12.69,10.39,12.47,840804
2005-06-13,12.50,15.21,12.20,13.16,8050220
2005-06-20,13.50,13.90,12.84,13.43,1674216
2005-06-27,13.75,13.75,12.00,12.56,1106052
2005-07-04,12.93,13.72,12.54,13.18,1318152
2005-07-11,12.78,13.89,12.78,13.56,1426804
2005-07-18,13.65,14.56,13.34,14.25,2393528
2005-07-25,13.95,14.82,13.25,13.38,1492328
2005-08-01,12.75,14.72,12.75,13.56,2283796
2005-08-08,13.44,14.80,13.19,13.57,1369368
2005-08-16,13.50,14.50,13.45,13.68,1715172
2005-08-22,14.10,14.46,13.10,13.38,1445336
2005-08-29,13.50,14.61,13.16,13.53,1388240
2005-09-05,13.75,16.12,13.54,14.86,8221500
2005-09-12,14.78,15.57,14.07,14.65,3921000
2005-09-19,14.96,15.79,12.76,13.34,3549980
2005-09-26,13.75,14.47,13.25,13.78,1340504
2005-10-03,13.81,14.25,13.57,13.57,823936
2005-10-10,13.88,14.01,13.03,13.09,414772
2005-10-17,13.00,13.19,11.38,12.88,877944
2005-10-24,12.53,13.11,10.75,12.47,1606252
2005-10-31,12.45,13.50,12.01,12.95,733804
2005-11-07,13.00,14.54,12.57,14.18,1999244
2005-11-14,14.22,14.28,13.70,13.91,950516
2005-11-21,14.05,14.12,13.06,13.65,900764
2005-11-28,13.86,14.93,13.12,14.38,1990616
2005-12-05,14.36,15.61,14.15,15.50,2238768
2005-12-12,15.62,16.12,14.36,14.56,1968568
2005-12-19,14.72,15.44,14.32,14.38,1353932
2005-12-26,14.31,16.34,13.78,15.50,4486128
2006-01-02,15.40,18.27,15.38,16.88,7377124
2006-01-09,17.18,17.75,15.80,17.18,3009388
2006-01-16,17.55,18.48,16.57,17.81,4697016
2006-01-23,17.57,18.11,17.44,17.56,1787328
2006-01-30,18.25,18.48,16.65,17.06,2812460
2006-02-06,17.01,18.46,16.82,17.86,2789704
2006-02-13,17.88,18.38,17.12,17.21,1559332
2006-02-20,17.23,17.75,16.25,16.44,698336
2006-02-27,16.70,17.43,16.38,17.25,763108
2006-03-06,16.98,18.75,16.98,17.80,1909508
2006-03-13,16.57,19.19,16.57,17.48,1743256
2006-03-20,17.50,17.76,15.88,16.25,1136888
2006-03-27,16.69,19.23,16.12,18.50,1853136
2006-04-03,19.10,21.45,18.12,20.31,2847696
2006-04-10,20.66,21.93,18.25,20.38,1240016
2006-04-17,20.25,24.25,20.00,21.85,3320568
