Date,Open,High,Low,Close,Volume
2005-09-19,5.00,12.79,5.00,8.90,953236140
2005-09-26,9.25,15.40,8.16,11.52,881205820
2005-10-03,11.00,11.00,7.78,7.80,345410220
2005-10-10,7.75,7.96,6.36,6.36,51681060
2005-10-17,6.04,6.65,5.46,5.47,70091320
2005-10-24,5.53,5.99,4.85,4.92,47633160
2005-10-31,4.95,4.95,4.50,4.81,11077120
2005-11-07,4.87,5.08,4.67,4.90,28033660
2005-11-14,4.94,5.04,4.75,4.79,10278720
2005-11-21,4.81,4.84,4.53,4.65,6674640
2005-11-28,4.70,5.38,4.60,5.38,17822420
2005-12-05,5.64,5.93,5.24,5.27,18302580
2005-12-12,5.29,5.43,4.90,5.43,10955940
2005-12-19,5.68,6.22,5.61,5.69,56138900
2005-12-26,5.70,5.70,5.25,5.50,18342700
2006-01-02,5.50,5.69,5.40,5.46,8415280
2006-01-09,5.54,5.77,5.31,5.75,11335660
2006-01-16,5.80,5.84,5.33,5.58,12070880
2006-01-23,5.86,5.86,5.30,5.35,3304020
2006-01-30,5.35,5.42,4.65,4.75,4867220
2006-02-06,4.75,5.08,4.66,4.97,3738760
2006-02-13,5.00,5.17,4.75,4.77,3804280
2006-02-20,4.78,4.80,4.11,4.46,2445660
2006-02-27,4.61,4.90,4.33,4.69,5453300
2006-03-06,4.82,4.82,4.32,4.37,2639280
2006-03-13,4.49,4.50,4.20,4.25,2294640
2006-03-20,4.30,4.42,4.00,4.03,3198820
2006-03-27,3.23,4.75,3.23,4.28,5457460
2006-04-03,4.30,4.66,4.30,4.51,4681600
2006-04-10,4.51,4.55,4.05,4.12,1446040
2006-04-17,4.15,4.98,4.08,4.82,6257940
2006-04-24,4.90,7.47,4.68,6.92,81802760
2006-05-02,7.55,8.15,6.40,6.45,55071640
2006-05-08,6.68,6.68,5.57,5.59,20359620
2006-05-15,5.50,6.07,5.31,5.54,13169860
2006-05-22,5.55,5.55,5.00,5.13,2712780
2006-05-29,5.32,5.34,4.28,4.32,1958060
2006-06-05,4.21,4.38,3.38,3.73,1935220
2006-06-12,3.92,3.92,3.33,3.60,1621940
2006-06-19,3.62,4.17,3.50,4.02,3027020
2006-06-26,4.08,4.08,3.61,3.78,1063060
