Date,Open,High,Low,Close,Volume
2013-09-30,140.00,140.00,120.05,120.05,65373
2013-10-07,114.05,114.05,93.00,93.00,15243
2013-10-14,88.35,94.00,78.10,81.80,4754342
2013-10-21,81.50,84.05,74.05,76.30,1515661
2013-10-28,75.10,77.00,64.25,73.00,404855
2013-11-05,70.30,79.40,70.30,72.70,796298
2013-11-11,69.00,75.00,67.65,70.00,215708
2013-11-18,70.00,74.80,61.00,63.00,1154498
2013-11-25,61.50,72.95,55.50,66.00,2271025
2013-12-02,65.10,71.70,63.70,65.40,422777
2013-12-09,66.15,71.70,64.05,65.90,390548
2013-12-16,65.55,67.70,61.00,64.30,247798
2013-12-23,63.50,72.40,62.55,69.90,160863
2013-12-30,69.50,78.00,68.05,75.50,342561
2014-01-06,79.40,79.40,70.20,71.50,384153
2014-01-13,70.55,72.50,66.80,68.40,119061
2014-01-20,79.65,79.65,65.70,67.00,159846
2014-01-27,63.75,67.50,62.25,64.15,57141
2014-02-03,64.00,66.50,62.00,63.50,54511
2014-02-10,63.50,68.70,62.35,64.00,477508
2014-02-17,63.50,65.45,62.75,64.75,562024
2014-02-24,64.00,67.60,61.65,64.45,168932
2014-03-03,63.95,64.95,61.50,64.40,482671
2014-03-10,60.75,64.40,59.20,59.90,749371
2014-03-18,63.40,63.40,56.65,58.80,242124
2014-03-24,58.25,62.40,57.00,59.20,154182
2014-03-31,59.00,72.50,58.00,65.35,307156
2014-04-07,62.40,69.95,62.30,64.50,202129
2014-04-15,64.00,77.65,63.00,72.00,1041762
2014-04-21,70.20,90.00,68.05,80.30,1786233
2014-04-28,82.90,97.00,77.80,97.00,1758206
2014-05-05,103.00,105.00,84.05,92.15,2846668
2014-05-12,92.00,96.00,88.60,90.80,566241
2014-05-19,91.10,104.30,88.20,96.65,885060
2014-05-26,97.00,103.00,91.50,94.90,422437
2014-06-02,97.25,102.50,91.10,100.30,1680202
2014-06-09,103.50,112.00,92.75,93.30,2181021
2014-06-16,93.15,104.45,89.00,98.90,873898
2014-06-23,102.50,106.80,96.70,102.15,425879
2014-06-30,101.90,107.90,99.10,104.15,650036
2014-07-07,106.90,106.90,88.10,94.95,602240
2014-07-14,94.00,105.00,94.00,100.60,508843
2014-07-21,100.20,105.00,95.30,96.15,300951
2014-07-28,96.45,98.80,91.60,93.05,100373
2014-08-04,94.00,98.50,87.95,90.95,355615
2014-08-11,91.40,94.20,84.15,85.65,254413
2014-08-18,85.60,89.20,82.00,85.00,297467
2014-08-25,85.00,90.25,84.00,88.00,429741
2014-09-01,91.45,91.45,78.00,80.30,330687
2014-09-08,84.90,85.85,78.05,83.15,979461
2014-09-15,81.25,109.80,81.25,103.95,8792485
2014-09-22,102.70,104.90,79.65,84.80,2639735
2014-09-29,86.80,91.90,83.90,87.90,403779
2014-10-07,90.60,97.50,88.20,91.35,843851
2014-10-13,95.00,95.90,87.00,88.55,1006802
2014-10-20,88.50,92.40,88.30,91.55,140518
2014-10-27,90.10,95.60,88.60,93.90,754603
2014-11-03,94.70,95.00,90.20,90.55,333394
2014-11-10,94.50,96.45,88.20,92.15,2902445
2014-11-17,92.45,93.60,83.30,83.75,1008063
2014-11-24,84.95,85.70,73.00,79.55,898698
2014-12-01,81.45,82.25,74.55,79.45,295512
2014-12-08,79.00,81.00,73.75,79.40,289301
2014-12-15,79.00,81.50,77.50,79.55,914645
2014-12-22,79.00,90.90,79.00,89.15,655956
2014-12-29,89.70,90.10,83.90,85.25,1227504
2015-01-05,85.25,86.45,75.60,79.55,179836
2015-01-12,79.55,81.45,76.00,76.95,166082
2015-01-19,76.60,82.00,76.20,76.95,389799
2015-01-27,77.25,77.25,70.50,71.95,173111
2015-02-02,71.50,93.00,71.10,82.40,4442493
2015-02-09,81.50,84.50,74.30,78.65,1263343
2015-02-16,79.15,80.70,73.80,77.35,422799
2015-02-23,78.80,78.80,72.05,74.05,211422
2015-03-02,73.55,75.75,71.95,72.55,205869
2015-03-09,72.50,74.30,67.85,69.00,427991
2015-03-16,67.85,69.75,64.00,65.00,862710
2015-03-23,64.50,71.00,64.15,66.40,734355
2015-03-30,66.90,74.00,66.90,71.00,185519
2015-04-06,71.45,78.90,69.50,76.90,406891
2015-04-13,76.00,80.00,75.50,79.10,266264
2015-04-20,78.00,79.00,73.00,73.90,281374
2015-04-27,73.50,78.35,70.00,77.45,295666
2015-05-04,75.55,88.40,75.55,81.35,1138502
2015-05-11,82.10,82.95,74.05,77.05,138059
2015-05-18,76.65,87.90,76.05,80.40,642756
2015-05-25,80.00,86.00,79.05,84.30,444864
2015-06-01,83.00,84.00,73.80,76.90,247223
2015-06-08,75.40,76.10,67.45,68.00,858594
2015-06-15,67.10,68.45,63.50,68.00,968863
2015-06-22,68.05,73.65,64.70,71.85,616396
2015-06-29,70.10,76.95,65.65,73.40,1718298
2015-07-06,72.30,81.00,72.10,79.00,2142697
2015-07-13,79.90,93.40,77.00,87.80,10311962
2015-07-20,88.00,92.75,81.50,87.50,2373723
2015-07-27,87.45,89.40,82.30,86.05,1977024
2015-08-03,87.20,93.40,81.10,81.80,1983453
2015-08-10,82.50,83.70,73.60,77.55,1190332
2015-08-17,77.05,80.90,71.00,74.85,665724
2015-08-24,71.20,74.25,62.05,69.90,603191
2015-08-31,69.10,71.00,64.45,67.10,190353
2015-09-07,66.20,69.75,62.50,66.40,105920
2015-09-14,66.10,69.75,65.30,68.05,84719
2015-09-21,67.00,74.50,66.70,72.55,121467
2015-09-28,71.15,72.85,68.20,71.70,88432
2015-10-05,71.10,82.00,70.00,78.70,1061330
2015-10-12,79.00,80.45,76.45,77.10,314981
2015-10-19,77.85,80.70,75.00,76.05,174631
2015-10-26,76.05,76.05,68.70,69.10,233951
2015-11-02,71.00,71.00,66.70,68.30,185334
2015-11-09,68.20,74.45,67.00,72.20,170740
2015-11-16,72.95,81.00,71.15,79.85,524539
2015-11-23,80.70,81.95,77.75,80.60,286398
