Date,Open,High,Low,Close,Volume
2024-10-14,105.00,120.99,100.00,105.04,61938168
2024-10-21,106.00,107.28,88.00,89.58,6575394
2024-10-28,89.90,92.66,85.11,90.73,2716954
2024-11-04,91.40,91.79,84.85,87.26,2084230
2024-11-11,87.15,88.99,82.32,82.94,1207643
2024-11-18,83.30,84.76,77.05,77.66,1260001
2024-11-25,79.80,101.99,78.41,89.47,11224661
2024-12-02,90.49,107.50,88.03,100.18,8803261
2024-12-09,102.99,108.44,94.20,95.58,3967794
2024-12-16,95.58,128.89,93.21,118.27,36828108
2024-12-23,119.75,133.93,109.23,127.28,26347459
2024-12-30,129.39,139.40,124.85,133.77,21394496
2025-01-06,134.48,153.70,125.65,130.88,24936840
2025-01-13,127.49,136.40,115.65,132.20,13811696
2025-01-20,133.50,143.50,124.50,131.53,12162754
2025-01-27,130.00,132.25,118.20,125.40,7537426
2025-02-03,124.80,135.87,121.23,125.95,6123906
2025-02-10,117.00,122.00,104.68,108.39,6084371
2025-02-17,105.80,115.89,101.81,108.27,4271872
2025-02-24,106.00,112.84,102.56,105.35,2302062
2025-03-03,106.80,111.50,99.90,107.76,2910255
2025-03-10,107.50,108.44,100.10,101.99,1408220
2025-03-17,103.00,116.45,100.50,112.88,2509314
2025-03-24,113.95,115.40,102.00,103.10,2114954
2025-04-01,102.94,113.99,102.02,106.56,1995274
2025-04-07,98.99,106.04,94.83,103.22,1538363
2025-04-15,105.00,114.80,104.53,112.97,1490476
2025-04-21,113.44,117.90,103.50,104.04,2544758
2025-04-28,104.80,106.10,94.61,94.91,2047203
2025-05-05,94.92,98.93,87.50,89.24,2057368
2025-05-12,94.00,107.95,93.87,106.93,4530422
2025-05-19,107.00,109.95,102.61,103.76,1405169
2025-05-26,104.48,118.00,101.56,114.55,5481255
2025-06-02,116.00,128.65,108.10,123.53,9991914
2025-06-09,124.00,129.24,118.82,120.52,5778289
2025-06-16,120.36,131.50,116.65,121.42,8215769
2025-06-23,120.98,130.92,119.00,125.08,4197782
2025-06-30,125.75,126.53,119.10,121.51,2084974
2025-07-07,121.98,143.39,120.88,134.22,26630065
2025-07-14,135.70,180.00,133.30,168.68,60338702
2025-07-21,165.80,191.00,165.80,170.23,49199825
2025-07-28,170.00,205.89,166.10,179.24,19497872
2025-08-04,180.00,189.57,168.02,169.27,7144151
2025-08-11,170.10,183.80,168.56,175.15,4869774
2025-08-18,178.28,204.94,178.28,192.25,9503571
2025-08-25,194.80,223.90,194.80,216.33,18415744
2025-09-01,218.00,229.99,199.00,202.74,12637830
2025-09-08,204.00,220.00,196.60,203.49,8345626
2025-09-15,205.00,213.40,202.18,204.35,3631551
2025-09-22,203.72,204.39,183.19,187.33,4002917
2025-09-29,185.10,193.00,176.55,189.79,3348193
2025-10-06,190.52,209.25,182.05,199.35,19188656
2025-10-13,198.40,198.40,183.93,186.30,2796767
2025-10-20,187.35,220.00,185.72,217.92,9955031
2025-10-27,220.89,230.70,196.50,216.64,19863554
2025-11-03,217.00,249.30,209.41,242.37,35387993
2025-11-10,243.50,243.61,219.11,229.32,11714526
2025-11-17,231.61,241.75,209.50,210.58,10872079
2025-11-24,210.40,224.80,205.47,212.81,5647073
2025-12-01,213.99,224.40,201.00,204.45,4523786
2025-12-08,204.92,208.01,194.28,202.60,3262150
2025-12-15,203.00,209.80,195.20,199.30,2276314
2025-12-22,199.29,208.37,195.10,196.92,1990856
2025-12-29,197.70,200.07,188.95,195.29,1925307
2026-01-05,197.25,197.25,174.03,175.84,2269316
2026-01-12,176.71,196.95,161.48,184.25,47720063
2026-01-19,183.10,183.80,157.00,159.28,4459821
2026-01-27,161.35,170.96,150.59,157.20,5855677
2026-02-02,157.00,177.90,151.35,167.19,3791996
2026-02-09,171.72,211.30,169.48,203.53,15978321
2026-02-16,203.79,206.00,182.60,183.50,6882019
2026-02-23,184.50,187.87,176.53,177.62,2584398
2026-03-02,167.00,175.58,161.99,164.61,2298362
2026-03-09,158.00,176.80,154.24,158.56,2790034
2026-03-16,157.55,166.00,149.33,159.84,3531767
2026-03-23,155.43,159.02,142.21,143.56,4283086
2026-03-30,140.00,152.95,130.00,150.02,4065798
2026-04-06,150.88,174.65,146.18,171.20,5018855
2026-04-13,165.00,179.00,162.60,177.77,2469713
2026-04-20,177.99,183.10,169.10,170.99,2266602
2026-04-27,170.99,177.37,167.14,168.53,1458887
2026-05-04,171.06,204.55,170.93,199.44,16705244
2026-05-11,199.44,199.44,164.11,179.80,6656294
2026-05-18,180.00,185.19,165.00,169.47,6619281
2026-05-25,170.95,180.60,169.82,173.97,1995112
2026-06-01,171.05,173.89,166.66,167.23,1548936
2026-06-08,165.88,168.78,158.76,167.63,1254989
2026-06-15,170.70,175.65,168.41,170.16,1502957
2026-06-22,170.90,199.90,169.31,179.27,24620489
2026-06-29,180.79,184.80,175.27,178.12,1640240
2026-07-06,178.95,189.00,171.80,177.18,2493046
2026-07-13,175.97,187.60,173.01,174.83,2097139
2026-07-20,174.70,179.30,168.56,174.69,832814
2026-07-27,176.54,178.00,167.10,172.80,1033633
2026-08-03,173.50,186.80,171.25,180.50,2148818
2026-08-10,181.00,200.50,180.01,183.04,16362692
2026-08-17,184.00,186.95,180.45,183.95,1563019
2026-08-24,185.00,192.50,174.00,175.20,2364599
2026-08-31,173.05,181.22,171.10,178.73,2898311
2026-09-07,180.00,198.39,175.25,181.90,15533682
2026-09-15,182.90,184.17,170.70,175.53,1234070
