Date,Open,High,Low,Close,Volume
2020-03-02,4.10,4.10,3.75,3.75,105540
2020-03-09,4.10,4.10,3.85,4.10,28540
2020-03-16,4.10,4.10,3.85,4.00,115980
2020-03-23,3.85,4.87,3.11,4.50,269680
2020-03-30,5.40,5.75,4.20,4.60,285980
2020-04-07,5.09,5.30,4.10,5.18,114520
2020-04-13,5.20,5.32,4.60,5.17,152220
2020-04-20,5.17,5.40,4.42,5.23,150620
2020-04-27,5.25,5.40,4.66,4.91,87390
2020-05-04,5.39,5.60,4.79,5.23,100910
2020-05-11,5.23,6.89,4.80,6.64,309310
2020-05-18,7.16,8.58,6.71,6.86,1018770
2020-05-26,7.10,7.10,6.03,6.30,250260
2020-06-01,6.20,6.50,5.83,6.10,439350
2020-06-08,6.01,6.39,5.72,6.03,471720
2020-06-15,6.09,6.90,5.90,6.68,250500
2020-06-22,6.70,6.90,6.25,6.87,239080
2020-06-29,7.97,7.97,6.43,7.08,244240
2020-07-06,7.40,7.98,6.90,7.80,316600
2020-07-13,7.90,9.50,7.44,8.19,287690
2020-07-20,8.69,8.80,8.02,8.68,300590
2020-07-27,8.68,9.20,8.50,8.84,297130
2020-08-03,8.84,8.98,8.22,8.83,308040
2020-08-10,8.45,9.00,8.32,8.98,306530
2020-08-17,10.20,10.20,8.60,9.07,284030
2020-08-24,9.18,9.20,8.51,8.96,285840
2020-08-31,9.20,9.20,8.40,9.15,384330
2020-09-07,9.20,9.20,8.27,8.67,286330
2020-09-14,8.66,9.00,8.31,8.77,308490
2020-09-21,8.95,8.95,8.30,8.65,319120
2020-09-28,8.65,8.66,7.95,8.20,292360
2020-10-05,7.79,8.61,7.50,7.51,304560
2020-10-12,7.60,7.62,7.51,7.53,663460
2020-10-19,7.53,7.53,6.40,6.42,474770
2020-10-26,6.42,6.65,6.20,6.47,718790
2020-11-02,6.44,6.49,6.09,6.09,1945490
2020-11-09,6.09,6.42,5.80,6.23,618280
2020-11-17,6.30,6.30,6.20,6.26,286320
2020-11-23,6.45,6.55,6.06,6.45,519600
2020-12-01,6.39,6.39,6.26,6.38,311220
2020-12-07,6.38,6.39,6.19,6.39,523140
2020-12-14,6.40,6.55,6.17,6.40,679820
2020-12-21,6.55,6.70,6.30,6.53,434930
2020-12-28,6.22,6.62,6.22,6.61,649650
2021-01-04,6.81,7.03,6.61,6.81,631590
2021-01-11,6.56,7.38,6.56,7.03,615590
2021-01-18,6.99,7.36,6.73,7.29,539960
2021-01-25,7.30,7.57,6.97,7.44,348670
2021-02-01,7.22,8.09,7.08,7.89,473440
2021-02-08,8.25,8.54,7.53,8.04,663940
2021-02-15,8.47,8.57,7.53,7.96,670360
2021-02-22,7.90,8.46,7.40,7.96,632950
2021-03-01,8.37,8.39,7.72,7.99,837720
2021-03-08,8.30,8.30,7.66,7.83,699130
2021-03-15,8.10,8.24,7.54,7.78,705860
2021-03-22,7.78,8.07,7.42,7.81,746840
2021-03-30,8.29,8.29,7.43,7.94,582440
2021-04-05,7.60,8.54,7.51,8.00,200530
2021-04-12,8.09,8.14,7.57,7.91,100820
2021-04-19,7.33,8.29,7.33,7.83,34450
2021-04-26,7.81,8.19,6.99,7.50,106320
2021-05-03,7.53,10.23,7.21,9.35,2327980
2021-05-10,9.60,9.95,8.69,9.21,472980
2021-05-17,9.49,9.70,8.55,9.25,452660
2021-05-24,9.40,9.40,8.83,9.04,342550
2021-05-31,9.29,9.29,8.41,9.06,518500
2021-06-07,8.90,9.70,8.49,8.82,556360
2021-06-14,8.97,9.27,8.63,8.94,561590
2021-06-21,8.99,10.60,8.61,10.03,5163930
2021-06-28,10.16,10.23,8.83,9.57,4991590
2021-07-05,9.83,9.83,8.57,8.79,2286620
2021-07-12,8.99,9.20,8.75,9.05,1111830
2021-07-19,9.12,9.80,8.51,9.60,1603640
2021-07-26,9.61,11.29,9.53,10.17,9300680
2021-08-02,10.50,10.50,9.25,9.26,1078530
2021-08-09,9.21,9.47,8.04,8.97,1757630
2021-08-16,9.10,9.29,8.86,8.93,493000
2021-08-23,9.19,9.19,7.12,8.34,1093720
2021-08-30,8.50,8.64,8.18,8.56,1036360
2021-09-06,8.70,8.78,8.41,8.69,192780
2021-09-13,8.86,8.86,8.50,8.64,204500
2021-09-20,8.70,8.70,8.04,8.46,270370
2021-09-27,8.62,8.62,7.93,8.33,268690
2021-10-04,8.61,9.99,8.61,9.14,5975040
2021-10-11,9.35,9.35,8.52,8.87,617540
2021-10-18,8.80,9.28,8.70,9.04,569400
2021-10-25,9.34,9.38,8.77,9.02,333940
2021-11-01,9.19,10.00,8.88,9.85,1554730
2021-11-08,9.90,9.90,9.10,9.38,584920
2021-11-15,9.50,9.50,8.90,8.92,397790
2021-11-22,9.04,9.04,8.58,8.78,295750
2021-11-29,8.60,10.39,8.33,8.36,3582690
2021-12-06,8.30,8.99,8.30,8.61,502070
2021-12-13,8.65,8.71,8.19,8.31,248450
2021-12-20,8.21,9.20,7.53,7.88,1542680
2021-12-27,8.15,8.29,7.65,7.72,1012580
2022-01-03,7.72,8.20,7.44,7.90,462650
2022-01-10,7.81,9.25,7.81,8.18,3201580
2022-01-17,8.34,9.09,8.21,8.36,1885850
2022-01-24,8.80,8.80,7.80,8.06,751390
2022-01-31,8.03,8.43,7.88,8.30,929470
2022-02-07,8.31,8.74,7.92,8.32,827620
2022-02-14,8.46,8.46,7.88,7.97,280820
2022-02-21,8.13,8.13,5.75,6.41,2578490
2022-02-28,6.36,7.42,6.35,6.87,2090470
2022-03-07,6.70,7.38,6.66,6.88,986440
2022-03-14,6.65,7.12,6.65,6.97,280820
2022-03-21,7.09,7.13,6.78,6.83,456790
2022-03-28,7.03,7.50,5.55,6.38,2068620
2022-04-04,6.44,6.80,6.25,6.67,1240530
2022-04-11,6.78,7.02,6.53,6.83,890110
2022-04-18,6.83,6.97,6.71,6.76,774620
2022-04-25,6.55,7.25,6.54,6.96,1447330
2022-05-02,6.95,7.00,6.55,6.64,151100
2022-05-09,6.65,7.26,6.12,6.57,417420
2022-05-16,6.35,6.94,6.35,6.86,234410
2022-05-23,6.90,8.28,6.40,7.67,1521300
2022-05-30,7.90,8.32,7.24,7.91,1558890
2022-06-06,8.03,8.50,7.71,8.30,841700
2022-06-13,8.20,8.78,7.47,7.77,845810
2022-06-20,7.83,7.88,7.37,7.46,394720
2022-06-27,7.56,7.92,7.37,7.71,466210
2022-07-04,7.56,7.88,7.47,7.78,433710
2022-07-11,7.76,7.99,7.53,7.69,306630
2022-07-18,7.81,8.07,7.42,7.53,260670
2022-07-25,7.41,7.95,7.33,7.55,294780
2022-08-01,7.59,7.71,7.34,7.40,289010
2022-08-08,7.48,7.61,7.30,7.42,178610
2022-08-16,7.42,8.77,7.15,7.46,1450400
2022-08-22,7.49,7.67,7.27,7.37,509090
2022-08-29,7.30,7.49,6.94,7.28,347310
2022-09-05,7.35,8.73,7.15,7.22,12215670
2022-09-12,7.26,7.36,7.01,7.06,2512960
2022-09-19,7.02,7.20,6.90,6.93,1312510
2022-09-26,7.19,7.19,6.50,6.75,896570
2022-10-03,6.84,6.84,6.25,6.41,1127670
2022-10-10,6.49,6.49,5.82,5.95,1842660
2022-10-17,5.95,6.58,5.47,5.84,1600280
2022-10-24,5.84,5.97,5.49,5.67,1977960
2022-10-31,5.87,8.47,5.62,8.06,22713540
2022-11-07,8.20,8.20,7.46,7.63,2765000
2022-11-14,8.00,8.00,7.11,7.59,2038320
2022-11-21,7.73,7.73,7.20,7.59,1456050
2022-11-28,7.64,8.08,7.33,8.02,3347850
2022-12-05,8.25,8.57,7.85,7.98,1929270
2022-12-12,8.15,8.40,7.61,7.71,1681240
2022-12-19,7.91,7.91,6.65,6.72,1671010
2022-12-26,6.59,7.97,6.59,7.52,1580000
2023-01-02,7.59,7.73,6.92,7.39,4555470
2023-01-09,7.59,10.10,7.07,9.16,26692100
2023-01-16,9.24,9.99,9.08,9.28,7426780
2023-01-23,9.14,9.36,8.03,8.24,2341560
2023-01-30,8.25,8.73,7.73,7.97,2566030
2023-02-06,8.00,11.47,7.71,11.29,25227810
2023-02-13,12.20,14.69,11.18,12.65,32333870
2023-02-20,13.04,14.24,12.35,12.99,13384970
2023-02-27,13.16,13.20,11.62,12.15,5773390
2023-03-06,12.37,15.36,12.25,14.57,14706260
2023-03-13,14.70,14.79,12.90,14.17,8403040
2023-03-20,14.36,18.83,14.07,16.03,31324500
2023-03-27,16.39,16.59,14.47,16.11,5634720
2023-04-03,16.91,16.95,15.65,16.34,4584010
2023-04-10,16.49,16.87,15.60,15.79,2505860
2023-04-17,15.89,17.10,15.40,16.09,3753230
2023-04-24,16.00,16.80,15.63,16.43,3789190
2023-05-02,16.25,18.75,16.25,17.23,5894100
2023-05-08,17.23,18.00,16.30,16.81,3041810
2023-05-15,16.90,17.84,15.76,16.28,2139850
2023-05-22,16.37,18.00,16.20,17.54,2816730
2023-05-29,18.00,22.38,17.81,22.38,4063480
2023-06-05,22.90,24.66,21.30,23.38,8779730
2023-06-12,23.89,24.95,22.00,23.75,2450630
2023-06-19,24.44,25.10,22.85,23.61,1803400
2023-06-26,23.88,24.07,23.02,23.49,799210
2023-07-03,23.89,24.00,21.95,22.98,1302220
2023-07-10,22.74,26.91,22.50,26.35,1824560
2023-07-17,27.10,30.34,25.32,30.34,1280050
2023-07-24,31.85,31.85,29.38,29.38,1363740
2023-07-31,28.80,28.80,26.56,26.56,221320
2023-08-07,26.04,26.04,24.01,24.01,220850
2023-08-14,23.54,24.11,23.05,23.05,1669380
2023-08-21,22.59,24.45,22.59,24.45,788650
2023-08-28,25.67,31.19,25.50,31.19,1402910
2023-09-04,32.68,34.38,31.11,31.94,1565060
2023-09-11,31.30,31.30,29.50,29.50,300880
2023-09-18,29.60,29.60,27.76,27.76,206240
2023-09-25,27.93,30.21,27.80,30.21,398890
2023-10-03,30.81,32.69,30.81,32.60,251290
2023-10-09,32.30,38.08,30.97,38.08,1287590
2023-10-16,39.94,39.98,36.18,36.34,1201210
2023-10-23,36.50,37.05,35.50,36.30,296170
2023-10-30,37.03,40.03,37.03,40.03,366306
2023-11-06,40.83,41.60,39.25,40.62,607316
2023-11-13,41.42,43.62,41.42,43.47,306302
2023-11-20,43.47,43.47,39.78,39.78,259676
2023-11-28,40.00,40.00,36.85,37.15,445306
2023-12-04,38.90,47.35,38.88,44.45,1303332
2023-12-11,44.47,45.83,39.55,45.60,1605328
